year,world_pop_owned,world_food_need_annual,world_food_prod_annual,world_food_imports_qty_annual,world_food_stock,world_food_stock_cap,world_shortage_annual,mean_food_security_popw,mean_nutrition_popw,pop_share_under_0_9,pop_share_under_0_7,pop_share_under_0_5,births_total_annual,deaths_base_total_annual,deaths_famine_total_annual,deaths_epi_total_annual,sum_field_population_all,sum_field_population_owned,sum_field_population_unowned
-4900,5817234.000,6550.951,187884.702,225.822,3971.255,5819.017,0.000,1.000,1.000,0.000,0.000,0.000,40072.857,113038.010,0.000,0.000,5818417.630,5817234.004,1183.627
-4850,2950143.000,3132.546,215775.292,106.668,2051.712,2795.735,0.000,1.000,1.000,0.000,0.000,0.000,19241.844,66869.131,0.000,0.000,2950814.749,2950142.995,671.754
-4800,1445058.000,1552.720,223379.657,22.042,954.788,1418.456,0.000,1.000,1.000,0.000,0.000,0.000,9841.264,29900.596,0.000,0.000,1445523.382,1445058.005,465.377
-4750,716945.000,771.028,224553.763,10.604,465.070,713.674,0.000,1.000,1.000,0.000,0.000,0.000,4665.177,14842.282,0.000,0.000,717331.332,716945.001,386.331
-4700,359278.000,386.421,231975.972,6.714,272.754,405.465,0.000,1.000,1.000,0.000,0.000,0.000,2459.275,7350.661,0.000,0.000,359630.406,359278.001,352.405
-4650,184497.000,198.554,201620.829,4.588,185.109,255.597,0.000,1.000,1.000,0.000,0.000,0.000,1288.249,3734.046,0.000,0.000,184837.020,184497.000,340.020
-4600,96415.000,103.794,175524.121,2.838,140.026,181.727,0.000,1.000,1.000,0.000,0.000,0.000,680.174,1939.127,0.000,0.000,96751.441,96415.000,336.441
-4550,51359.000,55.297,146909.787,1.747,116.779,144.503,0.000,1.000,1.000,0.000,0.000,0.000,363.095,1030.552,0.000,0.000,51695.241,51359.000,336.241
-4500,28248.000,30.414,123669.852,1.198,104.674,125.293,0.000,1.000,1.000,0.000,0.000,0.000,199.265,566.394,0.000,0.000,28584.241,28248.000,336.241
-4450,16343.000,17.596,107597.668,0.913,99.184,117.427,0.000,1.000,1.000,0.000,0.000,0.000,114.761,327.665,0.000,0.000,16679.241,16343.000,336.241
-4400,10229.000,11.013,99874.792,0.767,96.452,114.274,0.000,1.000,1.000,0.000,0.000,0.000,71.348,205.101,0.000,0.000,10565.241,10229.000,336.241
-4350,7006.000,7.542,92976.989,0.675,94.933,113.226,0.000,1.000,1.000,0.000,0.000,0.000,48.417,140.538,0.000,0.000,7342.241,7006.000,336.241
-4300,5401.000,5.814,89617.873,0.662,94.136,113.054,0.000,1.000,1.000,0.000,0.000,0.000,37.064,108.400,0.000,0.000,5737.241,5401.000,336.241
