year,world_pop_owned,world_food_need_annual,world_food_prod_annual,world_food_imports_qty_annual,world_food_stock,world_food_stock_cap,world_shortage_annual,mean_food_security_popw,mean_nutrition_popw,pop_share_under_0_9,pop_share_under_0_7,pop_share_under_0_5,births_total_annual,deaths_base_total_annual,deaths_famine_total_annual,deaths_epi_total_annual,sum_field_population_all,sum_field_population_owned,sum_field_population_unowned
-4950,22468638.000,24100.254,41808.669,484.824,11395.679,24107.045,25.338,0.999,0.999,0.000,0.000,0.000,595441.808,250776.839,868.465,0.000,22475056.526,22468637.999,6418.528
-4900,37449353.000,40540.748,56170.692,876.722,11446.014,37169.800,2102.988,0.948,0.948,0.227,0.000,0.000,825227.528,455140.125,75551.410,0.000,37456200.310,37449353.013,6847.297
-4850,48333139.000,52138.162,58336.021,937.425,9714.716,45266.056,6688.602,0.872,0.872,0.523,0.227,0.000,1001927.871,612311.190,236481.781,0.000,48339082.417,48333139.042,5943.375
-4800,56090356.000,60513.732,71373.233,1368.401,11932.045,53890.164,7338.735,0.879,0.879,0.420,0.200,0.000,1166154.013,715161.570,263035.222,0.000,56095160.833,56090356.014,4804.820
-4750,63702825.000,68864.679,103066.456,1542.224,12466.255,60703.016,8070.453,0.883,0.883,0.421,0.190,0.000,1277806.628,813871.393,288020.202,0.000,63706988.581,63702825.000,4163.581
-4700,71503864.000,77382.506,116038.518,1602.461,15153.664,68269.096,10955.444,0.859,0.859,0.464,0.181,0.000,1393116.481,912686.952,383775.127,0.000,71507694.548,71503864.126,3830.422
-4650,78339741.000,84686.584,128483.804,1454.486,17077.369,75044.536,9678.436,0.886,0.886,0.368,0.149,0.000,1536912.547,1012233.339,347608.974,0.000,78343379.769,78339741.052,3638.717
-4600,90930549.000,98001.266,96799.819,1602.918,19451.074,87333.239,9728.605,0.901,0.901,0.392,0.169,0.000,1878637.175,1175332.487,355867.644,0.000,90934053.807,90930549.008,3504.799
-4550,102835586.000,111301.520,101288.675,1545.726,23794.264,99244.897,16420.078,0.853,0.853,0.419,0.161,0.161,2012290.260,1307857.388,569597.464,0.000,102838994.117,102835585.947,3408.170
-4500,114768161.000,124008.556,115178.227,1352.663,31627.061,111303.806,12719.541,0.898,0.898,0.369,0.127,0.000,2313859.972,1475931.739,456926.635,0.000,114771487.556,114768160.876,3326.681
-4450,136073181.000,146869.455,137981.377,1573.568,40992.606,131483.809,13928.416,0.905,0.905,0.293,0.157,0.000,2867700.569,1725207.419,499922.319,0.000,136076441.878,136073180.883,3260.995
-4400,171177371.000,184831.455,163848.137,1446.173,41450.222,165116.757,25051.243,0.865,0.865,0.533,0.083,0.000,3745738.446,2105176.495,893759.958,0.000,171180580.687,171177371.145,3209.542
-4350,209383188.000,226020.583,195862.291,1681.253,55855.315,202131.559,34637.905,0.847,0.847,0.481,0.172,0.000,4823468.088,2511270.217,1219052.060,0.000,209386356.529,209383187.249,3169.280
-4300,273902358.000,295402.375,235227.769,1395.050,13883.042,265026.687,60163.694,0.797,0.797,0.730,0.269,0.000,6685183.985,3148070.971,2130353.382,0.000,275100893.804,273902358.232,1198535.572
-4250,307466803.000,332665.736,243394.088,1437.543,9352.080,298323.733,89416.579,0.731,0.731,0.823,0.462,0.028,7460423.340,3460974.107,3129128.547,0.000,318988769.734,307466803.065,11521966.669
-4200,328787238.000,355987.305,245412.374,1369.547,7454.360,320130.500,110249.219,0.691,0.691,0.856,0.608,0.040,7824159.501,3686561.420,3856996.509,0.000,347730380.424,328787238.032,18943142.391
-4150,333069201.000,360938.841,241255.620,1353.156,7590.350,325182.523,119708.573,0.669,0.669,0.882,0.596,0.138,7808226.071,3726948.330,4179341.479,0.000,356615878.593,333069201.191,23546677.403
-4100,337255555.000,365423.891,246611.369,1363.389,5845.018,329517.586,118344.925,0.676,0.676,0.880,0.661,0.051,8007821.466,3766006.979,4123152.889,0.000,363126900.691,337255554.985,25871345.705
-4050,335934186.000,363986.703,243246.336,1287.748,3469.313,329727.501,120294.489,0.670,0.670,0.852,0.629,0.137,7869490.828,3766118.276,4197900.646,0.000,363951495.827,335934185.276,28017310.551
-4000,337762055.000,365987.899,245306.614,1293.503,4698.221,331916.550,120372.701,0.671,0.671,0.847,0.657,0.079,7994008.268,3773333.666,4194580.221,0.000,367354388.185,337762054.504,29592333.681
