year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-5000,13980314,13980314,257705.21595499993,178094.65773500007,38983
-4990,15129931,15129931,197046.39953799991,1655051.8778290006,39139
-4980,16247462,16247462,214296.08243100005,3288022.8428949998,39252
-4970,17160383,17160383,224587.802811,5022865.9395350022,39287
-4960,17938135,17938135,230940.794131,6816295.0662330007,39304
-4950,18629760,18629760,228818.374305,8611862.8287920002,39318
-4940,19256651,19256651,239818.56589699999,10399199.490385994,39320
-4930,19837210,19837210,245414.57646799998,12199999.452626999,39324
-4920,20385493,20385493,247926.97543299993,14017625.155924002,39339
-4910,20899096,20899096,245858.18691600001,15836877.410348006,39346
-4900,21410132,21410132,244370.7482549999,17643156.089677993,39347
-4890,21931298,21931298,244602.33379100001,19455397.128881998,39360
-4880,22483345,22483345,245989.46552999993,21278388.595022004,39360
-4870,23052575,23052575,248397.88343499994,23116579.49803099,39366
-4860,23642880,23642880,250698.27394500005,24969512.103096001,39371
-4850,24247424,24247424,252579.57194299999,26837459.038057983,39386
-4840,24864812,24864812,254917.44306999995,28718782.107481986,39391
-4830,25471603,25471603,258275.86592300006,30612171.74427101,39392
-4820,26117828,26117828,246982.91415199992,32403901.939439006,39408
-4810,26734421,26734421,244853.56591299985,34184108.263512008,39433
-4801,27278690,27278690,246823.86287299995,35781297.721033007,39448
