year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,25178677.000000,0.000000,0.995330,0.000270,0.008475,0.000000,0.000737,0.025723,0.280114,0.280154,0.670533,0.623050,0.093450,0.180985,0.663097,0.001419,0.371243,0.053880,0.000003,0.000003,0.033656,0.027432,0.114075,0.105033,0.028937|0.404751|0.371950|0.087777|0.084059|0.022545,0.335509,0.282769,0.087428,0.106665,1.000000,1.000000,0.893335,301430.500000,307182.000000,0.023672,533.000000,1143.000000,0.019412,0.780800,0.657500,96,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,2,0,0.000000,0,0,0,1,0.228641,0.768099,0.734263,0.771359,173237.720652,186647.981042,1090342.825269,0.000000,0.000000,0.000000,643776.438812
-4800,46094588.000000,0.002257,0.986807,0.000499,0.008522,0.000000,0.000479,0.023440,0.303018,0.315663,0.839933,0.493253,0.144524,0.207903,0.833435,0.000655,0.400608,0.073913,0.000014,0.000012,0.013193,0.026141,0.173781,0.116435,0.019920|0.430713|0.371733|0.089440|0.069529|0.018733,0.304063,0.414334,0.098563,0.138030,0.928882,1.000000,0.861970,332623.000000,688538.800000,0.035693,479.500000,1046.200000,0.030763,0.963800,0.658210,61,0.491935,177.500000,200.000000,0,8531.749023,0.000337,0.750688,266,1,0.001216,0,35,0,79,0.291620,0.592289,0.822119,0.708380,1553.276190,19451.159220,109268.758476,0.000000,0.000000,0.000000,175738386.739472
-4600,68223515.000000,0.001991,0.981385,0.000818,0.008406,0.000000,0.000950,0.024699,0.325140,0.354750,0.856988,0.455374,0.143461,0.211146,0.847312,0.000521,0.399655,0.076892,0.000017,0.000015,0.018615,0.025685,0.196080,0.091833,0.018486|0.429792|0.372316|0.094553|0.066464|0.018430,0.298195,0.456708,0.110320,0.149668,0.901319,1.000000,0.850332,394473.000000,1069142.600000,0.031636,472.000000,1067.400000,0.032586,0.979500,0.689060,56,0.414815,330.000000,400.000000,0,17173.882812,0.000598,0.771759,484,3,0.002540,0,15,0,89,0.304216,0.595832,0.829312,0.695784,2757.897569,24898.905493,137926.479113,0.000000,0.000000,0.000000,420398327.719658
-4400,95472752.000000,0.001920,0.993279,0.000370,0.008339,0.000350,0.000000,0.026968,0.344864,0.402728,0.844580,0.437662,0.181468,0.211604,0.826354,0.000466,0.402627,0.080178,0.000019,0.000017,0.006721,0.025213,0.207875,0.090373,0.018102|0.404270|0.390040|0.106326|0.063059|0.018232,0.307518,0.488198,0.117602,0.161923,0.986704,1.000000,0.838077,401055.000000,1773918.600000,0.036737,462.500000,1124.800000,0.030872,0.974900,0.715600,51,0.359155,490.000000,600.000000,1,17750.134766,0.000441,0.796471,661,6,0.001283,0,9,0,138,0.315138,0.599783,0.829789,0.684862,2409.503701,30720.250059,167660.201513,0.000000,0.000000,0.000000,789845198.874446
-4200,130391593.000000,0.001560,0.976308,0.001005,0.008365,0.000700,0.001010,0.031649,0.366220,0.451711,0.786039,0.484323,0.147375,0.214863,0.768072,0.000471,0.400211,0.081813,0.000021,0.000019,0.023692,0.024912,0.218153,0.097394,0.018029|0.352762|0.429423|0.125300|0.056380|0.018139,0.320060,0.499906,0.126961,0.169889,0.908136,1.000000,0.830111,450546.000000,2587646.200000,0.043265,479.000000,1129.000000,0.029093,0.966900,0.712680,49,0.333333,675.000000,800.000000,2,14603.843750,0.000322,0.967786,827,1,0.006178,0,7,0,185,0.322317,0.594084,0.812625,0.677683,2331.155214,31042.170453,166640.126637,0.000000,0.000000,0.000000,1232171800.724875
-4000,179278351.000000,0.001593,0.943544,0.001624,0.008449,0.000000,0.000000,0.040728,0.387922,0.501941,0.757126,0.440735,0.155548,0.218373,0.706120,0.000448,0.397706,0.087741,0.000021,0.000020,0.056456,0.024573,0.226747,0.103123,0.017990|0.280759|0.485671|0.146655|0.050876|0.018067,0.329365,0.515729,0.133000,0.178952,0.832496,0.994478,0.821048,480469.000000,4086037.000000,0.049221,486.000000,1132.000000,0.027692,0.964000,0.728700,44,0.291391,835.000000,1000.000000,0,14473.683594,0.000255,1.005584,959,2,0.020243,0,6,0,206,0.336809,0.585280,0.804083,0.663191,3026.364183,38109.766745,214428.422324,0.000000,0.000000,0.000000,1602296653.803064
-3800,252364886.000000,0.001711,0.963286,0.000746,0.008553,0.000000,0.001597,0.051903,0.409802,0.552019,0.741528,0.509518,0.184864,0.220985,0.676234,0.000443,0.390678,0.088372,0.000021,0.000020,0.036714,0.024298,0.232813,0.111379,0.017949|0.210863|0.542032|0.167152|0.044011|0.018008,0.340944,0.538547,0.139627,0.186399,0.872626,1.000000,0.813601,484931.000000,6086550.500000,0.061749,486.500000,1133.100000,0.026236,0.953500,0.722650,34,0.212500,950.000000,1200.000000,0,1302492.125000,0.005349,0.817445,1062,3,0.018531,0,10,0,225,0.340612,0.583133,0.792255,0.659388,9195.093888,55985.985490,332308.384250,0.000000,0.000000,0.000000,2048804132.885448
-3600,367434254.000000,0.001880,0.989182,0.000243,0.008678,0.000700,0.001674,0.071112,0.424938,0.609790,0.704569,0.532286,0.189602,0.224591,0.610649,0.000447,0.390942,0.095939,0.000021,0.000020,0.010818,0.023861,0.244439,0.123175,0.017921|0.157745|0.585293|0.184975|0.036120|0.017960,0.354184,0.557430,0.142224,0.198396,0.953949,1.000000,0.801604,483020.500000,9455008.500000,0.076115,482.500000,1137.500000,0.024815,0.944550,0.740800,31,0.186747,1090.000000,1400.000000,2,1291668.250000,0.003665,0.784158,1191,0,0.007950,0,8,0,272,0.352270,0.594694,0.781709,0.647730,13468.300575,80262.050831,500047.186733,0.000000,0.000000,0.000000,2703062903.585463
-3400,549863272.000000,0.002018,0.984061,0.000178,0.008845,0.000000,0.001239,0.106137,0.442465,0.669686,0.711688,0.533424,0.187061,0.228107,0.623380,0.000400,0.394798,0.111996,0.000022,0.000020,0.015939,0.023531,0.253819,0.128286,0.017899|0.112987|0.624723|0.195101|0.031368|0.017927,0.359866,0.575288,0.151647,0.207628,0.941597,1.000000,0.792372,468520.000000,15012322.400000,0.085651,487.000000,1203.800000,0.024038,0.942100,0.736920,30,0.179641,1280.000000,1600.000000,0,1743136.125000,0.005621,0.585812,1172,0,0.017528,0,1,0,260,0.363705,0.592739,0.790248,0.636295,17816.873561,114936.613112,737911.072540,0.000000,0.000000,0.000000,3113336021.518357
-3200,814659526.000000,0.001967,0.905398,0.001978,0.008979,0.000000,0.001298,0.138577,0.463385,0.728313,0.718152,0.544802,0.189936,0.233644,0.637104,0.000374,0.391907,0.123234,0.000026,0.000022,0.094602,0.023085,0.259829,0.133902,0.017885|0.086374|0.643776|0.206813|0.027252|0.017905,0.355076,0.599044,0.157962,0.220243,0.796308,0.908166,0.779757,535641.000000,21327156.400000,0.099798,506.000000,1234.200000,0.023315,0.944050,0.747430,27,0.156977,1332.500000,1800.000000,0,1705402.000000,0.008484,0.451679,1308,3,0.154137,0,9,0,273,0.370638,0.569044,0.791217,0.629362,5080.956444,137748.589706,876007.728732,0.000000,0.000000,0.000000,3749119679.788466
