year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,5748902.000000,0.025101,37446.000000,102.000000,0.000000,0.000761,0.000303,0.000000,0.000000,0.000000,4,0.999798,1.000000,0.000154,0.000153
-4990,6205921.000000,0.027854,40942.500000,104.000000,0.000000,0.007035,0.001616,0.000000,0.000000,0.000000,44,0.930404,0.700324,0.000074,0.000093
-4980,6639897.000000,0.028062,41951.000000,106.000000,0.000000,0.009266,0.001313,0.000000,0.000000,0.000000,50,0.940230,0.779694,0.000074,0.000087
-4970,7003975.000000,0.027894,44190.500000,111.500000,0.000000,0.012266,0.001010,0.000000,0.000000,0.000000,50,0.959604,0.838837,0.000077,0.000111
-4960,7332296.000000,0.027953,45586.500000,111.500000,0.000000,0.011876,0.000990,0.000000,0.000000,0.000000,60,0.965326,0.832990,0.000083,0.000156
-4950,7571401.000000,0.027848,48717.000000,114.000000,0.000000,0.007719,0.001068,0.000000,0.000000,0.000000,65,0.952802,0.824935,0.000096,0.000165
-4940,7781282.000000,0.027919,48030.000000,122.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66,0.955808,0.819317,0.000113,0.000194
-4930,7993051.000000,0.027944,47448.500000,125.500000,0.000000,0.010652,0.000857,0.000000,0.000000,0.000000,66,0.964486,0.841122,0.000112,0.000176
-4920,8213639.000000,0.028044,49143.000000,126.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67,0.972360,0.852109,0.000110,0.000181
-4910,8423130.000000,0.028273,49005.000000,126.000000,0.000000,0.006546,0.001214,0.000000,0.000000,0.000000,67,0.971464,0.848215,0.000116,0.000198
-4900,8624744.000000,0.028303,49512.500000,125.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70,0.972733,0.852079,0.000106,0.000176
-4890,8851007.000000,0.027622,51272.000000,128.000000,0.900901,0.005988,0.000952,0.000000,0.000000,0.000000,92,0.971249,0.858464,0.000118,0.000193
-4880,9080280.000000,0.027703,49094.000000,130.500000,0.826446,0.006955,0.000952,0.000000,0.000000,0.000000,93,0.972742,0.869411,0.000122,0.000204
-4870,9306095.000000,0.028258,50976.000000,131.500000,0.763359,0.005514,0.000952,0.000000,0.000000,0.000000,93,0.973738,0.868686,0.000115,0.000183
-4860,9529218.000000,0.028384,52750.000000,133.000000,0.709220,0.004495,0.000952,0.000000,0.000000,0.000000,93,0.974575,0.867876,0.000114,0.000187
-4850,9753220.000000,0.028646,56486.000000,138.500000,0.662252,0.004851,0.000952,0.000000,0.000000,0.000000,93,0.973335,0.866258,0.000122,0.000197
-4840,9972835.000000,0.028643,58451.000000,137.000000,0.621118,0.000000,0.000000,0.000000,0.000000,0.000000,94,0.974677,0.877887,0.000117,0.000185
-4830,10191116.000000,0.028666,57106.000000,139.000000,0.584795,0.000000,0.000000,0.000000,0.000000,0.000000,97,0.975429,0.881864,0.000120,0.000190
-4820,10418843.000000,0.028879,55539.000000,137.000000,0.552486,0.000000,0.000000,0.000000,0.000000,0.000000,101,0.977710,0.908178,0.000123,0.000204
-4810,10657194.000000,0.029096,57300.000000,137.500000,0.523560,0.005437,0.001689,0.000000,0.000000,0.000000,111,0.978772,0.905576,0.000127,0.000193
-4800,10872206.000000,0.029064,59927.000000,138.000000,0.497512,0.005593,0.001850,0.000000,0.000000,0.000000,111,0.975848,0.897939,0.000130,0.000185
-4790,11082604.000000,0.029183,61292.500000,140.000000,0.473934,0.005416,0.002011,0.000000,0.000000,0.000000,111,0.976921,0.906178,0.000122,0.000189
-4780,11302621.000000,0.029298,60099.000000,141.500000,0.452489,0.005675,0.001850,0.000000,0.000000,0.000000,111,0.975262,0.908507,0.000127,0.000203
-4770,11538501.000000,0.029461,61883.500000,141.500000,0.432900,0.005582,0.001850,0.000000,0.000000,0.000000,111,0.975990,0.911779,0.000116,0.000180
-4760,11775958.000000,0.029525,57915.000000,142.000000,0.414938,0.000000,0.000000,0.000000,0.000000,0.000000,112,0.974517,0.900412,0.000130,0.000217
-4750,11978798.000000,0.029801,57234.000000,142.000000,0.398406,0.005332,0.001738,0.000000,0.000000,0.000000,118,0.971753,0.913048,0.000115,0.000186
-4740,12193833.000000,0.029996,52765.000000,142.000000,0.383142,0.005048,0.001659,0.000000,0.000000,0.000000,118,0.974183,0.903046,0.000121,0.000192
-4730,12414571.000000,0.029745,54450.000000,142.000000,0.738007,0.004482,0.001817,0.000000,0.000000,0.000000,118,0.975179,0.907250,0.000120,0.000185
-4720,12662063.000000,0.030226,51002.000000,142.500000,0.711744,0.000000,0.000000,0.000000,0.000000,0.000000,119,0.974831,0.899188,0.000129,0.000199
-4710,12892585.000000,0.030694,51195.000000,143.000000,0.687285,0.004077,0.002174,0.000000,0.000000,0.000000,123,0.975436,0.905509,0.000128,0.000241
-4700,13178707.000000,0.031061,50124.000000,144.000000,0.664452,0.003640,0.002484,0.000000,0.000000,0.000000,123,0.977328,0.917312,0.000115,0.000193
