year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000155,0.000155,0.998384,0.997720,0.704529,0.701600,0.000000,0.000000
-4990,15129931.000000,0.028224,119457.000000,308.000000,0.000000,0.005509,0.002525,0.000000,0.000000,0.000000,12,0.949953,0.780557,0.000075,0.000099,0.996670,0.997900,0.743169,0.680840,0.000000,0.000000
-4980,16247462.000000,0.028544,123738.000000,314.000000,0.000000,0.008213,0.001818,0.000000,0.000000,0.000000,12,0.960463,0.805571,0.000074,0.000096,0.987921,0.993220,0.740645,0.632500,0.000000,0.000000
-4970,17160383.000000,0.028582,132057.000000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0.967094,0.829532,0.000077,0.000114,0.955646,0.932030,0.716688,0.527470,0.000000,0.000660
-4960,17938135.000000,0.028529,139042.000000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23,0.973616,0.852109,0.000082,0.000156,0.911342,0.709110,0.680986,0.300040,0.009344,0.010143
-4950,18629760.000000,0.028326,124609.500000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38,0.974393,0.879154,0.000092,0.000154,0.836128,0.384550,0.647070,0.267380,0.020603,0.025355
-4940,19256651.000000,0.028468,114844.000000,275.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42,0.975519,0.866712,0.000118,0.000218,0.788089,0.159350,0.603645,0.018000,0.036378,0.053122
-4930,19837210.000000,0.028225,117285.500000,275.000000,0.000000,0.005114,0.001954,0.000000,0.000000,0.000000,42,0.975699,0.875109,0.000102,0.000181,0.728134,0.009050,0.560591,0.013100,0.067527,0.113969
-4920,20385493.000000,0.028131,119160.000000,275.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44,0.973804,0.861587,0.000105,0.000197,0.673305,0.007070,0.525390,0.012610,0.070186,0.121710
-4910,20899096.000000,0.028028,124657.000000,270.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46,0.972854,0.844039,0.000117,0.000196,0.605708,0.006870,0.484705,0.011560,0.133738,0.168117
