year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000155,0.000155,0.981999,0.951197,0.704531,0.701625,0.000000,0.000000
-4990,15129807.000000,0.028215,119450.000000,308.000000,0.000000,0.005509,0.002525,0.000000,0.000000,0.000000,12,0.949942,0.780553,0.000075,0.000099,0.996438,0.997884,0.743059,0.680714,0.000000,0.000000
-4980,16247201.000000,0.028529,123763.000000,314.000000,0.000000,0.008208,0.001818,0.000000,0.000000,0.000000,12,0.960449,0.805486,0.000074,0.000096,0.970805,0.949732,0.739994,0.632198,0.000000,0.000000
-4970,17159504.000000,0.028542,132073.500000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0.967091,0.828931,0.000077,0.000116,0.951089,0.925185,0.716132,0.527265,0.000000,0.000660
-4960,17936985.000000,0.028485,138753.500000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23,0.973560,0.851817,0.000082,0.000157,0.890499,0.607897,0.681467,0.311262,0.010137,0.010137
-4950,18628377.000000,0.028272,123696.500000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38,0.974397,0.878748,0.000092,0.000158,0.831263,0.384691,0.644956,0.262418,0.020566,0.025320
-4940,19255089.000000,0.028392,116166.000000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39,0.975379,0.867196,0.000118,0.000218,0.768843,0.059724,0.601343,0.016548,0.040685,0.056751
-4930,19836573.000000,0.028104,119118.000000,285.000000,0.000000,0.004995,0.001904,0.000000,0.000000,0.000000,39,0.975126,0.870064,0.000102,0.000184,0.721378,0.008383,0.556171,0.012804,0.070102,0.120381
-4920,20382981.000000,0.028068,119019.000000,283.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40,0.972916,0.854545,0.000106,0.000199,0.657579,0.005726,0.527055,0.011875,0.071509,0.140738
-4910,20898198.000000,0.027907,126867.000000,275.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42,0.972317,0.853161,0.000118,0.000197,0.593228,0.006586,0.479825,0.011040,0.146205,0.187414
-4900,21407395.000000,0.028126,112637.000000,268.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48,0.975093,0.856589,0.000105,0.000183,0.544902,0.000795,0.461330,0.010969,0.154085,0.179702
-4890,21740309.000000,0.027373,116108.000000,268.000000,0.000000,0.005429,0.001326,0.000000,0.000000,0.000000,59,0.968685,0.864190,0.000123,0.000198,0.522510,0.006470,0.428701,0.010990,0.174880,0.197774
-4880,22238131.000000,0.028135,115347.000000,268.000000,0.000000,0.005101,0.001400,0.000000,0.000000,0.000000,59,0.971300,0.871025,0.000123,0.000206,0.511789,0.000000,0.429642,0.011098,0.167438,0.199062
-4870,22793864.000000,0.028571,111298.000000,268.000000,0.000000,0.005137,0.001474,0.000000,0.000000,0.000000,59,0.975881,0.886180,0.000123,0.000196,0.504623,0.006587,0.421278,0.011193,0.180316,0.191801
-4860,23380732.000000,0.028910,110306.000000,268.000000,0.000000,0.004964,0.001768,0.000000,0.000000,0.000000,59,0.978242,0.894881,0.000118,0.000188,0.489627,0.000000,0.415126,0.011232,0.175002,0.186670
-4850,23998022.000000,0.029352,107704.000000,267.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60,0.977097,0.892709,0.000131,0.000227,0.489189,0.006643,0.416702,0.011379,0.167960,0.176585
-4840,24616971.000000,0.029877,105296.000000,261.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63,0.977207,0.902405,0.000123,0.000218,0.474846,0.000000,0.408755,0.011922,0.161364,0.165054
-4830,25215330.000000,0.030175,99929.500000,265.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70,0.978920,0.901198,0.000126,0.000208,0.470731,0.006773,0.400149,0.011552,0.138944,0.148443
-4820,25850556.000000,0.030356,92644.000000,255.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84,0.981610,0.916973,0.000124,0.000195,0.453922,0.000000,0.393142,0.012040,0.142927,0.165309
-4810,26455098.000000,0.030585,89001.000000,243.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101,0.978083,0.915783,0.000126,0.000200,0.460540,0.006839,0.391979,0.012087,0.122943,0.141141
-4800,27060973.000000,0.031076,88209.500000,240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106,0.983144,0.927450,0.000129,0.000206,0.460528,0.002299,0.393140,0.012082,0.123279,0.141028
-4790,27690534.000000,0.031144,88781.000000,236.000000,0.473934,0.000000,0.000000,0.000000,0.000000,0.000000,110,0.978607,0.907615,0.000126,0.000210,0.475146,0.006823,0.387692,0.012036,0.117801,0.118956
-4780,28293039.000000,0.031524,88967.500000,231.000000,0.452489,0.000000,0.000000,0.000000,0.000000,0.000000,115,0.978122,0.912018,0.000127,0.000212,0.475616,0.003233,0.387053,0.012070,0.119718,0.123159
