year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000155,0.000155,0.982000,0.951200,0.704529,0.701600,0.000000,0.000000
-4990,15129833.000000,0.028221,119450.000000,308.000000,0.000000,0.005511,0.002525,0.000000,0.000000,0.000000,12,0.949947,0.780563,0.000075,0.000099,0.996436,0.997900,0.743069,0.680720,0.000000,0.000000
-4980,16247296.000000,0.028542,123759.000000,314.000000,0.000000,0.008214,0.001818,0.000000,0.000000,0.000000,12,0.960455,0.805545,0.000074,0.000096,0.970827,0.949780,0.740101,0.632260,0.000000,0.000000
-4970,17159676.000000,0.028560,132072.500000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0.967120,0.828947,0.000077,0.000116,0.951095,0.925500,0.716243,0.527470,0.000000,0.000660
-4960,17937242.000000,0.028508,138753.500000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23,0.973518,0.851826,0.000082,0.000157,0.890738,0.610350,0.682101,0.312420,0.010138,0.010138
-4950,18628625.000000,0.028305,124246.500000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38,0.974431,0.879044,0.000092,0.000158,0.831928,0.384550,0.646412,0.262910,0.020568,0.025323
-4940,19255558.000000,0.028438,117162.000000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39,0.975431,0.867303,0.000118,0.000218,0.770342,0.059160,0.600950,0.016560,0.040694,0.056759
-4930,19837600.000000,0.028158,119123.000000,285.000000,0.000000,0.005030,0.001904,0.000000,0.000000,0.000000,39,0.975234,0.874813,0.000102,0.000184,0.724644,0.008380,0.563930,0.012840,0.070104,0.115603
-4920,20385001.000000,0.028144,119027.500000,283.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40,0.973185,0.857039,0.000105,0.000199,0.662917,0.005750,0.525734,0.011900,0.071484,0.140723
-4910,20898886.000000,0.027990,126828.500000,275.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42,0.972346,0.844514,0.000118,0.000197,0.602765,0.006600,0.487358,0.011050,0.146498,0.176109
-4900,21409872.000000,0.028211,112637.000000,268.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48,0.975078,0.855644,0.000104,0.000184,0.553615,0.000800,0.463188,0.011060,0.146386,0.179384
-4890,21742945.000000,0.027459,116108.000000,268.000000,0.000000,0.005442,0.001326,0.000000,0.000000,0.000000,59,0.968540,0.866241,0.000122,0.000198,0.531096,0.006520,0.433120,0.011020,0.165751,0.193930
-4880,22240589.000000,0.028136,115321.000000,268.000000,0.000000,0.005065,0.001400,0.000000,0.000000,0.000000,59,0.971144,0.866137,0.000123,0.000206,0.510569,0.000000,0.424519,0.011120,0.167895,0.199571
-4870,22796497.000000,0.028586,109621.000000,268.000000,0.000000,0.004850,0.001547,0.000000,0.000000,0.000000,59,0.975933,0.887376,0.000123,0.000196,0.502336,0.006620,0.419653,0.011200,0.180710,0.192149
-4860,23392149.000000,0.028887,108702.000000,268.000000,0.000000,0.005251,0.001695,0.000000,0.000000,0.000000,59,0.978521,0.895311,0.000118,0.000189,0.486160,0.000000,0.409568,0.011200,0.175787,0.187317
