year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000010,0.000000,0.981990,0.951000,0.704557,0.702000,0.000000,0.000000
-4999,14091047.000000,0.026701,115211.000000,300.000000,0.000000,0.001346,0.001717,0.000000,0.000000,0.000000,6,0.935351,0.753200,0.000000,0.000000,0.988237,0.966000,0.708299,0.703000,0.000000,0.000000
-4998,14203078.000000,0.027157,115256.000000,300.000000,0.000000,0.002261,0.002222,0.000000,0.000000,0.000000,9,0.941732,0.836200,0.000000,0.000000,0.993309,0.975600,0.711928,0.704000,0.000000,0.000000
-4997,14312853.000000,0.027318,112938.000000,300.000000,0.000000,0.002817,0.002424,0.000000,0.000000,0.000000,12,0.938907,0.746400,0.000010,0.000000,0.996196,0.986200,0.715402,0.703600,0.000000,0.000000
-4996,14425081.000000,0.027466,114081.000000,300.000000,0.000000,0.003361,0.002525,0.000000,0.000000,0.000000,12,0.939979,0.745600,0.000000,0.000000,0.996691,0.988000,0.719454,0.702400,0.000000,0.000000
-4995,14539328.000000,0.027607,116940.000000,300.000000,0.000000,0.003868,0.002525,0.000000,0.000000,0.000000,12,0.941216,0.744800,0.000010,0.000000,0.997062,0.993200,0.723588,0.701400,0.000000,0.000000
-4994,14655610.000000,0.027763,118442.000000,300.000000,0.000000,0.004262,0.002525,0.000000,0.000000,0.000000,12,0.943309,0.741600,0.000010,0.000000,0.997216,0.997000,0.727794,0.700400,0.000000,0.000000
-4993,14773407.000000,0.027890,118728.000000,301.000000,0.000000,0.004671,0.002525,0.000000,0.000000,0.000000,12,0.945155,0.739000,0.000000,0.000000,0.997165,0.997000,0.731979,0.698800,0.000000,0.000000
-4992,14892431.000000,0.028028,118996.000000,302.000000,0.000000,0.004996,0.002525,0.000000,0.000000,0.000000,12,0.947072,0.744800,0.000000,0.000000,0.997041,0.998000,0.736072,0.693200,0.000000,0.000000
-4991,15011284.000000,0.028092,119244.000000,304.000000,0.000000,0.005301,0.002525,0.000000,0.000000,0.000000,12,0.948474,0.750800,0.000000,0.000000,0.996732,0.998000,0.740062,0.687600,0.000000,0.000000
-4990,15129886.000000,0.028217,119450.000000,307.000000,0.000000,0.005509,0.002525,0.000000,0.000000,0.000000,12,0.949938,0.780200,0.000000,0.000000,0.996546,0.998000,0.743216,0.681000,0.000000,0.000000
-4989,15248163.000000,0.028300,119644.000000,310.000000,0.000000,0.005717,0.002525,0.000000,0.000000,0.000000,12,0.951443,0.799200,0.000031,0.000000,0.996371,0.998000,0.745052,0.676800,0.000000,0.000000
-4988,15365122.000000,0.028367,119811.000000,312.000000,0.000000,0.005853,0.002525,0.000000,0.000000,0.000000,12,0.953103,0.800400,0.000010,0.000000,0.995979,0.998000,0.745784,0.680200,0.000000,0.000000
-4987,15480967.000000,0.028433,119953.000000,314.000000,0.000000,0.005997,0.002525,0.000000,0.000000,0.000000,12,0.954567,0.800200,0.000010,0.000000,0.995629,0.998000,0.745722,0.674000,0.000000,0.000000
-4986,15595678.000000,0.028445,120066.000000,314.000000,0.000000,0.006073,0.002525,0.000000,0.000000,0.000000,12,0.956103,0.805800,0.000000,0.000000,0.994845,0.998000,0.745887,0.671600,0.000000,0.000000
-4985,15709134.000000,0.028528,120134.000000,314.000000,0.000000,0.006705,0.002323,0.000000,0.000000,0.000000,12,0.957464,0.806200,0.000010,0.000000,0.994474,0.998000,0.745598,0.665800,0.000000,0.000000
-4984,15820888.000000,0.028563,120185.000000,314.000000,0.000000,0.007010,0.002222,0.000000,0.000000,0.000000,12,0.958196,0.803600,0.000000,0.000000,0.993784,0.998000,0.745289,0.657800,0.000000,0.000000
-4983,15931033.000000,0.028586,120204.000000,314.000000,0.000000,0.007722,0.002020,0.000000,0.000000,0.000000,12,0.959155,0.804200,0.000000,0.000000,0.992887,0.997600,0.744691,0.654600,0.000000,0.000000
-4982,16039049.000000,0.028587,120194.000000,314.000000,0.000000,0.007614,0.002020,0.000000,0.000000,0.000000,12,0.959691,0.807400,0.000010,0.000000,0.990639,0.994600,0.742670,0.649000,0.000000,0.000000
-4981,16144457.000000,0.028523,121956.000000,314.000000,0.000000,0.007914,0.001919,0.000000,0.000000,0.000000,12,0.960062,0.805800,0.000000,0.000000,0.988959,0.993600,0.740041,0.639200,0.000000,0.000000
-4980,16247305.000000,0.028527,123847.000000,314.000000,0.000000,0.008209,0.001818,0.000000,0.000000,0.000000,12,0.960464,0.805200,0.000000,0.000000,0.970577,0.950000,0.740227,0.631600,0.000000,0.000000
-4979,16347951.000000,0.028358,125723.000000,314.000000,0.000000,0.008578,0.001717,0.000000,0.000000,0.000000,12,0.961371,0.808600,0.000000,0.000000,0.975763,0.958000,0.738155,0.623600,0.000000,0.000000
-4978,16447465.000000,0.028469,127521.000000,314.000000,0.000000,0.007981,0.001818,0.000000,0.000000,0.000000,12,0.962753,0.823200,0.000000,0.000000,0.977412,0.963200,0.732423,0.615200,0.000000,0.000000
-4977,16544847.000000,0.028533,129316.000000,314.000000,0.000000,0.008369,0.001717,0.000000,0.000000,0.000000,12,0.963495,0.825000,0.000000,0.000000,0.977546,0.965600,0.730577,0.607600,0.000000,0.014771
-4976,16638156.000000,0.028493,131088.000000,314.000000,0.000000,0.008786,0.001616,0.000000,0.000000,0.000000,12,0.964196,0.823800,0.000000,0.000000,0.974381,0.955800,0.727505,0.597600,0.000000,0.014379
-4975,16729494.000000,0.028521,132827.000000,314.000000,0.000000,0.009310,0.001515,0.000000,0.000000,0.000000,12,0.965031,0.823000,0.000010,0.000000,0.971619,0.950200,0.723711,0.588200,0.000000,0.014002
