year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000155,0.000155,0.981999,0.951197,0.704531,0.701625,0.000000,0.000000
-4999,14091037.000000,0.026700,115213.000000,300.000000,0.000000,0.001345,0.001717,0.000000,0.000000,0.000000,6,0.935325,0.752925,0.000125,0.000130,0.988178,0.966245,0.708253,0.702808,0.000000,0.000000
-4998,14203068.000000,0.027154,115255.000000,300.000000,0.000000,0.002260,0.002222,0.000000,0.000000,0.000000,9,0.941740,0.836334,0.000104,0.000114,0.993216,0.975973,0.711826,0.703829,0.000000,0.000000
-4997,14312836.000000,0.027315,112937.000000,300.000000,0.000000,0.002816,0.002424,0.000000,0.000000,0.000000,12,0.938905,0.746433,0.000102,0.000110,0.996089,0.985766,0.715301,0.703541,0.000000,0.000000
-4996,14425062.000000,0.027462,114081.000000,300.000000,0.000000,0.003359,0.002525,0.000000,0.000000,0.000000,12,0.939953,0.745233,0.000092,0.000102,0.996579,0.988335,0.719416,0.701868,0.000000,0.000000
-4995,14539304.000000,0.027603,116940.000000,300.000000,0.000000,0.003866,0.002525,0.000000,0.000000,0.000000,12,0.941199,0.744538,0.000099,0.000113,0.996956,0.993068,0.723486,0.700981,0.000000,0.000000
-4994,14655579.000000,0.027758,118441.000000,300.000000,0.000000,0.004260,0.002525,0.000000,0.000000,0.000000,12,0.943297,0.741363,0.000096,0.000119,0.997139,0.996663,0.727680,0.700260,0.000000,0.000000
-4993,14773371.000000,0.027886,118727.000000,301.000000,0.000000,0.004670,0.002525,0.000000,0.000000,0.000000,12,0.945133,0.738953,0.000086,0.000116,0.997076,0.997128,0.731883,0.698770,0.000000,0.000000
-4992,14892370.000000,0.028023,118995.000000,302.000000,0.000000,0.004996,0.002525,0.000000,0.000000,0.000000,12,0.947057,0.744380,0.000080,0.000113,0.996920,0.997834,0.735988,0.693182,0.000000,0.000000
-4991,15011216.000000,0.028086,119243.000000,304.000000,0.000000,0.005301,0.002525,0.000000,0.000000,0.000000,12,0.948487,0.750677,0.000079,0.000109,0.996616,0.997777,0.739949,0.687293,0.000000,0.000000
-4990,15129811.000000,0.028215,119450.000000,307.000000,0.000000,0.005509,0.002525,0.000000,0.000000,0.000000,12,0.949942,0.780553,0.000075,0.000100,0.996439,0.997884,0.743059,0.680714,0.000000,0.000000
-4989,15248093.000000,0.028298,119645.000000,310.000000,0.000000,0.005716,0.002525,0.000000,0.000000,0.000000,12,0.951427,0.798801,0.000087,0.000103,0.996275,0.997864,0.744970,0.677255,0.000000,0.000000
