year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000155,0.000155,0.981999,0.951200,0.704529,0.701600,0.000000,0.000000
-4999,14091038.000000,0.026700,115213.000000,300.000000,0.000000,0.001345,0.001717,0.000000,0.000000,0.000000,6,0.935325,0.752924,0.000125,0.000130,0.988174,0.966240,0.708247,0.702820,0.000000,0.000000
-4998,14203069.000000,0.027154,115255.000000,300.000000,0.000000,0.002260,0.002222,0.000000,0.000000,0.000000,9,0.941740,0.836330,0.000104,0.000114,0.993212,0.975940,0.711820,0.703820,0.000000,0.000000
-4997,14312839.000000,0.027315,112937.000000,300.000000,0.000000,0.002816,0.002424,0.000000,0.000000,0.000000,12,0.938905,0.746432,0.000102,0.000110,0.996088,0.985700,0.715292,0.703540,0.000000,0.000000
-4996,14425065.000000,0.027462,114081.000000,300.000000,0.000000,0.003359,0.002525,0.000000,0.000000,0.000000,12,0.939954,0.745232,0.000092,0.000102,0.996574,0.988360,0.719410,0.701840,0.000000,0.000000
-4995,14539306.000000,0.027603,116946.000000,300.000000,0.000000,0.003866,0.002525,0.000000,0.000000,0.000000,12,0.941199,0.744538,0.000099,0.000113,0.996952,0.993160,0.723479,0.700960,0.000000,0.000000
-4994,14655581.000000,0.027758,118441.000000,300.000000,0.000000,0.004260,0.002525,0.000000,0.000000,0.000000,12,0.943297,0.741363,0.000096,0.000119,0.997136,0.996660,0.727671,0.700260,0.000000,0.000000
-4993,14773369.000000,0.027886,118727.000000,300.000000,0.000000,0.004670,0.002525,0.000000,0.000000,0.000000,12,0.945133,0.738954,0.000086,0.000116,0.997072,0.997120,0.731873,0.698680,0.000000,0.000000
-4992,14891966.000000,0.028022,118995.000000,302.000000,0.000000,0.004996,0.002525,0.000000,0.000000,0.000000,12,0.947057,0.744381,0.000080,0.000114,0.996916,0.997800,0.735982,0.693160,0.000000,0.000000
-4991,15010774.000000,0.028085,119243.000000,304.000000,0.000000,0.005301,0.002525,0.000000,0.000000,0.000000,12,0.948487,0.750671,0.000079,0.000109,0.996611,0.997820,0.739948,0.687320,0.000000,0.000000
-4990,15129811.000000,0.028215,119450.000000,308.000000,0.000000,0.005509,0.002525,0.000000,0.000000,0.000000,12,0.949945,0.780561,0.000075,0.000099,0.996435,0.997900,0.743063,0.680780,0.000000,0.000000
-4989,15247679.000000,0.028296,119645.000000,311.000000,0.000000,0.005716,0.002525,0.000000,0.000000,0.000000,12,0.951427,0.798805,0.000087,0.000103,0.996275,0.997860,0.744973,0.677360,0.000000,0.000000
-4988,15365041.000000,0.028365,119813.000000,312.000000,0.000000,0.005852,0.002525,0.000000,0.000000,0.000000,12,0.953102,0.800366,0.000089,0.000101,0.995895,0.997900,0.745709,0.679460,0.000000,0.000000
-4987,15480890.000000,0.028438,119955.000000,314.000000,0.000000,0.005995,0.002525,0.000000,0.000000,0.000000,12,0.954559,0.799912,0.000086,0.000112,0.995566,0.997960,0.745605,0.673380,0.000000,0.000000
