year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18892327.000000,0.000000,0.986638,0.000487,0.000010,0.000000,0.001659,0.027018,0.000004,0.000004,0.705264,0.625047,0.049978,0.055747,0.094754,0.083184,0.051787|0.340229|0.505618|0.080298|0.022105|0.000000,0.224070,0.301250,0.104791,0.123302,1.000000,1.000000,0.876698,191627.000000,304159.800000,0.040567,421.000000,1103.200000,0.022747,0.810750,0.608210,0,0.000000,0.000000,0.000000,5,0,0,0,0,2,0.253831,0.775883,0.489155,0.746169,152383.779651,107177.879824,666388.212714,0.000000,0.000000,0.000000,338723.051530
-4950,24212885.000000,0.004975,0.938204,0.001869,0.000005,0.000000,0.000000,0.026482,0.000178,0.000237,0.762846,0.406823,0.058910,0.619529,0.145024,0.120366,0.022222|0.364343|0.519122|0.089479|0.024058|0.000000,0.205608,0.430124,0.090125,0.126144,0.821829,0.969851,0.873856,196509.000000,498559.600000,0.038709,421.000000,1089.600000,0.022686,0.945600,0.626740,0,442.182312,0.000031,0.131778,61,0,0,15,0,20,0.283722,0.568125,0.514978,0.716278,233.843313,7663.885294,38057.224756,0.000000,0.000000,0.000000,18989801.734937
-4900,27545905.000000,0.002583,0.926604,0.002710,0.000006,0.000352,0.001065,0.026244,0.000272,0.000520,0.589803,0.333008,0.090663,0.571870,0.160975,0.129016,0.017311|0.367566|0.514347|0.092046|0.025093|0.000000,0.206835,0.482181,0.096602,0.126425,0.780560,0.968541,0.873575,181258.000000,578831.000000,0.042906,391.500000,1012.000000,0.022702,0.876250,0.573950,1,2054.118896,0.000289,0.340666,97,0,1,27,0,22,0.274711,0.555643,0.474961,0.725289,235.981272,9892.399097,46426.380321,0.000000,0.000000,0.000000,40373398.503934
-4850,31026832.000000,0.002383,0.943913,0.001712,0.000006,0.000000,0.000000,0.028153,0.000341,0.000821,0.540805,0.319479,0.038646,0.515384,0.170748,0.132217,0.014276|0.369791|0.511269|0.093075|0.025695|0.000000,0.217766,0.502997,0.096950,0.131974,0.788194,0.986373,0.868026,177325.500000,671686.900000,0.048644,373.500000,1010.800000,0.022702,0.880550,0.594150,0,3370.624268,0.000344,0.265676,85,0,0,2,0,23,0.273948,0.573583,0.448207,0.726052,496.154063,11408.133285,53976.044502,0.000000,0.000000,0.000000,55747872.402767
-4800,34370111.000000,0.002049,0.958194,0.001476,0.000005,0.000000,0.000000,0.028844,0.000325,0.001121,0.477940,0.339553,0.037672,0.285236,0.184172,0.132779,0.012360|0.373984|0.509582|0.093798|0.026291|0.000000,0.236142,0.512700,0.102532,0.133407,0.852046,1.000000,0.866593,98325.000000,746756.200000,0.049700,299.000000,926.400000,0.022702,0.864400,0.629380,0,4199.468750,0.000414,0.597151,126,0,0,65,0,30,0.277164,0.567482,0.415167,0.722836,927.400578,14965.499453,69881.606828,0.000000,0.000000,0.000000,87186515.987804
-4750,38084489.000000,0.002055,0.977672,0.000667,0.000006,0.000000,0.000000,0.030353,0.000392,0.001453,0.502358,0.345067,0.028169,0.225374,0.191979,0.128398,0.010596|0.373950|0.510014|0.093034|0.026542|0.000000,0.254752,0.514035,0.105194,0.132541,0.906967,1.000000,0.867459,110856.000000,821704.000000,0.052336,295.000000,919.800000,0.022694,0.877800,0.623080,0,5191.084473,0.000460,0.782535,125,0,0,16,0,31,0.278621,0.587782,0.416884,0.721379,1388.466285,17745.437489,85284.826279,0.000000,0.000000,0.000000,111389146.766842
-4700,41991607.000000,0.001955,0.974686,0.000825,0.000005,0.000000,0.000000,0.031128,0.000459,0.001774,0.462339,0.348712,0.040394,0.229408,0.202370,0.124579,0.009103|0.375670|0.516679|0.089099|0.023718|0.000000,0.268978,0.518485,0.106141,0.133937,0.911431,1.000000,0.866063,93385.000000,916063.600000,0.063919,287.000000,906.600000,0.022683,0.862300,0.633180,0,6342.255859,0.000512,0.731478,145,0,0,20,0,28,0.280147,0.588207,0.412039,0.719853,1339.405905,19365.155351,92591.592258,0.000000,0.000000,0.000000,130823666.923249
-4650,46833810.000000,0.002185,0.976780,0.000824,0.000005,0.000000,0.002677,0.031591,0.000497,0.002113,0.447683,0.359122,0.035120,0.205471,0.212368,0.120816,0.007901|0.372013|0.518515|0.088925|0.024023|0.000000,0.271259,0.528160,0.108616,0.136471,0.904720,1.000000,0.863529,86654.000000,1033134.000000,0.075638,284.000000,900.000000,0.022672,0.856000,0.636300,0,5700.663574,0.000555,0.552807,133,0,0,12,0,26,0.284563,0.589104,0.407295,0.715437,1451.985171,20845.968184,101939.402860,0.000000,0.000000,0.000000,148347434.038201
-4600,51974343.000000,0.002085,0.979817,0.000972,0.000005,0.000000,0.000000,0.032739,0.000503,0.002461,0.443640,0.340524,0.029402,0.266623,0.218940,0.116715,0.006905|0.372019|0.521157|0.087037|0.022155|0.000000,0.271667,0.538600,0.110409,0.138632,0.905444,1.000000,0.861368,80310.000000,978544.000000,0.085667,280.500000,885.000000,0.022654,0.860050,0.674850,0,6698.842773,0.000561,0.533497,156,0,0,10,0,29,0.289440,0.585199,0.405425,0.710560,2397.677041,22307.050583,111051.632199,0.000000,0.000000,0.000000,167552753.460972
-4550,57201593.000000,0.001918,0.992744,0.000315,0.000004,0.000000,0.001198,0.034791,0.000552,0.002796,0.452950,0.370910,0.025599,0.141255,0.224781,0.117109,0.006150|0.369587|0.527854|0.086548|0.020638|0.000000,0.275126,0.546591,0.113249,0.140399,0.971344,1.000000,0.859601,84840.000000,1116139.200000,0.095213,251.000000,853.800000,0.022624,0.857600,0.655000,0,5912.147949,0.000575,0.850586,171,0,0,29,0,40,0.289092,0.592074,0.410927,0.710908,4064.665007,25831.227642,130146.279839,0.000000,0.000000,0.000000,209847207.049922
-4500,63303328.000000,0.002029,0.994490,0.000235,0.000005,0.000000,0.001348,0.036368,0.000614,0.003127,0.447513,0.371544,0.022100,0.150258,0.229780,0.115985,0.005427|0.363295|0.533300|0.086871|0.019679|0.000000,0.281115,0.550729,0.116134,0.142088,0.983168,1.000000,0.857912,83513.000000,1255447.900000,0.103721,258.000000,847.200000,0.022584,0.858650,0.671960,0,7006.868652,0.000559,1.112531,183,0,0,4,0,38,0.290033,0.592522,0.409106,0.709967,4196.787209,27886.456667,142024.520309,0.000000,0.000000,0.000000,230156577.216780
-4450,69246508.000000,0.001796,0.991085,0.000250,0.000005,0.000000,0.001648,0.039118,0.000653,0.003510,0.447666,0.372447,0.043775,0.120881,0.234217,0.113008,0.004862|0.351121|0.545619|0.087049|0.019161|0.000000,0.288201,0.554740,0.117683,0.144395,0.970005,1.000000,0.855605,78208.000000,1344192.500000,0.113667,258.000000,847.200000,0.022539,0.859900,0.676610,0,8864.999023,0.000529,1.062665,220,0,0,0,0,40,0.293567,0.593953,0.409916,0.706433,2872.857119,28745.749616,146845.720044,0.000000,0.000000,0.000000,249210049.374922
