year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8049336.000000,0.000000,0.995601,0.000167,0.000010,0.000000,0.002020,0.025707,0.000003,0.000004,0.723142,0.672660,0.038880,0.025288,0.063694,0.058021,0.071874|0.315680|0.498049|0.076050|0.038438|0.000000,0.215497,0.279206,0.115811,0.127410,1.000000,1.000000,0.872591,56785.500000,177204.700000,0.038463,163.500000,547.300000,0.046279,0.855650,0.728750,0,0.000000,0.000000,0.000000,2,0,0,0,0,1,0.264865,0.775204,0.495411,0.735135,76803.763271,49541.191455,311137.371560,0.000000,0.000000,0.000000,101205.963910
-4950,9914364.000000,0.004177,0.934404,0.001924,0.000006,0.000000,0.002239,0.027197,0.000134,0.000205,0.787841,0.468397,0.080167,0.622456,0.123175,0.089025,0.042509|0.349986|0.532440|0.076330|0.040783|0.000000,0.203002,0.384811,0.107392,0.127556,0.797915,0.967099,0.872444,61170.500000,241447.700000,0.044729,168.000000,533.100000,0.044899,0.966450,0.728550,0,32.775898,0.000005,0.288827,91,0,0,5,0,38,0.288598,0.573937,0.526730,0.711402,301.237437,5568.084093,32527.898100,0.000000,0.000000,0.000000,6249367.783236
-4900,11286304.000000,0.002595,0.930400,0.002244,0.000006,0.000000,0.001570,0.026541,0.000249,0.000437,0.618972,0.366486,0.066076,0.583045,0.147832,0.099079,0.034777|0.362564|0.528105|0.072443|0.041449|0.000000,0.192671,0.441493,0.101968,0.125520,0.788003,0.973615,0.874480,63351.500000,287216.200000,0.059324,175.000000,522.900000,0.044568,0.902650,0.641710,0,135.434860,0.000015,0.195557,83,0,0,6,0,29,0.277137,0.557966,0.476593,0.722863,214.608203,9690.405898,52069.995002,0.000000,0.000000,0.000000,14194009.128695
-4850,12679146.000000,0.002330,0.937851,0.001929,0.000006,0.000000,0.000000,0.027499,0.000273,0.000705,0.447735,0.343559,0.041538,0.511559,0.166816,0.102000,0.029290|0.367275|0.528735|0.071262|0.042497|0.000000,0.191222,0.476501,0.102007,0.124489,0.793661,0.999738,0.875511,62318.000000,320242.700000,0.067244,171.000000,516.400000,0.044547,0.883250,0.643390,0,37.184807,0.000004,0.219137,91,0,0,2,0,34,0.272511,0.571397,0.410074,0.727489,325.929046,9277.814131,49588.067844,0.000000,0.000000,0.000000,20934688.665450
-4800,13947083.000000,0.001908,0.968182,0.000975,0.000005,0.000002,0.000980,0.028907,0.000289,0.000978,0.452934,0.356264,0.026791,0.289853,0.183779,0.100764,0.024642|0.371507|0.532817|0.069906|0.043892|0.000000,0.195839,0.495175,0.105618,0.126669,0.865314,1.000000,0.873331,46513.000000,354479.900000,0.073559,163.500000,492.600000,0.044517,0.866600,0.637420,0,1102.546387,0.000091,0.179370,113,0,1,22,0,30,0.270495,0.581409,0.407815,0.729505,483.725974,9755.001266,50380.527934,0.000000,0.000000,0.000000,29589516.579094
-4750,15352409.000000,0.001922,0.974970,0.000493,0.000005,0.000000,0.001687,0.030521,0.000324,0.001270,0.453420,0.364216,0.021703,0.203092,0.198382,0.098349,0.021030|0.373844|0.537298|0.067350|0.044675|0.000000,0.203757,0.502734,0.107398,0.129438,0.901823,1.000000,0.870562,51766.000000,390081.000000,0.079934,163.000000,492.000000,0.044490,0.874500,0.645300,0,1779.926636,0.000222,0.244746,106,0,0,12,0,32,0.277749,0.588368,0.408838,0.722252,669.197920,10688.208063,55341.380317,0.000000,0.000000,0.000000,41539969.033997
-4700,17170880.000000,0.002241,0.973106,0.000562,0.000005,0.000000,0.002406,0.031157,0.000338,0.001576,0.452773,0.359460,0.029499,0.232179,0.211076,0.095821,0.017787|0.370862|0.538627|0.064054|0.045287|0.000000,0.210802,0.503734,0.109635,0.131295,0.902194,1.000000,0.868705,54330.000000,429704.000000,0.083384,163.000000,492.000000,0.044455,0.870900,0.646000,0,2001.727051,0.000224,0.206369,114,0,0,0,0,37,0.278659,0.585610,0.407800,0.721341,601.623156,11003.317493,57596.890203,0.000000,0.000000,0.000000,49189156.829720
-4650,19157889.000000,0.002192,0.970029,0.000953,0.000005,0.000000,0.003188,0.031810,0.000395,0.001883,0.451121,0.360046,0.029180,0.299078,0.225230,0.094248,0.015321|0.368035|0.539335|0.062360|0.046547|0.000000,0.212367,0.507534,0.111991,0.133526,0.889103,1.000000,0.866474,51052.000000,433832.800000,0.090227,163.500000,489.600000,0.044400,0.865350,0.647300,0,2175.089355,0.000244,0.206604,116,0,0,5,0,28,0.280887,0.572702,0.406943,0.719113,633.275819,10381.160967,52658.178544,0.000000,0.000000,0.000000,61097881.629789
-4600,21076946.000000,0.001911,0.977087,0.000650,0.000004,0.000000,0.002999,0.032921,0.000440,0.002218,0.448554,0.361100,0.023337,0.246632,0.234891,0.091552,0.013459|0.361249|0.544461|0.061569|0.048093|0.000000,0.214315,0.510562,0.114151,0.135265,0.899760,1.000000,0.864735,46344.000000,503073.600000,0.094070,164.000000,487.200000,0.044299,0.863200,0.648860,0,2386.825195,0.000240,0.228797,149,0,0,6,0,33,0.282371,0.586431,0.405767,0.717629,812.527838,11604.797641,59078.829203,0.000000,0.000000,0.000000,70390931.498463
-4550,23039953.000000,0.001783,0.991485,0.000483,0.000005,0.000000,0.002684,0.033993,0.000463,0.002548,0.447543,0.361738,0.022937,0.129735,0.245113,0.092395,0.011899|0.360752|0.545880|0.061610|0.045895|0.000000,0.212055,0.515154,0.116521,0.137663,0.974078,1.000000,0.862337,46740.500000,583430.200000,0.095964,163.500000,484.800000,0.044178,0.864950,0.654190,0,2719.671387,0.000224,0.232275,150,0,0,5,0,42,0.286048,0.591350,0.406147,0.713952,1611.645552,12421.330939,62994.433878,0.000000,0.000000,0.000000,81470641.408615
-4500,25105822.000000,0.001719,0.993616,0.000522,0.000004,0.000000,0.002645,0.034744,0.000488,0.002898,0.446946,0.361979,0.032559,0.216975,0.253033,0.091103,0.010505|0.361799|0.545560|0.061655|0.043663|0.000000,0.216531,0.515493,0.117544,0.139926,0.988812,1.000000,0.860074,45099.000000,650501.000000,0.100517,163.500000,484.800000,0.043982,0.861050,0.650960,0,3146.299561,0.000231,0.249789,180,0,0,0,0,45,0.288046,0.590702,0.406391,0.711954,1460.875776,8242.905388,40865.576433,0.000000,0.000000,0.000000,92204764.199158
-4450,27082459.000000,0.001517,0.994966,0.000183,0.000005,0.000000,0.003378,0.036226,0.000510,0.003264,0.446102,0.359795,0.037222,0.097723,0.259211,0.091272,0.009391|0.362490|0.550138|0.062570|0.037859|0.000000,0.221499,0.519207,0.118790,0.141842,1.000000,1.000000,0.858158,51365.500000,732197.400000,0.106719,165.500000,484.800000,0.043743,0.862550,0.646270,0,3701.859131,0.000238,0.244492,177,0,0,0,0,60,0.292421,0.591294,0.405932,0.707579,1115.269335,13620.660772,69141.956981,0.000000,0.000000,0.000000,103731948.143183
-4400,29274968.000000,0.001558,0.985555,0.000546,0.000005,0.000000,0.000000,0.037447,0.000543,0.003611,0.444952,0.358320,0.042446,0.232241,0.264547,0.091047,0.008524|0.358701|0.556383|0.063851|0.037369|0.000000,0.220639,0.536285,0.120665,0.144061,0.946283,1.000000,0.855939,45716.000000,771292.400000,0.112325,167.000000,482.400000,0.043441,0.867600,0.665420,0,4327.972168,0.000235,0.249508,167,0,0,1,0,42,0.294250,0.569012,0.407485,0.705750,763.268478,8437.978209,41810.991856,0.000000,0.000000,0.000000,115610888.659627
-4350,31643726.000000,0.001557,0.975145,0.001145,0.000005,0.000000,0.003338,0.038112,0.000565,0.003952,0.448373,0.362671,0.047991,0.346275,0.267917,0.089587,0.007847|0.345377|0.568235|0.065857|0.036937|0.000000,0.215929,0.559333,0.123382,0.146305,0.903788,1.000000,0.853695,53904.000000,791364.800000,0.121806,168.000000,482.400000,0.043110,0.865000,0.653880,0,4974.748047,0.000244,0.249338,190,0,0,3,0,47,0.296830,0.559878,0.408038,0.703170,521.276534,8713.082459,42769.640702,0.000000,0.000000,0.000000,127225791.916679
