year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18672772.000000,0.000000,0.979927,0.001681,0.000010,0.000000,0.001751,0.029813,0.000003,0.000004,0.693057,0.610393,0.089296,0.111327,0.093350,0.084475,0.038615|0.310420|0.566374|0.046067|0.038556|0.000000,0.204397,0.282847,0.101359,0.120498,1.000000,1.000000,0.879502,211498.000000,305511.600000,0.043100,505.500000,1139.100000,0.021971,0.780050,0.570630,0,0.000000,0.000000,0.000000,4,0,0,0,0,3,0.246289,0.760082,0.484881,0.753711,151037.889316,100224.500322,609813.792334,0.000000,0.000000,0.000000,442759.328775
-4950,22754801.000000,0.003962,0.901714,0.002394,0.000006,0.000000,0.000000,0.025182,0.000158,0.000235,0.679407,0.414237,0.103425,0.657625,0.136936,0.114469,0.017159|0.329389|0.585337|0.046487|0.039896|0.000000,0.216152,0.402965,0.090273,0.120681,0.774186,0.941406,0.879319,154751.000000,515780.200000,0.049286,445.500000,1083.700000,0.022078,0.907250,0.589830,0,1502.260132,0.000136,0.440427,72,0,0,24,0,40,0.270802,0.552570,0.495262,0.729198,83.026451,7051.055462,34457.725896,0.000000,0.000000,0.000000,26447471.264015
-4900,25957776.000000,0.002637,0.912001,0.002169,0.000007,0.000000,0.000501,0.025806,0.000216,0.000519,0.477393,0.329423,0.061550,0.604740,0.156145,0.124803,0.013374|0.339071|0.583523|0.043034|0.039377|0.000000,0.239575,0.445924,0.095820,0.119823,0.762248,0.936667,0.880177,156134.500000,605419.100000,0.057961,410.500000,1076.000000,0.022229,0.803400,0.547480,0,4115.593262,0.000380,0.442521,124,0,0,14,0,39,0.257875,0.514001,0.428463,0.742125,208.372393,10283.782306,51774.955959,0.000000,0.000000,0.000000,51310414.599149
-4850,29410934.000000,0.002501,0.934055,0.001338,0.000007,0.000000,0.000000,0.027333,0.000247,0.000808,0.426498,0.326074,0.036100,0.420901,0.169737,0.129971,0.010973|0.345204|0.583741|0.040712|0.037842|0.000000,0.261480,0.467679,0.096391,0.125331,0.785884,0.971795,0.874669,146194.000000,697810.400000,0.061793,392.000000,1044.400000,0.022229,0.777600,0.600180,0,6317.438477,0.000442,0.387810,98,0,0,11,0,20,0.261543,0.508896,0.405773,0.738457,466.897647,9849.577408,46811.654302,0.000000,0.000000,0.000000,78040379.132846
-4800,32710019.000000,0.002129,0.960781,0.001052,0.000006,0.000000,0.000000,0.029025,0.000272,0.001075,0.451235,0.353756,0.030183,0.221111,0.184004,0.130532,0.009577|0.349312|0.590152|0.038057|0.036374|0.000000,0.276423,0.487285,0.104291,0.127916,0.846450,1.000000,0.872084,105598.500000,776836.000000,0.062802,312.000000,874.000000,0.022225,0.814100,0.645000,0,2137.637939,0.000278,0.731036,133,0,0,62,0,34,0.264997,0.531983,0.406095,0.735003,1080.362948,12389.592783,60050.992358,0.000000,0.000000,0.000000,116902901.651210
-4750,36426503.000000,0.002155,0.977133,0.000689,0.000007,0.000000,0.000000,0.031647,0.000315,0.001381,0.452335,0.355069,0.021468,0.164030,0.194001,0.129858,0.008103|0.352668|0.590743|0.036247|0.036100|0.000000,0.287688,0.498453,0.106500,0.129659,0.898719,1.000000,0.870341,92986.000000,783577.400000,0.065295,284.000000,831.000000,0.022205,0.828200,0.643980,0,3389.331543,0.000454,0.787676,139,0,0,27,0,31,0.270466,0.547860,0.404094,0.729534,1382.427566,13486.011317,66115.221789,0.000000,0.000000,0.000000,152236761.411543
-4700,40305764.000000,0.002026,0.970783,0.000946,0.000006,0.000000,0.001968,0.032683,0.000351,0.001709,0.438943,0.355650,0.030949,0.254049,0.202089,0.126657,0.006908|0.354970|0.593808|0.034842|0.033990|0.000000,0.291763,0.512458,0.108579,0.131958,0.885456,1.000000,0.868042,89829.000000,828287.600000,0.063311,282.000000,816.000000,0.022200,0.823700,0.626340,0,6190.607422,0.000504,1.074844,157,0,0,11,0,43,0.271539,0.537838,0.401432,0.728461,1222.113901,15894.684977,77534.818377,0.000000,0.000000,0.000000,177078748.365867
-4650,44252670.000000,0.001870,0.971932,0.001272,0.000005,0.000000,0.002213,0.033695,0.000413,0.002055,0.437211,0.357403,0.032285,0.387079,0.208268,0.122276,0.005906|0.345702|0.605025|0.034294|0.033472|0.000000,0.291852,0.528964,0.110329,0.133512,0.883217,1.000000,0.866488,79211.000000,844700.600000,0.070359,258.000000,801.000000,0.022179,0.829000,0.633580,0,8655.576172,0.000552,0.812605,155,0,0,5,0,32,0.273034,0.538393,0.400363,0.726966,1174.714859,11217.580156,54418.339978,0.000000,0.000000,0.000000,199918403.217670
-4600,49042316.000000,0.002057,0.981946,0.000395,0.000004,0.000000,0.000000,0.036402,0.000446,0.002420,0.439071,0.356709,0.016911,0.150926,0.213548,0.120198,0.005239|0.341044|0.611266|0.033356|0.032366|0.000000,0.298997,0.535807,0.112873,0.135533,0.925002,1.000000,0.864467,60195.000000,844464.000000,0.077660,241.000000,784.000000,0.022153,0.852000,0.646200,0,9322.713867,0.000556,0.898669,170,0,0,21,0,39,0.280398,0.560711,0.401475,0.719602,1689.236697,12976.301309,64419.943111,0.000000,0.000000,0.000000,229515363.774336
-4550,53723303.000000,0.001825,0.988711,0.000212,0.000004,0.000000,0.001436,0.038256,0.000492,0.002766,0.445782,0.359184,0.019714,0.138016,0.218546,0.117165,0.004598|0.331521|0.624855|0.033158|0.027971|0.000000,0.302684,0.546747,0.114732,0.137991,0.963875,1.000000,0.862009,49831.000000,940127.000000,0.076986,226.000000,708.000000,0.022125,0.849100,0.641400,0,8573.968750,0.000567,1.059174,200,0,0,23,0,38,0.282068,0.579714,0.404497,0.717932,3226.598921,15328.352580,79470.344043,0.000000,0.000000,0.000000,267958000.112286
