year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18678434.000000,0.000000,0.981310,0.001480,0.000010,0.000000,0.001412,0.030427,0.000004,0.000004,0.695341,0.610710,0.083790,0.108228,0.088576,0.078297,0.037989|0.324208|0.553213|0.046380|0.038217|0.000000,0.191087,0.257215,0.101433,0.121022,1.000000,1.000000,0.878978,223351.000000,307647.000000,0.042761,512.000000,1136.200000,0.022188,0.785800,0.571400,0,0.000000,0.000000,0.000000,4,0,0,0,0,2,0.247701,0.757476,0.485680,0.752299,151985.803396,100399.988682,613711.456586,0.000000,0.000000,0.000000,439815.882658
-4950,22944418.000000,0.004123,0.899026,0.002457,0.000006,0.000000,0.000000,0.025887,0.000161,0.000236,0.731288,0.410687,0.106192,0.685577,0.130813,0.109863,0.017074|0.343087|0.572349|0.045476|0.039147|0.000000,0.207235,0.386170,0.091618,0.122971,0.746083,0.942369,0.877028,190388.500000,535556.000000,0.040905,443.000000,1083.000000,0.022626,0.915550,0.592700,0,364.580780,0.000058,0.429765,75,0,0,35,0,41,0.275689,0.558588,0.507795,0.724311,88.389176,9093.848486,44837.343225,0.000000,0.000000,0.000000,25727188.636394
-4900,26353740.000000,0.002775,0.922159,0.001814,0.000007,0.000000,0.000869,0.026066,0.000217,0.000527,0.464998,0.333740,0.057777,0.497555,0.150135,0.121546,0.013252|0.350168|0.575694|0.041759|0.038040|0.000000,0.259689,0.414450,0.095912,0.120824,0.766663,0.963011,0.879176,165641.000000,644302.400000,0.062375,415.000000,1077.600000,0.022674,0.821400,0.565840,0,3234.838623,0.000287,0.268969,98,0,0,14,0,26,0.256634,0.526246,0.424307,0.743366,308.318021,17131.335274,85331.644298,0.000000,0.000000,0.000000,49969854.699117
-4850,29686036.000000,0.002384,0.925669,0.002053,0.000007,0.000000,0.000000,0.026659,0.000254,0.000817,0.424500,0.329862,0.046263,0.531512,0.162211,0.125590,0.010923|0.354509|0.577438|0.039867|0.036808|0.000000,0.299580,0.425130,0.097324,0.124335,0.770152,0.980184,0.875665,123336.000000,725506.400000,0.084269,381.000000,1041.600000,0.022674,0.781200,0.592740,0,3326.233887,0.000270,0.453894,104,0,0,17,0,25,0.259472,0.510502,0.402737,0.740528,509.811233,12997.533846,62787.389926,0.000000,0.000000,0.000000,77744918.217514
-4800,32439464.000000,0.001776,0.959276,0.001138,0.000007,0.000000,0.000000,0.028364,0.000277,0.001094,0.443456,0.348370,0.037911,0.315012,0.177994,0.129465,0.009719|0.360630|0.580662|0.038215|0.036394|0.000000,0.301658,0.461645,0.103785,0.124678,0.838851,1.000000,0.875322,86112.000000,789983.000000,0.101570,318.000000,897.000000,0.022674,0.807900,0.644300,0,3774.035400,0.000295,0.855428,137,0,0,51,0,41,0.261645,0.533965,0.405598,0.738355,1185.330082,13103.741018,61369.446061,0.000000,0.000000,0.000000,117898985.520544
-4750,36086106.000000,0.002133,0.975850,0.000915,0.000007,0.000000,0.000000,0.030301,0.000322,0.001410,0.446568,0.353771,0.027525,0.192687,0.187598,0.128117,0.008241|0.362380|0.580696|0.036342|0.036584|0.000000,0.305199,0.481243,0.106291,0.127538,0.893800,1.000000,0.872462,81388.500000,795696.800000,0.113703,280.000000,890.000000,0.022674,0.836050,0.639940,0,4456.755859,0.000475,0.762031,141,0,0,23,0,32,0.270326,0.545624,0.401091,0.729674,1240.129397,13061.541018,62394.560057,0.000000,0.000000,0.000000,143601634.510265
-4700,39702910.000000,0.001912,0.966571,0.001296,0.000006,0.000000,0.001481,0.030832,0.000346,0.001735,0.436859,0.356682,0.040971,0.315609,0.195967,0.125028,0.007019|0.363825|0.584566|0.034694|0.034432|0.000000,0.293458,0.508283,0.109527,0.128551,0.868262,1.000000,0.871449,81361.500000,779375.900000,0.134285,258.000000,884.100000,0.022666,0.815650,0.621530,0,4780.903809,0.000409,0.823253,158,0,0,15,0,39,0.269366,0.538410,0.400745,0.730634,1040.969581,12487.436697,60576.654603,0.000000,0.000000,0.000000,172049659.947591
-4650,43364730.000000,0.001766,0.971716,0.001268,0.000005,0.000000,0.001415,0.032222,0.000381,0.002027,0.436569,0.357591,0.039071,0.374854,0.202763,0.121546,0.006063|0.355225|0.595909|0.034024|0.033883|0.000000,0.289271,0.526400,0.111533,0.130598,0.880293,1.000000,0.869402,75913.500000,836874.900000,0.153986,256.000000,878.300000,0.022649,0.821800,0.622090,0,8541.952148,0.000514,0.643519,134,0,0,6,0,37,0.272777,0.539607,0.401359,0.727223,1067.982010,13020.104307,64520.362995,0.000000,0.000000,0.000000,211324181.045184
-4600,48098975.000000,0.002074,0.979332,0.000534,0.000004,0.000000,0.001536,0.035112,0.000397,0.002324,0.435966,0.361049,0.021928,0.192955,0.208380,0.119468,0.005206|0.350437|0.601893|0.032979|0.032872|0.000000,0.305522,0.523241,0.111932,0.132603,0.926447,1.000000,0.867398,68799.500000,813769.500000,0.169817,238.500000,782.700000,0.022644,0.810450,0.630900,0,10288.170898,0.000523,0.845133,167,0,0,20,0,44,0.275613,0.557445,0.400844,0.724387,2023.593631,16072.735270,80674.753803,0.000000,0.000000,0.000000,242576283.250833
-4550,52717105.000000,0.001835,0.992439,0.000162,0.000004,0.000000,0.001120,0.036844,0.000447,0.002635,0.439889,0.364280,0.017993,0.119210,0.213548,0.117109,0.004541|0.339637|0.616128|0.032524|0.028828|0.000000,0.295697,0.546022,0.114056,0.135261,0.972998,1.000000,0.864739,52760.000000,837135.600000,0.185877,224.000000,756.000000,0.022607,0.844700,0.643000,0,8281.558594,0.000490,0.874208,178,0,0,24,0,39,0.280541,0.579075,0.403271,0.719459,3299.758263,17451.489389,90996.586290,0.000000,0.000000,0.000000,280943288.805889
