year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8051014.000000,0.000000,0.999055,0.000038,0.000009,0.000000,0.001881,0.025758,0.000003,0.000004,0.723943,0.672660,0.035354,0.025475,0.062570,0.056336,0.072039|0.308187|0.505371|0.076034|0.038431|0.000000,0.198100,0.308157,0.115811,0.127593,1.000000,1.000000,0.872406,56902.000000,176606.800000,0.038454,162.500000,547.300000,0.046211,0.857700,0.728750,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.265367,0.758777,0.495691,0.734633,2113.301068,79261.716624,94572.265981,0.000000,0.000000,0.000000,98267.176426
-4950,10330751.000000,0.004999,0.962635,0.000969,0.000005,0.000000,0.008956,0.029024,0.000147,0.000214,0.831180,0.602201,0.033869,0.224417,0.104190,0.079420,0.039972|0.333543|0.532422|0.076561|0.039523|0.000000,0.189487,0.393529,0.108535,0.128980,0.839931,1.000000,0.871020,63859.000000,256131.800000,0.044507,165.000000,540.200000,0.044985,0.978000,0.742000,0,41.633549,0.000005,1.804605,53,0,0,5,0,28,0.292014,0.460659,0.537207,0.707986,837.833172,21275.322730,35260.690019,0.000000,0.000000,0.000000,6158868.233263
-4900,11761738.000000,0.002598,0.965638,0.000810,0.000005,0.000000,0.008732,0.028894,0.000282,0.000457,0.750062,0.394693,0.022339,0.204296,0.118962,0.084251,0.029887|0.344580|0.528754|0.071637|0.040344|0.000000,0.178800,0.442116,0.105891,0.131053,0.851733,1.000000,0.868947,69977.000000,300242.200000,0.061117,172.000000,533.100000,0.044173,0.967100,0.684820,0,23.159145,0.000003,0.793146,10,0,0,5,0,7,0.291429,0.452330,0.512329,0.708571,993.818300,42524.476946,58647.061263,0.000000,0.000000,0.000000,13751624.021409
-4850,13245782.000000,0.002379,0.974657,0.000724,0.000005,0.000000,0.001757,0.029958,0.000347,0.000725,0.616310,0.370949,0.016489,0.304139,0.130589,0.083689,0.023538|0.348217|0.527911|0.070821|0.041410|0.000000,0.179498,0.464250,0.110359,0.130356,0.893936,1.000000,0.869644,59332.500000,371118.700000,0.070118,177.000000,533.100000,0.043958,0.914500,0.681040,0,9.025092,0.000001,0.573340,30,0,0,0,0,8,0.281274,0.457889,0.468708,0.718726,969.805431,46239.731585,63905.634667,0.000000,0.000000,0.000000,21257838.092917
-4800,14721883.000000,0.002115,0.977256,0.000813,0.000004,0.000000,0.000000,0.030900,0.000357,0.001013,0.465592,0.375189,0.014732,0.253364,0.141092,0.075545,0.019403|0.351680|0.526015|0.071156|0.043161|0.000000,0.180693,0.482674,0.109949,0.129464,0.919991,1.000000,0.870536,41780.000000,397780.800000,0.069342,170.000000,487.200000,0.043892,0.913400,0.683160,0,38.227280,0.000004,0.273216,54,0,0,24,0,3,0.281128,0.454011,0.416006,0.718872,1146.485442,39683.953061,59640.878045,0.000000,0.000000,0.000000,29641726.065587
-4750,16264685.000000,0.001995,0.971082,0.001008,0.000004,0.000000,0.003749,0.031511,0.000405,0.001327,0.615067,0.376182,0.028639,0.370578,0.152438,0.070939,0.017074|0.352599|0.529276|0.068790|0.043806|0.000000,0.184308,0.496910,0.113770,0.131947,0.901350,1.000000,0.868053,37832.000000,421871.500000,0.071725,171.000000,487.000000,0.043788,0.897100,0.674500,0,698.548645,0.000056,0.223145,49,0,0,10,0,3,0.283557,0.416196,0.476300,0.716443,1022.926937,38163.068178,59109.970523,0.000000,0.000000,0.000000,39862604.019237
-4700,17879219.000000,0.001895,0.970173,0.000895,0.000004,0.000000,0.002934,0.032345,0.000437,0.001633,0.467633,0.375747,0.020864,0.312830,0.161144,0.065940,0.014851|0.350493|0.533663|0.065072|0.045653|0.000000,0.192750,0.504702,0.114009,0.134865,0.894293,1.000000,0.865135,37981.000000,474002.200000,0.073582,172.000000,486.800000,0.043659,0.895700,0.681300,0,5620.138184,0.000383,0.200752,64,0,0,5,0,9,0.287054,0.380306,0.417652,0.712946,1150.482475,40019.651876,63301.884755,0.000000,0.000000,0.000000,49948383.185108
-4650,19736920.000000,0.001979,0.969732,0.001276,0.000004,0.000000,0.003638,0.032751,0.000464,0.001982,0.466715,0.377519,0.019889,0.416217,0.169175,0.062402,0.013230|0.351561|0.534435|0.061658|0.047554|0.000000,0.195385,0.510217,0.116179,0.136599,0.911422,1.000000,0.863401,35202.000000,546273.000000,0.077928,172.000000,486.800000,0.043534,0.896700,0.683860,0,5424.869629,0.000328,0.215967,59,0,0,0,0,6,0.287605,0.363796,0.417560,0.712395,1107.959139,33201.771746,58046.249714,0.000000,0.000000,0.000000,59223295.261795
-4600,21522013.000000,0.001733,0.971858,0.000996,0.000003,0.000000,0.003593,0.033522,0.000532,0.002292,0.461892,0.373071,0.020129,0.342795,0.176253,0.059818,0.012170|0.342448|0.543883|0.059603|0.049452|0.000000,0.205868,0.511118,0.117382,0.138712,0.904031,1.000000,0.861288,37800.000000,528422.400000,0.087588,172.000000,486.800000,0.043402,0.891300,0.682420,0,5243.621582,0.000284,0.241452,59,0,0,0,0,19,0.291459,0.397045,0.415255,0.708541,1324.946865,38615.284230,66524.571023,0.000000,0.000000,0.000000,69066717.448281
-4550,23470230.000000,0.001735,0.971799,0.001190,0.000004,0.000000,0.003257,0.034351,0.000553,0.002634,0.458606,0.374183,0.023581,0.311768,0.182319,0.057684,0.011014|0.338404|0.551114|0.058549|0.047771|0.000000,0.205567,0.520260,0.119062,0.140965,0.908584,1.000000,0.859035,41130.000000,580436.600000,0.096358,174.000000,486.800000,0.042982,0.892600,0.685920,0,6214.087891,0.000293,0.272160,79,0,0,0,0,3,0.292400,0.406128,0.414205,0.707600,1444.562380,34505.041556,65061.033693,0.000000,0.000000,0.000000,79525300.641747
