year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18682913.000000,0.000000,0.986322,0.001292,0.000010,0.000000,0.002046,0.030450,0.000003,0.000004,0.693057,0.610393,0.077595,0.079416,0.093350,0.084419,0.038683|0.310374|0.566396|0.046042|0.038535|0.000000,0.204320,0.282694,0.101359,0.120498,1.000000,1.000000,0.879502,211492.500000,305392.800000,0.043195,505.500000,1139.100000,0.021971,0.780050,0.570630,0,0.000000,0.000000,0.000000,4,0,0,0,0,2,0.246289,0.744417,0.484881,0.753711,4266.903124,150329.979310,182519.410227,0.000000,0.000000,0.000000,442759.328775
-4950,23486953.000000,0.004587,0.952272,0.000891,0.000005,0.000000,0.000000,0.027998,0.000175,0.000245,0.772946,0.470185,0.042274,0.206658,0.130476,0.111211,0.016614|0.323534|0.586570|0.046700|0.039374|0.000000,0.210169,0.395168,0.095580,0.125911,0.825421,1.000000,0.874089,163328.000000,519774.500000,0.048288,427.000000,1064.000000,0.022228,0.933500,0.614420,0,1358.684692,0.000110,0.118306,46,0,0,33,0,25,0.280815,0.415037,0.520567,0.719185,1692.215814,2679.797304,33842.677850,0.000000,0.000000,0.000000,26746613.386827
-4900,26810813.000000,0.002651,0.967633,0.000786,0.000006,0.000000,0.000000,0.028188,0.000284,0.000539,0.628407,0.341261,0.021218,0.222039,0.143170,0.118120,0.011922|0.332399|0.585910|0.040330|0.039345|0.000000,0.230589,0.440709,0.098228,0.126041,0.848974,1.000000,0.873959,175163.500000,582414.300000,0.055590,405.000000,1052.600000,0.022228,0.897900,0.605140,0,851.365112,0.000150,0.579243,48,0,0,18,0,8,0.277081,0.335757,0.472816,0.722919,1878.169841,18436.156826,54422.865913,0.000000,0.000000,0.000000,53378132.381062
-4850,29921255.000000,0.002198,0.967425,0.000781,0.000005,0.000000,0.000000,0.030582,0.000372,0.000851,0.538454,0.335177,0.017492,0.216477,0.152325,0.119580,0.009008|0.345853|0.579803|0.036163|0.038741|0.000000,0.250079,0.464818,0.099136,0.131082,0.858348,1.000000,0.868918,167264.000000,715346.400000,0.059157,401.000000,1022.000000,0.022228,0.892400,0.599000,0,3245.201416,0.000301,0.409541,48,0,0,8,0,10,0.279895,0.319667,0.439553,0.720105,2155.092181,50607.257417,89938.485453,0.000000,0.000000,0.000000,78124446.806470
-4800,33247467.000000,0.002110,0.977824,0.000651,0.000004,0.000000,0.000000,0.032537,0.000340,0.001157,0.467960,0.355998,0.016763,0.257015,0.162492,0.116378,0.007375|0.355796|0.579265|0.033113|0.036224|0.000000,0.270068,0.479418,0.105872,0.133861,0.910972,1.000000,0.866139,88988.000000,850289.200000,0.063006,376.000000,916.600000,0.022224,0.865300,0.653300,0,5012.360840,0.000363,0.536115,75,0,0,48,0,11,0.271121,0.333325,0.415504,0.728879,2423.040416,44049.172812,88432.084349,0.000000,0.000000,0.000000,115302098.946188
-4750,36901569.000000,0.002088,0.972073,0.000945,0.000006,0.000000,0.000000,0.033714,0.000404,0.001516,0.517502,0.362025,0.016195,0.256434,0.169906,0.109919,0.006074|0.363641|0.573913|0.031278|0.036986|0.000000,0.283018,0.488144,0.108790,0.132837,0.879145,1.000000,0.867163,67892.000000,887928.000000,0.066761,326.000000,910.800000,0.022191,0.869300,0.670940,0,6341.032715,0.000445,0.544350,103,0,0,27,0,6,0.279376,0.428307,0.437373,0.720624,2625.974582,47864.153499,96809.004940,0.000000,0.000000,0.000000,142226118.001292
-4700,40340627.000000,0.001784,0.973983,0.001215,0.000005,0.000000,0.003061,0.034627,0.000475,0.001855,0.465563,0.366665,0.020126,0.371876,0.175803,0.103067,0.005368|0.366737|0.575416|0.029933|0.035207|0.000000,0.288788,0.499330,0.111410,0.137436,0.896553,1.000000,0.862564,63223.000000,919983.400000,0.079159,306.000000,908.200000,0.022186,0.860300,0.651780,0,8636.988281,0.000482,0.468098,74,0,0,13,0,17,0.283880,0.425459,0.416323,0.716120,2587.035493,47887.914463,100465.494962,0.000000,0.000000,0.000000,177500923.647790
-4650,43779409.000000,0.001637,0.973643,0.001379,0.000004,0.000000,0.000000,0.035236,0.000491,0.002188,0.456630,0.359932,0.021305,0.409095,0.181982,0.097338,0.004679|0.357732|0.587241|0.029270|0.034138|0.000000,0.293326,0.511194,0.113951,0.136877,0.905952,1.000000,0.863123,52001.000000,987877.000000,0.098398,289.000000,861.000000,0.022166,0.862300,0.663800,0,14561.375977,0.000572,0.510924,89,0,0,13,0,18,0.286795,0.426643,0.412459,0.713205,2628.720718,7861.184862,64088.643182,0.000000,0.000000,0.000000,203807971.442422
-4600,47897532.000000,0.001800,0.976606,0.000717,0.000004,0.000000,0.000000,0.037927,0.000516,0.002469,0.454963,0.360744,0.015224,0.316537,0.186363,0.092226,0.004295|0.354419|0.592749|0.028609|0.033045|0.000000,0.296782,0.524883,0.114700,0.138893,0.904290,1.000000,0.861107,53110.000000,891701.800000,0.114449,289.000000,829.400000,0.022125,0.861600,0.659860,0,20842.988281,0.000668,0.521343,89,0,0,15,0,14,0.285505,0.431203,0.409825,0.714495,2970.768083,8865.905196,72170.192241,0.000000,0.000000,0.000000,230606242.053142
-4550,51900826.000000,0.001607,0.973178,0.001272,0.000003,0.000000,0.000000,0.039123,0.000626,0.002845,0.447321,0.358420,0.023472,0.411416,0.191418,0.087565,0.003794|0.343754|0.608511|0.028490|0.028389|0.000000,0.304959,0.536714,0.115949,0.141067,0.899376,1.000000,0.858933,45012.000000,1032219.600000,0.124412,289.000000,770.600000,0.022114,0.864600,0.671240,0,27293.416016,0.000778,0.460563,114,0,0,9,0,16,0.291550,0.415766,0.409599,0.708450,3139.815422,9902.027144,77667.688603,0.000000,0.000000,0.000000,260056634.665595
