year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8012591.000000,0.000000,1.000000,0.000000,0.000010,0.000000,0.000820,0.025865,0.000003,0.000004,0.723286,0.669556,0.036348,0.000000,0.062458,0.056448,0.039575|0.294274|0.527174|0.101234|0.037825|0.000000,0.202306,0.196185,0.115098,0.127443,1.000000,1.000000,0.872557,49756.000000,200882.800000,0.038166,159.000000,666.400000,0.044481,0.856050,0.720960,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.264962,0.751430,0.495461,0.735038,1986.998694,69711.872447,84311.322780,0.000000,0.000000,0.000000,92335.687068
-4950,10082903.000000,0.004607,0.964427,0.001195,0.000005,0.000000,0.000000,0.028978,0.000140,0.000206,0.832340,0.514504,0.048371,0.250729,0.100427,0.078129,0.021339|0.325870|0.520725|0.111134|0.042809|0.000000,0.205057,0.291500,0.105816,0.129452,0.834105,1.000000,0.870548,56753.000000,220848.900000,0.050839,162.500000,609.000000,0.042673,0.987850,0.754270,0,171.716843,0.000027,3.706570,43,0,0,2,0,27,0.293737,0.464762,0.541087,0.706263,773.283548,20296.200941,33935.586632,0.000000,0.000000,0.000000,6148061.461985
-4900,11297766.000000,0.002278,0.966947,0.001043,0.000007,0.000000,0.009796,0.028209,0.000259,0.000461,0.774315,0.374181,0.027320,0.244849,0.114581,0.085486,0.016815|0.340763|0.507047|0.105417|0.045316|0.000000,0.197722,0.350189,0.105238,0.131536,0.849901,1.000000,0.868464,67388.500000,280623.900000,0.058447,168.000000,589.000000,0.042013,0.977850,0.648840,0,484.821991,0.000098,0.400326,30,0,0,8,0,12,0.294264,0.461590,0.524044,0.705736,817.408749,22936.767366,37684.924233,0.000000,0.000000,0.000000,13355359.138639
-4850,12439555.000000,0.001927,0.973418,0.001180,0.000005,0.000000,0.008651,0.028515,0.000386,0.000726,0.736676,0.362481,0.023964,0.269086,0.124579,0.085936,0.013126|0.352961|0.497764|0.100463|0.047947|0.000000,0.197723,0.381359,0.106175,0.134183,0.877666,1.000000,0.865817,68239.000000,328502.800000,0.067178,167.000000,579.000000,0.041926,0.968700,0.644580,0,936.906311,0.000164,0.251014,31,0,0,2,0,5,0.297421,0.454642,0.511235,0.702579,882.272451,23428.824491,39591.191078,0.000000,0.000000,0.000000,20735944.146995
-4800,13537555.000000,0.001693,0.978523,0.000789,0.000005,0.000002,0.000000,0.030392,0.000458,0.000963,0.683908,0.360877,0.030309,0.215013,0.132611,0.078353,0.010517|0.368128|0.487965|0.098530|0.050844|0.000000,0.214431,0.393077,0.107298,0.136493,0.905700,1.000000,0.863507,59331.000000,334423.400000,0.075383,162.500000,435.200000,0.041908,0.944600,0.671360,0,1977.101685,0.000310,0.285382,49,0,1,30,0,9,0.298216,0.458542,0.494926,0.701784,1093.550379,24032.308169,42399.518513,0.000000,0.000000,0.000000,29523863.002747
-4750,14969920.000000,0.002014,0.974264,0.001057,0.000004,0.000000,0.005401,0.031019,0.000476,0.001276,0.667584,0.382876,0.021358,0.299176,0.139463,0.073747,0.008416|0.376913|0.482429|0.096892|0.048696|0.000000,0.221633,0.404309,0.115304,0.137975,0.893611,1.000000,0.862025,52371.000000,369785.800000,0.081635,163.000000,434.400000,0.041798,0.924500,0.696380,0,343.105927,0.000124,0.267298,69,0,0,4,0,11,0.291008,0.455085,0.490617,0.708992,1064.699353,24146.998294,43905.054314,0.000000,0.000000,0.000000,37153317.452630
-4700,16250402.000000,0.001643,0.969511,0.001372,0.000004,0.000000,0.000000,0.031555,0.000528,0.001561,0.643787,0.382002,0.026071,0.338425,0.145248,0.067794,0.007007|0.381611|0.480725|0.098803|0.043673|0.000000,0.218698,0.422265,0.116005,0.139775,0.872801,1.000000,0.860225,46507.000000,428455.800000,0.088947,167.000000,433.600000,0.041662,0.923350,0.726200,0,580.728760,0.000102,0.242687,51,0,0,1,0,10,0.293032,0.432985,0.486986,0.706968,892.070050,16291.460409,36622.729960,0.000000,0.000000,0.000000,45062529.794452
-4650,17579641.000000,0.001574,0.973601,0.001475,0.000004,0.000000,0.004637,0.031977,0.000620,0.001859,0.624868,0.386372,0.024010,0.505465,0.150135,0.065042,0.006020|0.379495|0.481006|0.101798|0.042573|0.000000,0.223365,0.434922,0.121086,0.142766,0.902164,1.000000,0.857233,45141.000000,449781.300000,0.091344,167.000000,433.600000,0.041536,0.909950,0.721510,0,460.323181,0.000087,0.233445,91,0,0,7,0,12,0.293793,0.443627,0.476445,0.706207,880.408461,15239.369995,36878.957620,0.000000,0.000000,0.000000,52855545.876976
-4600,18939947.000000,0.001492,0.975276,0.001041,0.000004,0.000000,0.004033,0.032711,0.000700,0.002173,0.516291,0.385566,0.022455,0.378481,0.154909,0.063132,0.005336|0.373693|0.483379|0.106188|0.041516|0.000000,0.226814,0.447540,0.123177,0.145220,0.904493,1.000000,0.854780,46525.000000,486315.400000,0.090166,172.000000,432.800000,0.041356,0.906300,0.734640,0,549.254272,0.000081,0.296701,57,0,0,5,0,12,0.295705,0.458611,0.438591,0.704295,1020.514054,11039.879786,34910.335680,0.000000,0.000000,0.000000,61333326.048181
-4550,20374833.000000,0.001462,0.974530,0.001358,0.000004,0.000000,0.003664,0.032465,0.000744,0.002489,0.467732,0.387533,0.030354,0.462670,0.158616,0.061952,0.004833|0.364907|0.488065|0.110979|0.040582|0.000000,0.230892,0.458595,0.124715,0.143750,0.914843,1.000000,0.856250,49803.000000,515391.200000,0.086781,177.000000,432.800000,0.040987,0.908100,0.726700,0,647.188721,0.000068,0.378068,89,0,0,0,0,13,0.296627,0.456313,0.427991,0.703373,1078.476157,11471.491409,36789.769593,0.000000,0.000000,0.000000,69649571.563709
