year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,10276542.000000,0.000000,1.000000,0.000000,0.006420,0.000000,0.001166,0.026750,0.000003,0.000004,0.713403,0.670455,0.026838,0.000000,0.060885,0.054988,0.039563|0.365335|0.468754|0.075292|0.033242|0.017857,0.407419,0.322060,0.115304,0.125172,1.000000,1.000000,0.874828,77823.000000,242728.400000,0.062910,160.000000,564.800000,0.048488,0.831200,0.723200,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.258856,0.850425,0.679810,0.741144,84983.360811,96230.692582,557760.061053,0.000000,0.000000,0.000000,130614.592474
-4950,13187957.000000,0.002750,0.966459,0.000833,0.006559,0.000000,0.001334,0.022469,0.000160,0.000212,0.795277,0.459282,0.033541,0.000000,0.097282,0.076668,0.031105|0.380027|0.481327|0.079709|0.030359|0.017857,0.383535,0.394948,0.107688,0.128019,0.840230,1.000000,0.871981,95382.000000,314328.200000,0.049836,178.000000,564.800000,0.046154,0.967600,0.712760,0,0.000000,0.000000,0.000000,42,0,0.000221,0,0,15,0.288949,0.584212,0.716138,0.711051,784.575714,34217.631238,207369.165609,0.000000,0.000000,0.000000,7668896.467023
-4900,15183825.000000,0.002206,0.962458,0.001094,0.006486,0.000000,0.000000,0.022186,0.000253,0.000456,0.629468,0.366357,0.037542,0.721062,0.112840,0.084363,0.028373|0.379682|0.482362|0.078361|0.029375|0.017857,0.347148,0.446518,0.104469,0.127512,0.874034,1.000000,0.872488,103454.000000,337754.600000,0.066055,207.000000,486.000000,0.044570,0.917100,0.677500,0,846.496155,0.000083,0.358212,43,0,0.000285,24,0,15,0.280033,0.574067,0.651626,0.719967,764.214411,35108.055172,214425.875785,0.000000,0.000000,0.000000,23599003.185548
-4850,17120018.000000,0.002101,0.966993,0.000812,0.006345,0.000000,0.000000,0.022762,0.000312,0.000713,0.465489,0.358623,0.033007,0.720510,0.123175,0.084363,0.025919|0.383410|0.477716|0.078854|0.029018|0.017857,0.333926,0.470464,0.103730,0.128022,0.869273,1.000000,0.871978,95201.000000,405864.200000,0.073592,225.000000,486.000000,0.033459,0.915600,0.682740,0,895.260864,0.000073,0.297926,45,0,0.000283,6,0,7,0.282851,0.589660,0.585143,0.717149,892.386173,33463.735865,199666.643030,0.000000,0.000000,0.000000,34583248.512391
-4800,19134738.000000,0.002057,0.982034,0.000495,0.006420,0.000000,0.000000,0.023550,0.000317,0.000988,0.513385,0.390615,0.017966,0.718546,0.131712,0.078241,0.024160|0.387490|0.472757|0.079267|0.029104|0.017857,0.332429,0.472765,0.110054,0.129840,0.913105,1.000000,0.870160,79585.000000,349399.900000,0.086864,192.500000,416.900000,0.033194,0.915200,0.713760,0,1085.937012,0.000128,0.361488,76,0,0.000172,44,0,11,0.284438,0.593079,0.602769,0.715562,1089.735968,21856.221942,125306.102393,0.000000,0.000000,0.000000,47856568.459999
-4750,21428162.000000,0.002067,0.991256,0.000225,0.006576,0.000000,0.001697,0.024219,0.000363,0.001295,0.465147,0.392691,0.008744,0.715806,0.139126,0.070602,0.022850|0.388455|0.470760|0.079261|0.029198|0.017857,0.340968,0.469965,0.116071,0.132382,0.974645,1.000000,0.867618,90351.000000,408297.400000,0.092378,194.500000,416.900000,0.032849,0.905350,0.737060,0,1066.494751,0.000120,0.258643,61,0,0.000094,3,0,7,0.286111,0.606657,0.587042,0.713889,1128.006169,29163.762560,168425.390055,0.000000,0.000000,0.000000,60938600.282553
-4700,23776354.000000,0.002020,0.983812,0.000456,0.006603,0.000000,0.002936,0.025421,0.000399,0.001621,0.465358,0.392925,0.016188,0.713312,0.146035,0.066895,0.021905|0.386647|0.471690|0.079945|0.029353|0.017857,0.348942,0.476438,0.118082,0.134705,0.942252,1.000000,0.865295,98853.000000,457786.000000,0.092642,195.000000,416.200000,0.032319,0.884800,0.736100,0,1182.950562,0.000140,0.219373,81,1,0.000192,5,0,17,0.289002,0.598346,0.587483,0.710997,937.260861,18036.029733,93706.523465,0.000000,0.000000,0.000000,76281563.087612
-4650,26409247.000000,0.002026,0.980410,0.000599,0.006438,0.000000,0.002774,0.026373,0.000452,0.001942,0.463961,0.392965,0.019590,0.710123,0.152831,0.065154,0.021305|0.385460|0.471856|0.081355|0.028516|0.017857,0.348582,0.481272,0.120125,0.137685,0.897514,1.000000,0.862315,110819.000000,502817.200000,0.093800,195.000000,414.800000,0.031831,0.885600,0.737800,0,1024.816406,0.000184,0.194305,82,0,0.000259,8,0,13,0.292125,0.594154,0.588169,0.707874,1035.586795,26106.974326,147696.598872,0.000000,0.000000,0.000000,99877382.089431
-4600,29447377.000000,0.002045,0.992232,0.000338,0.006382,0.000000,0.000000,0.026886,0.000466,0.002277,0.464711,0.373358,0.007768,0.706793,0.158504,0.065322,0.020886|0.383304|0.472499|0.082410|0.028676|0.017857,0.347582,0.487053,0.119266,0.140811,0.961403,1.000000,0.859189,83051.000000,553110.700000,0.086913,189.000000,412.700000,0.031474,0.903650,0.743210,0,965.612122,0.000156,0.217801,74,0,0.000114,6,0,14,0.295739,0.604257,0.588537,0.704261,1406.448235,25490.258620,141452.643551,0.000000,0.000000,0.000000,117496811.372965
-4550,32432149.000000,0.001983,0.995345,0.000078,0.006577,0.000000,0.001424,0.025916,0.000503,0.002612,0.465630,0.395315,0.004655,0.705961,0.163671,0.067007,0.020560|0.378197|0.477065|0.084079|0.027349|0.017857,0.351521,0.492353,0.122194,0.141596,0.991162,1.000000,0.858404,96959.000000,643324.000000,0.086026,186.500000,410.600000,0.031053,0.891650,0.735630,0,1173.192261,0.000154,0.254144,117,0,0.000075,19,0,21,0.297783,0.600024,0.590071,0.702217,2133.879589,24529.079435,131483.586470,0.000000,0.000000,0.000000,137356460.615892
-4500,35405725.000000,0.001939,0.998116,0.000085,0.006694,0.000000,0.001128,0.027148,0.000540,0.002924,0.463925,0.397465,0.001884,0.703376,0.168221,0.068187,0.020325|0.370159|0.484011|0.085970|0.026399|0.017857,0.348862,0.508455,0.125106,0.144037,1.000000,1.000000,0.855963,103242.000000,731266.800000,0.112018,186.500000,425.300000,0.030666,0.880450,0.736730,0,1152.895386,0.000133,0.251216,135,0,0.000033,0,0,18,0.299468,0.604341,0.590526,0.700532,2192.103288,25670.103605,141093.492567,0.000000,0.000000,0.000000,157020193.979006
