year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13886062.000000,0.000000,1.000000,0.000000,0.006414,0.000000,0.001315,0.025445,0.000003,0.000004,0.714041,0.659050,0.026693,0.000000,0.068973,0.062402,0.022320|0.386990|0.478414|0.063392|0.031039|0.017857,0.349452,0.340247,0.112684,0.125318,1.000000,1.000000,0.874682,123435.000000,301224.500000,0.043847,265.000000,687.000000,0.035682,0.832800,0.694550,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.259249,0.847215,0.680077,0.740751,102073.771092,129593.721600,760718.385443,0.000000,0.000000,0.000000,230062.308521
-4950,18182453.000000,0.002851,0.962701,0.001289,0.006557,0.000000,0.000000,0.023189,0.000178,0.000229,0.809880,0.444841,0.037299,0.000000,0.100932,0.082790,0.020425|0.401032|0.477654|0.065745|0.029514|0.017857,0.309315,0.433280,0.101016,0.128693,0.872487,1.000000,0.871307,133803.000000,421178.400000,0.053099,257.000000,649.400000,0.035189,0.973100,0.731640,0,982.134338,0.000054,0.000000,38,0,0.000339,11,0,14,0.290799,0.577352,0.722432,0.709201,690.496332,31121.946399,192320.441213,0.000000,0.000000,0.000000,13343510.577728
-4900,21001335.000000,0.002222,0.966110,0.000881,0.006474,0.000000,0.000962,0.022873,0.000304,0.000503,0.635960,0.364838,0.033890,0.723879,0.113851,0.089306,0.019927|0.403282|0.475070|0.065091|0.028853|0.017857,0.281980,0.477254,0.103856,0.125573,0.892397,1.000000,0.874427,140537.000000,486544.000000,0.049134,258.000000,610.000000,0.034315,0.904600,0.642200,0,1697.577393,0.000116,0.374851,32,0,0.000356,9,0,5,0.276234,0.585788,0.654266,0.723766,865.902259,38985.201874,244030.290534,0.000000,0.000000,0.000000,29975412.204250
-4850,23732281.000000,0.002112,0.970863,0.000735,0.006339,0.000000,0.000000,0.023577,0.000389,0.000794,0.665847,0.349229,0.029137,0.716967,0.122669,0.090036,0.019477|0.401805|0.475506|0.064756|0.028517|0.017857,0.275908,0.496468,0.104591,0.131939,0.865433,1.000000,0.868061,129910.000000,523990.000000,0.063886,257.000000,608.000000,0.033839,0.913000,0.680800,0,1953.306519,0.000215,0.237694,52,0,0.000346,10,0,7,0.280104,0.590147,0.664983,0.719896,1012.104386,36616.323015,216210.370818,0.000000,0.000000,0.000000,49098880.889824
-4800,26529424.000000,0.002058,0.982792,0.000698,0.006398,0.000000,0.000000,0.024504,0.000373,0.001096,0.607308,0.380579,0.017208,0.714943,0.130476,0.085374,0.019192|0.403326|0.474344|0.064571|0.028361|0.017857,0.277249,0.505170,0.112726,0.133821,0.965846,1.000000,0.866179,120723.500000,571720.500000,0.075325,253.000000,538.500000,0.033059,0.908200,0.751950,0,2329.301270,0.000247,0.344842,58,0,0.000228,37,0,14,0.285917,0.593148,0.640076,0.714083,1309.033235,34622.995969,197423.854457,0.000000,0.000000,0.000000,79174106.218754
-4750,29426865.000000,0.002019,0.991478,0.000664,0.006581,0.000000,0.000986,0.025422,0.000459,0.001428,0.615519,0.394675,0.008522,0.709971,0.138564,0.079926,0.018941|0.399898|0.476959|0.064702|0.028340|0.017857,0.273004,0.519537,0.116925,0.138457,0.975303,1.000000,0.861544,109628.000000,618428.000000,0.082461,249.500000,515.400000,0.032716,0.913950,0.739050,0,4225.825684,0.000479,0.432249,73,0,0.000125,11,0,13,0.289333,0.604617,0.643590,0.710667,1288.170259,28027.339322,154984.515814,0.000000,0.000000,0.000000,101002101.419242
-4700,32311790.000000,0.001968,0.984544,0.001169,0.006605,0.000000,0.001287,0.026223,0.000511,0.001772,0.551959,0.395926,0.015456,0.706207,0.145810,0.076668,0.018759|0.396517|0.479154|0.065443|0.028491|0.017857,0.269448,0.530644,0.118999,0.141991,0.932682,1.000000,0.858009,115137.000000,708983.000000,0.087717,252.000000,509.600000,0.032269,0.906500,0.740560,0,4517.081543,0.000440,0.662100,92,1,0.000250,4,0,14,0.297455,0.596825,0.620213,0.702545,1165.785316,29218.735068,160791.908068,0.000000,0.000000,0.000000,123531308.965304
-4650,35770575.000000,0.002009,0.979371,0.001248,0.006431,0.000000,0.001596,0.026778,0.000676,0.002135,0.465455,0.394676,0.020629,0.703369,0.152662,0.074983,0.018618|0.395760|0.478328|0.066035|0.028700|0.017857,0.268855,0.537210,0.121419,0.144670,0.902796,1.000000,0.855330,126874.000000,759508.200000,0.089372,260.000000,509.600000,0.031675,0.907700,0.742300,0,4569.103516,0.000369,0.640246,81,0,0.000369,0,0,9,0.304727,0.608942,0.590805,0.695273,1445.915919,30688.868650,167040.602362,0.000000,0.000000,0.000000,147081151.948619
-4600,39242970.000000,0.001964,0.989857,0.000422,0.006395,0.000000,0.000000,0.027108,0.000584,0.002482,0.468230,0.396559,0.010143,0.700840,0.157268,0.076106,0.018532|0.386886|0.485294|0.067118|0.028941|0.017857,0.281284,0.534442,0.123593,0.147068,0.959525,1.000000,0.852932,109059.000000,925942.900000,0.083446,262.000000,495.600000,0.031232,0.917950,0.758750,0,4875.207031,0.000366,0.802436,91,1,0.000199,22,0,15,0.305371,0.607316,0.592699,0.694629,2130.272376,30392.994337,165694.912341,0.000000,0.000000,0.000000,173933298.634270
-4550,43200277.000000,0.001981,0.997406,0.000080,0.006550,0.000000,0.001029,0.027621,0.000600,0.002847,0.603726,0.401894,0.002594,0.698971,0.161537,0.077118,0.018434|0.383931|0.486984|0.067986|0.029159|0.017857,0.282494,0.539052,0.124651,0.148845,1.000000,1.000000,0.851155,91771.000000,997813.000000,0.084629,262.000000,487.600000,0.030784,0.914100,0.753400,0,4990.549805,0.000333,0.707084,99,0,0.000056,14,0,17,0.301436,0.629053,0.643337,0.698564,3684.561925,36185.810679,204151.782917,0.000000,0.000000,0.000000,205859738.680611
