year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18902679.000000,0.000000,0.996880,0.000113,0.000010,0.000000,0.001488,0.026433,0.000004,0.000004,0.704882,0.628462,0.040113,0.035128,0.096102,0.087340,0.051485|0.338351|0.508072|0.080007|0.022093|0.000000,0.188627,0.329676,0.105592,0.123214,1.000000,1.000000,0.876786,189397.000000,304627.200000,0.040525,420.000000,1098.600000,0.022477,0.809800,0.616960,0,0.000000,0.000000,0.000000,2,0,0,0,0,0,0.253597,0.756765,0.489021,0.746403,4748.036222,234604.206541,270391.758612,0.000000,0.000000,0.000000,326954.721164
-4950,25011827.000000,0.005617,0.975218,0.000572,0.000005,0.000000,0.000000,0.028458,0.000198,0.000247,0.803154,0.445524,0.029899,0.147319,0.136149,0.117052,0.021761|0.360171|0.520652|0.086843|0.023757|0.000000,0.198411,0.422289,0.095420,0.128011,0.864505,1.000000,0.871989,185673.000000,531160.600000,0.040282,410.000000,1079.800000,0.022413,0.968100,0.664740,0,170.979279,0.000013,0.223164,24,0,0,12,0,17,0.289749,0.466218,0.530873,0.710252,2007.699190,19782.886573,54203.555405,0.000000,0.000000,0.000000,19815118.981962
-4900,28796899.000000,0.002822,0.973947,0.000674,0.000005,0.000000,0.006501,0.028196,0.000319,0.000538,0.626928,0.360916,0.025068,0.174647,0.149517,0.123175,0.015970|0.365443|0.513684|0.089961|0.024450|0.000000,0.208482,0.467714,0.100031,0.127593,0.874127,1.000000,0.872407,193705.000000,569317.200000,0.046541,386.000000,1020.200000,0.022413,0.886750,0.599550,0,3619.708984,0.000346,0.295232,13,0,0,25,0,3,0.280586,0.452413,0.473777,0.719414,2197.992805,42927.597335,81433.612069,0.000000,0.000000,0.000000,41568202.097582
-4850,32415144.000000,0.002370,0.974955,0.000826,0.000006,0.000000,0.005068,0.029585,0.000395,0.000850,0.509452,0.343994,0.017937,0.269335,0.157268,0.123849,0.012310|0.372218|0.504496|0.092345|0.025280|0.000000,0.219104,0.490655,0.100048,0.131571,0.903353,1.000000,0.868429,138995.000000,734677.000000,0.052550,386.000000,1015.800000,0.022413,0.887200,0.587020,0,4263.771973,0.000450,0.288803,40,0,0,5,0,0,0.278979,0.447501,0.430045,0.721021,2336.064262,67688.671474,110838.597768,0.000000,0.000000,0.000000,62638364.964846
-4800,35773826.000000,0.001974,0.964637,0.001441,0.000004,0.000000,0.000000,0.030977,0.000414,0.001170,0.464681,0.340544,0.033191,0.378534,0.166199,0.117109,0.010251|0.379595|0.500172|0.091104|0.026190|0.000000,0.234413,0.501561,0.102112,0.129780,0.882144,1.000000,0.870220,98089.000000,712681.800000,0.060602,316.000000,929.000000,0.022413,0.881700,0.622060,0,4096.541992,0.000415,0.324658,58,0,0,41,0,5,0.278247,0.367692,0.435327,0.721753,2146.123776,71965.370990,117815.355204,0.000000,0.000000,0.000000,84125436.442285
-4750,38858671.000000,0.001656,0.971801,0.001258,0.000005,0.000000,0.000000,0.032594,0.000443,0.001507,0.466369,0.351086,0.027365,0.330285,0.174399,0.109919,0.008942|0.380566|0.501878|0.087859|0.027497|0.000000,0.248755,0.512300,0.104816,0.132193,0.891811,1.000000,0.867807,82692.000000,798011.200000,0.061999,293.000000,909.000000,0.022458,0.887100,0.632320,0,4775.022461,0.000447,0.509757,78,0,0,28,0,11,0.281670,0.429684,0.414571,0.718330,2544.210780,75871.791703,127546.180392,0.000000,0.000000,0.000000,119402522.106872
-4700,42389142.000000,0.001741,0.973809,0.000886,0.000004,0.000000,0.003535,0.034286,0.000482,0.001860,0.465491,0.352363,0.027449,0.208344,0.180521,0.104190,0.007815|0.380451|0.507912|0.083997|0.025316|0.000000,0.257560,0.522965,0.109886,0.134570,0.884217,1.000000,0.865430,76853.000000,930214.000000,0.068353,293.000000,902.000000,0.022458,0.872700,0.624160,0,7409.084473,0.000606,0.444682,75,0,0,11,0,8,0.283755,0.439654,0.413245,0.716244,3133.632893,70780.526539,128343.103607,0.000000,0.000000,0.000000,134881421.620182
-4650,46715443.000000,0.001946,0.976491,0.000959,0.000005,0.000000,0.003387,0.035468,0.000526,0.002229,0.461630,0.354538,0.021878,0.281013,0.185408,0.096832,0.006772|0.378211|0.512078|0.082235|0.025543|0.000000,0.258460,0.532854,0.112630,0.137068,0.917100,1.000000,0.862932,55964.500000,1075576.300000,0.073417,287.500000,891.500000,0.022422,0.884950,0.639820,0,8275.581055,0.000673,0.491586,78,0,0,10,0,4,0.288139,0.445570,0.412792,0.711861,3425.148000,72830.829834,136187.637571,0.000000,0.000000,0.000000,156430060.239820
-4600,51040554.000000,0.001772,0.974708,0.001020,0.000004,0.000000,0.003343,0.035901,0.000575,0.002576,0.457455,0.359713,0.020687,0.322005,0.189676,0.090598,0.006027|0.375873|0.518299|0.080057|0.023874|0.000000,0.251097,0.550661,0.115339,0.139201,0.902354,1.000000,0.860799,54296.000000,1245297.500000,0.076952,287.000000,885.500000,0.022376,0.882350,0.657090,0,11112.194336,0.000824,0.419939,95,0,0,9,0,11,0.292046,0.439727,0.413425,0.707954,3394.923708,76460.307277,144652.118510,0.000000,0.000000,0.000000,173619546.418034
-4550,55877203.000000,0.001812,0.975690,0.000946,0.000004,0.000000,0.002335,0.037254,0.000629,0.002907,0.462116,0.361583,0.025672,0.276091,0.193215,0.084981,0.005392|0.370810|0.525907|0.079320|0.022166|0.000000,0.251967,0.557025,0.116489,0.141655,0.917477,1.000000,0.858345,43326.000000,1338173.000000,0.081848,277.500000,875.500000,0.022317,0.892950,0.660600,0,9586.396484,0.000851,0.503851,105,0,0,22,0,13,0.295345,0.441698,0.415627,0.704655,3782.995031,73061.539251,148463.529033,0.000000,0.000000,0.000000,196281354.202146
