year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8982483.000000,0.000000,0.991947,0.000794,0.006398,0.000000,0.001084,0.024840,0.000089,0.000114,0.718833,0.676665,0.051695,0.028401,0.055886,0.051730,0.040200|0.406110|0.418067|0.083887|0.033944|0.017857,0.434283,0.337325,0.116731,0.126420,1.000000,1.000000,0.873580,66209.000000,213841.200000,0.036386,139.000000,512.000000,0.046611,0.844800,0.738820,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,1,0.262200,0.852373,0.759109,0.737800,73962.037989,94215.844777,550269.163486,0.000000,0.000000,0.000000,89047.032487
-4950,11640519.000000,0.002799,0.970297,0.001005,0.006526,0.000000,0.000000,0.023238,0.004879,0.006794,0.817175,0.527691,0.029703,0.028312,0.088744,0.070602,0.031532|0.409364|0.438112|0.087218|0.032777|0.017857,0.376814,0.433994,0.113813,0.128519,0.907971,1.000000,0.871481,79268.500000,269798.000000,0.045338,169.500000,511.500000,0.040163,0.979650,0.805900,0,0.000000,0.000000,0.000000,37,0,0.000173,1,0,13,0.291663,0.583822,0.803957,0.708337,747.904527,39982.720007,244479.103907,0.000000,0.000000,0.000000,4861005.691408
-4900,13368005.000000,0.002193,0.974551,0.000771,0.006431,0.000000,0.001796,0.023142,0.009198,0.015021,0.726055,0.414811,0.025449,0.028219,0.103179,0.075489,0.028775|0.409390|0.438233|0.087066|0.031962|0.017857,0.341491,0.482156,0.113079,0.130694,0.877123,1.000000,0.869306,95561.000000,333435.400000,0.051901,200.000000,511.000000,0.037901,0.954800,0.742000,0,126.331558,0.000028,0.330919,44,0,0.000170,10,0,10,0.291893,0.598055,0.770422,0.708107,894.484886,33835.789910,206530.916797,0.000000,0.000000,0.000000,10606390.914948
-4850,15150005.000000,0.002126,0.973672,0.000729,0.006265,0.000000,0.000000,0.023397,0.012101,0.023661,0.638591,0.392379,0.026328,0.720779,0.116491,0.076275,0.026762|0.409526|0.437786|0.086531|0.031461|0.017857,0.332164,0.502789,0.111392,0.128765,0.905026,1.000000,0.871235,89474.000000,415798.700000,0.067644,207.000000,510.500000,0.036916,0.916900,0.745570,0,142.660568,0.000018,0.258141,36,0,0.000199,1,0,11,0.287032,0.608602,0.730841,0.712968,962.204043,44275.038554,270059.016039,0.000000,0.000000,0.000000,17050952.772388
-4800,16977183.000000,0.002070,0.985012,0.000330,0.006339,0.000000,0.000000,0.024004,0.013666,0.033022,0.542469,0.397432,0.014988,0.716287,0.125871,0.069535,0.025439|0.410215|0.440283|0.084915|0.031028|0.017857,0.327698,0.521625,0.114198,0.132919,0.950249,1.000000,0.867081,79385.000000,445960.500000,0.085564,212.500000,485.200000,0.027808,0.916900,0.756480,0,135.860916,0.000013,0.239311,57,0,0.000127,9,0,14,0.286299,0.613355,0.684856,0.713701,1196.364337,40105.824614,234721.331310,0.000000,0.000000,0.000000,25865387.740773
-4750,18980207.000000,0.002058,0.989975,0.000348,0.006500,0.000000,0.001639,0.024540,0.014872,0.044100,0.482230,0.401371,0.010025,0.710293,0.133004,0.063806,0.024116|0.410403|0.440489|0.084422|0.030642|0.017857,0.324320,0.528723,0.117230,0.138498,0.970374,1.000000,0.861502,90418.000000,475990.000000,0.093301,214.000000,485.200000,0.027510,0.913550,0.745880,0,851.679993,0.000053,0.205176,53,0,0.000095,4,0,10,0.295820,0.620884,0.670033,0.704180,1416.443022,35696.159914,206707.825753,0.000000,0.000000,0.000000,35011223.053877
-4700,21180347.000000,0.002049,0.987161,0.000413,0.006508,0.000000,0.001984,0.024793,0.016816,0.054919,0.465288,0.398494,0.012839,0.708287,0.139575,0.060099,0.023022|0.411252|0.438392|0.085813|0.030427|0.017857,0.320808,0.532198,0.119374,0.140380,0.951988,1.000000,0.859619,101319.500000,543185.000000,0.104598,217.000000,485.200000,0.027105,0.916600,0.740460,0,959.711304,0.000071,0.223749,63,0,0.000136,0,0,13,0.294972,0.610501,0.659773,0.705028,1140.322473,32272.880117,182128.798887,0.000000,0.000000,0.000000,45636723.944710
-4650,23677700.000000,0.002058,0.987486,0.000427,0.006340,0.000000,0.002141,0.025195,0.018129,0.065056,0.465255,0.398848,0.012514,0.841236,0.144293,0.059032,0.022121|0.410858|0.438628|0.086112|0.030281|0.017857,0.314796,0.540014,0.121687,0.139504,0.956012,1.000000,0.860496,101151.000000,605660.000000,0.119377,220.000000,505.000000,0.026584,0.914400,0.751600,0,2572.386475,0.000160,0.239309,65,1,0.000148,3,0,7,0.292573,0.620298,0.661739,0.707427,1122.079557,35250.119818,202288.007498,0.000000,0.000000,0.000000,57826858.022900
-4600,26526426.000000,0.002069,0.992370,0.000236,0.006284,0.000000,0.001826,0.025507,0.020916,0.076406,0.465982,0.401188,0.007630,0.838941,0.148506,0.059369,0.021502|0.411174|0.437393|0.086599|0.030251|0.017857,0.318047,0.542247,0.125494,0.141323,0.978038,1.000000,0.858677,92559.000000,690171.000000,0.137059,220.000000,505.000000,0.026056,0.915400,0.754300,0,3531.729004,0.000184,0.272447,65,0,0.000101,0,0,6,0.295878,0.630195,0.661678,0.704122,1660.651436,35940.608917,201230.080212,0.000000,0.000000,0.000000,71568523.353079
-4550,29558770.000000,0.002042,0.998049,0.000131,0.006447,0.000000,0.001541,0.026072,0.022113,0.087594,0.468096,0.403703,0.001951,0.836250,0.151595,0.058807,0.020993|0.408544|0.438148|0.088258|0.030241|0.017857,0.325624,0.537326,0.126368,0.143461,1.000000,1.000000,0.856538,87298.500000,698936.300000,0.156380,215.500000,508.600000,0.025475,0.917150,0.761040,0,3666.924072,0.000183,0.266718,76,0,0.000029,5,0,7,0.298857,0.655735,0.663881,0.701143,2490.921811,32300.227256,179385.761845,0.000000,0.000000,0.000000,87170182.464199
