year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,19676527.000000,0.000000,1.000000,0.000000,0.006402,0.000000,0.002160,0.025337,0.000120,0.000129,0.706149,0.643203,0.027721,0.000000,0.086834,0.078971,0.027538|0.349151|0.486386|0.094696|0.024397|0.017857,0.318601,0.390319,0.109043,0.123505,1.000000,1.000000,0.876495,222588.000000,305209.000000,0.031649,403.000000,1114.000000,0.025738,0.812900,0.654700,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.254362,0.832695,0.753486,0.745637,139072.994359,165155.803101,974611.407569,0.000000,0.000000,0.000000,387708.163185
-4950,25503245.000000,0.002800,0.953388,0.001396,0.006539,0.000000,0.000000,0.023438,0.006173,0.007680,0.793243,0.439849,0.046612,0.000000,0.124466,0.103067,0.022830|0.350853|0.494354|0.099440|0.024578|0.017857,0.262275,0.507958,0.099762,0.127421,0.829048,0.995352,0.872579,234315.000000,485267.200000,0.037922,402.000000,1040.000000,0.025589,0.965100,0.708800,0,95.145638,0.000009,1.759367,47,0,0.000594,6,0,19,0.288131,0.573371,0.794854,0.711869,830.537385,32437.285634,189677.196190,0.000000,0.000000,0.000000,20483880.916033
-4900,29067434.000000,0.002155,0.945519,0.001668,0.006476,0.000000,0.000618,0.022876,0.009260,0.016841,0.614525,0.351233,0.054481,0.740729,0.142271,0.109414,0.021661|0.348616|0.495166|0.100190|0.023280|0.017857,0.247686,0.548072,0.099973,0.125470,0.871529,0.974451,0.874530,194218.000000,581756.000000,0.059971,363.000000,811.000000,0.025465,0.877700,0.615100,0,1376.850952,0.000098,0.416765,66,0,0.000792,11,0,17,0.272101,0.546269,0.722577,0.727899,560.311082,28904.083481,164081.882177,0.000000,0.000000,0.000000,49991126.138757
-4850,32749422.000000,0.002097,0.960845,0.001005,0.006315,0.000000,0.000000,0.023737,0.010900,0.026946,0.461283,0.344573,0.039155,0.740449,0.158560,0.113795,0.020714|0.348354|0.495401|0.100792|0.022774|0.017857,0.250640,0.564834,0.101528,0.125722,0.868820,1.000000,0.874278,185771.500000,722244.600000,0.073815,356.500000,801.100000,0.025329,0.842550,0.627990,0,1860.910278,0.000098,0.347141,50,0,0.000641,9,0,6,0.269911,0.556166,0.654555,0.730089,976.850422,25500.316364,133865.238507,0.000000,0.000000,0.000000,75272042.050581
-4800,36530770.000000,0.002047,0.981868,0.000451,0.006391,0.000000,0.000000,0.024055,0.010472,0.036814,0.512340,0.362420,0.018132,0.734233,0.169849,0.109245,0.020219|0.347113|0.496517|0.101922|0.022232|0.017857,0.263990,0.566215,0.110965,0.131319,0.923933,1.000000,0.868681,118335.500000,714623.400000,0.082947,308.500000,724.900000,0.025237,0.853450,0.691250,0,2389.638672,0.000142,0.796300,82,0,0.000331,64,0,21,0.275230,0.561000,0.680671,0.724770,1368.115383,22570.323967,105741.344779,0.000000,0.000000,0.000000,114697036.848794
-4750,40817675.000000,0.002055,0.983968,0.000498,0.006566,0.000000,0.000000,0.024824,0.012333,0.046695,0.507713,0.378775,0.016032,0.729996,0.179566,0.103460,0.019866|0.348423|0.493941|0.102923|0.022060|0.017857,0.276079,0.562844,0.114065,0.135165,0.929106,1.000000,0.864834,103340.500000,798123.600000,0.089157,284.000000,670.700000,0.025139,0.866500,0.722740,0,2974.938477,0.000245,0.714967,93,0,0.000327,29,0,21,0.287034,0.566144,0.673274,0.712966,1665.455349,29394.749122,147285.102827,0.000000,0.000000,0.000000,159224166.673772
-4700,45158877.000000,0.002006,0.984415,0.000356,0.006585,0.000000,0.000000,0.025564,0.013903,0.057518,0.471253,0.383402,0.015585,0.723343,0.187093,0.096327,0.019583|0.347615|0.492684|0.104921|0.021919|0.017857,0.284525,0.558490,0.116744,0.141242,0.938081,1.000000,0.858758,86788.000000,867504.300000,0.095130,274.500000,662.100000,0.025003,0.868450,0.722090,0,3212.098389,0.000227,0.695045,114,0,0.000352,7,0,28,0.290399,0.566780,0.664313,0.709601,1823.586290,27596.709610,133082.561534,0.000000,0.000000,0.000000,192442586.197447
-4650,50031359.000000,0.002013,0.981453,0.000984,0.006402,0.000000,0.001072,0.026556,0.015602,0.068433,0.460753,0.388174,0.018547,0.720159,0.193327,0.093350,0.019371|0.344353|0.494382|0.107061|0.021618|0.017857,0.290007,0.555068,0.119875,0.144176,0.910950,1.000000,0.855824,87411.000000,945766.000000,0.099164,265.500000,653.500000,0.024889,0.870800,0.723000,0,3559.573486,0.000223,0.703059,102,0,0.000464,12,0,15,0.290177,0.587346,0.661388,0.709823,1678.631236,28884.578455,141368.905105,0.000000,0.000000,0.000000,232028121.189971
-4600,55270242.000000,0.001998,0.981378,0.000440,0.006376,0.000000,0.000000,0.027560,0.017509,0.078263,0.455469,0.383969,0.018622,0.719127,0.198944,0.092900,0.019244|0.339515|0.496454|0.109482|0.021364|0.017857,0.292085,0.555127,0.120685,0.145132,0.922948,1.000000,0.854868,83260.000000,1030767.400000,0.103689,241.000000,626.400000,0.024714,0.879200,0.745700,0,3218.034668,0.000239,0.634270,125,0,0.000515,31,0,28,0.294367,0.591754,0.661966,0.705634,2987.659623,33700.504780,165714.190539,0.000000,0.000000,0.000000,275254505.372625
-4550,60319526.000000,0.001937,0.992320,0.000282,0.006550,0.000000,0.001177,0.028513,0.018032,0.089033,0.464841,0.400278,0.007680,0.718874,0.204055,0.094417,0.019115|0.332086|0.500976|0.112911|0.021026|0.017857,0.295260,0.553229,0.122672,0.145366,1.000000,1.000000,0.854634,77913.000000,1110065.600000,0.110035,230.000000,607.200000,0.024528,0.874000,0.746000,0,3359.576172,0.000296,0.737640,145,1,0.000232,38,0,33,0.296650,0.603106,0.663355,0.703350,4660.344201,34361.712754,174017.662516,0.000000,0.000000,0.000000,320046497.259743
