year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8982856.000000,0.000000,0.991910,0.000783,0.006398,0.000000,0.001160,0.024905,0.000087,0.000112,0.717966,0.676155,0.051094,0.029319,0.057965,0.052966,0.040191|0.401834|0.422661|0.083559|0.033944|0.017857,0.432376,0.339984,0.116614,0.126220,1.000000,1.000000,0.873780,64356.000000,207166.800000,0.035515,148.000000,511.800000,0.045286,0.842700,0.737540,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,1,0.261680,0.852614,0.758725,0.738320,74566.559142,97764.088353,568553.720706,0.000000,0.000000,0.000000,88600.918956
-4950,11560625.000000,0.002765,0.971340,0.000908,0.006526,0.000000,0.000000,0.023184,0.004915,0.006724,0.806936,0.508028,0.028660,0.029215,0.092900,0.073298,0.030297|0.407232|0.443225|0.087963|0.032705|0.017857,0.384785,0.435137,0.109638,0.128581,0.915128,1.000000,0.871419,82462.000000,248220.400000,0.045540,161.500000,506.900000,0.039934,0.980000,0.796600,0,0.000000,0.000000,0.000000,37,0,0.000166,1,0,13,0.291843,0.582870,0.799276,0.708157,828.987516,35031.056880,215583.736597,0.000000,0.000000,0.000000,4649580.917556
-4900,13287273.000000,0.002197,0.972329,0.000789,0.006437,0.000000,0.001851,0.023125,0.008630,0.015056,0.705290,0.407162,0.027671,0.029166,0.107167,0.079589,0.027714|0.405616|0.445192|0.086729|0.031912|0.017857,0.362286,0.478107,0.110756,0.129687,0.850907,1.000000,0.870313,87599.000000,290837.800000,0.048407,189.000000,506.300000,0.037299,0.920500,0.744620,0,1983.299683,0.000160,0.709840,45,0,0.000184,12,0,11,0.290192,0.596679,0.761726,0.709808,810.286727,41451.986977,251687.416525,0.000000,0.000000,0.000000,10022725.374307
-4850,14998205.000000,0.002106,0.968484,0.000843,0.006284,0.000000,0.000000,0.023436,0.010857,0.023787,0.573588,0.383367,0.031516,0.724537,0.122950,0.079083,0.025906|0.406302|0.443103|0.086953|0.031428|0.017857,0.369012,0.486149,0.109296,0.127815,0.845935,1.000000,0.872185,84031.000000,351769.400000,0.064925,212.000000,506.600000,0.036453,0.915800,0.722720,0,2150.678711,0.000148,0.540338,43,0,0.000236,1,0,14,0.282638,0.609542,0.705176,0.717362,1100.009812,39147.768249,238051.506504,0.000000,0.000000,0.000000,15830895.479501
-4800,16818051.000000,0.002073,0.980270,0.000623,0.006356,0.000000,0.000000,0.024095,0.011610,0.033113,0.465542,0.384468,0.019730,0.721816,0.133734,0.073186,0.024697|0.406781|0.444329|0.086175|0.030969|0.017857,0.373732,0.493592,0.110568,0.130319,0.906000,1.000000,0.869681,68657.500000,392412.800000,0.080659,204.000000,459.200000,0.027597,0.917450,0.754310,0,2519.348633,0.000172,0.516270,60,0,0.000166,20,0,20,0.284672,0.614307,0.658953,0.715328,1161.159059,44494.172968,261016.754084,0.000000,0.000000,0.000000,24012557.720575
-4750,18830713.000000,0.002066,0.988916,0.000272,0.006521,0.000000,0.001251,0.024773,0.013285,0.042788,0.467906,0.398461,0.011084,0.718591,0.141878,0.067007,0.023430|0.406496|0.445987|0.084413|0.030591|0.017857,0.364038,0.504622,0.117681,0.133297,0.955696,1.000000,0.866703,68652.000000,432111.000000,0.104321,204.000000,458.600000,0.027233,0.913500,0.739840,0,2884.215088,0.000202,0.222848,65,1,0.000104,14,0,17,0.288134,0.621864,0.661561,0.711866,1404.778657,38591.345595,224799.530963,0.000000,0.000000,0.000000,32124068.906436
-4700,21069142.000000,0.002062,0.989096,0.000349,0.006524,0.000000,0.001993,0.025204,0.014454,0.053087,0.467141,0.398676,0.010904,0.715828,0.148169,0.062402,0.022449|0.403850|0.448216|0.084634|0.030346|0.017857,0.362094,0.507543,0.119788,0.135861,0.960659,1.000000,0.864139,69078.000000,501011.400000,0.114091,204.000000,458.600000,0.026751,0.914300,0.742420,0,3300.505371,0.000195,0.218003,70,0,0.000115,0,0,13,0.290085,0.612939,0.661517,0.709915,1199.175052,29414.846501,161077.460144,0.000000,0.000000,0.000000,41739448.509647
-4650,23590271.000000,0.002066,0.985588,0.000521,0.006353,0.000000,0.001829,0.025628,0.016480,0.064224,0.468844,0.399769,0.014412,0.712322,0.153112,0.060267,0.021661|0.401626|0.449777|0.085020|0.030189|0.017857,0.371562,0.497813,0.122796,0.139126,0.947746,1.000000,0.860874,79903.500000,592086.600000,0.122594,210.000000,467.300000,0.026187,0.915450,0.742560,0,3774.822754,0.000188,0.261315,72,1,0.000170,0,0,6,0.296253,0.621246,0.662778,0.703747,1203.646560,30003.484820,165460.976986,0.000000,0.000000,0.000000,53069871.983393
-4600,26436039.000000,0.002070,0.991273,0.000272,0.006287,0.000000,0.001797,0.026078,0.019255,0.075359,0.468714,0.402445,0.008727,0.707911,0.157324,0.059481,0.021073|0.401233|0.449459|0.085333|0.030092|0.017857,0.361972,0.506580,0.123996,0.143254,0.964705,1.000000,0.856746,68261.000000,673565.600000,0.128712,210.000000,489.700000,0.025669,0.916800,0.750660,0,4317.230957,0.000182,0.309718,61,0,0.000115,0,0,9,0.299667,0.624586,0.663564,0.700333,1547.998942,34071.424032,183817.066344,0.000000,0.000000,0.000000,65856265.903959
-4550,29419986.000000,0.002035,0.997353,0.000111,0.006477,0.000000,0.000000,0.026573,0.020165,0.086735,0.470176,0.400627,0.002647,0.703016,0.160582,0.058582,0.020636|0.396898|0.453792|0.085177|0.029952|0.017857,0.366750,0.500754,0.125956,0.147865,1.000000,1.000000,0.852135,71308.500000,785126.900000,0.133605,216.000000,492.500000,0.025185,0.926050,0.770510,0,4921.035645,0.000184,0.344703,98,0,0.000039,1,0,7,0.304865,0.650041,0.664999,0.695135,2268.668114,36636.552827,203845.467033,0.000000,0.000000,0.000000,80339359.747248
