year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13886008.000000,0.000000,1.000000,0.000000,0.009399,0.000000,0.001141,0.025137,0.000171,0.000210,0.712417,0.664818,0.026516,0.000000,0.073410,0.066614,0.022320|0.388284|0.477127|0.062982|0.031449|0.017857,0.379109,0.329826,0.114009,0.124946,1.000000,1.000000,0.875054,124866.500000,302219.500000,0.024943,265.000000,683.500000,0.035548,0.828700,0.709050,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.258243,0.847215,0.756264,0.741757,104223.087792,135169.409340,791817.091046,0.000000,0.000000,0.000000,229801.734872
-4950,18254341.000000,0.002871,0.963552,0.001148,0.009516,0.000000,0.000000,0.023256,0.009504,0.012456,0.808788,0.448294,0.036448,0.000000,0.105426,0.086497,0.020471|0.400165|0.478441|0.065588|0.029875|0.017857,0.320624,0.425186,0.100146,0.128311,0.864190,1.000000,0.871689,131620.500000,407610.300000,0.037273,259.500000,668.300000,0.035086,0.975100,0.746460,0,976.871460,0.000054,0.000000,40,0,0.000333,6,0,14,0.290863,0.577942,0.801003,0.709137,754.388112,34730.530942,216716.706880,0.000000,0.000000,0.000000,13133854.672684
-4900,21077728.000000,0.002220,0.966145,0.000841,0.009421,0.000000,0.001035,0.022855,0.016138,0.026842,0.626673,0.362871,0.033855,0.720934,0.117558,0.092957,0.019977|0.401131|0.476806|0.065266|0.029070|0.017857,0.291808,0.465279,0.099220,0.126454,0.888514,1.000000,0.873545,135012.000000,469033.800000,0.054209,263.500000,643.700000,0.034218,0.897800,0.610980,0,1638.123291,0.000117,0.397481,40,0,0.000357,6,0,5,0.277751,0.584808,0.725459,0.722249,849.531345,32044.079335,189739.792029,0.000000,0.000000,0.000000,29677172.058091
-4850,23849327.000000,0.002118,0.970408,0.000616,0.009270,0.000000,0.000000,0.023266,0.020241,0.042518,0.583896,0.345080,0.029592,0.719641,0.126208,0.094192,0.019501|0.400700|0.476345|0.064973|0.028649|0.017857,0.298741,0.468949,0.101252,0.127650,0.862817,1.000000,0.872350,134351.500000,552083.700000,0.070987,263.500000,630.500000,0.033919,0.907500,0.659890,0,1941.234863,0.000206,0.240998,50,0,0.000353,11,0,8,0.280151,0.589517,0.709628,0.719849,1206.378655,29622.259890,166614.832409,0.000000,0.000000,0.000000,48883230.167175
-4800,26718042.000000,0.002069,0.978118,0.000706,0.009340,0.000000,0.000000,0.024305,0.017999,0.059617,0.579182,0.371075,0.021882,0.712054,0.133734,0.088182,0.019211|0.401677|0.476152|0.064704|0.028405|0.017857,0.298767,0.480223,0.112204,0.134678,0.937685,1.000000,0.865322,126193.000000,621505.800000,0.083185,240.000000,561.800000,0.033110,0.906500,0.733620,0,2344.703125,0.000229,0.404055,65,0,0.000292,37,0,14,0.286396,0.593809,0.707758,0.713604,1203.854108,30638.330174,172027.839702,0.000000,0.000000,0.000000,81905598.646455
-4750,29846324.000000,0.002054,0.993966,0.000381,0.009489,0.000000,0.000794,0.024899,0.023518,0.077651,0.602515,0.385728,0.006034,0.708139,0.141878,0.082959,0.018945|0.401175|0.476532|0.064475|0.028262|0.017857,0.297495,0.490986,0.119267,0.138344,1.000000,1.000000,0.861656,121182.000000,676356.000000,0.091584,238.000000,545.200000,0.032841,0.906300,0.718340,0,4336.122559,0.000466,0.762507,67,0,0.000090,7,0,14,0.289879,0.598586,0.715254,0.710121,1283.983945,28400.935121,154359.218208,0.000000,0.000000,0.000000,103245785.964920
-4700,33001347.000000,0.002003,0.988594,0.000841,0.009492,0.000000,0.001492,0.025383,0.026074,0.096892,0.541540,0.389962,0.011406,0.704818,0.148281,0.079645,0.018753|0.399328|0.477341|0.064832|0.028306|0.017857,0.295967,0.501954,0.118059,0.141470,0.949303,1.000000,0.858530,132363.000000,786825.200000,0.096220,246.000000,545.200000,0.032446,0.899400,0.725920,0,4649.677734,0.000443,0.776283,74,1,0.000188,0,0,8,0.292484,0.591995,0.699083,0.707516,1286.140617,24180.968777,130174.227595,0.000000,0.000000,0.000000,125166420.812943
-4650,36698739.000000,0.002032,0.988920,0.000758,0.009314,0.000000,0.001346,0.025710,0.028803,0.116371,0.519184,0.390788,0.011080,0.701549,0.154797,0.077735,0.018605|0.399332|0.476503|0.065174|0.028444|0.017857,0.293610,0.514237,0.120308,0.144562,0.955204,1.000000,0.855438,136189.000000,906250.800000,0.096279,252.000000,545.200000,0.031970,0.893900,0.723380,0,4668.069824,0.000393,0.776016,69,0,0.000203,0,0,9,0.305060,0.597284,0.688918,0.694940,1388.427148,22831.844123,118481.679024,0.000000,0.000000,0.000000,148492609.989128
-4600,40588497.000000,0.002004,0.990654,0.000328,0.009291,0.000000,0.000000,0.026070,0.029129,0.135358,0.508703,0.389526,0.009346,0.698791,0.159739,0.078016,0.018513|0.392693|0.481468|0.065818|0.028580|0.017857,0.296045,0.519293,0.124054,0.147183,0.966966,1.000000,0.852817,133367.500000,977131.900000,0.099943,259.000000,499.800000,0.031464,0.918900,0.736840,0,4906.702148,0.000378,0.670986,91,0,0.000190,12,0,9,0.309876,0.605487,0.675783,0.690124,2157.231974,32244.176429,178044.985826,0.000000,0.000000,0.000000,174634563.796808
-4550,44645605.000000,0.001977,0.998145,0.000085,0.009448,0.000000,0.001075,0.026643,0.029282,0.153576,0.611223,0.392014,0.001855,0.696525,0.164345,0.079477,0.018415|0.387224|0.485420|0.066675|0.028794|0.017857,0.291462,0.531590,0.124050,0.149345,1.000000,1.000000,0.850655,129722.000000,1072726.800000,0.085014,262.000000,497.200000,0.031053,0.914200,0.737220,0,5021.860840,0.000358,0.871520,102,0,0.000041,20,0,12,0.311028,0.618694,0.716545,0.688972,3375.700223,24412.221880,124530.016676,0.000000,0.000000,0.000000,207666892.819692
