year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8982583.000000,0.000000,0.992101,0.000789,0.009398,0.000000,0.001105,0.024866,0.000146,0.000187,0.718410,0.676824,0.051414,0.028833,0.057796,0.053246,0.040196|0.406078|0.418428|0.083561|0.033944|0.017857,0.427807,0.329947,0.116768,0.126322,1.000000,1.000000,0.873678,66028.000000,205937.300000,0.035400,140.000000,510.800000,0.045338,0.843800,0.739210,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,1,0.261951,0.852471,0.758921,0.738049,75014.609406,96623.187814,562553.258375,0.000000,0.000000,0.000000,88196.655718
-4950,11585560.000000,0.002776,0.971494,0.000989,0.009519,0.000000,0.000000,0.023292,0.007920,0.011211,0.816588,0.531872,0.028506,0.028734,0.091384,0.072680,0.030712|0.410553|0.439977|0.086158|0.032796|0.017857,0.377301,0.430826,0.112559,0.128628,0.913004,1.000000,0.871372,77743.000000,249677.000000,0.046352,157.000000,510.200000,0.039715,0.980600,0.790800,0,0.000000,0.000000,0.000000,39,0,0.000165,0,0,14,0.291891,0.584111,0.803123,0.708109,716.217228,38625.857545,235860.421325,0.000000,0.000000,0.000000,4863717.977605
-4900,13314918.000000,0.002197,0.972207,0.000786,0.009409,0.000000,0.001622,0.023236,0.016020,0.024791,0.733987,0.407418,0.027793,0.028636,0.106830,0.078578,0.028064|0.410117|0.440338|0.085966|0.031981|0.017857,0.338397,0.484693,0.110686,0.130895,0.873409,1.000000,0.869105,98795.000000,313680.800000,0.055946,200.000000,510.200000,0.037352,0.961400,0.743780,0,182.374146,0.000042,0.279674,43,0,0.000185,9,0,11,0.293350,0.596706,0.769764,0.706650,985.791102,30595.843496,189267.513271,0.000000,0.000000,0.000000,10697926.198382
-4850,15101604.000000,0.002130,0.971349,0.000824,0.009236,0.000000,0.000000,0.023661,0.020881,0.039538,0.686929,0.389513,0.028651,0.028590,0.122051,0.078409,0.026168|0.410557|0.439289|0.085264|0.031448|0.017857,0.333192,0.498701,0.109702,0.131951,0.872109,1.000000,0.868049,103676.000000,379646.600000,0.061440,209.000000,510.200000,0.036244,0.923000,0.735100,0,168.231369,0.000024,0.227283,36,0,0.000216,1,0,9,0.290411,0.605127,0.752726,0.709589,1020.571904,30673.101849,184527.393410,0.000000,0.000000,0.000000,17345178.151494
-4800,16910708.000000,0.002066,0.982302,0.000434,0.009299,0.000000,0.000000,0.023988,0.025131,0.054977,0.577269,0.394751,0.017698,0.028462,0.131431,0.073073,0.024934|0.410813|0.440990|0.084299|0.031005|0.017857,0.333745,0.509602,0.114298,0.134946,0.923060,1.000000,0.865054,79264.000000,431882.800000,0.070965,204.000000,495.200000,0.027176,0.919000,0.762140,0,151.194397,0.000033,0.205519,55,0,0.000150,18,0,12,0.287221,0.611715,0.705088,0.712779,1135.788114,36490.984628,217822.330835,0.000000,0.000000,0.000000,27077608.314962
-4750,18908164.000000,0.002059,0.988356,0.000324,0.009459,0.000000,0.001278,0.024657,0.027179,0.071214,0.676880,0.400600,0.011644,0.028318,0.138789,0.066727,0.023684|0.409391|0.441856|0.084591|0.030630|0.017857,0.328442,0.517932,0.117453,0.138329,0.963649,1.000000,0.861671,95279.000000,447536.600000,0.078150,204.000000,495.200000,0.026889,0.920100,0.745280,0,176.245468,0.000028,0.196985,64,0,0.000110,5,0,11,0.297864,0.617382,0.750520,0.702136,1386.130759,32954.239405,196098.036062,0.000000,0.000000,0.000000,36396909.496383
-4700,21027198.000000,0.002032,0.986052,0.000546,0.009453,0.000000,0.000000,0.025150,0.031303,0.088052,0.634823,0.394618,0.013948,0.028258,0.144855,0.062121,0.022675|0.405084|0.445105|0.085609|0.030453|0.017857,0.331097,0.518667,0.118769,0.139734,0.936597,1.000000,0.860267,102603.500000,507941.100000,0.087574,202.000000,493.400000,0.026602,0.922400,0.774950,0,190.904556,0.000024,0.227117,66,0,0.000147,1,0,14,0.301988,0.610731,0.732025,0.698012,1141.430203,38722.869874,223697.939879,0.000000,0.000000,0.000000,47209805.134213
-4650,23508057.000000,0.002058,0.985485,0.000482,0.009264,0.000000,0.002105,0.025511,0.043037,0.105781,0.559941,0.404481,0.014515,0.028169,0.149180,0.059706,0.021848|0.402586|0.446757|0.086321|0.030308|0.017857,0.331195,0.522339,0.123741,0.141822,0.948924,1.000000,0.858178,77061.000000,567432.200000,0.103564,200.000000,504.400000,0.026186,0.916600,0.759980,0,274.570282,0.000027,0.246567,73,0,0.000171,10,0,8,0.296849,0.620299,0.708713,0.703151,1178.411865,43546.502200,259241.011947,0.000000,0.000000,0.000000,59129408.870317
-4600,26345282.000000,0.002070,0.993303,0.000224,0.009208,0.000000,0.001857,0.025682,0.044280,0.123368,0.466861,0.400842,0.006697,0.028101,0.153055,0.058919,0.021248|0.402659|0.446329|0.086345|0.030273|0.017857,0.331280,0.524389,0.123233,0.143447,0.984687,1.000000,0.856553,65286.500000,678400.300000,0.111431,204.000000,508.100000,0.026378,0.917650,0.750730,0,274.681122,0.000024,0.282882,59,0,0.000088,0,0,6,0.298477,0.626217,0.662304,0.701523,1674.433532,31281.320797,175602.543312,0.000000,0.000000,0.000000,72379573.107405
-4550,29294059.000000,0.002031,0.998182,0.000117,0.009381,0.000000,0.001541,0.026223,0.045676,0.141881,0.466573,0.402281,0.001818,0.028100,0.156538,0.058695,0.020781|0.400007|0.448124|0.087055|0.030227|0.017857,0.332168,0.523372,0.124225,0.143472,1.000000,1.000000,0.856528,64937.000000,744055.800000,0.115223,209.000000,507.800000,0.026939,0.917700,0.752540,0,287.691864,0.000031,0.285372,82,0,0.000027,5,0,7,0.299013,0.650802,0.663007,0.700987,2376.565291,34197.969469,196897.282487,0.000000,0.000000,0.000000,87155644.411660
