year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8982583.000000,0.000000,0.992101,0.000789,0.008781,0.000000,0.001105,0.024866,0.200117,0.200149,0.718410,0.676824,0.051414,0.028833,0.057796,0.053246,0.040196|0.406078|0.418428|0.083561|0.033944|0.017857,0.427807,0.329947,0.116768,0.126322,1.000000,1.000000,0.873678,66028.000000,205937.300000,0.035400,140.000000,510.800000,0.045338,0.843800,0.739210,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,1,0.261951,0.852471,0.758921,0.738049,75014.609406,96623.187814,562553.258375,0.000000,0.000000,0.000000,88196.655718
-4950,11585593.000000,0.002776,0.971471,0.000991,0.008891,0.000000,0.000000,0.023290,0.206336,0.208956,0.813351,0.531672,0.028529,0.028740,0.091384,0.072680,0.030712|0.410552|0.439977|0.086158|0.032796|0.017857,0.377454,0.430643,0.112531,0.128485,0.912954,1.000000,0.871515,77712.000000,249645.800000,0.046354,157.000000,510.200000,0.039712,0.980400,0.790800,0,0.000000,0.000000,0.000000,39,0,0.000165,0,0,14,0.291892,0.584247,0.801776,0.708108,717.100193,38629.684702,235891.220851,0.000000,0.000000,0.000000,4863839.162857
-4900,13315159.000000,0.002197,0.972649,0.000781,0.008795,0.000000,0.001729,0.023235,0.212809,0.219814,0.732169,0.408993,0.027351,0.028637,0.106830,0.078578,0.028064|0.410136|0.440320|0.085965|0.031980|0.017857,0.338860,0.484272,0.110774,0.130858,0.874740,1.000000,0.869142,97238.000000,307056.900000,0.055876,198.500000,509.600000,0.037331,0.955050,0.744790,0,182.379898,0.000042,0.279684,43,0,0.000182,9,0,12,0.292864,0.597029,0.769278,0.707136,870.732268,39829.448059,250713.157726,0.000000,0.000000,0.000000,10699832.386572
-4850,15102873.000000,0.002131,0.972151,0.000764,0.008642,0.000000,0.000000,0.023663,0.216570,0.231592,0.680958,0.390342,0.027849,0.719620,0.122164,0.078466,0.026168|0.410641|0.439290|0.085258|0.031446|0.017857,0.329971,0.502152,0.109741,0.130064,0.872864,1.000000,0.869935,101333.000000,375135.600000,0.062596,206.500000,509.600000,0.036244,0.920850,0.736950,0,168.229828,0.000024,0.227142,36,0,0.000210,1,0,9,0.290238,0.604035,0.752071,0.709762,1071.935382,32557.333115,198459.946701,0.000000,0.000000,0.000000,17348475.790402
-4800,16929913.000000,0.002072,0.982840,0.000402,0.008708,0.000000,0.000000,0.023989,0.218417,0.243947,0.531247,0.394054,0.017160,0.714538,0.131431,0.073073,0.024926|0.411479|0.440559|0.084224|0.030990|0.017857,0.331351,0.512422,0.114378,0.134773,0.924534,1.000000,0.865228,78436.500000,426868.100000,0.073705,204.000000,489.800000,0.027188,0.918550,0.760800,0,151.204224,0.000033,0.205232,54,0,0.000145,18,0,12,0.286591,0.613055,0.682181,0.713409,1161.033890,36500.033779,217938.362182,0.000000,0.000000,0.000000,27075021.775936
-4750,18960687.000000,0.002067,0.988532,0.000310,0.008854,0.000000,0.001473,0.024461,0.221044,0.256917,0.526010,0.399561,0.011468,0.712377,0.138733,0.066670,0.023667|0.410748|0.440739|0.084406|0.030595|0.017857,0.320194,0.526447,0.117551,0.136789,0.966330,1.000000,0.863211,95345.500000,446655.400000,0.088869,204.000000,489.800000,0.026904,0.917100,0.745940,0,183.011871,0.000028,0.196896,60,0,0.000109,4,0,11,0.297762,0.617545,0.682161,0.702238,1429.804394,34775.421061,204736.215314,0.000000,0.000000,0.000000,36386002.687266
-4700,21135303.000000,0.002043,0.986615,0.000493,0.008853,0.000000,0.000000,0.025126,0.224984,0.270410,0.468979,0.395024,0.013385,0.709390,0.144855,0.062177,0.022650|0.407657|0.442942|0.085262|0.030389|0.017857,0.324717,0.525622,0.118810,0.139584,0.939079,1.000000,0.860416,94012.000000,509004.000000,0.099995,200.000000,484.400000,0.026611,0.920800,0.761220,0,190.773849,0.000024,0.227322,67,0,0.000141,1,0,14,0.294443,0.612246,0.662035,0.705557,1168.981802,40574.669630,232174.330606,0.000000,0.000000,0.000000,47184957.102532
-4650,23625610.000000,0.002058,0.984933,0.000533,0.008677,0.000000,0.002337,0.025250,0.235378,0.284661,0.472576,0.401013,0.015067,0.707020,0.149236,0.059930,0.021828|0.404979|0.444764|0.085980|0.030246|0.017857,0.328365,0.525383,0.122388,0.141811,0.943828,1.000000,0.858189,99681.000000,511458.800000,0.105866,200.000000,498.000000,0.026207,0.916600,0.753580,0,304.976654,0.000039,0.231566,73,0,0.000178,6,0,8,0.296895,0.616404,0.664556,0.703105,1130.098775,41378.273126,246059.456249,0.000000,0.000000,0.000000,59118540.979674
-4600,26454811.000000,0.002066,0.993333,0.000237,0.008622,0.000000,0.002011,0.025375,0.236124,0.299084,0.466299,0.400043,0.006667,0.706874,0.153055,0.059200,0.021234|0.404583|0.444737|0.086062|0.030222|0.017857,0.321267,0.534619,0.123753,0.141949,0.985338,1.000000,0.858051,91110.000000,614980.600000,0.109720,204.000000,507.800000,0.026485,0.917800,0.750160,0,753.720947,0.000052,0.261695,60,0,0.000088,0,0,7,0.298075,0.626072,0.662107,0.701925,1663.661900,32316.663407,180461.658154,0.000000,0.000000,0.000000,72353676.792557
-4550,29353598.000000,0.002020,0.997952,0.000130,0.008785,0.000000,0.001775,0.025900,0.236799,0.313822,0.466384,0.401537,0.002048,0.705716,0.156594,0.059200,0.020775|0.400954|0.447346|0.086915|0.030202|0.017857,0.333837,0.521416,0.125463,0.143041,1.000000,1.000000,0.856958,85772.500000,716848.000000,0.119619,206.500000,507.500000,0.026986,0.918700,0.751750,0,476.406433,0.000047,0.260644,89,0,0.000030,5,0,8,0.298217,0.639329,0.662952,0.701783,2395.091099,34968.120037,201138.961151,0.000000,0.000000,0.000000,87063672.502732
-4500,32432408.000000,0.001999,0.995290,0.000159,0.008866,0.000000,0.001939,0.026431,0.239513,0.328106,0.467015,0.402013,0.004710,0.704579,0.159683,0.059706,0.020418|0.397844|0.449664|0.088361|0.029485|0.017857,0.337654,0.519797,0.127460,0.144115,1.000000,1.000000,0.855885,81287.000000,811201.000000,0.135307,204.000000,507.200000,0.027450,0.915900,0.749560,0,3668.419922,0.000149,0.237934,97,1,0.000076,8,0,21,0.301054,0.641588,0.664431,0.698946,2171.658352,22581.182026,113761.677586,0.000000,0.000000,0.000000,102698134.130561
-4450,35541057.000000,0.001958,0.997054,0.000162,0.008749,0.000000,0.002090,0.027078,0.243758,0.342885,0.467859,0.399623,0.002946,0.699600,0.162660,0.059706,0.020117|0.389073|0.457573|0.090192|0.028514|0.017857,0.339179,0.523641,0.129352,0.148827,1.000000,1.000000,0.851174,80403.500000,869688.000000,0.143112,204.000000,506.900000,0.027986,0.920250,0.753800,0,3127.979980,0.000150,0.211411,105,1,0.000052,3,0,18,0.304168,0.632598,0.666810,0.695832,2106.376796,22853.571941,114169.487258,0.000000,0.000000,0.000000,122310657.590966
-4400,39003363.000000,0.001965,0.994875,0.000196,0.008627,0.000000,0.002139,0.028077,0.245922,0.360792,0.468075,0.401717,0.005125,0.695197,0.165019,0.059200,0.019883|0.377948|0.466137|0.092826|0.028325|0.017857,0.343639,0.522902,0.131674,0.153022,0.998914,1.000000,0.846978,101624.500000,935209.500000,0.150573,204.000000,509.000000,0.028463,0.917000,0.756720,0,3414.331543,0.000230,0.174037,97,0,0.000100,3,0,11,0.307146,0.614834,0.667188,0.692854,1278.877337,26493.384577,140102.187022,0.000000,0.000000,0.000000,138813141.861272
-4350,42611257.000000,0.001943,0.980889,0.000753,0.008736,0.000000,0.002603,0.028867,0.245511,0.375332,0.469380,0.407353,0.019111,0.835437,0.167378,0.059144,0.019737|0.365448|0.476565|0.095673|0.027431|0.017857,0.339469,0.534842,0.133461,0.152765,0.915716,1.000000,0.847235,92287.000000,1005244.000000,0.158188,197.000000,509.000000,0.029269,0.922800,0.761900,0,4320.403809,0.000255,0.157687,125,0,0.000407,16,0,13,0.310146,0.601787,0.668562,0.689854,1029.829816,22139.347668,111963.025886,0.000000,0.000000,0.000000,158177670.780631
-4300,46922341.000000,0.001982,0.989991,0.000409,0.008863,0.000000,0.001601,0.029692,0.249053,0.391413,0.470107,0.408405,0.010009,0.832019,0.171478,0.060267,0.019559|0.356374|0.485100|0.097783|0.026873|0.017857,0.331442,0.550072,0.132572,0.155492,0.965718,1.000000,0.844508,83785.000000,1076545.000000,0.165731,197.000000,515.000000,0.029544,0.923800,0.765800,0,5437.933594,0.000262,0.148662,124,0,0.000235,0,0,14,0.313323,0.611432,0.669463,0.686678,1255.773579,23325.787088,119091.746341,0.000000,0.000000,0.000000,176491220.043545
-4250,50965795.000000,0.001914,0.978470,0.001564,0.008847,0.000000,0.001788,0.030814,0.252974,0.403218,0.470171,0.409274,0.021530,0.831108,0.173613,0.062683,0.019450|0.338847|0.499784|0.100840|0.026059|0.017857,0.330223,0.555643,0.133536,0.156222,0.909969,1.000000,0.843778,108848.000000,999208.000000,0.179888,197.000000,516.000000,0.030009,0.919900,0.764700,0,6593.622070,0.000278,0.134923,158,0,0.000549,0,0,31,0.315609,0.603122,0.670280,0.684391,1199.353407,20978.765570,108627.630634,0.000000,0.000000,0.000000,195651164.471180
-4200,55276381.000000,0.001906,0.984410,0.000667,0.008675,0.000000,0.002317,0.032183,0.254544,0.420447,0.470452,0.404911,0.015590,0.825163,0.175522,0.062233,0.019301|0.320241|0.513722|0.105901|0.025416|0.017857,0.324349,0.566300,0.141035,0.160991,0.919214,1.000000,0.839009,109015.000000,1016689.000000,0.197151,204.000000,526.000000,0.030324,0.924400,0.765500,0,6420.801758,0.000268,0.167976,129,0,0.000431,0,0,27,0.318808,0.601104,0.671543,0.681191,1333.126284,20427.629428,107537.794249,0.000000,0.000000,0.000000,215683463.540303
-4150,60248068.000000,0.001931,0.961540,0.001305,0.008681,0.000000,0.002744,0.033729,0.255807,0.436528,0.470938,0.406755,0.038460,0.824713,0.176927,0.060267,0.019156|0.302551|0.528023|0.109753|0.024845|0.017857,0.316836,0.580211,0.139939,0.161355,0.864132,1.000000,0.838645,111290.500000,1148263.900000,0.214654,204.000000,525.900000,0.031014,0.921050,0.766160,0,6025.045898,0.000248,0.179353,134,0,0.001159,6,0,28,0.321517,0.596743,0.672214,0.678483,674.478850,19986.177207,103807.064404,0.000000,0.000000,0.000000,239229025.981781
-4100,65679599.000000,0.001932,0.951314,0.001583,0.008814,0.000000,0.002440,0.035657,0.258389,0.453135,0.468221,0.405231,0.048686,0.821519,0.178162,0.058077,0.019076|0.283536|0.544150|0.112912|0.024428|0.017857,0.316127,0.585693,0.144916,0.163936,0.859252,0.988968,0.836064,102469.000000,1314468.000000,0.231579,205.000000,541.000000,0.031604,0.921800,0.766300,0,4510.308105,0.000223,0.193044,118,1,0.001599,0,0,21,0.324480,0.595484,0.673172,0.675520,475.285789,19517.578187,104092.783255,0.000000,0.000000,0.000000,261673304.295307
-4050,71744413.000000,0.001942,0.933517,0.002096,0.008863,0.000000,0.002062,0.037706,0.260032,0.468183,0.468743,0.403859,0.066483,0.819108,0.178836,0.057571,0.018968|0.263941|0.560720|0.116635|0.023677|0.017857,0.313387,0.593896,0.144141,0.165893,0.795745,0.985260,0.834107,121220.000000,1367905.000000,0.246844,206.000000,566.000000,0.032084,0.922800,0.765200,0,6517.334473,0.000247,0.194213,122,0,0.002385,0,0,33,0.327329,0.594575,0.674792,0.672670,608.758771,18905.724546,102034.108711,0.000000,0.000000,0.000000,285000663.320668
-4000,78436045.000000,0.001946,0.963087,0.000856,0.008751,0.000000,0.002274,0.040585,0.261431,0.485981,0.464709,0.404158,0.036913,0.815918,0.180297,0.057515,0.018898|0.244344|0.579262|0.118118|0.023219|0.017857,0.311025,0.601859,0.146169,0.168489,0.862981,1.000000,0.831511,161751.500000,1571089.100000,0.263201,207.500000,577.700000,0.032429,0.904050,0.760960,0,8705.261719,0.000313,0.174147,136,0,0.001448,0,0,19,0.330208,0.594270,0.674017,0.669792,1763.568546,21782.609090,119147.019265,0.000000,0.000000,0.000000,309300081.280388
-3950,86140888.000000,0.001969,0.970030,0.000522,0.008676,0.000000,0.002124,0.043156,0.265244,0.501783,0.465251,0.405830,0.029970,0.813352,0.181588,0.058976,0.018808|0.227304|0.596349|0.118917|0.022704|0.017857,0.308828,0.610705,0.148673,0.170586,0.891222,1.000000,0.829414,162188.000000,1770983.000000,0.274562,206.000000,599.000000,0.032767,0.901700,0.761600,0,12223.496094,0.000360,0.177044,141,0,0.001291,3,0,23,0.333133,0.596356,0.674460,0.666867,3144.162812,24755.666225,138468.512518,0.000000,0.000000,0.000000,362401641.064730
-3900,94500306.000000,0.001964,0.971467,0.000828,0.008796,0.000000,0.002493,0.045928,0.267518,0.518802,0.463246,0.406437,0.028533,0.810518,0.182487,0.059032,0.018706|0.207548|0.614086|0.121313|0.022175|0.017857,0.303156,0.624555,0.152554,0.172909,0.875555,1.000000,0.827091,182971.000000,2016067.000000,0.283310,206.000000,628.000000,0.033086,0.897100,0.760300,0,16152.933594,0.000406,0.198652,145,0,0.001348,0,0,26,0.335558,0.589180,0.674531,0.664442,3985.203878,24304.346408,140433.772872,0.000000,0.000000,0.000000,388987495.239998
-3850,104952068.000000,0.002025,0.980672,0.000518,0.008902,0.000000,0.002872,0.049665,0.269893,0.536557,0.463962,0.406864,0.019328,0.807779,0.183667,0.059144,0.018631|0.196880|0.623931|0.122690|0.021450|0.017857,0.306351,0.626423,0.150062,0.175162,0.932765,1.000000,0.824838,153277.000000,2269010.200000,0.285459,204.000000,629.800000,0.033841,0.896600,0.764500,0,19698.580078,0.000397,0.237074,129,1,0.001014,13,0,24,0.338224,0.593718,0.674825,0.661776,3551.102491,26810.652887,153321.232533,0.000000,0.000000,0.000000,423409462.297187
-3800,116604458.000000,0.002027,0.975188,0.000593,0.008843,0.000000,0.001844,0.053265,0.272655,0.556293,0.463751,0.407751,0.024812,0.804753,0.185352,0.057684,0.018561|0.184296|0.634922|0.124355|0.021235|0.017857,0.302111,0.635320,0.155709,0.177659,0.913109,1.000000,0.822341,150767.000000,2582759.600000,0.287376,204.000000,632.800000,0.034474,0.897800,0.766560,0,23801.652344,0.000395,0.226758,143,0,0.001447,0,0,23,0.340882,0.592532,0.675566,0.659118,4647.629485,30185.014250,174992.026332,0.000000,0.000000,0.000000,452830637.531494
-3750,129650088.000000,0.002031,0.990015,0.000349,0.008697,0.000000,0.002212,0.054407,0.275107,0.571735,0.463635,0.408501,0.009985,0.801838,0.186643,0.057740,0.018494|0.172693|0.644416|0.126542|0.021159|0.017857,0.299451,0.641324,0.157933,0.180074,0.961726,1.000000,0.819926,181889.000000,2796387.400000,0.275791,204.000000,641.000000,0.035756,0.901800,0.767400,0,29119.294922,0.000430,0.246573,129,0,0.000647,0,0,19,0.343890,0.598073,0.676734,0.656111,6811.791663,34652.855909,206000.807843,0.000000,0.000000,0.000000,484434141.831723
-3700,143899181.000000,0.002022,0.991477,0.000152,0.008782,0.000000,0.002035,0.058658,0.277217,0.590980,0.465048,0.409993,0.008523,0.799099,0.187767,0.058077,0.018435|0.159297|0.656937|0.127367|0.021073|0.017857,0.297666,0.647884,0.158303,0.182351,0.975701,1.000000,0.817649,229664.000000,3177204.900000,0.271614,204.000000,653.700000,0.036719,0.903300,0.771060,0,31809.503906,0.000428,0.319023,163,0,0.000613,6,0,22,0.346383,0.601716,0.677993,0.653617,9735.591406,39166.624909,233881.070158,0.000000,0.000000,0.000000,548262490.500107
-3650,159225720.000000,0.002007,0.995559,0.000162,0.008950,0.000000,0.002398,0.061855,0.278741,0.611942,0.465461,0.411093,0.004441,0.796220,0.188722,0.058470,0.018366|0.144644|0.669307|0.130347|0.020477|0.017857,0.293720,0.656876,0.160495,0.184753,1.000000,1.000000,0.815247,245850.000000,3616022.700000,0.265371,204.000000,670.700000,0.037753,0.901800,0.772560,0,36366.796875,0.000430,0.243710,176,0,0.000354,0,0,33,0.349570,0.600111,0.679147,0.650430,9681.059950,41559.752630,249007.812906,0.000000,0.000000,0.000000,582938584.850666
-3600,176534805.000000,0.002017,0.993798,0.000131,0.008948,0.000000,0.002891,0.065387,0.280314,0.633249,0.463186,0.410056,0.006202,0.793432,0.189620,0.059425,0.018318|0.131816|0.678530|0.134087|0.020292|0.017857,0.293120,0.662111,0.162727,0.187087,0.973439,1.000000,0.812913,265109.500000,4046176.300000,0.258186,204.000000,694.900000,0.038588,0.899500,0.772050,0,43718.113281,0.000452,0.228725,158,0,0.000547,0,0,30,0.352363,0.580575,0.679239,0.647637,6349.459980,42214.956528,250401.501861,0.000000,0.000000,0.000000,619052460.688707
-3550,196749477.000000,0.002043,0.990873,0.000110,0.008799,0.000000,0.003224,0.069420,0.286872,0.651114,0.462562,0.411076,0.009127,0.790754,0.190463,0.060099,0.018269|0.121560|0.686667|0.136378|0.020057|0.017857,0.289193,0.670797,0.164987,0.189337,0.963939,1.000000,0.810663,256560.500000,4405955.100000,0.251218,204.000000,713.100000,0.039527,0.896100,0.773500,0,50409.082031,0.000486,0.245488,152,0,0.000898,0,0,35,0.354522,0.566988,0.679951,0.645478,5848.222605,45609.678017,270273.127272,0.000000,0.000000,0.000000,655347392.435267
