year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,19684170.000000,0.000000,1.000000,0.000000,0.000037,0.000000,0.002160,0.025338,0.000004,0.000004,0.706149,0.643203,0.026612,0.000000,0.086834,0.078971,0.010843|0.371050|0.524751|0.086059|0.007325|0.000000,0.318601,0.390318,0.109043,0.123505,1.000000,1.000000,0.876495,222672.000000,305328.000000,0.031649,403.000000,1114.000000,0.025738,0.812900,0.654700,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.254362,0.832695,0.489463,0.745637,139072.994359,165155.803101,974611.407569,0.000000,0.000000,0.000000,387708.163185
-4950,25943188.000000,0.005537,0.952287,0.001415,0.000036,0.000000,0.000000,0.023465,0.000194,0.000240,0.793699,0.441086,0.047225,0.165196,0.124691,0.103123,0.005510|0.372811|0.533897|0.091415|0.007480|0.000000,0.262896,0.507701,0.099868,0.127486,0.826481,0.995117,0.872514,237721.000000,495113.200000,0.038428,402.000000,1040.000000,0.025596,0.965600,0.713580,0,95.643822,0.000009,1.839136,47,0,0.000619,6,0,18,0.288297,0.573519,0.527441,0.711703,576.983051,22975.786976,135788.120869,0.000000,0.000000,0.000000,20713950.619672
-4900,30045117.000000,0.002940,0.946294,0.001505,0.000038,0.000000,0.000000,0.023235,0.000289,0.000532,0.633035,0.356377,0.023431,0.178003,0.143844,0.110088,0.004178|0.370723|0.534806|0.092175|0.005928|0.000000,0.249173,0.547675,0.100641,0.125324,0.860671,0.975589,0.874676,188781.500000,616703.000000,0.059628,360.500000,807.700000,0.025468,0.895450,0.628990,0,1066.310913,0.000084,0.421696,65,0,0.000090,26,0,14,0.276220,0.554455,0.473828,0.723780,606.524686,25232.234589,131658.470903,0.000000,0.000000,0.000000,54114107.785925
-4850,34357679.000000,0.002686,0.958315,0.001133,0.000037,0.000000,0.000000,0.024189,0.000397,0.000850,0.549151,0.349084,0.011804,0.130242,0.160189,0.114974,0.003111|0.371015|0.534416|0.092856|0.005411|0.000000,0.247359,0.569055,0.102106,0.127641,0.857912,1.000000,0.872359,196176.000000,743440.200000,0.073776,351.000000,797.800000,0.025301,0.856300,0.649180,0,2012.705811,0.000120,0.335453,57,0,0.000000,11,0,8,0.270731,0.559961,0.441097,0.729269,802.976628,29847.615519,164839.785926,0.000000,0.000000,0.000000,80601718.380158
-4800,38753486.000000,0.002411,0.978850,0.000542,0.000037,0.000000,0.000000,0.024676,0.000338,0.001164,0.541462,0.365089,0.009236,0.065635,0.172265,0.110481,0.002569|0.368189|0.536648|0.094460|0.004799|0.000000,0.253572,0.576974,0.108375,0.131211,0.888984,1.000000,0.868789,132875.000000,769848.200000,0.082920,310.000000,722.800000,0.025200,0.878700,0.703200,0,2572.692139,0.000133,0.870438,102,0,0.000000,73,0,27,0.279154,0.553460,0.444901,0.720846,1254.463384,20775.190957,97965.172471,0.000000,0.000000,0.000000,122958029.378033
-4750,43825369.000000,0.002463,0.982275,0.000642,0.000036,0.000000,0.000000,0.025221,0.000392,0.001482,0.568061,0.384856,0.010095,0.075817,0.181588,0.105257,0.002191|0.369025|0.534066|0.095836|0.004598|0.000000,0.263678,0.575218,0.114084,0.137232,0.926557,1.000000,0.862768,124874.000000,817186.000000,0.089145,283.000000,675.000000,0.025097,0.878300,0.727300,0,3286.024658,0.000173,0.794058,109,0,0.000000,28,0,22,0.286635,0.571165,0.446844,0.713365,1698.409015,22396.215369,107233.697246,0.000000,0.000000,0.000000,165570834.727610
-4700,48829158.000000,0.002165,0.975541,0.000424,0.000036,0.000000,0.000981,0.025992,0.000474,0.001828,0.465290,0.386049,0.027690,0.051001,0.190687,0.100708,0.002032|0.365474|0.534838|0.098825|0.004401|0.000000,0.272498,0.570214,0.118976,0.140860,0.887645,1.000000,0.859140,103952.000000,947688.400000,0.096548,283.000000,666.400000,0.024952,0.869700,0.716320,0,3158.007568,0.000233,0.688112,128,0,0.000164,10,0,42,0.288083,0.557434,0.414144,0.711917,1831.659874,25514.772483,123653.099281,0.000000,0.000000,0.000000,208713948.389412
-4650,54710945.000000,0.002277,0.976940,0.001053,0.000035,0.000000,0.000913,0.027142,0.000509,0.002160,0.463755,0.390107,0.017211,0.123938,0.198551,0.098293,0.001798|0.360933|0.537138|0.101559|0.004002|0.000000,0.278705,0.567427,0.120499,0.144137,0.894815,1.000000,0.855863,101547.000000,1028790.400000,0.102771,262.000000,657.800000,0.024851,0.869700,0.724480,0,3616.523682,0.000206,0.618446,122,0,0.000000,8,0,22,0.290841,0.554214,0.413111,0.709159,1711.956643,26888.359334,132369.186467,0.000000,0.000000,0.000000,251305547.312193
-4600,61283819.000000,0.002272,0.979329,0.000472,0.000035,0.000000,0.000960,0.028529,0.000546,0.002490,0.452010,0.394917,0.012266,0.055977,0.205347,0.096945,0.001541|0.354737|0.540039|0.104351|0.003689|0.000000,0.283935,0.565089,0.120438,0.144345,0.899030,1.000000,0.855655,104784.500000,1176478.300000,0.108633,258.000000,630.600000,0.024691,0.867100,0.730020,0,3234.120117,0.000226,0.540268,132,0,0.000000,28,0,28,0.293810,0.567852,0.411159,0.706190,3019.920973,31205.999247,155359.376374,0.000000,0.000000,0.000000,298193194.353353
-4550,67272188.000000,0.001866,0.992248,0.000238,0.000035,0.000000,0.000000,0.029920,0.000596,0.002840,0.466652,0.397668,0.022746,0.028659,0.210795,0.097394,0.001483|0.343306|0.547480|0.108802|0.003320|0.000000,0.289228,0.563313,0.122310,0.146237,0.986536,1.000000,0.853762,88191.000000,1288789.600000,0.117612,231.000000,617.600000,0.024532,0.881250,0.760440,0,3337.050537,0.000216,0.665672,175,0,0.000000,26,0,47,0.298946,0.584204,0.416057,0.701054,4750.222096,34132.468876,173686.290199,0.000000,0.000000,0.000000,350366675.802693
