year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13891409.000000,0.000000,1.000000,0.000000,0.000037,0.000000,0.001224,0.025805,0.000003,0.000004,0.712346,0.664344,0.025440,0.000000,0.072568,0.065266,0.004999|0.412797|0.516467|0.050540|0.015222|0.000000,0.359457,0.345248,0.113900,0.124929,1.000000,1.000000,0.875071,125831.000000,302386.600000,0.030193,265.000000,687.600000,0.035914,0.828500,0.707860,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.258194,0.847980,0.491632,0.741806,103363.082510,137405.938994,803292.827766,0.000000,0.000000,0.000000,234976.154608
-4950,18466995.000000,0.005711,0.955941,0.001422,0.000036,0.000000,0.000000,0.023344,0.000177,0.000237,0.812125,0.441487,0.042025,0.171517,0.103572,0.086441,0.002883|0.426371|0.515660|0.053368|0.013461|0.000000,0.307181,0.435066,0.100316,0.128592,0.821282,1.000000,0.871408,144710.000000,418810.200000,0.040804,257.000000,672.000000,0.035399,0.976900,0.747340,0,1015.577576,0.000055,0.000000,49,0,0.000407,5,0,14,0.291167,0.578805,0.534447,0.708833,622.600551,30669.235220,193781.594893,0.000000,0.000000,0.000000,13570442.062647
-4900,21577204.000000,0.003118,0.959507,0.001082,0.000036,0.000000,0.002109,0.023192,0.000319,0.000526,0.670105,0.379493,0.012134,0.131054,0.116154,0.093237,0.002316|0.427200|0.514882|0.052807|0.012631|0.000000,0.281616,0.472155,0.104598,0.129280,0.853893,1.000000,0.870720,141676.000000,481042.000000,0.051354,262.000000,608.000000,0.034488,0.905500,0.673300,0,1719.383301,0.000144,0.355125,47,0,0.000000,19,0,5,0.278860,0.586890,0.484866,0.721140,965.656483,34006.275150,205537.629380,0.000000,0.000000,0.000000,30774375.197872
-4850,24719962.000000,0.002723,0.967151,0.000891,0.000036,0.000000,0.000000,0.023449,0.000409,0.000820,0.640631,0.355395,0.011105,0.104848,0.124466,0.094080,0.001842|0.424545|0.516628|0.052476|0.012182|0.000000,0.273425,0.491789,0.105710,0.128577,0.852663,1.000000,0.871423,140142.000000,557069.800000,0.060696,262.000000,606.800000,0.034074,0.914200,0.691140,0,2113.916992,0.000235,0.235600,49,0,0.000000,16,0,13,0.281110,0.589217,0.471269,0.718890,1348.096938,29391.377669,173266.886469,0.000000,0.000000,0.000000,50097005.899497
-4800,27976343.000000,0.002478,0.976282,0.000881,0.000036,0.000000,0.000000,0.024260,0.000437,0.001138,0.598926,0.375129,0.009312,0.103425,0.131319,0.088239,0.001512|0.424918|0.517145|0.052355|0.011960|0.000000,0.273232,0.505496,0.113200,0.135669,0.888727,1.000000,0.864331,142540.500000,659886.400000,0.063854,250.500000,583.100000,0.033351,0.909100,0.752300,0,2588.463623,0.000242,0.332021,65,0,0.000000,43,0,14,0.290748,0.594923,0.469564,0.709252,1207.900570,35429.077742,205159.650982,0.000000,0.000000,0.000000,82360533.516248
-4750,31438235.000000,0.002336,0.992696,0.000543,0.000034,0.000000,0.001316,0.024939,0.000483,0.001469,0.639926,0.400650,0.008422,0.065493,0.139182,0.084644,0.001216|0.421906|0.519894|0.052534|0.011900|0.000000,0.286220,0.508059,0.120346,0.139473,0.969593,1.000000,0.860527,144001.000000,739195.800000,0.069853,246.000000,506.400000,0.033131,0.919200,0.751560,0,3955.600586,0.000489,0.508373,69,0,0.000000,22,0,10,0.299960,0.598625,0.472332,0.700040,1436.262592,30679.363874,170798.605591,0.000000,0.000000,0.000000,105473303.912408
-4700,35086951.000000,0.002199,0.982516,0.001042,0.000034,0.000000,0.001813,0.025474,0.000601,0.001826,0.618745,0.400544,0.022953,0.125470,0.144687,0.078634,0.000984|0.418902|0.520965|0.053243|0.012013|0.000000,0.289085,0.509932,0.121334,0.141790,0.916491,1.000000,0.858210,143071.500000,865797.900000,0.058682,247.500000,504.300000,0.032699,0.918650,0.750010,0,4262.373535,0.000483,0.578512,90,0,0.000179,4,0,17,0.301953,0.595439,0.468647,0.698047,1219.973954,31305.637937,176370.741812,0.000000,0.000000,0.000000,129014425.813029
-4650,39404690.000000,0.002324,0.983050,0.001195,0.000034,0.000000,0.000000,0.026026,0.000712,0.002211,0.634582,0.393840,0.016027,0.137430,0.150809,0.077398,0.000803|0.418949|0.519585|0.053893|0.012219|0.000000,0.289192,0.514209,0.122192,0.144672,0.921043,1.000000,0.855328,155478.000000,973207.800000,0.055222,252.000000,502.200000,0.032171,0.916100,0.760780,0,4305.731445,0.000390,0.513771,84,0,0.000000,1,0,15,0.307634,0.594118,0.473663,0.692366,1331.706727,28004.176600,153681.118893,0.000000,0.000000,0.000000,154577490.855383
-4600,43525508.000000,0.001991,0.985915,0.000604,0.000034,0.000000,0.000000,0.026696,0.000702,0.002577,0.639757,0.395022,0.015468,0.064447,0.155976,0.076668,0.000688|0.405750|0.530172|0.055485|0.012558|0.000000,0.297906,0.515263,0.124594,0.147602,0.946805,1.000000,0.852398,162583.000000,985727.800000,0.070888,247.500000,497.800000,0.031743,0.937000,0.760830,0,4382.183105,0.000390,0.621039,130,0,0.000000,8,0,17,0.311394,0.594395,0.473844,0.688606,2152.500738,26028.133163,141754.997191,0.000000,0.000000,0.000000,181517616.993977
-4550,48246852.000000,0.002062,0.995500,0.000200,0.000034,0.000000,0.001081,0.027525,0.000670,0.002933,0.613057,0.403571,0.009598,0.024006,0.160694,0.079477,0.000572|0.399724|0.534491|0.056898|0.012863|0.000000,0.300361,0.520124,0.124421,0.149373,1.000000,1.000000,0.850627,153856.000000,1151162.000000,0.077468,247.000000,492.000000,0.031315,0.926500,0.756150,0,4465.135742,0.000354,0.772773,135,0,0.000000,19,0,22,0.313028,0.608699,0.466154,0.686972,3640.130411,31820.519092,175365.630956,0.000000,0.000000,0.000000,215274897.089173
-4500,52659230.000000,0.001752,0.995855,0.000244,0.000034,0.000000,0.000919,0.028193,0.000743,0.003306,0.580563,0.407461,0.015591,0.029518,0.166929,0.081555,0.000500|0.383932|0.547261|0.059223|0.013262|0.000000,0.307953,0.522164,0.127395,0.152351,1.000000,1.000000,0.847649,165021.000000,1288374.600000,0.093006,244.000000,491.200000,0.030976,0.925200,0.762320,0,4485.645508,0.000329,0.767246,150,0,0.000000,4,0,25,0.316825,0.613422,0.456178,0.683175,3195.977237,28870.752789,160013.065566,0.000000,0.000000,0.000000,250935588.662577
-4450,57096304.000000,0.001619,0.996787,0.000172,0.000034,0.000000,0.001331,0.029518,0.000794,0.003704,0.473919,0.404219,0.026143,0.020640,0.171984,0.082173,0.000432|0.361798|0.567164|0.062236|0.012129|0.000000,0.313916,0.526188,0.128787,0.155519,1.000000,1.000000,0.844481,152426.500000,1160165.500000,0.107715,244.000000,493.900000,0.030689,0.920100,0.761140,0,4353.815430,0.000300,0.908802,160,0,0.000000,6,0,30,0.319466,0.601727,0.422469,0.680534,2655.940226,22011.034154,114763.953092,0.000000,0.000000,0.000000,279466955.879163
-4400,61661235.000000,0.001540,0.986231,0.000727,0.000034,0.000000,0.002272,0.031370,0.000835,0.004064,0.523039,0.405455,0.043902,0.087754,0.175635,0.085318,0.000388|0.336942|0.589749|0.065631|0.011068|0.000000,0.328497,0.522816,0.129266,0.157205,0.948586,1.000000,0.842795,154852.000000,1240850.400000,0.120658,237.000000,498.100000,0.030424,0.920550,0.768170,0,4276.415527,0.000285,1.054998,157,0,0.000325,10,0,41,0.321704,0.592630,0.431236,0.678296,1517.030444,20491.928841,107749.185138,0.000000,0.000000,0.000000,307862478.522219
-4350,67336237.000000,0.001762,0.979064,0.001039,0.000034,0.000000,0.000000,0.033353,0.000876,0.004439,0.475738,0.399636,0.034842,0.113576,0.183161,0.088351,0.000352|0.312793|0.611732|0.068779|0.009768|0.000000,0.326483,0.539497,0.131340,0.160033,0.902856,1.000000,0.839967,151795.000000,1309246.300000,0.127808,233.000000,509.700000,0.030134,0.920350,0.778300,0,4152.410156,0.000236,1.321644,175,0,0.000241,4,0,28,0.325415,0.592695,0.423263,0.674585,1336.392900,19451.254762,102464.014753,0.000000,0.000000,0.000000,336312553.795570
-4300,74091827.000000,0.001914,0.987227,0.000621,0.000034,0.000000,0.001098,0.034593,0.000928,0.004822,0.466902,0.409039,0.024165,0.065531,0.187879,0.088800,0.000316|0.290645|0.630839|0.071614|0.009703|0.000000,0.328216,0.547105,0.133393,0.161859,0.946743,1.000000,0.838141,159115.500000,1376831.700000,0.124241,233.000000,524.400000,0.029862,0.906200,0.770640,0,4100.885254,0.000210,1.054726,165,0,0.000000,4,0,37,0.324643,0.593745,0.417455,0.675358,1704.813213,21229.410420,115494.844824,0.000000,0.000000,0.000000,363616041.566598
-4250,81828287.000000,0.001988,0.981638,0.000897,0.000035,0.000000,0.000000,0.036154,0.001033,0.005276,0.465758,0.399075,0.019878,0.102961,0.190575,0.088856,0.000291|0.269581|0.649627|0.074190|0.009050|0.000000,0.327608,0.556138,0.135108,0.163713,0.929398,1.000000,0.836287,166810.000000,1543334.200000,0.119394,229.000000,540.600000,0.029593,0.910800,0.782660,0,4129.665527,0.000177,0.992406,175,0,0.000229,1,0,37,0.330751,0.590602,0.416664,0.669249,2240.811570,23293.567562,126743.285389,0.000000,0.000000,0.000000,393097068.628011
-4200,89951471.000000,0.001895,0.980025,0.000403,0.000034,0.000000,0.001214,0.038386,0.001087,0.005672,0.467023,0.410390,0.021092,0.046697,0.193552,0.089699,0.000256|0.246642|0.669889|0.077349|0.009033|0.000000,0.329885,0.564872,0.137139,0.167162,0.927629,1.000000,0.832839,184044.500000,1748234.500000,0.117570,224.000000,556.800000,0.029330,0.908050,0.775990,0,3694.713379,0.000174,0.874761,189,0,0.000073,7,0,34,0.331796,0.593477,0.420585,0.668204,1732.766281,24577.463477,134594.428398,0.000000,0.000000,0.000000,428939708.847014
-4150,99327614.000000,0.001985,0.962961,0.001064,0.000035,0.000000,0.001570,0.040057,0.001122,0.006047,0.464050,0.411041,0.034692,0.126958,0.195911,0.091047,0.000227|0.224743|0.690222|0.080347|0.007271|0.000000,0.330051,0.573362,0.138950,0.169361,0.867720,1.000000,0.830639,189066.500000,2026360.700000,0.110107,224.000000,580.400000,0.029045,0.900100,0.780000,0,3665.334717,0.000148,0.858346,174,0,0.000847,0,0,33,0.334316,0.592150,0.418285,0.665684,868.153317,24760.962677,135929.966966,0.000000,0.000000,0.000000,457151465.594463
-4100,110012142.000000,0.002045,0.919639,0.001667,0.000035,0.000000,0.001703,0.042688,0.001175,0.006440,0.462574,0.409983,0.054270,0.180818,0.198158,0.092114,0.000211|0.208554|0.703916|0.083353|0.006431|0.000000,0.331254,0.578303,0.140197,0.171739,0.784598,0.967531,0.828261,171218.500000,2355776.200000,0.110346,224.000000,588.200000,0.028813,0.897500,0.776290,0,3217.050537,0.000118,0.898457,183,0,0.002383,0,0,40,0.335406,0.590722,0.423092,0.664594,685.134146,24852.989776,135782.271509,0.000000,0.000000,0.000000,485531272.304368
-4050,122103681.000000,0.002088,0.915896,0.001750,0.000035,0.000000,0.000000,0.044916,0.001167,0.006809,0.460880,0.401452,0.038719,0.191825,0.200461,0.092844,0.000188|0.189063|0.721454|0.086353|0.005391|0.000000,0.332701,0.588111,0.141506,0.174096,0.788576,0.945650,0.825904,176717.000000,2777848.400000,0.105719,224.000000,597.200000,0.028608,0.901500,0.792580,0,3073.250977,0.000116,0.871137,196,0,0.000229,1,0,40,0.337334,0.593101,0.421755,0.662666,861.515570,27816.443248,153822.674341,0.000000,0.000000,0.000000,514496096.255015
-4000,136472531.000000,0.002228,0.947847,0.001161,0.000035,0.000000,0.000979,0.047749,0.001196,0.007213,0.460456,0.416053,0.018244,0.131107,0.202539,0.093855,0.000172|0.170714|0.737025|0.088796|0.005151|0.000000,0.332433,0.595543,0.141683,0.176403,0.840552,1.000000,0.823597,198457.000000,3032812.600000,0.109846,218.000000,598.400000,0.028350,0.895900,0.789040,0,3255.132324,0.000108,1.048176,199,0,0.000000,8,0,36,0.339121,0.583863,0.417678,0.660879,2597.060221,31212.680999,175455.780942,0.000000,0.000000,0.000000,545224503.236315
-3950,152683110.000000,0.002247,0.963817,0.000579,0.000036,0.000000,0.001270,0.050570,0.001237,0.007719,0.461444,0.414934,0.012024,0.065843,0.206190,0.094642,0.000155|0.153916|0.751418|0.091305|0.005171|0.000000,0.326553,0.609751,0.143594,0.178305,0.871923,1.000000,0.821695,191666.000000,3502775.600000,0.110405,218.000000,603.800000,0.028094,0.894700,0.787700,0,3550.806641,0.000107,0.865550,192,0,0.000000,0,0,32,0.343921,0.593501,0.417964,0.656079,4861.061261,34889.877299,202822.053560,0.000000,0.000000,0.000000,574659875.938232
