year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13886044.000000,0.000000,1.000000,0.000000,0.003205,0.000000,0.001224,0.025804,0.000003,0.000004,0.712346,0.664344,0.026543,0.000000,0.072568,0.065266,0.004999|0.412796|0.516467|0.050540|0.015222|0.000000,0.359457,0.345248,0.113900,0.124929,1.000000,1.000000,0.875071,125779.000000,302261.000000,0.030193,265.000000,687.600000,0.035914,0.828500,0.707860,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.258194,0.847980,0.679367,0.741806,103363.082510,137405.938994,803292.827766,0.000000,0.000000,0.000000,234976.154608
-4950,18152503.000000,0.005373,0.956639,0.001408,0.006667,0.000000,0.000000,0.023344,0.000176,0.000235,0.809477,0.446869,0.051580,0.004304,0.103741,0.086441,0.002910|0.426353|0.515689|0.053450|0.013485|0.000000,0.306629,0.435301,0.100164,0.128588,0.827231,0.999376,0.871412,148111.000000,410729.600000,0.040792,257.000000,672.000000,0.035402,0.976000,0.745720,0,959.127258,0.000053,0.000000,47,0,0.000315,5,0,14,0.290953,0.577758,0.722371,0.709048,691.424308,31267.774958,198250.995090,0.000000,0.000000,0.000000,13417881.116901
-4900,20899500.000000,0.002822,0.961037,0.001041,0.005356,0.000000,0.000888,0.022945,0.000314,0.000523,0.645949,0.364024,0.042685,0.004301,0.116266,0.093125,0.002378|0.426953|0.514903|0.053038|0.012647|0.000000,0.280414,0.472327,0.103306,0.129019,0.856987,1.000000,0.870981,139439.000000,467185.400000,0.051930,263.500000,611.500000,0.034419,0.914800,0.638620,0,1612.342529,0.000138,0.321791,50,0,0.000326,10,0,8,0.279606,0.588554,0.658981,0.720394,752.686358,40953.708171,248020.842860,0.000000,0.000000,0.000000,30006607.768045
-4850,23574137.000000,0.002411,0.965468,0.000831,0.003094,0.000000,0.000000,0.023378,0.000411,0.000823,0.644227,0.347881,0.037986,0.004277,0.124635,0.093799,0.001856|0.423434|0.517296|0.052904|0.012230|0.000000,0.274749,0.488860,0.104318,0.131742,0.840985,1.000000,0.868258,133712.500000,533166.600000,0.061609,259.500000,607.100000,0.034069,0.912400,0.678880,0,1983.580933,0.000228,0.219390,53,0,0.000326,10,0,10,0.281699,0.589739,0.656635,0.718301,1263.361382,38983.542722,232417.101764,0.000000,0.000000,0.000000,48633886.620913
-4800,26314676.000000,0.002202,0.975077,0.000842,0.004287,0.000000,0.000000,0.024268,0.000413,0.001140,0.615038,0.383139,0.027987,0.004244,0.131375,0.087565,0.001534|0.422391|0.518915|0.052864|0.012007|0.000000,0.275866,0.499510,0.112703,0.135583,0.906130,1.000000,0.864417,137281.000000,613176.000000,0.063617,250.500000,520.800000,0.033355,0.914050,0.768250,0,2276.833008,0.000217,0.368187,67,1,0.000262,38,0,17,0.292472,0.594161,0.649824,0.707528,1314.376966,44966.085261,263003.962747,0.000000,0.000000,0.000000,80097894.721737
-4750,29273783.000000,0.002134,0.992839,0.000348,0.006856,0.000000,0.001213,0.024799,0.000489,0.001476,0.648588,0.395954,0.009704,0.004214,0.138564,0.082341,0.001240|0.419962|0.521204|0.052901|0.011899|0.000000,0.287098,0.502100,0.120280,0.139109,0.981772,1.000000,0.860891,129394.000000,689619.500000,0.070915,243.500000,508.500000,0.033196,0.921100,0.742600,0,3994.834717,0.000501,0.422818,67,0,0.000084,21,0,14,0.299447,0.596830,0.666823,0.700553,1549.316247,27267.885398,152215.618553,0.000000,0.000000,0.000000,101625102.980006
-4700,32331174.000000,0.001989,0.985253,0.001031,0.007423,0.000000,0.001719,0.025324,0.000618,0.001829,0.626653,0.397905,0.019951,0.004947,0.144125,0.077174,0.001016|0.417010|0.522740|0.053472|0.011966|0.000000,0.290043,0.504154,0.122299,0.141675,0.928248,1.000000,0.858325,128682.000000,788547.000000,0.059096,246.000000,506.400000,0.032830,0.922000,0.744040,0,4282.767578,0.000485,0.544204,85,1,0.000191,4,0,11,0.301984,0.592930,0.655080,0.698016,1268.750355,26706.726569,150000.031389,0.000000,0.000000,0.000000,123651457.614537
-4650,35910053.000000,0.002102,0.981822,0.001081,0.004409,0.000000,0.001743,0.025819,0.000731,0.002190,0.649921,0.396977,0.023056,0.005260,0.150303,0.075713,0.000839|0.416386|0.522204|0.053985|0.012138|0.000000,0.290855,0.509427,0.122685,0.144546,0.899982,1.000000,0.855454,128281.000000,899773.600000,0.055488,253.000000,506.400000,0.032255,0.925000,0.746880,0,4305.970215,0.000404,0.602912,72,0,0.000261,0,0,7,0.307077,0.599481,0.673232,0.692923,1325.458336,29780.154636,165028.822938,0.000000,0.000000,0.000000,146636338.506405
-4600,39440672.000000,0.001877,0.988556,0.000477,0.004415,0.000000,0.001509,0.026401,0.000764,0.002557,0.658537,0.400702,0.014502,0.005225,0.155246,0.075208,0.000731|0.405413|0.530785|0.055150|0.012378|0.000000,0.297658,0.512352,0.125865,0.147918,0.939861,1.000000,0.852082,142502.000000,962140.000000,0.070803,250.000000,502.200000,0.031833,0.930700,0.749400,0,4441.913574,0.000397,0.645443,95,0,0.000181,8,0,12,0.311407,0.607361,0.669198,0.688593,2015.682101,25891.421532,139307.902971,0.000000,0.000000,0.000000,170778376.175269
-4550,43375628.000000,0.001904,0.996173,0.000076,0.007437,0.000000,0.001147,0.027062,0.000738,0.002917,0.612563,0.403510,0.006634,0.005202,0.160020,0.076331,0.000615|0.401718|0.533189|0.056189|0.012626|0.000000,0.300144,0.515560,0.124807,0.150092,1.000000,1.000000,0.849908,126951.000000,1056036.000000,0.078480,251.000000,494.400000,0.031432,0.932600,0.757320,0,4533.730957,0.000353,0.711426,115,0,0.000066,15,0,15,0.315258,0.627310,0.644673,0.684742,3514.973086,28548.050378,157632.627044,0.000000,0.000000,0.000000,203085162.078587
