year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13886062.000000,0.000000,1.000000,0.000000,0.006414,0.000000,0.001315,0.025445,0.000003,0.000004,0.714041,0.659050,0.026693,0.000000,0.068973,0.062402,0.022320|0.386990|0.478414|0.063392|0.031039|0.017857,0.349452,0.340247,0.112684,0.125318,1.000000,1.000000,0.874682,123435.000000,301224.500000,0.043847,265.000000,687.000000,0.035682,0.832800,0.694550,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.259249,0.847215,0.680077,0.740751,102073.771092,129593.721600,760718.385443,0.000000,0.000000,0.000000,230062.308521
-4950,18182459.000000,0.002851,0.962716,0.001288,0.006557,0.000000,0.000000,0.023190,0.000178,0.000229,0.809880,0.444857,0.037284,0.000000,0.101045,0.082790,0.020426|0.401036|0.477660|0.065746|0.029518|0.017857,0.309309,0.433279,0.101016,0.128693,0.872529,1.000000,0.871307,133803.000000,421179.000000,0.053100,257.000000,649.400000,0.035189,0.973100,0.731640,0,982.134338,0.000054,0.000000,38,0,0.000339,11,0,14,0.290799,0.577352,0.722432,0.709201,690.497925,31122.013270,192320.562859,0.000000,0.000000,0.000000,13343371.053854
-4900,21001118.000000,0.002222,0.966379,0.000878,0.006474,0.000000,0.000961,0.022874,0.000304,0.000503,0.635961,0.364858,0.033621,0.723798,0.113851,0.089306,0.019927|0.403280|0.475090|0.065097|0.028861|0.017857,0.282054,0.477180,0.103856,0.125573,0.891138,1.000000,0.874427,140537.000000,486544.000000,0.049134,258.000000,610.000000,0.034315,0.904600,0.642200,0,1697.577393,0.000116,0.374878,32,0,0.000353,9,0,5,0.276234,0.585780,0.654266,0.723766,865.911553,38985.233777,244030.231935,0.000000,0.000000,0.000000,29975113.352420
-4850,23732867.000000,0.002112,0.971275,0.000725,0.006338,0.000000,0.000000,0.023578,0.000389,0.000794,0.665852,0.349234,0.028725,0.716887,0.122669,0.090092,0.019483|0.401814|0.475500|0.064759|0.028526|0.017857,0.275990,0.496433,0.104590,0.131939,0.866292,1.000000,0.868061,129910.000000,524156.200000,0.063884,257.000000,608.000000,0.033839,0.912900,0.680800,0,1953.306519,0.000213,0.237966,51,0,0.000341,10,0,7,0.280111,0.591877,0.664985,0.719889,1012.206108,36622.697624,216234.089021,0.000000,0.000000,0.000000,49099091.584566
-4800,26530720.000000,0.002058,0.982983,0.000696,0.006400,0.000000,0.000000,0.024503,0.000373,0.001096,0.607853,0.380613,0.017017,0.714864,0.130476,0.085543,0.019196|0.403355|0.474339|0.064575|0.028371|0.017857,0.277279,0.505216,0.112607,0.133821,0.965850,1.000000,0.866179,120720.500000,571722.000000,0.075320,253.000000,538.500000,0.033059,0.908400,0.750600,0,2329.301025,0.000247,0.345002,60,0,0.000226,37,0,15,0.285907,0.593148,0.640189,0.714093,1313.044105,34627.573192,197449.047826,0.000000,0.000000,0.000000,79175209.628314
-4750,29430011.000000,0.002019,0.990554,0.000687,0.006581,0.000000,0.001006,0.025421,0.000459,0.001428,0.613638,0.394713,0.009446,0.709892,0.138677,0.080151,0.018948|0.399954|0.476941|0.064703|0.028348|0.017857,0.273001,0.519535,0.116933,0.138457,0.961338,1.000000,0.861544,109581.500000,618432.000000,0.082451,249.500000,515.400000,0.032716,0.913850,0.739270,0,4209.310547,0.000483,0.431153,73,0,0.000139,11,0,15,0.289335,0.604617,0.642759,0.710665,1290.552784,28028.361395,154982.344520,0.000000,0.000000,0.000000,101006306.158988
-4700,32319299.000000,0.001969,0.983764,0.001244,0.006603,0.000000,0.001293,0.026223,0.000511,0.001772,0.560110,0.395934,0.016236,0.706129,0.145866,0.076949,0.018765|0.396688|0.479034|0.065438|0.028496|0.017857,0.269254,0.530611,0.118999,0.141991,0.922304,1.000000,0.858009,114891.000000,708709.200000,0.087696,252.000000,509.600000,0.032269,0.906500,0.741020,0,4537.556641,0.000441,0.659443,90,1,0.000262,4,0,13,0.297429,0.596750,0.623438,0.702571,1183.097451,29120.203614,160455.230218,0.000000,0.000000,0.000000,123544331.466241
-4650,35770264.000000,0.002008,0.980068,0.001305,0.006429,0.000000,0.001506,0.026779,0.000676,0.002135,0.465452,0.394733,0.019932,0.703291,0.152662,0.075489,0.018623|0.395890|0.478367|0.066041|0.028707|0.017857,0.269010,0.537060,0.121420,0.144670,0.913335,1.000000,0.855330,126641.000000,759510.200000,0.089374,260.000000,509.600000,0.031675,0.907700,0.742540,0,4583.253418,0.000372,0.641408,79,0,0.000356,0,0,10,0.304727,0.605654,0.590806,0.695273,1454.465731,30561.981572,166572.884161,0.000000,0.000000,0.000000,147095855.477972
-4600,39240228.000000,0.001963,0.990623,0.000414,0.006395,0.000000,0.000000,0.027108,0.000583,0.002482,0.468165,0.396472,0.009377,0.700738,0.157380,0.076780,0.018534|0.387100|0.485375|0.067127|0.028948|0.017857,0.281237,0.534546,0.123596,0.147091,0.963913,1.000000,0.852909,108998.500000,925810.300000,0.083462,262.000000,495.600000,0.031232,0.917950,0.758180,0,4880.081055,0.000365,0.694772,91,1,0.000184,22,0,16,0.305203,0.607181,0.592671,0.694797,2136.972659,30364.098065,165589.764119,0.000000,0.000000,0.000000,173935444.199293
-4550,43182186.000000,0.001979,0.997270,0.000077,0.006571,0.000000,0.000985,0.027619,0.000600,0.002846,0.470913,0.401599,0.002730,0.698885,0.161537,0.077567,0.018436|0.383795|0.487263|0.068011|0.029169|0.017857,0.282379,0.538946,0.124646,0.148853,1.000000,1.000000,0.851147,90206.000000,997948.000000,0.084677,262.000000,487.600000,0.030790,0.913900,0.752500,0,4989.871094,0.000332,0.696500,111,0,0.000059,15,0,15,0.301327,0.625562,0.594428,0.698673,3678.153004,36143.558942,204005.819191,0.000000,0.000000,0.000000,205843512.149798
