year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,10276542.000000,0.000000,1.000000,0.000000,0.006420,0.000000,0.001166,0.026750,0.000003,0.000004,0.713403,0.670455,0.026839,0.000000,0.060885,0.054988,0.039563|0.365335|0.468754|0.075292|0.033242|0.017857,0.407419,0.322060,0.115304,0.125172,1.000000,1.000000,0.874828,77823.000000,242728.400000,0.062910,160.000000,564.800000,0.048488,0.831200,0.723200,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.258856,0.850425,0.679810,0.741144,84983.360811,96230.692582,557760.061053,0.000000,0.000000,0.000000,130614.592474
-4950,13187869.000000,0.002750,0.966459,0.000833,0.006559,0.000000,0.001334,0.022469,0.000160,0.000212,0.795277,0.459282,0.033541,0.000000,0.097282,0.076668,0.031105|0.380026|0.481328|0.079709|0.030359|0.017857,0.383540,0.394947,0.107688,0.128019,0.840229,1.000000,0.871981,95382.000000,314326.400000,0.049836,178.000000,564.800000,0.046154,0.967600,0.712760,0,0.000000,0.000000,0.000000,42,0,0.000221,0,0,15,0.288949,0.584212,0.716138,0.711051,784.605587,34217.631790,207370.437104,0.000000,0.000000,0.000000,7668864.655041
-4900,15183677.000000,0.002206,0.962458,0.001094,0.006486,0.000000,0.000000,0.022185,0.000253,0.000456,0.629468,0.366357,0.037542,0.721062,0.112840,0.084363,0.028373|0.379699|0.482345|0.078361|0.029375|0.017857,0.347138,0.446541,0.104469,0.127512,0.874037,1.000000,0.872488,103451.000000,337339.200000,0.066055,207.000000,486.000000,0.044570,0.917100,0.677500,0,846.491699,0.000083,0.358101,43,0,0.000285,24,0,15,0.280033,0.574067,0.651626,0.719967,764.954642,35109.062337,214436.646081,0.000000,0.000000,0.000000,23598789.481800
-4850,17119762.000000,0.002101,0.966987,0.000812,0.006345,0.000000,0.000000,0.022765,0.000312,0.000713,0.465488,0.358623,0.033013,0.720510,0.123175,0.084363,0.025919|0.383423|0.477702|0.078846|0.029026|0.017857,0.333834,0.470566,0.103730,0.128022,0.869232,1.000000,0.871978,95237.000000,405947.800000,0.073591,225.000000,486.000000,0.033459,0.915600,0.682740,0,895.258667,0.000073,0.297835,45,0,0.000283,6,0,7,0.282851,0.589660,0.585143,0.717149,911.526756,30458.593656,181230.055608,0.000000,0.000000,0.000000,34582964.929805
-4800,19135225.000000,0.002057,0.981944,0.000493,0.006420,0.000000,0.000000,0.023560,0.000317,0.000988,0.514413,0.390615,0.018056,0.718550,0.131712,0.078241,0.024159|0.387464|0.472786|0.079267|0.029102|0.017857,0.332528,0.472628,0.110054,0.129836,0.913106,1.000000,0.870164,79579.500000,349424.500000,0.086860,192.500000,416.900000,0.033194,0.915200,0.713760,0,1091.929932,0.000128,0.360625,76,0,0.000173,44,0,11,0.284426,0.593083,0.603143,0.715574,1156.745053,21295.386720,122843.431617,0.000000,0.000000,0.000000,47856228.359741
-4750,21428345.000000,0.002067,0.990241,0.000231,0.006577,0.000000,0.001608,0.024261,0.000363,0.001295,0.465149,0.392693,0.009759,0.715806,0.139126,0.070602,0.022850|0.388446|0.470769|0.079258|0.029203|0.017857,0.341035,0.469900,0.116071,0.132382,0.963894,1.000000,0.867618,90330.000000,408270.300000,0.092173,194.500000,416.900000,0.032849,0.905350,0.737060,0,1056.027832,0.000120,0.258274,62,0,0.000105,3,0,8,0.286111,0.605506,0.587047,0.713889,1135.275582,28552.430384,165654.826097,0.000000,0.000000,0.000000,60939086.721087
-4700,23776600.000000,0.002020,0.984087,0.000454,0.006601,0.000000,0.003010,0.025423,0.000399,0.001621,0.465358,0.392925,0.015913,0.713311,0.146035,0.067007,0.021896|0.386648|0.471687|0.079947|0.029358|0.017857,0.348900,0.476523,0.118085,0.134705,0.942253,1.000000,0.865295,98849.000000,457764.000000,0.092449,195.000000,416.200000,0.032319,0.884800,0.736100,0,1177.640137,0.000141,0.225016,79,1,0.000189,5,0,16,0.289002,0.598346,0.587483,0.710997,934.102557,18036.511134,93704.227188,0.000000,0.000000,0.000000,76279394.948749
-4650,26409667.000000,0.002026,0.981567,0.000602,0.006438,0.000000,0.002778,0.026431,0.000452,0.001942,0.463961,0.392965,0.018433,0.710137,0.152831,0.065154,0.021308|0.385456|0.471851|0.081360|0.028513|0.017857,0.347731,0.481969,0.120207,0.137672,0.890737,1.000000,0.862328,110905.000000,502787.200000,0.086787,195.000000,414.800000,0.031831,0.885600,0.737800,0,1030.916626,0.000184,0.193839,82,0,0.000243,7,0,13,0.292125,0.593800,0.588170,0.707874,1023.193000,26094.634726,147619.102484,0.000000,0.000000,0.000000,99874869.694390
-4600,29437639.000000,0.002043,0.992413,0.000319,0.006383,0.000000,0.000000,0.026852,0.000469,0.002277,0.464710,0.373371,0.007587,0.706797,0.158616,0.065659,0.020872|0.383045|0.472744|0.082428|0.028684|0.017857,0.348410,0.486131,0.119270,0.140808,0.950029,1.000000,0.859193,82814.000000,552868.300000,0.080789,189.000000,412.700000,0.031474,0.903650,0.743210,0,970.572205,0.000159,0.216672,74,0,0.000112,6,0,14,0.295739,0.604238,0.588536,0.704261,1414.382920,25517.732518,141537.237360,0.000000,0.000000,0.000000,117482894.334570
-4550,32440266.000000,0.001986,0.994819,0.000079,0.006581,0.000000,0.001453,0.025973,0.000503,0.002612,0.465505,0.395315,0.005181,0.705995,0.163727,0.067176,0.020547|0.378195|0.477100|0.084062|0.027348|0.017857,0.353863,0.490120,0.122162,0.141564,0.991097,1.000000,0.858437,96455.000000,643015.200000,0.082378,186.500000,410.600000,0.031044,0.891450,0.735630,0,1196.845825,0.000158,0.250516,121,0,0.000084,19,0,17,0.297706,0.600010,0.590030,0.702294,2137.408953,24529.313577,131487.529488,0.000000,0.000000,0.000000,137334396.821827
