year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,22719935.000000,0.000000,0.997684,0.000083,0.008542,0.000000,0.001237,0.024280,0.280133,0.280142,0.675160,0.619687,0.028834,0.010346,0.107335,0.096945,0.024999|0.437524|0.346582|0.099857|0.067029|0.024026,0.351855,0.290075,0.086340,0.112204,1.000000,1.000000,0.887796,261022.000000,303622.100000,0.026779,499.000000,1066.300000,0.021267,0.797750,0.668250,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,0,0.239980,0.789071,0.736757,0.760020,159204.552283,201515.022584,1163357.192198,0.000000,0.000000,0.000000,409188.417826
-4990,24677406.000000,0.003575,0.951914,0.001208,0.008565,0.000000,0.000977,0.022649,0.281532,0.281674,0.754745,0.671096,0.048086,0.010144,0.119861,0.107167,0.023427|0.438259|0.348895|0.101149|0.066740|0.022568,0.333138,0.314931,0.094229,0.125196,0.805888,1.000000,0.874804,271183.000000,340450.600000,0.027384,499.000000,1066.300000,0.021234,0.942350,0.768180,0,0.000000,0.000000,0.000000,17,0,0.000119,0,0,9,0.270334,0.604991,0.771516,0.729666,1932.387007,21395.896088,118825.689150,0.000000,0.000000,0.000000,4404102.126826
-4980,26365737.000000,0.003160,0.964264,0.000722,0.008569,0.000000,0.000440,0.023033,0.283069,0.283377,0.791385,0.674811,0.035736,0.010132,0.125590,0.111604,0.022507|0.440780|0.350128|0.101696|0.065822|0.021275,0.319718,0.336614,0.096444,0.125974,0.878143,1.000000,0.874026,276962.000000,389224.200000,0.026905,499.000000,1066.300000,0.021180,0.958200,0.732270,0,0.000000,0.000000,0.000000,2,0,0.000094,0,0,4,0.274373,0.600364,0.788616,0.725627,1406.114747,29305.538448,170318.737300,0.000000,0.000000,0.000000,8979371.594706
-4970,27857133.000000,0.002879,0.954418,0.000982,0.008588,0.000000,0.000603,0.022892,0.284705,0.285206,0.811746,0.670517,0.045582,0.010097,0.129072,0.113795,0.021954|0.442445|0.351234|0.101667|0.065161|0.020419,0.307909,0.354882,0.098294,0.128271,0.801000,1.000000,0.871729,283441.500000,421911.900000,0.028399,499.000000,1066.300000,0.021104,0.967150,0.701760,0,0.000000,0.000000,0.000000,8,0,0.000127,0,0,5,0.279097,0.584442,0.798461,0.720903,1342.340184,14740.196514,82228.055810,0.000000,0.000000,0.000000,13986078.047549
-4960,28995206.000000,0.002503,0.986674,0.000209,0.008593,0.000000,0.000000,0.023135,0.286325,0.287223,0.822587,0.622705,0.013326,0.711679,0.135475,0.117221,0.021610|0.444027|0.352981|0.101518|0.064395|0.019825,0.298729,0.371375,0.098016,0.124009,0.984031,1.000000,0.875991,300436.000000,446038.800000,0.030347,478.000000,1066.200000,0.021035,0.969500,0.758760,0,0.000000,0.000000,0.000000,0,0,0.000039,1,0,3,0.278813,0.600914,0.799136,0.721187,1671.422612,19202.944958,110004.325232,0.000000,0.000000,0.000000,19302346.532005
-4950,29875425.000000,0.002249,0.958576,0.001282,0.008613,0.000000,0.002192,0.023210,0.287955,0.289313,0.819008,0.536886,0.041424,0.873734,0.141485,0.120703,0.021376|0.444272|0.354812|0.101650|0.063741|0.019362,0.289271,0.388013,0.096027,0.123215,0.883449,0.999217,0.876785,293404.000000,472090.000000,0.032039,475.000000,1066.000000,0.020969,0.966100,0.737600,0,138.080017,0.000012,0.232075,20,0,0.000124,16,0,3,0.274745,0.578246,0.801202,0.725255,741.545647,20964.487955,119589.573503,0.000000,0.000000,0.000000,25425195.833868
-4940,30859807.000000,0.002312,0.994164,0.000146,0.008595,0.000000,0.000000,0.023296,0.289562,0.291552,0.816850,0.478179,0.005836,0.879102,0.147102,0.122894,0.021257|0.444979|0.355366|0.101385|0.063405|0.019117,0.281156,0.401290,0.094943,0.122947,1.000000,1.000000,0.877053,289386.000000,492815.200000,0.033282,466.000000,1057.600000,0.020911,0.968700,0.740040,0,175.040421,0.000021,0.298357,4,0,0.000018,14,0,3,0.274103,0.612778,0.799052,0.725896,2255.862535,27823.153814,159527.844590,0.000000,0.000000,0.000000,32200613.301843
-4930,31726226.000000,0.002193,0.989653,0.000147,0.008585,0.000000,0.000000,0.023312,0.290707,0.293782,0.807335,0.451211,0.010347,0.882062,0.150247,0.125028,0.021097|0.446548|0.355573|0.100916|0.062909|0.018927,0.273612,0.414529,0.093954,0.122312,0.991956,1.000000,0.877688,265404.000000,507259.200000,0.034508,409.000000,1057.200000,0.020841,0.950700,0.714620,0,770.811890,0.000051,0.309885,7,0,0.000033,22,0,3,0.269558,0.605758,0.796041,0.730442,1607.936657,23989.485758,132214.060742,0.000000,0.000000,0.000000,38368374.679678
-4920,32656841.000000,0.002224,0.986713,0.000228,0.008569,0.000000,0.000000,0.023249,0.292068,0.296118,0.788145,0.463155,0.013287,0.881651,0.154010,0.126432,0.020960|0.446890|0.355745|0.100823|0.062786|0.018777,0.268116,0.424499,0.093022,0.122623,1.000000,1.000000,0.877377,247955.000000,515913.600000,0.036485,365.000000,1049.200000,0.020732,0.945600,0.728540,0,600.194275,0.000053,0.513197,10,0,0.000043,18,0,0,0.269281,0.593163,0.785128,0.730719,2028.420478,29317.272787,165829.568787,0.000000,0.000000,0.000000,46924080.035091
-4910,33520144.000000,0.002153,0.995019,0.000061,0.008540,0.000000,0.000000,0.023252,0.293100,0.298469,0.750219,0.444674,0.004981,0.878169,0.157324,0.127836,0.020775|0.447565|0.356120|0.100417|0.062464|0.018611,0.263415,0.434413,0.094205,0.124562,1.000000,1.000000,0.875438,237507.000000,544418.500000,0.037580,356.500000,1034.000000,0.020641,0.933600,0.724100,0,515.797485,0.000052,0.633321,5,0,0.000017,16,0,2,0.270394,0.612523,0.769083,0.729606,2232.364534,33209.934930,191203.766083,0.000000,0.000000,0.000000,53097898.823816
