year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,22969302.000000,0.000000,0.992849,0.000311,0.008552,0.000000,0.001479,0.027053,0.280135,0.280145,0.683326,0.636370,0.034504,0.023604,0.107616,0.098630,0.023471|0.415457|0.373041|0.109348|0.049080|0.029632,0.339667,0.335832,0.088144,0.115600,1.000000,1.000000,0.884400,296810.000000,304578.000000,0.031561,506.000000,1084.200000,0.021383,0.813200,0.704380,0,0.000000,0.000000,0.000000,2,0,0.000000,0,0,1,0.241188,0.834494,0.738831,0.758811,157936.268155,206275.957010,1197715.582320,0.000000,0.000000,0.000000,341458.246828
-4999,23162299.000000,0.003601,0.972903,0.000983,0.008572,0.000000,0.001566,0.028521,0.280270,0.280294,0.694351,0.645309,0.027097,0.023350,0.108796,0.100371,0.023307|0.415812|0.373382|0.109106|0.049109|0.029340,0.338070,0.337555,0.095359,0.122784,0.981398,1.000000,0.877216,294212.000000,309226.600000,0.031242,506.000000,1084.200000,0.021383,0.912100,0.772560,0,0.000000,0.000000,0.000000,7,0,0.000006,0,0,2,0.267048,0.631276,0.744662,0.732952,7546.531090,12795.640353,70154.780380,0.000000,0.000000,0.000000,648540.612573
-4998,23355664.000000,0.003587,0.968927,0.001049,0.008566,0.000000,0.001005,0.028130,0.280408,0.280444,0.704516,0.653664,0.031073,0.023310,0.110705,0.102056,0.023150|0.415990|0.373848|0.108891|0.049149|0.029084,0.336237,0.339512,0.096060,0.123939,0.911726,1.000000,0.876061,292986.000000,313660.600000,0.030922,506.000000,1084.200000,0.021383,0.923700,0.784400,0,0.000000,0.000000,0.000000,2,0,0.000007,0,0,2,0.269609,0.583684,0.751645,0.730391,2730.970233,19364.339563,105521.672189,0.000000,0.000000,0.000000,962110.445027
-4997,23554102.000000,0.003624,0.971111,0.000938,0.008564,0.000000,0.000813,0.027949,0.280548,0.280597,0.713954,0.659890,0.028889,0.023277,0.112053,0.103067,0.023002|0.416149|0.374327|0.108699|0.049189|0.028858,0.334513,0.341380,0.096415,0.124870,0.951011,1.000000,0.875130,289593.000000,318135.400000,0.030614,506.000000,1084.200000,0.021383,0.931600,0.788540,0,0.000000,0.000000,0.000000,0,0,0.000007,0,0,0,0.271156,0.585463,0.755871,0.728844,1565.739227,36368.807132,203576.819926,0.000000,0.000000,0.000000,1282236.265147
-4996,23759253.000000,0.003677,0.974854,0.000793,0.008564,0.000000,0.000660,0.027813,0.280687,0.280752,0.723668,0.667510,0.025146,0.023258,0.112952,0.103965,0.022866|0.416281|0.374782|0.108524|0.049221|0.028656,0.332857,0.343092,0.096716,0.125418,0.992807,1.000000,0.874582,287220.000000,322638.200000,0.030297,506.000000,1084.200000,0.021383,0.935300,0.792720,0,0.000000,0.000000,0.000000,0,0,0.000006,0,0,0,0.272374,0.590038,0.759241,0.727626,1687.773441,32518.547818,181867.711112,0.000000,0.000000,0.000000,1608993.604148
-4995,23969128.000000,0.003708,0.977949,0.000684,0.008564,0.000000,0.000574,0.027760,0.280828,0.280909,0.730711,0.674689,0.022051,0.023241,0.113345,0.104864,0.022737|0.416428|0.375202|0.108346|0.049246|0.028473,0.331133,0.344811,0.096987,0.125900,0.998945,1.000000,0.874100,286423.000000,327208.600000,0.029989,506.000000,1084.200000,0.021380,0.937800,0.798000,0,0.000000,0.000000,0.000000,0,0,0.000005,0,0,0,0.272752,0.599053,0.762234,0.727248,1936.385832,21562.066001,121809.403337,0.000000,0.000000,0.000000,1942408.692522
-4994,24169861.000000,0.003594,0.970075,0.000951,0.008559,0.000000,0.000609,0.026139,0.280969,0.281067,0.738083,0.680465,0.029925,0.023222,0.113963,0.105426,0.022618|0.416647|0.375772|0.108058|0.049277|0.028164,0.329233,0.346713,0.098001,0.126458,1.000000,1.000000,0.873542,284299.000000,332495.200000,0.029699,506.000000,1084.200000,0.021377,0.941500,0.800140,0,0.000000,0.000000,0.000000,0,0,0.000007,0,0,0,0.273707,0.607666,0.765154,0.726293,1980.679193,20895.231431,115658.833608,0.000000,0.000000,0.000000,2282490.344429
-4993,24371884.000000,0.003590,0.970704,0.000901,0.008560,0.000000,0.000733,0.026198,0.281111,0.281228,0.744308,0.684500,0.029296,0.023211,0.114244,0.106100,0.022505|0.416891|0.376288|0.107777|0.049301|0.027871,0.327378,0.348591,0.098307,0.126768,1.000000,1.000000,0.873232,282183.000000,337536.600000,0.029450,506.000000,1084.200000,0.021373,0.943200,0.795580,0,0.000000,0.000000,0.000000,0,0,0.000007,0,0,0,0.273612,0.613205,0.767521,0.726388,2022.887733,21975.686085,122624.596831,0.000000,0.000000,0.000000,2629142.080842
-4992,24562231.000000,0.003453,0.958257,0.001209,0.008553,0.000000,0.000834,0.023364,0.281255,0.281390,0.750037,0.689226,0.041743,0.023191,0.114300,0.106437,0.022402|0.417234|0.376609|0.107549|0.049337|0.027596,0.325652,0.350584,0.098178,0.127338,0.935847,1.000000,0.872662,282351.000000,342880.800000,0.029188,506.000000,1084.200000,0.021362,0.944800,0.805740,0,0.000000,0.000000,0.000000,4,0,0.000010,0,0,2,0.274718,0.615130,0.770390,0.725282,2209.134941,27849.783742,158790.416117,0.000000,0.000000,0.000000,2982206.247108
-4991,24749411.000000,0.003405,0.957972,0.001186,0.008550,0.000000,0.001010,0.023100,0.281400,0.281553,0.755394,0.694799,0.042028,0.023163,0.115761,0.107335,0.022305|0.417619|0.376946|0.107321|0.049373|0.027330,0.324007,0.352585,0.099727,0.128134,0.905736,1.000000,0.871866,280359.000000,348216.800000,0.028967,506.000000,1084.200000,0.021355,0.948000,0.801500,0,0.000000,0.000000,0.000000,1,0,0.000010,0,0,1,0.274948,0.609689,0.773223,0.725052,2266.097817,9752.507979,51430.151222,0.000000,0.000000,0.000000,3341259.167065
