year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,24719089.000000,0.000000,1.000000,0.000000,0.008543,0.000000,0.001350,0.024084,0.280134,0.280143,0.669480,0.604429,0.029286,0.000000,0.115704,0.105763,0.040055|0.365983|0.393840|0.131425|0.039715|0.029010,0.387824,0.302392,0.087026,0.108204,1.000000,1.000000,0.891795,301043.500000,304423.000000,0.024747,524.500000,1128.000000,0.018986,0.785450,0.617820,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.228553,0.823183,0.734635,0.771447,188426.006190,238055.082235,1367224.473736,0.000000,0.000000,0.000000,387913.470436
-4950,31597209.000000,0.002730,0.948044,0.002044,0.008644,0.000000,0.000000,0.023004,0.287725,0.289219,0.807112,0.474912,0.051956,0.000000,0.161593,0.136318,0.028157|0.367731|0.421316|0.136216|0.036779|0.021888,0.310482,0.432800,0.091377,0.119437,0.806452,0.992017,0.880563,331920.000000,501929.000000,0.023309,498.000000,1078.200000,0.018961,0.947200,0.652600,0,381.265869,0.000038,0.570885,47,0,0.000821,39,0,18,0.264883,0.573937,0.793027,0.735117,766.939849,34577.386362,207277.337915,0.000000,0.000000,0.000000,22684211.018267
-4900,35488055.000000,0.002081,0.955240,0.001322,0.008588,0.000000,0.000000,0.023306,0.292954,0.300537,0.660508,0.373526,0.044760,0.000000,0.182880,0.147214,0.025535|0.373135|0.425464|0.132543|0.035753|0.020707,0.296020,0.478444,0.092898,0.124716,0.855395,1.000000,0.875284,229874.000000,574795.000000,0.030405,417.000000,906.600000,0.018783,0.917800,0.610020,0,1377.446045,0.000171,0.752247,77,0,0.000794,79,0,21,0.266228,0.569108,0.736949,0.733772,1147.293663,25202.199692,129438.266923,0.000000,0.000000,0.000000,57301781.783958
-4850,39550990.000000,0.002043,0.965524,0.001006,0.008435,0.000000,0.000901,0.023981,0.297284,0.312952,0.683490,0.352027,0.034476,0.000000,0.202595,0.151876,0.024035|0.375768|0.428480|0.128871|0.035009|0.020077,0.295287,0.497837,0.098060,0.135254,0.855809,1.000000,0.864746,216977.500000,698125.900000,0.035121,403.500000,905.900000,0.018545,0.915450,0.591220,0,11516.452148,0.000526,0.828518,72,0,0.000682,30,0,18,0.279543,0.584680,0.751907,0.720457,983.921184,36326.745384,188695.471858,0.000000,0.000000,0.000000,86166656.593435
-4800,43990920.000000,0.002033,0.981602,0.000540,0.008477,0.000000,0.000000,0.024352,0.299392,0.326367,0.677226,0.348857,0.018398,0.000000,0.213997,0.143339,0.022896|0.375165|0.430524|0.128676|0.034257|0.019654,0.304298,0.505413,0.100632,0.142159,0.897278,1.000000,0.857841,175595.000000,815086.600000,0.038359,404.000000,905.800000,0.018320,0.914400,0.599700,0,12392.887695,0.000495,0.620462,81,0,0.000405,1,0,18,0.280714,0.596357,0.747365,0.719286,1678.263752,39236.059548,199401.904146,0.000000,0.000000,0.000000,109580986.201199
-4750,48735232.000000,0.002013,0.990314,0.000255,0.008605,0.000000,0.000000,0.024797,0.303286,0.340138,0.634985,0.341717,0.009686,0.695010,0.224781,0.133509,0.021849|0.374250|0.432822|0.129519|0.033542|0.019330,0.313310,0.511275,0.102648,0.140659,0.956828,1.000000,0.859341,181958.000000,934654.800000,0.041189,421.000000,905.600000,0.018121,0.902900,0.627820,0,14942.747070,0.000501,0.706163,76,0,0.000236,7,0,24,0.283027,0.595632,0.734955,0.716973,1771.858048,41482.816665,216682.452947,0.000000,0.000000,0.000000,134887979.837398
-4700,54000119.000000,0.002013,0.984930,0.000601,0.008636,0.000000,0.001386,0.025401,0.304019,0.354175,0.575173,0.372614,0.015070,0.842919,0.233880,0.127668,0.020838|0.372402|0.435413|0.129239|0.033472|0.019071,0.328929,0.508888,0.100727,0.139566,0.953356,1.000000,0.860434,128354.000000,1014145.500000,0.043422,388.500000,871.500000,0.017970,0.872750,0.653100,0,16898.785156,0.000564,0.651667,109,2,0.000407,59,0,22,0.280347,0.593415,0.711202,0.719653,1605.774026,35848.257170,176831.793728,0.000000,0.000000,0.000000,172058487.695547
-4650,60266808.000000,0.002050,0.984874,0.000406,0.008485,0.000000,0.001143,0.026027,0.306302,0.368801,0.643652,0.367879,0.015126,0.836280,0.241126,0.121883,0.020204|0.370480|0.436785|0.129525|0.033271|0.018921,0.333353,0.512410,0.102538,0.144817,0.938241,1.000000,0.855183,128976.000000,1165531.600000,0.045596,377.000000,856.600000,0.017807,0.898000,0.672840,0,19586.285156,0.000591,0.607299,110,0,0.000456,18,0,21,0.286813,0.595640,0.734794,0.713187,2181.487777,36723.148317,183413.984852,0.000000,0.000000,0.000000,210245830.550548
-4600,66477339.000000,0.001991,0.988131,0.000384,0.008454,0.000000,0.000000,0.026646,0.308621,0.384040,0.597054,0.359207,0.011869,0.835351,0.247248,0.119355,0.019673|0.366053|0.441788|0.129857|0.033170|0.018835,0.332977,0.525255,0.104868,0.145558,0.935959,1.000000,0.854442,145038.000000,1320848.000000,0.048152,382.000000,856.000000,0.017683,0.880200,0.654200,0,23320.888672,0.000617,0.522498,121,0,0.000395,6,0,31,0.289420,0.599733,0.715336,0.710580,3601.002036,44033.366251,221662.401930,0.000000,0.000000,0.000000,256857663.470279
-4550,73192917.000000,0.001982,0.993175,0.000112,0.008597,0.000000,0.001240,0.027332,0.311671,0.399911,0.571792,0.365890,0.006825,0.827042,0.251741,0.118794,0.019296|0.360891|0.445178|0.131093|0.033076|0.018746,0.332447,0.535177,0.107127,0.152189,1.000000,1.000000,0.847811,149644.000000,1358430.000000,0.046022,385.000000,856.000000,0.017566,0.875000,0.641100,0,27277.636719,0.000637,0.515727,140,0,0.000250,3,0,39,0.288556,0.615322,0.700354,0.711444,5515.895492,47525.049627,241061.727117,0.000000,0.000000,0.000000,288144655.976497
