year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-4635,unlock,63,North duslinlingrad Tribe,110,Dog Domestication,11
-4633,unlock,60,Old nagarland Tribe,119,Native Copper Working,12
-4549,unlock,63,North duslinlingrad Tribe,119,Native Copper Working,12
-4452,unlock,68,New belranland Tribe,103,Bone and Antler Tools,15
-4441,unlock,41,Great nanadusland Tribe,103,Bone and Antler Tools,20
-4433,unlock,80,Solnarania Tribe,103,Bone and Antler Tools,10
-4399,unlock,16,New termarmarstan Tribe,104,Fishing Technology,18
-4382,unlock,54,New romsol Tribe,103,Bone and Antler Tools,15
-4355,unlock,48,Zendusia Tribe,103,Bone and Antler Tools,19
-4345,unlock,79,South lorgarland Tribe,103,Bone and Antler Tools,15
-4343,unlock,54,New romsol Tribe,104,Fishing Technology,16
-4341,unlock,42,Kingarstan Tribe,103,Bone and Antler Tools,20
-4340,unlock,96,Great dusbelnastan Tribe,103,Bone and Antler Tools,9
-4320,unlock,83,New viaterkinland Tribe,103,Bone and Antler Tools,9
-4319,unlock,82,North viaromzengrad Tribe,103,Bone and Antler Tools,9
-4317,unlock,58,Old linromlor Tribe,103,Bone and Antler Tools,11
-4312,unlock,68,New belranland Tribe,104,Fishing Technology,16
-4300,unlock,123,Old marrangrad Tribe,104,Fishing Technology,14
-4287,unlock,16,New termarmarstan Tribe,108,Watercraft,19
-4278,unlock,65,New ranbelmarland Tribe,104,Fishing Technology,14
-4275,unlock,60,Old nagarland Tribe,103,Bone and Antler Tools,13
-4274,unlock,4,Old lorterstan Tribe,103,Bone and Antler Tools,16
-4269,unlock,23,Old linlorteria Tribe,103,Bone and Antler Tools,11
-4265,unlock,46,Old belmarlor Tribe,103,Bone and Antler Tools,11
-4254,unlock,141,New quigargargrad Kingdom,20,Agriculture,17
-4253,unlock,4,Old lorterstan Tribe,104,Fishing Technology,17
-4246,unlock,21,South solmarlin Tribe,103,Bone and Antler Tools,12
-4243,unlock,29,Lorbelstan Tribe,103,Bone and Antler Tools,13
-4241,unlock,66,Ranzenquiia Tribe,104,Fishing Technology,15
-4236,unlock,3,New viavia Tribe,104,Fishing Technology,17
-4222,unlock,43,South viarania Tribe,103,Bone and Antler Tools,19
-4218,unlock,51,Great sollinland Tribe,104,Fishing Technology,15
-4217,unlock,123,Old marrangrad Tribe,103,Bone and Antler Tools,15
-4213,unlock,48,Zendusia Tribe,104,Fishing Technology,20
-4209,unlock,55,Old terlorromstan Tribe,103,Bone and Antler Tools,11
-4208,unlock,54,New romsol Tribe,108,Watercraft,17
-4205,unlock,40,New romvialand Tribe,109,Long-distance Exchange Networks,19
-4202,unlock,31,Old solzengrad Tribe,103,Bone and Antler Tools,13
-4198,unlock,3,New viavia Tribe,103,Bone and Antler Tools,18
-4198,unlock,62,Old vialinmargrad Tribe,103,Bone and Antler Tools,11
-4192,unlock,95,North dusbelland Tribe,103,Bone and Antler Tools,9
-4186,unlock,134,North terterterstan Kingdom,111,Grinding Stones,8
-4180,unlock,68,New belranland Tribe,110,Dog Domestication,17
-4177,unlock,19,Romnamar Tribe,103,Bone and Antler Tools,12
-4174,unlock,40,New romvialand Tribe,103,Bone and Antler Tools,20
-4174,unlock,45,Old romviaviastan Tribe,103,Bone and Antler Tools,10
-4172,unlock,47,Lorlinlorland Tribe,103,Bone and Antler Tools,11
-4166,unlock,52,Lormar Tribe,110,Dog Domestication,15
-4157,unlock,51,Great sollinland Tribe,110,Dog Domestication,16
-4156,unlock,3,New viavia Tribe,7,Wheel,19
-4154,unlock,68,New belranland Tribe,108,Watercraft,18
-4148,unlock,79,South lorgarland Tribe,104,Fishing Technology,16
