year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-4393,unlock,8,South nalormar Tribe,104,Fishing Technology,17
-4348,unlock,111,Great soldus Tribe,103,Bone and Antler Tools,10
-4335,unlock,67,Great zenrangrad Tribe,103,Bone and Antler Tools,15
-4316,unlock,36,Great mardusvia Tribe,103,Bone and Antler Tools,13
-4314,unlock,97,New belrangaria Tribe,103,Bone and Antler Tools,13
-4303,unlock,54,Old quiromvia Tribe,103,Bone and Antler Tools,15
-4278,unlock,51,Viamarstan Tribe,103,Bone and Antler Tools,15
-4275,unlock,51,Viamarstan Tribe,104,Fishing Technology,16
-4272,unlock,40,Nalorsolgrad Tribe,103,Bone and Antler Tools,20
-4266,unlock,56,South viarangrad Tribe,103,Bone and Antler Tools,11
-4264,unlock,8,South nalormar Tribe,103,Bone and Antler Tools,18
-4263,unlock,31,Great naduskin Tribe,103,Bone and Antler Tools,13
-4253,unlock,10,New vialorstan Tribe,104,Fishing Technology,18
-4244,unlock,17,North zenviagrad Tribe,103,Bone and Antler Tools,11
-4244,unlock,71,Great marsol Tribe,104,Fishing Technology,14
-4234,unlock,92,Old lorkinter Tribe,103,Bone and Antler Tools,9
-4232,unlock,70,Naquinastan Tribe,103,Bone and Antler Tools,14
-4228,unlock,42,North garternastan Tribe,103,Bone and Antler Tools,20
-4228,unlock,120,Great natergrad Tribe,103,Bone and Antler Tools,13
-4222,unlock,0,Great solkinland Tribe,103,Bone and Antler Tools,11
-4206,unlock,122,Old quilinviagrad Tribe,103,Bone and Antler Tools,10
-4176,unlock,67,Great zenrangrad Tribe,110,Dog Domestication,15
-4173,unlock,124,Old dusromran Kingdom,20,Agriculture,17
-4171,unlock,10,New vialorstan Tribe,103,Bone and Antler Tools,19
-4170,unlock,40,Nalorsolgrad Tribe,109,Long-distance Exchange Networks,20
-4165,unlock,20,New garrom Tribe,103,Bone and Antler Tools,11
-4162,unlock,14,Great belzenstan Tribe,103,Bone and Antler Tools,12
-4154,unlock,25,New belquistan Tribe,103,Bone and Antler Tools,11
-4141,unlock,70,Naquinastan Tribe,104,Fishing Technology,15
-4132,unlock,17,North zenviagrad Tribe,104,Fishing Technology,12
-4127,unlock,52,New bellorkin Tribe,103,Bone and Antler Tools,15
-4093,unlock,28,Great marnaranstan Tribe,103,Bone and Antler Tools,11
-4072,unlock,61,Zenduslinia Tribe,119,Native Copper Working,12
-4072,unlock,71,Great marsol Tribe,103,Bone and Antler Tools,15
-4072,unlock,135,South ranrania Tribe,119,Native Copper Working,12
-4069,unlock,46,Old viaterdusgrad Tribe,103,Bone and Antler Tools,10
-4049,unlock,44,North romlorlinstan Tribe,103,Bone and Antler Tools,20
-4049,unlock,67,Great zenrangrad Tribe,115,Counting Tokens and Tallies,16
-4048,unlock,62,New romrombel Tribe,103,Bone and Antler Tools,11
-4036,unlock,40,Nalorsolgrad Tribe,115,Counting Tokens and Tallies,21
-4025,unlock,7,Old solrommarland Tribe,103,Bone and Antler Tools,17
-4025,unlock,84,South romquina Tribe,103,Bone and Antler Tools,9
-4023,unlock,54,Old quiromvia Tribe,104,Fishing Technology,16
-4006,unlock,89,South marmar Tribe,103,Bone and Antler Tools,9
-4005,unlock,82,New dusrannaia Tribe,103,Bone and Antler Tools,9
-4004,unlock,17,North zenviagrad Tribe,108,Watercraft,13
-4000,unlock,98,North kinlorgrad Tribe,103,Bone and Antler Tools,8
-3998,unlock,42,North garternastan Tribe,109,Long-distance Exchange Networks,21
-3983,unlock,70,Naquinastan Tribe,115,Counting Tokens and Tallies,16
-3981,unlock,55,Viaterstan Tribe,103,Bone and Antler Tools,10
-3969,unlock,97,New belrangaria Tribe,111,Grinding Stones,14
-3964,unlock,10,New vialorstan Tribe,7,Wheel,19
-3960,unlock,7,Old solrommarland Tribe,104,Fishing Technology,18
-3946,unlock,70,Naquinastan Tribe,110,Dog Domestication,16
-3944,unlock,54,Old quiromvia Tribe,110,Dog Domestication,17
-3939,unlock,122,Old quilinviagrad Tribe,104,Fishing Technology,11
-3927,unlock,111,Great soldus Tribe,110,Dog Domestication,11
-3926,unlock,54,Old quiromvia Tribe,114,Enclosures and Herd Management,18
-3923,unlock,124,Old dusromran Kingdom,7,Wheel,18
-3920,unlock,96,Linnaviastan Tribe,103,Bone and Antler Tools,9
-3917,unlock,67,Great zenrangrad Tribe,117,Proto-writing and Administrative Notation,17
-3906,unlock,39,Old zenzenlinstan Tribe,103,Bone and Antler Tools,20
-3902,unlock,8,South nalormar Tribe,7,Wheel,19
-3893,unlock,98,North kinlorgrad Tribe,110,Dog Domestication,9
-3892,unlock,67,Great zenrangrad Tribe,10,Irrigation,18
-3890,unlock,84,South romquina Tribe,110,Dog Domestication,10
-3883,unlock,95,Great nasolia Tribe,103,Bone and Antler Tools,9
-3882,unlock,40,Nalorsolgrad Tribe,10,Irrigation,22
-3880,unlock,7,Old solrommarland Tribe,7,Wheel,19
-3877,unlock,17,North zenviagrad Tribe,5,Sailing,14
-3877,unlock,98,North kinlorgrad Tribe,111,Grinding Stones,10
-3874,unlock,40,Nalorsolgrad Tribe,7,Wheel,23
-3871,unlock,122,Old quilinviagrad Tribe,110,Dog Domestication,12
-3862,unlock,10,New vialorstan Tribe,108,Watercraft,20
-3850,unlock,97,New belrangaria Tribe,115,Counting Tokens and Tallies,15
-3850,unlock,148,North tersolia Kingdom,115,Counting Tokens and Tallies,18
-3847,unlock,52,New bellorkin Tribe,110,Dog Domestication,16
-3838,unlock,70,Naquinastan Tribe,114,Enclosures and Herd Management,17
-3837,unlock,97,New belrangaria Tribe,110,Dog Domestication,16
-3826,unlock,70,Naquinastan Tribe,117,Proto-writing and Administrative Notation,18
-3823,unlock,71,Great marsol Tribe,110,Dog Domestication,16
-3821,unlock,124,Old dusromran Kingdom,103,Bone and Antler Tools,19
-3819,unlock,44,North romlorlinstan Tribe,109,Long-distance Exchange Networks,20
-3816,unlock,82,New dusrannaia Tribe,110,Dog Domestication,10
-3815,unlock,71,Great marsol Tribe,108,Watercraft,17
-3813,unlock,148,North tersolia Kingdom,103,Bone and Antler Tools,19
-3808,unlock,122,Old quilinviagrad Tribe,108,Watercraft,13
-3805,unlock,7,Old solrommarland Tribe,108,Watercraft,20
-3804,unlock,71,Great marsol Tribe,115,Counting Tokens and Tallies,18
-3799,unlock,104,South dusdusgrad Tribe,103,Bone and Antler Tools,11
-3793,unlock,31,Great naduskin Tribe,8,Masonry,14
-3787,unlock,92,Old lorkinter Tribe,110,Dog Domestication,10
-3786,unlock,54,Old quiromvia Tribe,108,Watercraft,19
-3765,unlock,67,Great zenrangrad Tribe,104,Fishing Technology,19
-3764,unlock,67,Great zenrangrad Tribe,114,Enclosures and Herd Management,20
-3759,unlock,148,North tersolia Kingdom,7,Wheel,20
-3756,unlock,51,Viamarstan Tribe,115,Counting Tokens and Tallies,17
-3749,unlock,130,Zenviadusstan Kingdom,103,Bone and Antler Tools,11
-3741,unlock,10,New vialorstan Tribe,5,Sailing,21
-3741,unlock,71,Great marsol Tribe,114,Enclosures and Herd Management,19
-3738,unlock,18,New romduslinia Tribe,103,Bone and Antler Tools,11
-3735,unlock,30,New belkinia Tribe,103,Bone and Antler Tools,11
-3733,unlock,34,Old rommarlorstan Tribe,103,Bone and Antler Tools,13
-3732,unlock,42,North garternastan Tribe,10,Irrigation,22
-3722,unlock,49,South rombelland Tribe,103,Bone and Antler Tools,11
-3720,unlock,148,North tersolia Kingdom,109,Long-distance Exchange Networks,21
-3719,unlock,129,Old marquisolgrad Kingdom,103,Bone and Antler Tools,11
-3718,unlock,148,North tersolia Kingdom,20,Agriculture,22
-3704,unlock,44,North romlorlinstan Tribe,7,Wheel,21
-3703,unlock,135,South ranrania Tribe,103,Bone and Antler Tools,13
-3700,unlock,71,Great marsol Tribe,109,Long-distance Exchange Networks,20
-3699,unlock,40,Nalorsolgrad Tribe,117,Proto-writing and Administrative Notation,24
-3697,unlock,10,New vialorstan Tribe,10,Irrigation,22
-3696,unlock,71,Great marsol Tribe,10,Irrigation,21
-3690,unlock,71,Great marsol Tribe,117,Proto-writing and Administrative Notation,22
-3689,unlock,8,South nalormar Tribe,117,Proto-writing and Administrative Notation,20
-3689,unlock,10,New vialorstan Tribe,109,Long-distance Exchange Networks,23
-3686,unlock,67,Great zenrangrad Tribe,118,Numeracy and Measurement,21
-3686,unlock,70,Naquinastan Tribe,7,Wheel,19
-3683,unlock,8,South nalormar Tribe,10,Irrigation,21
-3679,unlock,37,Beltergrad Tribe,103,Bone and Antler Tools,11
-3678,unlock,97,New belrangaria Tribe,109,Long-distance Exchange Networks,17
-3674,unlock,44,North romlorlinstan Tribe,10,Irrigation,22
-3673,unlock,39,Old zenzenlinstan Tribe,7,Wheel,20
-3673,unlock,128,North kinrankinstan Kingdom,103,Bone and Antler Tools,9
-3672,unlock,122,Old quilinviagrad Tribe,109,Long-distance Exchange Networks,14
-3665,unlock,17,North zenviagrad Tribe,109,Long-distance Exchange Networks,15
-3663,unlock,7,Old solrommarland Tribe,5,Sailing,21
-3662,unlock,17,North zenviagrad Tribe,12,Shipbuilding,16
-3662,unlock,124,Old dusromran Kingdom,10,Irrigation,20
-3660,unlock,40,Nalorsolgrad Tribe,12,Shipbuilding,25
-3655,unlock,54,Old quiromvia Tribe,109,Long-distance Exchange Networks,20
-3655,unlock,67,Great zenrangrad Tribe,11,Writing,22
-3653,unlock,54,Old quiromvia Tribe,5,Sailing,21
-3652,unlock,67,Great zenrangrad Tribe,108,Watercraft,23
-3651,unlock,67,Great zenrangrad Tribe,7,Wheel,24
-3647,unlock,51,Viamarstan Tribe,110,Dog Domestication,18
-3645,unlock,61,Zenduslinia Tribe,8,Masonry,13
-3641,unlock,43,New zenbelstan Tribe,103,Bone and Antler Tools,20
-3634,unlock,71,Great marsol Tribe,7,Wheel,23
-3628,unlock,148,North tersolia Kingdom,10,Irrigation,23
-3622,unlock,148,North tersolia Kingdom,117,Proto-writing and Administrative Notation,24
-3618,unlock,39,Old zenzenlinstan Tribe,10,Irrigation,21
-3617,unlock,43,New zenbelstan Tribe,109,Long-distance Exchange Networks,21
