year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,22719935.000000,0.000000,0.997684,0.000083,0.008542,0.000000,0.001237,0.024280,0.280133,0.280142,0.675160,0.619687,0.028834,0.010346,0.107335,0.096945,0.024999|0.437524|0.346582|0.099857|0.067029|0.024026,0.351855,0.290075,0.086340,0.112204,1.000000,1.000000,0.887796,261022.000000,303622.100000,0.026779,499.000000,1066.300000,0.021267,0.797750,0.668250,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,0,0.239980,0.789071,0.736757,0.760020,159204.552283,201515.022584,1163357.192198,0.000000,0.000000,0.000000,409188.417826
-4950,29875487.000000,0.002873,0.958329,0.001290,0.008637,0.000000,0.002961,0.023222,0.287955,0.289367,0.818518,0.537024,0.041671,0.010175,0.141429,0.120591,0.021376|0.444272|0.354813|0.101650|0.063741|0.019362,0.291087,0.386240,0.096027,0.123215,0.883449,0.999215,0.876785,295569.000000,472091.000000,0.032080,475.000000,1066.000000,0.020943,0.967500,0.737600,0,138.078293,0.000012,0.232114,47,0,0.000622,18,0,24,0.274721,0.578246,0.801202,0.725279,824.919269,19664.093216,112233.384094,0.000000,0.000000,0.000000,25429079.949852
-4900,34308900.000000,0.002193,0.954207,0.001252,0.008549,0.000000,0.000000,0.023179,0.294592,0.300822,0.734271,0.437310,0.045793,0.010148,0.160020,0.129409,0.020580|0.447577|0.357024|0.100108|0.061978|0.018488,0.260906,0.441790,0.093932,0.124960,0.868373,1.000000,0.875040,202830.000000,578190.000000,0.038206,354.000000,985.000000,0.020534,0.936000,0.719090,0,497.763000,0.000052,0.729182,51,0,0.000786,86,0,12,0.271143,0.583161,0.763325,0.728857,1016.183713,28036.354458,153876.010612,0.000000,0.000000,0.000000,60483812.727556
-4850,38767979.000000,0.002112,0.974527,0.000693,0.008414,0.000000,0.000777,0.023629,0.299532,0.312963,0.713405,0.390843,0.025473,0.010010,0.172208,0.130757,0.020059|0.447581|0.359094|0.099217|0.060863|0.018140,0.250139,0.468319,0.093881,0.134050,0.902376,1.000000,0.865950,177570.000000,716645.200000,0.041877,334.500000,974.200000,0.020163,0.937900,0.688160,0,1820.935425,0.000158,0.574134,65,0,0.000494,38,0,7,0.280168,0.586242,0.763718,0.719832,960.595270,34900.943167,189678.870832,0.000000,0.000000,0.000000,93339689.386875
-4800,43241563.000000,0.002047,0.978399,0.000906,0.008457,0.000000,0.000569,0.023997,0.305509,0.326057,0.717504,0.379121,0.021601,0.009952,0.179960,0.122894,0.019695|0.446339|0.362565|0.098946|0.059100|0.017982,0.250932,0.479223,0.098154,0.137932,0.910226,1.000000,0.862068,190136.000000,853322.000000,0.047611,344.000000,966.800000,0.019839,0.937200,0.690540,0,3294.247070,0.000234,0.486162,91,0,0.000467,7,0,13,0.282812,0.591086,0.770281,0.717188,1498.919145,37970.575574,206482.926242,0.000000,0.000000,0.000000,129524584.733594
-4750,47756041.000000,0.001997,0.989726,0.000526,0.008583,0.000000,0.000000,0.024425,0.308957,0.339358,0.705807,0.371266,0.010274,0.009886,0.188328,0.115143,0.019392|0.440186|0.369849|0.099588|0.057469|0.017912,0.265436,0.482328,0.101595,0.142316,0.974025,1.000000,0.857684,199728.000000,877261.000000,0.051038,358.000000,966.000000,0.019547,0.938200,0.714700,0,5767.322266,0.000279,0.471345,83,0,0.000245,8,0,21,0.286523,0.599810,0.762689,0.713477,1952.343279,35989.174071,179043.914763,0.000000,0.000000,0.000000,168607956.462286
-4700,52642786.000000,0.001988,0.985972,0.000700,0.008584,0.000000,0.001381,0.024720,0.310533,0.353033,0.648427,0.387922,0.014028,0.009849,0.194058,0.106661,0.019158|0.431503|0.378046|0.100526|0.057297|0.017886,0.271663,0.488270,0.105949,0.144797,0.942741,1.000000,0.855202,187896.500000,925995.800000,0.053685,352.000000,874.000000,0.019169,0.912450,0.707090,0,3400.991943,0.000227,0.476077,84,0,0.000369,30,0,19,0.284855,0.592675,0.738472,0.715145,1662.722117,36396.425313,185791.494788,0.000000,0.000000,0.000000,237794443.504638
-4650,58672714.000000,0.002043,0.985580,0.000730,0.008439,0.000000,0.001186,0.025190,0.312220,0.367142,0.666442,0.400581,0.014420,0.009801,0.200292,0.102449,0.018965|0.426312|0.383253|0.100933|0.056644|0.017876,0.270233,0.496103,0.107889,0.148037,0.933118,1.000000,0.851963,193780.000000,1037246.800000,0.058029,325.000000,869.200000,0.018969,0.908200,0.736780,0,4079.972168,0.000201,0.690349,88,1,0.000423,21,0,13,0.289546,0.595171,0.747898,0.710454,1879.854427,33322.991468,164799.003686,0.000000,0.000000,0.000000,276727107.348058
-4600,65029362.000000,0.002015,0.989188,0.000273,0.008403,0.000000,0.001092,0.025670,0.315594,0.381703,0.664241,0.396400,0.010812,0.009766,0.203999,0.099809,0.018823|0.417979|0.391060|0.102286|0.055587|0.017871,0.279139,0.498716,0.109338,0.150479,0.956277,1.000000,0.849521,168909.500000,1131571.400000,0.059853,326.500000,883.900000,0.018785,0.909200,0.735810,0,5746.322754,0.000212,0.455165,102,0,0.000352,5,0,19,0.291654,0.606183,0.745630,0.708346,3426.173970,39948.264645,199672.119754,0.000000,0.000000,0.000000,319246018.673317
-4550,71786294.000000,0.001995,0.993927,0.000226,0.008544,0.000000,0.000000,0.026469,0.317116,0.396460,0.667954,0.396287,0.006073,0.009736,0.207987,0.099528,0.018701|0.409235|0.399336|0.103625|0.054877|0.017869,0.284952,0.504443,0.112060,0.152477,1.000000,1.000000,0.847523,211270.000000,1265521.400000,0.063949,325.000000,858.000000,0.018609,0.907900,0.751360,0,7629.170898,0.000236,0.366732,118,0,0.000218,1,0,22,0.296677,0.629272,0.746353,0.703323,5473.029444,46527.102076,236240.819462,0.000000,0.000000,0.000000,363841598.789491
-4500,78775317.000000,0.001965,0.996554,0.000415,0.008635,0.000000,0.000000,0.027169,0.320171,0.411870,0.655636,0.395964,0.003446,0.009687,0.210739,0.100258,0.018605|0.398291|0.408698|0.105402|0.054432|0.017868,0.291718,0.507909,0.110990,0.155834,1.000000,1.000000,0.844166,165333.000000,1358543.600000,0.066010,319.000000,863.600000,0.018436,0.907450,0.767440,0,9888.005859,0.000242,0.448798,141,0,0.000136,9,0,30,0.300600,0.627613,0.744477,0.699400,5326.684591,47879.327938,242975.844528,0.000000,0.000000,0.000000,411422625.212628
-4450,85495566.000000,0.001910,0.998975,0.000028,0.008538,0.000000,0.001786,0.028067,0.323986,0.426680,0.680397,0.404943,0.001025,0.009660,0.213154,0.100932,0.018522|0.380879|0.421925|0.108474|0.055393|0.017867,0.298836,0.509290,0.114052,0.157687,1.000000,1.000000,0.842313,136824.500000,1454344.000000,0.068363,313.000000,889.200000,0.018243,0.914550,0.757420,0,12525.637695,0.000277,0.629124,165,0,0.000044,23,0,31,0.302772,0.625532,0.755323,0.697228,4347.737798,49058.366067,247145.505653,0.000000,0.000000,0.000000,484180137.969711
-4400,92205499.000000,0.001878,0.990332,0.000603,0.008422,0.000000,0.000000,0.029013,0.327756,0.442305,0.695912,0.402655,0.009668,0.009631,0.214896,0.101775,0.018462|0.360582|0.437884|0.112458|0.055950|0.017866,0.296076,0.519624,0.114471,0.159714,0.950808,1.000000,0.840286,160514.000000,1634577.800000,0.069947,309.000000,899.200000,0.018038,0.918200,0.771340,0,15260.227539,0.000290,0.557618,164,0,0.000446,5,0,25,0.306639,0.608502,0.759893,0.693361,2605.433762,45096.022347,228335.303782,0.000000,0.000000,0.000000,533459636.600025
-4350,100401801.000000,0.001926,0.986200,0.000574,0.008503,0.000000,0.002846,0.030012,0.329966,0.459042,0.663240,0.409029,0.013800,0.009600,0.220175,0.103123,0.018416|0.343964|0.451569|0.116129|0.054989|0.017865,0.295146,0.529921,0.117297,0.161856,0.942853,1.000000,0.838144,153466.000000,1864203.400000,0.074837,308.000000,909.000000,0.017851,0.915400,0.760820,0,19847.416016,0.000310,0.499803,169,1,0.000693,16,0,21,0.306438,0.599456,0.741205,0.693562,1766.856067,47569.658878,241582.158395,0.000000,0.000000,0.000000,605438540.062217
-4300,109815586.000000,0.001949,0.987137,0.000559,0.008609,0.000000,0.001788,0.031246,0.335987,0.474715,0.610545,0.405583,0.012863,0.009553,0.222366,0.102786,0.018371|0.329945|0.463414|0.119607|0.053250|0.017864,0.298402,0.535915,0.120798,0.165140,0.945448,1.000000,0.834859,133673.000000,2015400.200000,0.076934,308.500000,921.200000,0.017701,0.915000,0.751430,0,24502.134766,0.000336,0.811584,155,0,0.000706,2,0,24,0.308788,0.605652,0.721491,0.691212,2662.519328,50362.189605,255626.158055,0.000000,0.000000,0.000000,653284883.755391
-4250,119406318.000000,0.001919,0.982986,0.000923,0.008591,0.000000,0.001815,0.032661,0.337245,0.489926,0.523216,0.404412,0.017014,0.009509,0.223658,0.101213,0.018328|0.311643|0.478190|0.123251|0.052906|0.017864,0.296132,0.544997,0.121560,0.168184,0.931810,1.000000,0.831816,151930.000000,1997990.800000,0.080351,308.000000,941.200000,0.017569,0.917200,0.753600,0,29874.568359,0.000361,0.600223,171,1,0.001016,3,0,31,0.310178,0.611934,0.690662,0.689822,3398.788576,50474.966719,258168.640212,0.000000,0.000000,0.000000,700368041.977070
-4200,129295360.000000,0.001898,0.979959,0.000813,0.008464,0.000000,0.001933,0.034223,0.340903,0.506737,0.576629,0.403156,0.020041,0.009488,0.224725,0.100090,0.018283|0.291344|0.496289|0.127668|0.050565|0.017863,0.293520,0.553714,0.122635,0.169635,0.916761,1.000000,0.830365,172626.500000,2150765.900000,0.084339,309.500000,966.000000,0.017437,0.891700,0.755750,0,31044.251953,0.000349,0.838028,195,0,0.001296,5,0,38,0.313268,0.596546,0.712997,0.686732,2564.656099,49158.248417,253572.284607,0.000000,0.000000,0.000000,746421428.823030
-4150,139390799.000000,0.001876,0.966062,0.001061,0.008494,0.000000,0.000000,0.036097,0.342312,0.522849,0.491683,0.403575,0.033938,0.009473,0.225623,0.100202,0.018247|0.268445|0.516748|0.132872|0.047808|0.017863,0.299122,0.558589,0.121118,0.170699,0.879061,1.000000,0.829302,192552.500000,2404755.000000,0.084945,291.000000,966.000000,0.017318,0.909350,0.763850,0,35633.281250,0.000398,0.684895,218,0,0.002365,19,0,43,0.316725,0.590647,0.680950,0.683275,1574.215803,44063.447433,232959.072668,0.000000,0.000000,0.000000,823344154.389437
-4100,153099110.000000,0.001969,0.941688,0.001827,0.008598,0.000000,0.000000,0.037746,0.348274,0.538289,0.493096,0.406280,0.058312,0.009414,0.226747,0.100652,0.018216|0.254566|0.529374|0.136347|0.045727|0.017862,0.304708,0.560286,0.124160,0.174857,0.828941,0.993521,0.825143,173295.500000,2681618.100000,0.088860,255.000000,960.100000,0.017185,0.907500,0.773060,0,34521.933594,0.000460,0.729120,192,0,0.004464,15,0,35,0.319271,0.590302,0.683783,0.680729,844.490147,44886.267011,234722.024141,0.000000,0.000000,0.000000,910279352.169213
-4050,165388619.000000,0.001545,0.926265,0.002390,0.008669,0.000000,0.001479,0.040659,0.350901,0.555702,0.479779,0.410496,0.073735,0.009389,0.227758,0.103291,0.018198|0.236369|0.546858|0.141974|0.041401|0.017862,0.305229,0.572481,0.126463,0.176672,0.797359,0.962440,0.823328,204051.000000,2483653.600000,0.092304,252.000000,961.000000,0.017038,0.900600,0.764240,0,43709.121094,0.000524,0.797951,221,0,0.006097,5,0,45,0.320638,0.587575,0.684915,0.679362,1180.626842,46331.231480,248727.631709,0.000000,0.000000,0.000000,956030739.294961
-4000,180106330.000000,0.001706,0.955516,0.001229,0.008531,0.000000,0.001341,0.043949,0.352093,0.572810,0.474090,0.411363,0.044484,0.009330,0.228656,0.104190,0.018172|0.218522|0.560164|0.146799|0.040326|0.017862,0.309239,0.575807,0.128509,0.180845,0.844189,1.000000,0.819155,199786.000000,2795543.600000,0.095983,249.500000,966.000000,0.016916,0.896450,0.767450,0,50661.968750,0.000495,0.780234,189,1,0.004006,4,0,36,0.323859,0.590083,0.678358,0.676141,3075.943784,47963.812371,262728.750859,0.000000,0.000000,0.000000,1002158567.109064
