year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-4511,unlock,122,Great belsollorland Tribe,20,Agriculture,14
-4452,unlock,72,Zenzen Tribe,103,Bone and Antler Tools,15
-4443,unlock,69,Great kinranromland Tribe,103,Bone and Antler Tools,15
-4429,unlock,0,Old solranland Tribe,103,Bone and Antler Tools,18
-4419,unlock,43,Great romkinia Tribe,103,Bone and Antler Tools,19
-4405,unlock,56,Great rombelquigrad Tribe,103,Bone and Antler Tools,11
-4390,unlock,54,New dusnalin Tribe,103,Bone and Antler Tools,15
-4377,unlock,9,South nagarstan Tribe,103,Bone and Antler Tools,17
-4376,unlock,73,Great garkindusgrad Tribe,103,Bone and Antler Tools,15
-4374,unlock,40,Quigaria Tribe,103,Bone and Antler Tools,20
-4368,unlock,92,Old nabelland Tribe,103,Bone and Antler Tools,9
-4365,unlock,60,North belquigrad Tribe,103,Bone and Antler Tools,12
-4364,unlock,41,Old lortertergrad Tribe,103,Bone and Antler Tools,19
-4346,unlock,72,Zenzen Tribe,104,Fishing Technology,16
-4341,unlock,47,Ranmar Tribe,103,Bone and Antler Tools,10
-4336,unlock,51,North rannaquiland Tribe,103,Bone and Antler Tools,15
-4329,unlock,29,Great terloria Tribe,103,Bone and Antler Tools,12
-4319,unlock,59,Great solquiteria Tribe,103,Bone and Antler Tools,12
-4311,unlock,49,North belgarran Tribe,104,Fishing Technology,19
-4310,unlock,83,Great rangar Tribe,103,Bone and Antler Tools,10
-4309,unlock,71,North quisolvialand Tribe,104,Fishing Technology,15
-4307,unlock,2,Great rommarstan Tribe,103,Bone and Antler Tools,18
-4306,unlock,44,South viagarranland Tribe,103,Bone and Antler Tools,20
-4305,unlock,2,Great rommarstan Tribe,104,Fishing Technology,19
-4304,unlock,15,New romviamaria Tribe,103,Bone and Antler Tools,11
-4281,unlock,115,Old garsolstan Tribe,104,Fishing Technology,9
-4275,unlock,49,North belgarran Tribe,103,Bone and Antler Tools,20
-4274,unlock,71,North quisolvialand Tribe,103,Bone and Antler Tools,16
-4273,unlock,69,Great kinranromland Tribe,104,Fishing Technology,16
-4246,unlock,20,North nabelia Tribe,103,Bone and Antler Tools,12
-4239,unlock,115,Old garsolstan Tribe,113,Sedentism,10
-4229,unlock,54,New dusnalin Tribe,110,Dog Domestication,16
-4226,unlock,52,North belviadusgrad Tribe,104,Fishing Technology,15
-4226,unlock,134,Marbelgarland Kingdom,103,Bone and Antler Tools,9
-4225,unlock,0,Old solranland Tribe,104,Fishing Technology,19
-4218,unlock,52,North belviadusgrad Tribe,110,Dog Domestication,16
-4211,unlock,126,Great soldusia Tribe,103,Bone and Antler Tools,11
-4206,unlock,122,Great belsollorland Tribe,110,Dog Domestication,14
-4205,unlock,69,Great kinranromland Tribe,110,Dog Domestication,16
