year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,29669004.000000,0.000000,0.997920,0.000070,0.008540,0.000000,0.000989,0.023906,0.280140,0.280147,0.668784,0.619460,0.028541,0.009789,0.133116,0.121153,0.037661|0.351801|0.405129|0.133900|0.053725|0.017857,0.311911,0.349725,0.089294,0.112640,1.000000,1.000000,0.887360,302914.000000,309490.400000,0.020738,757.000000,1143.000000,0.016520,0.775800,0.666300,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,0,0.233845,0.767884,0.734629,0.766155,191756.085603,222060.029069,1293188.638434,0.000000,0.000000,0.000000,794963.972608
-4950,38310079.000000,0.002781,0.950480,0.001266,0.008655,0.000000,0.000000,0.023208,0.288264,0.289853,0.801301,0.453053,0.049520,0.009680,0.178949,0.154797,0.027292|0.359543|0.417460|0.135141|0.054471|0.017857,0.248796,0.465566,0.091077,0.120049,0.826048,0.987052,0.879951,380641.000000,619676.400000,0.033196,644.500000,1127.900000,0.016477,0.954550,0.672520,0,242.765182,0.000012,0.259948,67,0,0.000949,34,0,27,0.269562,0.572628,0.796857,0.730438,657.667412,15786.595654,84242.861527,0.000000,0.000000,0.000000,45910576.889340
-4900,43497157.000000,0.002136,0.940847,0.001743,0.008579,0.000000,0.000000,0.023117,0.294795,0.301567,0.645335,0.379992,0.059153,0.743910,0.205179,0.168333,0.024168|0.360686|0.420366|0.135645|0.054359|0.017857,0.234070,0.511754,0.087024,0.119913,0.776695,0.996875,0.880087,304333.000000,820888.200000,0.039258,499.000000,1090.400000,0.016381,0.886900,0.617660,0,2429.044189,0.000131,0.796862,78,0,0.001286,78,0,20,0.263935,0.558678,0.739679,0.736066,657.064636,18870.821875,94310.782836,0.000000,0.000000,0.000000,109521046.093467
-4850,48734228.000000,0.002069,0.959328,0.001193,0.008441,0.000000,0.000566,0.023600,0.298311,0.313963,0.588430,0.352223,0.040672,0.733036,0.226017,0.174736,0.022359|0.362744|0.417786|0.137253|0.053709|0.017857,0.237593,0.527024,0.087808,0.129658,0.844076,1.000000,0.870343,269092.500000,979364.400000,0.042063,498.000000,1081.300000,0.016315,0.884100,0.596260,0,2781.982910,0.000196,0.690827,74,0,0.000991,33,0,21,0.272716,0.554695,0.717680,0.727284,769.279250,29709.747210,154191.045725,0.000000,0.000000,0.000000,192995923.874187
-4800,54352611.000000,0.002046,0.978478,0.000608,0.008491,0.000000,0.000000,0.024046,0.302004,0.327173,0.556055,0.350751,0.021522,0.858714,0.239104,0.168333,0.021200|0.361240|0.417181|0.139068|0.053569|0.017857,0.237221,0.543597,0.092362,0.128922,0.910554,1.000000,0.871077,268720.000000,1134391.400000,0.041833,459.500000,1073.700000,0.016203,0.877100,0.604010,0,2987.149902,0.000210,0.655113,93,0,0.000585,20,0,15,0.271746,0.585383,0.693739,0.728254,1824.190184,31222.826316,152727.875063,0.000000,0.000000,0.000000,247950391.951934
-4750,60097931.000000,0.002003,0.985677,0.000674,0.008618,0.000000,0.000000,0.024668,0.306199,0.341017,0.579335,0.351017,0.014323,0.848342,0.248483,0.158111,0.020492|0.359130|0.416079|0.142657|0.052742|0.017857,0.239860,0.552550,0.098202,0.136975,0.936723,1.000000,0.863025,230624.000000,1183724.300000,0.037969,442.500000,1067.200000,0.016115,0.884400,0.612750,0,10925.236328,0.000639,0.493425,91,0,0.000430,19,0,25,0.274728,0.582425,0.703679,0.725272,2365.250981,31340.335268,152521.155775,0.000000,0.000000,0.000000,306889370.759087
-4700,65795866.000000,0.001953,0.979315,0.000419,0.008671,0.000000,0.000000,0.025196,0.301995,0.355052,0.524941,0.359286,0.020685,0.873014,0.258032,0.154797,0.020051|0.354189|0.419178|0.145262|0.052142|0.017857,0.243779,0.560340,0.097804,0.135339,0.921445,1.000000,0.864661,146039.000000,1084167.400000,0.039341,396.000000,1055.500000,0.016039,0.862500,0.658750,0,10618.482422,0.000582,0.527607,131,3,0.000680,66,0,43,0.276879,0.580210,0.688603,0.723121,2353.778649,38651.373205,185874.277531,0.000000,0.000000,0.000000,379614560.715400
-4650,73277730.000000,0.002039,0.980597,0.000559,0.008514,0.000000,0.001941,0.025518,0.305256,0.369546,0.566920,0.368915,0.019403,0.870714,0.267187,0.151427,0.019787|0.351827|0.417821|0.148060|0.051605|0.017857,0.240069,0.571429,0.098962,0.137096,0.934314,1.000000,0.862904,110193.500000,1209949.000000,0.040582,364.000000,1054.000000,0.015926,0.858100,0.659500,0,11595.157227,0.000645,0.529438,129,0,0.000711,30,0,17,0.282340,0.587912,0.695961,0.717660,2570.946802,37432.524123,184887.879901,0.000000,0.000000,0.000000,488073042.473902
-4600,80787056.000000,0.001988,0.980466,0.000619,0.008479,0.000000,0.000000,0.026302,0.307366,0.385609,0.607119,0.368238,0.019534,0.866061,0.272972,0.145810,0.019565|0.346791|0.420820|0.149367|0.051382|0.017857,0.243720,0.573551,0.099533,0.140658,0.920408,1.000000,0.859342,97544.000000,1297192.600000,0.046607,363.000000,1053.800000,0.015818,0.890800,0.676840,0,10743.420898,0.000563,0.525228,145,0,0.000789,1,0,33,0.285826,0.596719,0.713054,0.714174,3506.985218,49257.815823,243544.177844,0.000000,0.000000,0.000000,544564883.941932
-4550,87724238.000000,0.001912,0.992020,0.000114,0.008613,0.000000,0.000000,0.027124,0.312645,0.400718,0.548995,0.369799,0.007980,0.861608,0.278140,0.144181,0.019370|0.337066|0.427466|0.151320|0.051958|0.017857,0.242219,0.576498,0.104492,0.142938,0.992277,1.000000,0.857062,100448.000000,1422686.500000,0.048099,313.500000,1045.500000,0.015722,0.891550,0.682700,0,11927.433594,0.000653,0.630177,161,0,0.000350,32,0,46,0.291124,0.608624,0.694467,0.708876,6360.328036,49483.481111,252351.417217,0.000000,0.000000,0.000000,671091556.587588
-4500,95801173.000000,0.001941,0.993616,0.000255,0.008709,0.000000,0.001827,0.027863,0.315184,0.416922,0.505856,0.380686,0.006384,0.858919,0.283195,0.142889,0.019199|0.329584|0.432298|0.154145|0.051445|0.017857,0.246216,0.579066,0.105944,0.145019,0.989506,1.000000,0.854981,124648.000000,1482512.000000,0.048035,305.000000,1038.000000,0.015643,0.886700,0.678700,0,12751.686523,0.000662,0.711971,185,0,0.000306,20,0,36,0.290734,0.612126,0.676698,0.709266,7146.367013,51845.379314,264979.244774,0.000000,0.000000,0.000000,734734312.109617
-4450,103997525.000000,0.001911,0.996357,0.000126,0.008587,0.000000,0.000000,0.028409,0.318619,0.431543,0.495476,0.375653,0.003643,0.855488,0.289205,0.140362,0.019029|0.319576|0.442071|0.154694|0.051434|0.017857,0.246710,0.583334,0.106164,0.147682,1.000000,1.000000,0.852318,125499.000000,1577833.000000,0.049038,291.000000,1018.000000,0.015559,0.887100,0.694760,0,13576.978516,0.000660,0.596498,178,0,0.000189,10,0,48,0.293737,0.601523,0.675956,0.706263,5787.568269,47979.722113,244592.670005,0.000000,0.000000,0.000000,801411824.636066
-4400,113043810.000000,0.001917,0.989781,0.000449,0.008506,0.000000,0.001984,0.029456,0.320243,0.447442,0.471924,0.379680,0.010219,0.851725,0.293361,0.137834,0.018913|0.307851|0.452605|0.155703|0.050826|0.017857,0.249372,0.585641,0.104869,0.150615,0.957049,1.000000,0.849385,126240.000000,1769950.600000,0.051349,291.000000,1008.000000,0.015487,0.879400,0.684480,0,19672.560547,0.000725,0.573814,209,2,0.000578,9,0,41,0.296445,0.594778,0.673715,0.703555,3465.804461,45115.603715,229093.854642,0.000000,0.000000,0.000000,910720576.761049
-4350,121703945.000000,0.001869,0.981212,0.000941,0.008595,0.000000,0.002261,0.030825,0.322386,0.462611,0.474686,0.377672,0.018788,0.846673,0.296843,0.134520,0.018841|0.289181|0.468105|0.160566|0.049280|0.017857,0.254604,0.589179,0.109197,0.154569,0.924363,1.000000,0.845431,126499.000000,2006065.200000,0.054708,293.000000,998.000000,0.015417,0.875900,0.690080,0,32767.109375,0.000803,0.674051,225,0,0.001143,6,0,51,0.299413,0.589481,0.673916,0.700587,2681.502117,43724.435485,224071.946908,0.000000,0.000000,0.000000,1034984114.965081
-4300,130942091.000000,0.001866,0.980650,0.000861,0.008740,0.000000,0.000000,0.032537,0.325159,0.478623,0.473025,0.379103,0.019350,0.844951,0.301955,0.134464,0.018747|0.266306|0.486057|0.167887|0.047628|0.017857,0.258335,0.597119,0.109925,0.155925,0.918312,1.000000,0.844075,150334.000000,2230725.600000,0.058962,284.000000,950.000000,0.015326,0.888400,0.703520,0,51996.609375,0.000872,0.858235,245,1,0.001267,23,0,53,0.301909,0.588560,0.674828,0.698091,3085.211709,45907.699493,238721.013306,0.000000,0.000000,0.000000,1102688134.377096
-4250,141856870.000000,0.001901,0.984740,0.000533,0.008710,0.000000,0.002134,0.035864,0.327941,0.495767,0.474238,0.381630,0.015260,0.842946,0.310492,0.135981,0.018675|0.251516|0.500776|0.170824|0.044310|0.017857,0.258055,0.608059,0.113020,0.157507,0.932813,1.000000,0.842493,150430.000000,2260804.600000,0.066919,275.000000,912.000000,0.015218,0.875500,0.698140,0,74231.195312,0.001309,0.917578,249,0,0.001082,16,0,51,0.302843,0.589914,0.677384,0.697157,3853.441803,43607.232014,229816.452450,0.000000,0.000000,0.000000,1172807655.491864
-4200,154434720.000000,0.001925,0.982202,0.000736,0.008564,0.000000,0.001941,0.037659,0.329126,0.512718,0.475890,0.385388,0.017798,0.862536,0.315547,0.137329,0.018612|0.236893|0.513203|0.174872|0.041659|0.017857,0.255694,0.619947,0.111523,0.156310,0.930531,1.000000,0.843690,151754.000000,2326710.100000,0.073164,268.000000,903.800000,0.015125,0.873500,0.712310,0,72549.929688,0.001260,0.908638,237,0,0.001374,10,0,61,0.304866,0.587325,0.679049,0.695134,3118.214270,43987.995850,232456.275169,0.000000,0.000000,0.000000,1246816229.315357
-4150,166334331.000000,0.001871,0.965562,0.001118,0.008569,0.000000,0.000000,0.039024,0.330663,0.527714,0.470884,0.386077,0.034438,0.853576,0.321501,0.137666,0.018546|0.216593|0.531185|0.181362|0.037968|0.017857,0.259349,0.630321,0.112097,0.163235,0.866643,1.000000,0.836765,157433.000000,2272306.600000,0.067028,262.000000,913.400000,0.015043,0.886600,0.713480,0,78816.742188,0.001313,1.052414,240,0,0.002864,5,0,66,0.310874,0.576945,0.677848,0.689126,1793.797916,42885.939086,226194.153644,0.000000,0.000000,0.000000,1374276350.126488
