year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,Old solranland Tribe,100,Cordage and Knots,19
-5000,initial,0,Old solranland Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,0,Old solranland Tribe,102,Hafted Stone Tools,19
-5000,initial,0,Old solranland Tribe,105,Food Preservation,19
-5000,initial,0,Old solranland Tribe,106,Storage Pits and Containers,19
-5000,initial,0,Old solranland Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,0,Old solranland Tribe,110,Dog Domestication,19
-5000,initial,0,Old solranland Tribe,111,Grinding Stones,19
-5000,initial,0,Old solranland Tribe,112,Proto-cultivation,19
-5000,initial,0,Old solranland Tribe,113,Sedentism,19
-5000,initial,0,Old solranland Tribe,114,Enclosures and Herd Management,19
-5000,initial,0,Old solranland Tribe,115,Counting Tokens and Tallies,19
-5000,initial,0,Old solranland Tribe,116,Charcoal Firing,19
-5000,initial,0,Old solranland Tribe,1,Pottery,19
-5000,initial,0,Old solranland Tribe,2,Animal Husbandry,19
-5000,initial,0,Old solranland Tribe,4,Mining,19
-5000,initial,0,Old solranland Tribe,20,Agriculture,19
-5000,initial,0,Old solranland Tribe,3,Archery,19
-5000,initial,0,Old solranland Tribe,6,Calendar,19
-5000,initial,1,Zenmardusgrad Tribe,100,Cordage and Knots,19
-5000,initial,1,Zenmardusgrad Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,1,Zenmardusgrad Tribe,102,Hafted Stone Tools,19
-5000,initial,1,Zenmardusgrad Tribe,105,Food Preservation,19
-5000,initial,1,Zenmardusgrad Tribe,106,Storage Pits and Containers,19
-5000,initial,1,Zenmardusgrad Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,1,Zenmardusgrad Tribe,110,Dog Domestication,19
-5000,initial,1,Zenmardusgrad Tribe,111,Grinding Stones,19
-5000,initial,1,Zenmardusgrad Tribe,112,Proto-cultivation,19
-5000,initial,1,Zenmardusgrad Tribe,113,Sedentism,19
-5000,initial,1,Zenmardusgrad Tribe,114,Enclosures and Herd Management,19
-5000,initial,1,Zenmardusgrad Tribe,115,Counting Tokens and Tallies,19
-5000,initial,1,Zenmardusgrad Tribe,116,Charcoal Firing,19
-5000,initial,1,Zenmardusgrad Tribe,1,Pottery,19
-5000,initial,1,Zenmardusgrad Tribe,2,Animal Husbandry,19
-5000,initial,1,Zenmardusgrad Tribe,4,Mining,19
-5000,initial,1,Zenmardusgrad Tribe,20,Agriculture,19
-5000,initial,1,Zenmardusgrad Tribe,3,Archery,19
-5000,initial,1,Zenmardusgrad Tribe,6,Calendar,19
-5000,initial,2,Great rommarstan Tribe,100,Cordage and Knots,19
-5000,initial,2,Great rommarstan Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,2,Great rommarstan Tribe,102,Hafted Stone Tools,19
-5000,initial,2,Great rommarstan Tribe,105,Food Preservation,19
-5000,initial,2,Great rommarstan Tribe,106,Storage Pits and Containers,19
-5000,initial,2,Great rommarstan Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,2,Great rommarstan Tribe,110,Dog Domestication,19
-5000,initial,2,Great rommarstan Tribe,111,Grinding Stones,19
-5000,initial,2,Great rommarstan Tribe,112,Proto-cultivation,19
-5000,initial,2,Great rommarstan Tribe,113,Sedentism,19
-5000,initial,2,Great rommarstan Tribe,114,Enclosures and Herd Management,19
-5000,initial,2,Great rommarstan Tribe,115,Counting Tokens and Tallies,19
-5000,initial,2,Great rommarstan Tribe,116,Charcoal Firing,19
-5000,initial,2,Great rommarstan Tribe,1,Pottery,19
-5000,initial,2,Great rommarstan Tribe,2,Animal Husbandry,19
-5000,initial,2,Great rommarstan Tribe,4,Mining,19
-5000,initial,2,Great rommarstan Tribe,20,Agriculture,19
-5000,initial,2,Great rommarstan Tribe,3,Archery,19
-5000,initial,2,Great rommarstan Tribe,6,Calendar,19
-5000,initial,3,Great nakinkin Tribe,100,Cordage and Knots,19
-5000,initial,3,Great nakinkin Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,3,Great nakinkin Tribe,102,Hafted Stone Tools,19
-5000,initial,3,Great nakinkin Tribe,105,Food Preservation,19
-5000,initial,3,Great nakinkin Tribe,106,Storage Pits and Containers,19
-5000,initial,3,Great nakinkin Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,3,Great nakinkin Tribe,110,Dog Domestication,19
-5000,initial,3,Great nakinkin Tribe,111,Grinding Stones,19
-5000,initial,3,Great nakinkin Tribe,112,Proto-cultivation,19
-5000,initial,3,Great nakinkin Tribe,113,Sedentism,19
-5000,initial,3,Great nakinkin Tribe,114,Enclosures and Herd Management,19
-5000,initial,3,Great nakinkin Tribe,115,Counting Tokens and Tallies,19
-5000,initial,3,Great nakinkin Tribe,116,Charcoal Firing,19
-5000,initial,3,Great nakinkin Tribe,1,Pottery,19
-5000,initial,3,Great nakinkin Tribe,2,Animal Husbandry,19
-5000,initial,3,Great nakinkin Tribe,4,Mining,19
-5000,initial,3,Great nakinkin Tribe,20,Agriculture,19
-5000,initial,3,Great nakinkin Tribe,3,Archery,19
-5000,initial,3,Great nakinkin Tribe,6,Calendar,19
-5000,initial,4,North lorkinkinstan Tribe,100,Cordage and Knots,19
-5000,initial,4,North lorkinkinstan Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,4,North lorkinkinstan Tribe,102,Hafted Stone Tools,19
-5000,initial,4,North lorkinkinstan Tribe,105,Food Preservation,19
-5000,initial,4,North lorkinkinstan Tribe,106,Storage Pits and Containers,19
-5000,initial,4,North lorkinkinstan Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,4,North lorkinkinstan Tribe,110,Dog Domestication,19
-5000,initial,4,North lorkinkinstan Tribe,111,Grinding Stones,19
-5000,initial,4,North lorkinkinstan Tribe,112,Proto-cultivation,19
