year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18391194.000000,0.000000,0.999482,0.000029,0.008547,0.000000,0.001603,0.025773,0.280124,0.280142,0.678829,0.615534,0.027971,0.004151,0.098236,0.091159,0.045367|0.403626|0.357897|0.095525|0.072887|0.024729,0.386950,0.294176,0.092686,0.115053,1.000000,1.000000,0.884947,196367.500000,303283.400000,0.021525,320.500000,1078.600000,0.025089,0.809750,0.644920,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.240779,0.833018,0.739628,0.759221,137823.990163,157747.362179,919021.721309,0.000000,0.000000,0.000000,316460.592742
-4950,23118524.000000,0.002646,0.941684,0.001489,0.008654,0.000000,0.000000,0.023258,0.287088,0.288905,0.799820,0.456872,0.058316,0.004093,0.148113,0.121040,0.030382|0.431582|0.371089|0.100775|0.063407|0.020205,0.334639,0.377728,0.093584,0.124392,0.782724,1.000000,0.875608,179344.000000,467628.400000,0.033694,318.000000,1049.400000,0.024980,0.967900,0.700020,0,78.394760,0.000011,0.290732,58,0,0.000674,16,0,25,0.276828,0.576430,0.796722,0.723172,856.041612,17513.035827,102777.447520,0.000000,0.000000,0.000000,18961059.356841
-4900,26400632.000000,0.002165,0.940336,0.001414,0.008583,0.000000,0.000000,0.023262,0.292479,0.300102,0.690800,0.369595,0.059664,0.004088,0.171085,0.132217,0.027560|0.437853|0.369808|0.101237|0.059285|0.019282,0.305657,0.416608,0.096910,0.125197,0.768709,1.000000,0.874803,154036.000000,511633.800000,0.042162,301.000000,827.000000,0.024563,0.934200,0.661860,0,1944.428467,0.000131,0.862518,73,0,0.000788,74,0,21,0.272568,0.573358,0.748328,0.727432,799.078442,22503.692648,125971.600560,0.000000,0.000000,0.000000,45881893.442966
-4850,29825893.000000,0.002111,0.965046,0.000616,0.008431,0.000000,0.000896,0.023895,0.296807,0.312137,0.679323,0.370817,0.034954,0.004054,0.189733,0.137497,0.025542|0.441426|0.369881|0.100419|0.055733|0.018733,0.295743,0.440051,0.098959,0.130756,0.850494,1.000000,0.869244,142442.500000,583396.000000,0.042477,313.000000,824.900000,0.024066,0.906700,0.679360,0,3033.915283,0.000344,0.473033,65,0,0.000521,29,0,22,0.277685,0.571115,0.750489,0.722315,746.606072,25252.585327,141136.738115,0.000000,0.000000,0.000000,82186993.209695
-4800,33519067.000000,0.002084,0.978507,0.000463,0.008488,0.000000,0.000750,0.024251,0.299813,0.324995,0.621558,0.375902,0.021493,0.004026,0.201135,0.131543,0.023982|0.444313|0.369702|0.100276|0.053371|0.018368,0.302153,0.447152,0.102584,0.135326,0.901541,1.000000,0.864674,139850.000000,662646.200000,0.055358,318.000000,824.800000,0.023676,0.894000,0.684060,0,3557.778809,0.000284,0.478513,91,0,0.000360,5,0,24,0.281048,0.590028,0.725684,0.718952,1301.480822,28736.167802,159136.913788,0.000000,0.000000,0.000000,109401060.750375
-4750,37296336.000000,0.002034,0.988417,0.000605,0.008616,0.000000,0.000000,0.024623,0.302102,0.338642,0.617731,0.369129,0.011583,0.004010,0.216749,0.124523,0.022900|0.448357|0.371346|0.098810|0.051607|0.018137,0.308493,0.448061,0.103972,0.138049,0.960943,1.000000,0.861951,134080.000000,728037.200000,0.061865,308.000000,818.400000,0.023313,0.904400,0.678880,0,4203.938965,0.000305,0.439853,80,0,0.000216,5,0,16,0.283573,0.596695,0.716953,0.716427,1460.857546,33521.469882,184283.684063,0.000000,0.000000,0.000000,140242398.709731
-4700,41387724.000000,0.002021,0.988232,0.000521,0.008631,0.000000,0.001660,0.025082,0.303706,0.351857,0.541141,0.384254,0.011768,0.004001,0.230903,0.120254,0.022077|0.448990|0.371967|0.099585|0.049761|0.018003,0.308712,0.453551,0.103141,0.139473,0.974807,1.000000,0.860527,111323.000000,814964.400000,0.067201,288.000000,808.600000,0.022990,0.894900,0.679620,0,5198.724121,0.000314,0.495913,99,1,0.000244,36,0,22,0.284706,0.585389,0.698841,0.715294,1540.864818,34845.649887,193870.502865,0.000000,0.000000,0.000000,172866792.597403
-4650,46149996.000000,0.002045,0.984261,0.000568,0.008469,0.000000,0.001939,0.025496,0.306129,0.365608,0.593100,0.377370,0.015739,0.003980,0.241856,0.116828,0.021478|0.448878|0.374115|0.099795|0.046866|0.017933,0.309803,0.458825,0.104189,0.142960,0.927155,1.000000,0.857040,94707.000000,927115.500000,0.072275,288.500000,791.000000,0.022722,0.911300,0.685700,0,6129.561035,0.000337,0.461172,88,0,0.000363,16,0,20,0.289894,0.586537,0.714050,0.710106,1658.344293,29736.808319,155894.192978,0.000000,0.000000,0.000000,208574563.927655
-4600,51452639.000000,0.002044,0.992392,0.000351,0.008426,0.000000,0.001271,0.025895,0.310393,0.380041,0.671822,0.382976,0.007608,0.003960,0.250899,0.115817,0.021025|0.446692|0.376078|0.100424|0.045350|0.017900,0.313374,0.457337,0.105501,0.146349,0.978634,1.000000,0.853651,101760.000000,1049157.800000,0.071645,288.000000,777.800000,0.022415,0.913900,0.680840,0,7256.125000,0.000396,0.431878,105,0,0.000196,4,0,15,0.294427,0.593574,0.745016,0.705573,2457.670558,40038.337845,225964.946233,0.000000,0.000000,0.000000,254556110.303411
-4550,56944168.000000,0.002008,0.993191,0.000095,0.008576,0.000000,0.001091,0.026471,0.312379,0.395037,0.583586,0.381715,0.006809,0.003943,0.257470,0.115536,0.020660|0.443751|0.378888|0.102038|0.043717|0.017885,0.320300,0.459371,0.107770,0.149238,1.000000,1.000000,0.850762,122391.000000,1166277.600000,0.073162,289.000000,777.800000,0.022183,0.901800,0.678560,0,8853.138672,0.000475,0.408134,128,0,0.000194,0,0,22,0.297707,0.606154,0.722206,0.702293,4144.345338,36086.036873,193300.323460,0.000000,0.000000,0.000000,290036794.057253
