year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,Old nazenland Tribe,100,Cordage and Knots,21
-5000,initial,0,Old nazenland Tribe,101,Hide Working and Tailored Clothing,21
-5000,initial,0,Old nazenland Tribe,102,Hafted Stone Tools,21
-5000,initial,0,Old nazenland Tribe,105,Food Preservation,21
-5000,initial,0,Old nazenland Tribe,106,Storage Pits and Containers,21
-5000,initial,0,Old nazenland Tribe,107,Seasonal Aggregation Camps,21
-5000,initial,0,Old nazenland Tribe,110,Dog Domestication,21
-5000,initial,0,Old nazenland Tribe,111,Grinding Stones,21
-5000,initial,0,Old nazenland Tribe,112,Proto-cultivation,21
-5000,initial,0,Old nazenland Tribe,113,Sedentism,21
-5000,initial,0,Old nazenland Tribe,114,Enclosures and Herd Management,21
-5000,initial,0,Old nazenland Tribe,116,Charcoal Firing,21
-5000,initial,0,Old nazenland Tribe,1,Pottery,21
-5000,initial,0,Old nazenland Tribe,2,Animal Husbandry,21
-5000,initial,0,Old nazenland Tribe,4,Mining,21
-5000,initial,0,Old nazenland Tribe,20,Agriculture,21
-5000,initial,0,Old nazenland Tribe,3,Archery,21
-5000,initial,0,Old nazenland Tribe,6,Calendar,21
-5000,initial,0,Old nazenland Tribe,8,Masonry,21
-5000,initial,0,Old nazenland Tribe,10,Irrigation,21
-5000,initial,0,Old nazenland Tribe,16,Construction,21
-5000,initial,1,Lornaquiland Tribe,100,Cordage and Knots,21
-5000,initial,1,Lornaquiland Tribe,101,Hide Working and Tailored Clothing,21
-5000,initial,1,Lornaquiland Tribe,102,Hafted Stone Tools,21
-5000,initial,1,Lornaquiland Tribe,105,Food Preservation,21
-5000,initial,1,Lornaquiland Tribe,106,Storage Pits and Containers,21
-5000,initial,1,Lornaquiland Tribe,107,Seasonal Aggregation Camps,21
-5000,initial,1,Lornaquiland Tribe,110,Dog Domestication,21
-5000,initial,1,Lornaquiland Tribe,111,Grinding Stones,21
-5000,initial,1,Lornaquiland Tribe,112,Proto-cultivation,21
-5000,initial,1,Lornaquiland Tribe,113,Sedentism,21
-5000,initial,1,Lornaquiland Tribe,114,Enclosures and Herd Management,21
-5000,initial,1,Lornaquiland Tribe,116,Charcoal Firing,21
-5000,initial,1,Lornaquiland Tribe,1,Pottery,21
-5000,initial,1,Lornaquiland Tribe,2,Animal Husbandry,21
-5000,initial,1,Lornaquiland Tribe,4,Mining,21
-5000,initial,1,Lornaquiland Tribe,20,Agriculture,21
-5000,initial,1,Lornaquiland Tribe,3,Archery,21
-5000,initial,1,Lornaquiland Tribe,6,Calendar,21
-5000,initial,1,Lornaquiland Tribe,8,Masonry,21
-5000,initial,1,Lornaquiland Tribe,10,Irrigation,21
