year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,19589228.000000,0.000000,0.996556,0.000127,0.008548,0.000000,0.001445,0.027359,0.280139,0.280154,0.701605,0.650012,0.029557,0.017964,0.084644,0.076387,0.040158|0.330650|0.488181|0.096764|0.026468|0.017857,0.313777,0.361700,0.110606,0.122462,1.000000,1.000000,0.877538,203238.500000,310165.700000,0.033997,389.000000,1082.500000,0.027051,0.801550,0.671790,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,0,0.251571,0.805911,0.751472,0.748429,131457.890165,160911.848346,948396.055483,0.000000,0.000000,0.000000,272043.809779
-4950,23913908.000000,0.002499,0.937756,0.001826,0.008661,0.000000,0.002541,0.021961,0.287082,0.289200,0.779893,0.357937,0.062244,0.017865,0.138452,0.109077,0.028934|0.353282|0.487273|0.106357|0.024923|0.017857,0.286095,0.476978,0.095038,0.126143,0.774620,0.994248,0.873857,218510.500000,495340.600000,0.037550,389.000000,975.000000,0.026935,0.945600,0.582780,0,720.382874,0.000053,0.136346,65,0,0.000744,20,0,25,0.283745,0.572425,0.787907,0.716255,761.455292,14848.533703,86498.682684,0.000000,0.000000,0.000000,15429563.773256
-4900,27148508.000000,0.002135,0.958278,0.001076,0.008576,0.000000,0.000714,0.021707,0.290718,0.300289,0.572655,0.334315,0.041722,0.733281,0.164570,0.122107,0.027131|0.361926|0.480584|0.106890|0.023670|0.017857,0.268032,0.521251,0.096778,0.123223,0.876835,0.987976,0.876776,184655.000000,687078.500000,0.047526,387.500000,961.000000,0.026636,0.885100,0.582700,0,426.909698,0.000032,0.205189,51,0,0.000566,10,0,16,0.272197,0.555682,0.704383,0.727804,396.456269,20859.944243,113301.249343,0.000000,0.000000,0.000000,32997045.544395
-4850,30607319.000000,0.002100,0.956880,0.001035,0.008456,0.000000,0.000000,0.021863,0.291734,0.311928,0.456634,0.325855,0.043120,0.732461,0.180521,0.128342,0.025631|0.362666|0.478202|0.106979|0.022989|0.017857,0.260620,0.544107,0.098778,0.123969,0.871007,1.000000,0.876031,158738.000000,748437.000000,0.054422,362.000000,887.000000,0.026049,0.865600,0.621740,0,2009.322754,0.000129,0.254737,59,0,0.000660,26,0,10,0.272242,0.572198,0.656620,0.727758,650.664200,14872.860786,71149.069663,0.000000,0.000000,0.000000,57548581.836533
-4800,33853729.000000,0.002005,0.978024,0.000740,0.008515,0.000000,0.000000,0.022344,0.292364,0.324857,0.461259,0.349280,0.021976,0.728367,0.193833,0.126432,0.024524|0.365844|0.475799|0.108305|0.022118|0.017857,0.259035,0.560715,0.103972,0.127696,0.902766,1.000000,0.872304,120390.000000,800989.800000,0.059086,282.000000,852.400000,0.026030,0.869000,0.639660,0,2538.389404,0.000188,0.453252,82,0,0.000372,39,0,23,0.276308,0.567696,0.653985,0.723692,1050.502838,18126.670991,84754.427109,0.000000,0.000000,0.000000,82667376.713424
-4750,37370744.000000,0.001995,0.990064,0.000372,0.008660,0.000000,0.000000,0.022522,0.294043,0.338624,0.467345,0.354977,0.009936,0.726980,0.205010,0.120984,0.023462|0.366772|0.472115|0.110486|0.021610|0.017857,0.259893,0.569186,0.107304,0.128966,0.947766,1.000000,0.871034,117359.000000,918843.900000,0.061534,271.000000,845.200000,0.025990,0.875350,0.651650,0,3942.701172,0.000257,0.410937,94,0,0.000186,14,0,20,0.279803,0.586965,0.660107,0.720197,1268.824767,20191.838746,97825.330696,0.000000,0.000000,0.000000,106306863.039119
-4700,41032673.000000,0.001968,0.982952,0.000765,0.008666,0.000000,0.001227,0.022951,0.296302,0.352379,0.454202,0.360220,0.017048,0.722450,0.214222,0.115648,0.022537|0.367688|0.468814|0.113151|0.021196|0.017857,0.257308,0.582306,0.108098,0.133120,0.928603,1.000000,0.866880,125081.000000,962382.200000,0.064880,279.000000,840.400000,0.025924,0.866000,0.646530,0,4482.729492,0.000292,0.425400,107,0,0.000350,11,0,24,0.284663,0.570551,0.656575,0.715337,1411.038387,21619.870629,105502.301141,0.000000,0.000000,0.000000,132554677.748274
-4650,45287378.000000,0.001994,0.979602,0.000626,0.008514,0.000000,0.001574,0.023598,0.298580,0.366117,0.453328,0.362402,0.020398,0.713695,0.224893,0.112840,0.021740|0.368585|0.465407|0.115597|0.020913|0.017857,0.262323,0.579876,0.111791,0.141198,0.906978,1.000000,0.858802,137744.500000,926293.600000,0.071645,279.500000,830.400000,0.025787,0.875650,0.654030,0,5535.451172,0.000399,0.428916,102,0,0.000462,10,0,18,0.289494,0.583164,0.658381,0.710506,1446.575263,21520.442869,103338.557139,0.000000,0.000000,0.000000,162572088.030187
-4600,49527402.000000,0.001948,0.984602,0.000504,0.008476,0.000000,0.001846,0.024042,0.299982,0.378232,0.456032,0.372083,0.015398,0.844678,0.234386,0.112896,0.021051|0.365632|0.465488|0.119175|0.020639|0.017857,0.266128,0.581811,0.113936,0.139437,0.942846,1.000000,0.860564,112889.500000,973176.900000,0.077072,254.500000,742.200000,0.025554,0.867550,0.665730,0,6425.530762,0.000427,0.438085,109,2,0.000381,38,0,24,0.291512,0.592177,0.659413,0.708488,2479.876926,24606.733094,118383.548921,0.000000,0.000000,0.000000,192880223.110507
-4550,54225106.000000,0.001954,0.996853,0.000194,0.008630,0.000000,0.000000,0.027720,0.301890,0.391794,0.453435,0.369451,0.003147,0.844535,0.241800,0.115480,0.020609|0.361900|0.465941|0.122940|0.020452|0.017857,0.269184,0.582428,0.113907,0.139549,1.000000,1.000000,0.860451,103674.000000,1019674.000000,0.083014,249.000000,738.400000,0.025274,0.875000,0.706740,0,22479.625000,0.000730,0.373814,125,1,0.000085,14,0,16,0.294229,0.598775,0.661238,0.705771,3228.697826,29414.261204,141907.824898,0.000000,0.000000,0.000000,250971623.414511
-4500,58689814.000000,0.001896,0.996119,0.000253,0.008708,0.000000,0.001480,0.024124,0.303915,0.406119,0.455317,0.387593,0.003881,0.838102,0.247416,0.116547,0.020331|0.349399|0.472888|0.128174|0.020214|0.017857,0.279459,0.574739,0.118295,0.144627,1.000000,1.000000,0.855373,123102.000000,1110545.000000,0.088001,249.500000,738.000000,0.025001,0.874600,0.690300,0,9161.933594,0.000629,0.357777,151,0,0.000114,8,0,19,0.300046,0.598728,0.661539,0.699954,3604.030903,22067.815629,110190.103062,0.000000,0.000000,0.000000,278696310.570995
-4450,62618121.000000,0.001824,0.995445,0.000246,0.008586,0.000000,0.000000,0.024234,0.308709,0.419596,0.452392,0.375676,0.004555,0.828440,0.252134,0.117221,0.020129|0.329114|0.486443|0.135294|0.020073|0.017857,0.271694,0.592833,0.120660,0.152313,1.000000,1.000000,0.847687,136653.000000,1275568.600000,0.097951,240.000000,736.400000,0.024766,0.886200,0.700480,0,9532.649414,0.000614,0.767833,152,0,0.000143,14,0,29,0.305294,0.596681,0.660216,0.694706,3117.329270,27035.153272,134209.267489,0.000000,0.000000,0.000000,310845997.278338
-4400,68423025.000000,0.001944,0.995999,0.000122,0.008452,0.000000,0.002089,0.024343,0.310407,0.434935,0.454358,0.387713,0.004001,0.826236,0.256515,0.116715,0.019895|0.318778|0.491434|0.140145|0.019933|0.017857,0.272875,0.603040,0.123067,0.154086,1.000000,1.000000,0.845914,125702.500000,1450911.900000,0.103542,241.500000,736.400000,0.024565,0.875400,0.694990,0,11633.217773,0.000597,0.577036,128,0,0.000137,2,0,21,0.306728,0.593986,0.661636,0.693272,1936.242026,26391.680001,130612.247380,0.000000,0.000000,0.000000,334091386.933658
-4350,74110679.000000,0.001900,0.987395,0.000793,0.008551,0.000000,0.001747,0.024906,0.311626,0.448917,0.455558,0.388499,0.012605,0.823714,0.260054,0.116491,0.019733|0.301723|0.501807|0.147405|0.019654|0.017857,0.270785,0.613315,0.124343,0.156122,0.950423,1.000000,0.843878,113639.500000,1497271.700000,0.110569,229.000000,735.100000,0.024382,0.876250,0.696850,0,15487.855469,0.000608,0.575944,156,1,0.000467,14,0,26,0.306488,0.590374,0.663046,0.693512,1832.960379,24769.050738,124088.200049,0.000000,0.000000,0.000000,361029717.507629
-4300,80750272.000000,0.001929,0.984021,0.000711,0.008659,0.000000,0.001570,0.025280,0.313533,0.464138,0.454324,0.391588,0.015979,0.819539,0.262638,0.117109,0.019561|0.286302|0.512033|0.152984|0.019599|0.017857,0.267089,0.624518,0.125781,0.159500,0.949566,1.000000,0.840500,121966.000000,1600990.000000,0.111028,229.000000,695.500000,0.024165,0.879350,0.700700,0,15704.802734,0.000585,0.649877,136,0,0.000645,9,0,18,0.307804,0.590931,0.664470,0.692196,2010.330565,24983.948987,128415.190192,0.000000,0.000000,0.000000,386053732.297378
-4250,88759455.000000,0.001973,0.988595,0.000787,0.008617,0.000000,0.002040,0.026361,0.316225,0.479701,0.456251,0.393903,0.011405,0.815658,0.269715,0.118007,0.019425|0.275771|0.518230|0.157489|0.019433|0.017857,0.265459,0.629484,0.128712,0.162657,0.949962,1.000000,0.837343,103095.500000,1800667.600000,0.109373,221.500000,703.500000,0.023921,0.880550,0.705070,0,15608.804688,0.000566,0.627183,140,0,0.000506,6,0,23,0.313112,0.595128,0.665712,0.686888,2526.913612,27078.523414,141892.594884,0.000000,0.000000,0.000000,411250010.836089
-4200,95310283.000000,0.001856,0.987689,0.000349,0.008536,0.000000,0.001968,0.031736,0.317776,0.496131,0.455816,0.396402,0.012311,0.812175,0.272692,0.117839,0.019302|0.251365|0.534722|0.165546|0.019380|0.017857,0.268976,0.635373,0.130828,0.165504,0.943168,1.000000,0.834496,123242.500000,1989433.400000,0.101813,226.500000,719.700000,0.023616,0.885000,0.711930,0,69495.257812,0.001131,0.805894,188,0,0.000587,0,0,36,0.318873,0.592778,0.665963,0.681127,1999.834539,25038.292029,132560.969238,0.000000,0.000000,0.000000,436871945.840938
