year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8050172.000000,0.000000,0.997801,0.000092,0.000009,0.000000,0.002020,0.025738,0.000003,0.000004,0.723142,0.672660,0.036413,0.025389,0.063694,0.058021,0.071971|0.315647|0.497997|0.076043|0.038434|0.000000,0.215558,0.279177,0.115811,0.127410,1.000000,1.000000,0.872591,56785.500000,177204.700000,0.038459,163.500000,547.300000,0.046279,0.855650,0.728750,0,0.000000,0.000000,0.000000,2,0,0,0,0,0,0.264865,0.710626,0.495411,0.735135,75131.191322,8459.103008,311820.719269,0.000000,0.000000,0.000000,101205.963910
-4950,10123431.000000,0.004594,0.948986,0.001297,0.000005,0.000000,0.006797,0.028371,0.000142,0.000211,0.814940,0.503006,0.066630,0.212220,0.112110,0.083577,0.040669|0.347222|0.524798|0.075681|0.040361|0.000000,0.198210,0.382267,0.108561,0.128679,0.794276,1.000000,0.871321,62963.000000,252744.200000,0.045158,172.000000,540.200000,0.044857,0.977100,0.742360,0,32.912979,0.000004,1.999318,61,0,0,5,0,36,0.291374,0.472845,0.536794,0.708627,415.491738,620.279006,34824.084884,0.000000,0.000000,0.000000,6349808.937192
-4900,11535024.000000,0.002614,0.950380,0.001386,0.000005,0.000000,0.003333,0.028000,0.000266,0.000448,0.690102,0.369994,0.047552,0.265771,0.135925,0.091833,0.032344|0.359186|0.522696|0.069931|0.041182|0.000000,0.182696,0.438994,0.105275,0.129009,0.802892,1.000000,0.870991,64854.000000,297327.000000,0.056297,182.000000,526.000000,0.044295,0.931600,0.656000,0,440.486206,0.000041,0.612268,58,0,0,9,0,13,0.282798,0.472118,0.497175,0.717202,634.337413,1083.829637,52413.995076,0.000000,0.000000,0.000000,14958403.505256
-4850,12998467.000000,0.002392,0.956365,0.001054,0.000005,0.000000,0.002848,0.029371,0.000329,0.000722,0.543110,0.357473,0.025875,0.208860,0.152775,0.092339,0.026631|0.364833|0.519229|0.068566|0.042194|0.000000,0.180865,0.473675,0.103970,0.128518,0.819246,1.000000,0.871482,68327.000000,345861.000000,0.063381,182.000000,526.000000,0.044157,0.911400,0.636300,0,71.831314,0.000007,0.464589,77,0,0,0,0,18,0.280519,0.490350,0.442755,0.719481,881.973033,974.947677,52749.756693,0.000000,0.000000,0.000000,22207997.289164
-4800,14438535.000000,0.002104,0.967582,0.000907,0.000004,0.000000,0.002502,0.030348,0.000392,0.001007,0.493372,0.364302,0.021756,0.287439,0.166479,0.088969,0.021913|0.371803|0.517546|0.067645|0.043870|0.000000,0.186183,0.491205,0.107234,0.129183,0.868070,1.000000,0.870817,55201.000000,369251.000000,0.068156,174.000000,493.000000,0.044077,0.895600,0.646050,0,38.509521,0.000010,0.220555,94,0,0,30,0,16,0.278057,0.499487,0.430598,0.721943,1047.778283,873.816916,53261.786567,0.000000,0.000000,0.000000,31701651.601869
-4750,15894894.000000,0.001924,0.968262,0.001012,0.000004,0.000000,0.003239,0.031177,0.000467,0.001293,0.499018,0.371569,0.030085,0.303106,0.177994,0.083801,0.018703|0.372021|0.520583|0.063736|0.044477|0.000000,0.192148,0.501098,0.109545,0.131455,0.872488,1.000000,0.868545,52879.000000,420803.400000,0.073446,173.000000,472.800000,0.044022,0.889500,0.659700,0,1448.253784,0.000100,0.200468,96,0,0,10,0,15,0.281447,0.516965,0.431125,0.718553,1188.762572,877.321222,57300.934021,0.000000,0.000000,0.000000,42256849.016358
-4700,17557878.000000,0.001992,0.968717,0.000828,0.000004,0.000000,0.002639,0.032050,0.000462,0.001604,0.462958,0.364408,0.021722,0.264705,0.188272,0.079645,0.016190|0.371506|0.523620|0.060088|0.046130|0.000000,0.200104,0.506725,0.110560,0.132344,0.882777,1.000000,0.867656,49495.000000,477421.200000,0.078549,174.000000,472.800000,0.043920,0.880300,0.655980,0,1889.683350,0.000111,0.234270,95,0,0,0,0,26,0.282843,0.499989,0.412767,0.717157,1161.197116,774.050657,58450.179125,0.000000,0.000000,0.000000,50648666.981732
-4650,19423928.000000,0.002022,0.968354,0.001259,0.000004,0.000000,0.002631,0.032681,0.000473,0.001958,0.455666,0.359568,0.021745,0.371223,0.198270,0.076163,0.014132|0.372348|0.523512|0.057394|0.047965|0.000000,0.199772,0.514651,0.110852,0.135614,0.889711,1.000000,0.864386,48608.000000,508422.600000,0.084830,182.000000,472.800000,0.043769,0.882900,0.642680,0,2326.308838,0.000121,0.273653,109,0,0,0,0,9,0.286419,0.473669,0.410548,0.713581,1228.972224,790.624445,55851.237199,0.000000,0.000000,0.000000,59647791.783696
-4600,21192315.000000,0.001744,0.972481,0.001059,0.000004,0.000000,0.000000,0.033599,0.000487,0.002283,0.453962,0.359768,0.023044,0.375410,0.206358,0.074478,0.012656|0.365168|0.530547|0.056101|0.049734|0.000000,0.202906,0.520746,0.112481,0.136821,0.897962,1.000000,0.863179,39535.000000,539512.000000,0.089096,174.000000,468.000000,0.043554,0.883400,0.655500,0,2506.833984,0.000131,0.275391,125,0,0,7,0,12,0.288975,0.510551,0.410070,0.711025,1239.147559,812.308796,59897.171745,0.000000,0.000000,0.000000,69331852.151036
-4550,23061165.000000,0.001692,0.980432,0.001151,0.000004,0.000000,0.003006,0.034327,0.000513,0.002611,0.455285,0.362304,0.027421,0.289786,0.214165,0.073298,0.011324|0.365778|0.533606|0.055620|0.046458|0.000000,0.206472,0.524089,0.115686,0.139209,0.923012,1.000000,0.860791,42732.000000,584764.200000,0.090791,174.000000,463.500000,0.043302,0.874950,0.652130,0,2662.385742,0.000123,0.316384,118,0,0,13,0,13,0.290124,0.530384,0.411584,0.709876,1445.843896,802.333481,58988.860172,0.000000,0.000000,0.000000,80581300.497762
