year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8050172.000000,0.000000,0.997801,0.000092,0.000009,0.000000,0.002020,0.025738,0.000003,0.000004,0.723142,0.672660,0.036413,0.025389,0.063694,0.058021,0.071971|0.315647|0.497997|0.076043|0.038434|0.000000,0.215558,0.279177,0.115811,0.127410,1.000000,1.000000,0.872591,56785.500000,177204.700000,0.038459,163.500000,547.300000,0.046279,0.855650,0.728750,0,0.000000,0.000000,0.000000,2,0,0,0,0,0,0.264865,0.639894,0.495411,0.735135,75131.191322,16473.054285,311820.719269,0.000000,0.000000,0.000000,101205.963910
-4950,10093039.000000,0.004533,0.946632,0.001281,0.000005,0.000000,0.002692,0.028379,0.000139,0.000211,0.814333,0.495290,0.065569,0.246758,0.114300,0.084475,0.041122|0.347592|0.526015|0.075795|0.040522|0.000000,0.198111,0.383894,0.108550,0.128457,0.805333,1.000000,0.871543,62122.000000,252538.400000,0.045292,172.000000,540.200000,0.044832,0.976100,0.742220,0,32.839363,0.000004,2.004348,73,0,0,5,0,38,0.290987,0.246054,0.535721,0.709013,347.136191,2230.707706,57554.993313,0.000000,0.000000,0.000000,6323066.493523
-4900,11510724.000000,0.002632,0.946627,0.001348,0.000005,0.000000,0.002557,0.027954,0.000260,0.000449,0.664741,0.370396,0.046024,0.267287,0.136205,0.092676,0.032832|0.359638|0.524111|0.069706|0.041303|0.000000,0.182297,0.440897,0.103135,0.128461,0.798145,1.000000,0.871539,64854.000000,297333.000000,0.056752,182.000000,526.000000,0.044272,0.922800,0.656000,0,468.576965,0.000043,0.600642,66,0,0,11,0,15,0.281957,0.239836,0.492056,0.718043,559.518785,2136.825189,52297.954524,0.000000,0.000000,0.000000,14900148.471002
-4850,13010769.000000,0.002453,0.954932,0.001025,0.000005,0.000000,0.000000,0.029316,0.000327,0.000722,0.509815,0.356514,0.025225,0.269114,0.153280,0.093406,0.026943|0.364478|0.521251|0.068372|0.042178|0.000000,0.180469,0.473383,0.103281,0.128045,0.822268,1.000000,0.871954,67653.000000,342796.400000,0.063894,178.000000,523.200000,0.044134,0.909900,0.645510,0,109.098175,0.000010,0.446191,77,0,0,1,0,14,0.280126,0.267695,0.430522,0.719874,796.962659,1908.241945,52415.756873,0.000000,0.000000,0.000000,22126304.725524
-4800,14428284.000000,0.002070,0.967981,0.000968,0.000004,0.000000,0.001647,0.030288,0.000360,0.001007,0.475985,0.361590,0.022087,0.288900,0.167547,0.089980,0.022369|0.373217|0.517407|0.067634|0.043920|0.000000,0.186451,0.492387,0.106351,0.129390,0.864663,1.000000,0.870610,53622.500000,369413.000000,0.068798,174.000000,493.000000,0.044036,0.896200,0.648750,0,45.917820,0.000011,0.210300,96,0,0,27,0,16,0.278793,0.253932,0.424000,0.721207,995.103770,1757.250660,54537.400612,0.000000,0.000000,0.000000,31425577.035539
-4750,15895323.000000,0.001939,0.966765,0.001029,0.000004,0.000000,0.002280,0.031162,0.000423,0.001295,0.489664,0.362165,0.032376,0.302204,0.178892,0.085037,0.019055|0.374197|0.519544|0.063737|0.044495|0.000000,0.192069,0.505497,0.108327,0.131752,0.874274,1.000000,0.868248,50211.000000,420909.400000,0.073902,172.000000,492.600000,0.043980,0.890950,0.644150,0,1499.522339,0.000101,0.204570,109,0,0,10,0,19,0.282838,0.297005,0.427733,0.717162,1154.903237,1645.139760,55392.413703,0.000000,0.000000,0.000000,40852191.630230
-4700,17567908.000000,0.002003,0.969392,0.000884,0.000004,0.000000,0.002499,0.031985,0.000433,0.001613,0.463747,0.362935,0.022280,0.255451,0.189733,0.080094,0.016278|0.373381|0.522875|0.060071|0.046123|0.000000,0.199478,0.513396,0.110101,0.133582,0.883508,1.000000,0.866418,57763.500000,484158.700000,0.078068,173.000000,492.600000,0.043853,0.878500,0.651070,0,2001.814209,0.000117,0.236944,103,0,0,0,0,29,0.282892,0.278860,0.413206,0.717108,1155.058562,1549.810005,59613.323795,0.000000,0.000000,0.000000,49241950.034160
-4650,19417770.000000,0.002004,0.966343,0.001312,0.000004,0.000000,0.003003,0.032549,0.000457,0.001960,0.456488,0.362941,0.022319,0.392258,0.199618,0.077286,0.014163|0.373950|0.523102|0.057441|0.048000|0.000000,0.200018,0.520497,0.111914,0.135133,0.883036,1.000000,0.864867,50791.000000,514074.700000,0.081530,174.000000,492.600000,0.043704,0.882400,0.654510,0,2251.614502,0.000117,0.275115,109,0,0,0,0,15,0.285741,0.244007,0.413184,0.714259,1155.844632,1526.840842,55685.183458,0.000000,0.000000,0.000000,58273467.210187
-4600,21137634.000000,0.001699,0.972274,0.001038,0.000004,0.000000,0.000000,0.033384,0.000507,0.002285,0.454653,0.361539,0.025187,0.369909,0.207987,0.075264,0.012682|0.367413|0.530108|0.056270|0.049882|0.000000,0.206075,0.523804,0.113264,0.137024,0.902070,1.000000,0.862976,50668.000000,529280.600000,0.086352,174.000000,492.200000,0.043502,0.887950,0.667650,0,2448.137207,0.000118,0.276627,111,0,0,5,0,18,0.289227,0.244701,0.410424,0.710773,1187.913057,1562.540433,59637.030052,0.000000,0.000000,0.000000,69893038.888359
-4550,23057398.000000,0.001740,0.980938,0.001113,0.000004,0.000000,0.003618,0.034542,0.000561,0.002614,0.457491,0.365567,0.026956,0.287790,0.215738,0.075208,0.011318|0.366412|0.534498|0.055607|0.046469|0.000000,0.207009,0.529928,0.115670,0.139246,0.926242,1.000000,0.860754,44941.000000,585622.000000,0.092370,174.000000,492.000000,0.043192,0.885700,0.656500,0,2559.163818,0.000114,0.320883,128,0,0,12,0,21,0.291058,0.324434,0.414187,0.708942,1492.193565,1602.808841,60315.411917,0.000000,0.000000,0.000000,81020054.570883
