year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18676903.000000,0.000000,0.982972,0.001524,0.000010,0.000000,0.002046,0.029952,0.000003,0.000004,0.693057,0.610393,0.084747,0.111535,0.093350,0.084419,0.038639|0.310325|0.566462|0.046057|0.038547|0.000000,0.204365,0.282784,0.101359,0.120498,1.000000,1.000000,0.879502,211492.500000,305392.800000,0.043073,505.500000,1139.100000,0.021971,0.780050,0.570630,0,0.000000,0.000000,0.000000,4,0,0,0,0,2,0.246289,0.692746,0.484881,0.753711,147952.811015,18014.312323,611577.363054,0.000000,0.000000,0.000000,442759.328775
-4950,23289441.000000,0.004424,0.925527,0.001541,0.000005,0.000000,0.000000,0.027529,0.000177,0.000245,0.770921,0.457978,0.081332,0.249973,0.131824,0.111604,0.016716|0.325579|0.585712|0.046419|0.039611|0.000000,0.212847,0.396668,0.094193,0.124948,0.774639,1.000000,0.875052,162528.000000,518796.600000,0.048697,432.000000,1085.600000,0.022228,0.934800,0.613360,0,924.200500,0.000087,0.127433,62,0,0,31,0,34,0.279461,0.443115,0.519919,0.720539,659.955118,771.285778,27744.857097,0.000000,0.000000,0.000000,26496022.165614
-4900,26709370.000000,0.002744,0.938795,0.001503,0.000006,0.000000,0.002354,0.027051,0.000264,0.000540,0.600394,0.338427,0.056594,0.263216,0.147944,0.120759,0.012510|0.333321|0.586711|0.041062|0.038959|0.000000,0.231382,0.440917,0.096892,0.124384,0.772946,1.000000,0.875616,175458.000000,605701.600000,0.055453,409.000000,1074.000000,0.022228,0.882400,0.556220,0,1580.112183,0.000180,0.542068,83,0,0,21,0,24,0.273605,0.410968,0.460710,0.726395,1138.920727,1134.843645,47733.635486,0.000000,0.000000,0.000000,53429652.133513
-4850,30140185.000000,0.002420,0.943661,0.001277,0.000006,0.000000,0.000000,0.029019,0.000332,0.000851,0.461445,0.331017,0.037058,0.245625,0.159683,0.123905,0.010098|0.343571|0.582847|0.038024|0.037631|0.000000,0.253704,0.460845,0.097314,0.127848,0.775293,1.000000,0.872152,147047.000000,711071.500000,0.060686,394.500000,1017.500000,0.022228,0.842700,0.602450,0,1924.172119,0.000201,0.430998,98,0,0,6,0,21,0.276610,0.432496,0.419930,0.723390,1829.555810,1410.642219,63008.833505,0.000000,0.000000,0.000000,80446906.348985
-4800,33407089.000000,0.002060,0.965685,0.000993,0.000005,0.000000,0.000000,0.030724,0.000320,0.001138,0.462589,0.352408,0.026183,0.246046,0.168501,0.122220,0.008661|0.355178|0.581399|0.034747|0.035740|0.000000,0.275735,0.473123,0.104575,0.132300,0.849793,1.000000,0.867700,97601.500000,845999.000000,0.066776,330.000000,904.800000,0.022224,0.860800,0.646980,0,1939.301147,0.000216,0.837103,95,0,0,51,0,23,0.271669,0.424135,0.413542,0.728331,2343.851332,1546.288642,90511.392323,0.000000,0.000000,0.000000,127001882.586326
-4750,36988042.000000,0.002039,0.974699,0.000905,0.000006,0.000000,0.000000,0.033164,0.000392,0.001470,0.472032,0.357380,0.018189,0.248135,0.181364,0.120647,0.007348|0.362100|0.577490|0.033252|0.036956|0.000000,0.290314,0.481385,0.106833,0.131840,0.877454,1.000000,0.868160,73565.000000,841678.200000,0.071426,289.000000,903.400000,0.022189,0.860700,0.655400,0,2590.415283,0.000319,0.643846,113,0,0,29,0,19,0.277473,0.472538,0.420888,0.722527,2614.369201,1376.024694,95392.475341,0.000000,0.000000,0.000000,153935613.700853
-4700,40273077.000000,0.001703,0.968047,0.001363,0.000005,0.000000,0.001681,0.034222,0.000445,0.001789,0.463873,0.358114,0.025927,0.396410,0.189002,0.116435,0.006426|0.363489|0.580343|0.031683|0.035262|0.000000,0.296310,0.491984,0.110450,0.134111,0.869107,1.000000,0.865889,57419.000000,903299.000000,0.065595,289.000000,903.200000,0.022182,0.850600,0.633190,0,4823.198730,0.000407,0.510001,100,0,0,10,0,25,0.280369,0.471787,0.416201,0.719631,2431.923942,1047.984763,82996.023452,0.000000,0.000000,0.000000,178711719.306750
-4650,43511231.000000,0.001548,0.969425,0.001565,0.000004,0.000000,0.001688,0.035196,0.000480,0.002194,0.451119,0.358965,0.025532,0.446721,0.195743,0.112447,0.005698|0.356846|0.589570|0.030768|0.034590|0.000000,0.307788,0.499283,0.111650,0.136760,0.893711,1.000000,0.863240,53923.000000,1063068.000000,0.063838,286.000000,903.000000,0.022167,0.854500,0.639000,0,7726.013672,0.000461,0.625526,94,0,0,4,0,26,0.283487,0.470315,0.411018,0.716513,2501.679703,985.068774,88261.782068,0.000000,0.000000,0.000000,201907866.140854
-4600,47413431.000000,0.001719,0.974929,0.000716,0.000003,0.000000,0.000000,0.037356,0.000508,0.002529,0.446629,0.355610,0.017066,0.317317,0.200741,0.107841,0.005064|0.355868|0.592815|0.030094|0.033281|0.000000,0.313221,0.511881,0.113368,0.138680,0.896998,1.000000,0.861320,45774.000000,1014175.300000,0.069781,271.500000,868.800000,0.022139,0.859200,0.657390,0,8900.175781,0.000446,0.513125,124,0,0,22,0,27,0.287991,0.498235,0.410367,0.712009,2905.027875,1102.903335,99792.003666,0.000000,0.000000,0.000000,231906830.644763
-4550,51241844.000000,0.001554,0.975383,0.001265,0.000004,0.000000,0.002654,0.038201,0.000552,0.002892,0.456843,0.360918,0.024920,0.416526,0.205628,0.105482,0.004475|0.346685|0.607124|0.029941|0.028453|0.000000,0.322454,0.523462,0.117292,0.140171,0.892132,1.000000,0.859829,40192.000000,1054418.000000,0.076800,265.000000,782.000000,0.022108,0.857900,0.651200,0,8077.597168,0.000452,0.424758,119,0,0,24,0,28,0.293122,0.473718,0.410615,0.706878,3135.933387,579.878032,84035.756552,0.000000,0.000000,0.000000,259246011.213849
