year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,18703332.000000,0.031205,217780.000000,518.500000,0.000000,0.001496,0.001010,0.000000,0.000000,0.000000,6,0.992471,1.000000,0.000159,0.000158,0.998058,0.996790,0.704172,0.700780,0.000000,0.000000
-4975,21777455.000000,0.028715,194997.000000,518.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19,0.931129,0.741618,0.000092,0.000129,0.946513,0.913440,0.667046,0.311880,0.002431,0.024163
-4950,24183982.000000,0.028350,193492.500000,461.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60,0.961870,0.868351,0.000093,0.000170,0.804107,0.252200,0.579276,0.014600,0.032058,0.037770
-4925,25944025.000000,0.028082,181520.500000,414.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75,0.973242,0.856096,0.000110,0.000192,0.657957,0.006500,0.475164,0.011860,0.052293,0.132048
-4900,27487666.000000,0.028090,177055.000000,409.000000,0.000000,0.005797,0.002899,0.000000,0.000000,0.000000,88,0.960247,0.851720,0.000123,0.000204,0.578403,0.006300,0.438676,0.011300,0.139831,0.173814
-4875,28979573.000000,0.029062,182860.000000,409.000000,0.000000,0.004863,0.002975,0.000000,0.000000,0.000000,88,0.966833,0.871635,0.000132,0.000223,0.539427,0.006200,0.399978,0.011300,0.159718,0.182378
-4850,30473176.000000,0.029719,146737.500000,390.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93,0.967564,0.863832,0.000142,0.000242,0.498157,0.006500,0.392969,0.011530,0.156846,0.184404
-4825,31823234.000000,0.030380,106703.000000,370.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112,0.967551,0.877625,0.000134,0.000232,0.475740,0.006500,0.371685,0.011680,0.136461,0.170990
-4800,33186599.000000,0.031141,102522.000000,357.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,138,0.971418,0.904766,0.000137,0.000222,0.458425,0.006500,0.352615,0.011760,0.122727,0.154710
-4775,34698048.000000,0.032247,70386.000000,332.500000,0.000000,0.003782,0.002433,0.000000,0.000000,0.000000,168,0.970992,0.873460,0.000145,0.000224,0.465411,0.006530,0.355738,0.011700,0.119248,0.121283
-4750,36573558.000000,0.032994,56384.000000,328.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,170,0.969368,0.870641,0.000139,0.000222,0.483808,0.006650,0.342306,0.011800,0.108783,0.125146
-4725,38169001.000000,0.033388,58475.000000,326.000000,0.000000,0.003361,0.003698,0.000000,0.000000,0.000000,173,0.970946,0.881844,0.000132,0.000227,0.483482,0.006760,0.339281,0.011860,0.104924,0.112364
-4700,39579799.000000,0.033921,59199.000000,318.000000,0.000000,0.002970,0.003546,0.000000,0.000000,0.000000,180,0.970290,0.887029,0.000138,0.000235,0.467128,0.006600,0.329182,0.011700,0.106438,0.137180
-4675,40969260.000000,0.034317,58653.000000,318.000000,0.000000,0.003376,0.003300,0.000000,0.000000,0.000000,180,0.968325,0.868258,0.000132,0.000227,0.438405,0.006500,0.325964,0.011700,0.116417,0.134861
-4650,42570479.000000,0.034828,53049.500000,316.500000,0.000000,0.003189,0.003545,0.000000,0.000000,0.000000,186,0.967780,0.888692,0.000135,0.000231,0.414608,0.006500,0.322435,0.011790,0.121973,0.138491
-4625,44115597.000000,0.035831,54840.000000,303.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,190,0.970553,0.896153,0.000142,0.000223,0.409038,0.006600,0.325932,0.011710,0.119016,0.121795
-4600,46069680.000000,0.036772,43163.000000,286.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,197,0.973037,0.896383,0.000140,0.000236,0.409733,0.006600,0.321904,0.011800,0.100053,0.106868
-4575,47881866.000000,0.036438,55397.000000,262.000000,0.000000,0.002694,0.002881,0.000000,0.000000,0.000000,222,0.968767,0.883337,0.000137,0.000233,0.404957,0.006680,0.324765,0.012000,0.101712,0.103390
