year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,18703332.000000,0.031205,217780.000000,518.500000,0.000000,0.001496,0.001010,0.000000,0.000000,0.000000,6,0.992471,1.000000,0.000159,0.000158,0.977546,0.950800,0.704172,0.700780,0.000000,0.000000
-4975,21776637.000000,0.028651,188129.000000,525.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,0.927657,0.716323,0.000093,0.000137,0.934447,0.820400,0.663125,0.310400,0.002431,0.025680
-4950,24180013.000000,0.028301,193483.000000,461.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61,0.961765,0.870442,0.000094,0.000180,0.792534,0.226800,0.577567,0.014300,0.034297,0.037601
-4925,25940034.000000,0.028010,180920.000000,414.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76,0.972540,0.855896,0.000111,0.000192,0.651056,0.006500,0.472618,0.011760,0.054441,0.134249
-4900,27471866.000000,0.027273,176762.000000,392.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,94,0.962228,0.846930,0.000121,0.000204,0.549621,0.000000,0.431095,0.011320,0.126907,0.159741
-4875,29330935.000000,0.028903,191179.000000,392.000000,0.000000,0.005163,0.002849,0.000000,0.000000,0.000000,108,0.967505,0.872922,0.000137,0.000237,0.535022,0.006200,0.395422,0.011220,0.151002,0.173380
-4850,30904059.000000,0.029513,156051.000000,381.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110,0.967767,0.866159,0.000140,0.000224,0.505944,0.006500,0.380939,0.011600,0.152544,0.200024
-4825,32216183.000000,0.029628,111150.000000,369.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129,0.964153,0.859434,0.000130,0.000212,0.464630,0.006470,0.354231,0.011480,0.165940,0.229166
-4800,33415300.000000,0.030724,106402.500000,356.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149,0.970217,0.888737,0.000137,0.000209,0.436479,0.000000,0.348319,0.011670,0.157072,0.178025
-4775,34988046.000000,0.031510,87428.000000,326.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,173,0.969870,0.872493,0.000148,0.000249,0.448146,0.006440,0.341685,0.011540,0.153899,0.155945
-4750,36757903.000000,0.032287,75157.500000,322.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,187,0.971387,0.881554,0.000141,0.000220,0.464253,0.006670,0.331267,0.011700,0.141535,0.175333
-4725,38352521.000000,0.032899,72573.000000,316.500000,0.000000,0.003256,0.003543,0.000000,0.000000,0.000000,196,0.971599,0.872013,0.000135,0.000239,0.464398,0.006600,0.321852,0.011690,0.162816,0.174673
-4700,39632821.000000,0.033767,67314.000000,303.500000,0.000000,0.003014,0.003355,0.000000,0.000000,0.000000,203,0.968221,0.867311,0.000143,0.000255,0.452870,0.000000,0.324395,0.011700,0.157795,0.172250
-4675,40912170.000000,0.034499,65858.000000,283.500000,0.000000,0.003001,0.002908,0.000000,0.000000,0.000000,208,0.968140,0.864947,0.000135,0.000224,0.441829,0.006600,0.323375,0.011730,0.156413,0.164027
-4650,42349424.000000,0.035269,67058.000000,281.000000,0.000000,0.002780,0.003488,0.000000,0.000000,0.000000,212,0.966386,0.883693,0.000133,0.000238,0.427992,0.006540,0.319577,0.011840,0.145643,0.148374
-4625,43771923.000000,0.036508,57987.000000,278.500000,0.000000,0.002592,0.002788,0.000000,0.000000,0.000000,215,0.967959,0.870953,0.000138,0.000216,0.410028,0.006600,0.312615,0.011750,0.135423,0.150352
-4600,45667815.000000,0.037934,53052.500000,275.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,217,0.973122,0.890397,0.000136,0.000211,0.394286,0.000000,0.316960,0.011900,0.113713,0.126915
-4575,47311916.000000,0.037359,57269.500000,257.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,236,0.967736,0.876775,0.000136,0.000240,0.389314,0.006600,0.323223,0.012100,0.115053,0.125655
-4550,48871511.000000,0.038160,55890.000000,249.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,244,0.969671,0.886575,0.000136,0.000215,0.395609,0.006630,0.323626,0.012130,0.105625,0.117124
-4525,50761719.000000,0.038450,44896.000000,236.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,257,0.972026,0.890404,0.000125,0.000196,0.398698,0.006740,0.324194,0.012170,0.102051,0.110326
-4500,52871085.000000,0.039161,41621.000000,235.000000,0.000000,0.002879,0.003104,0.000000,0.000000,0.000000,263,0.974048,0.894535,0.000132,0.000212,0.402115,0.000000,0.325148,0.012200,0.086590,0.118854
-4475,55072878.000000,0.040302,38093.000000,235.000000,0.000000,0.002688,0.003215,0.000000,0.000000,0.000000,263,0.973092,0.896678,0.000136,0.000226,0.404253,0.006780,0.321301,0.012280,0.080755,0.120949
-4450,57357110.000000,0.041496,34417.000000,233.000000,0.000000,0.002615,0.003176,0.000000,0.000000,0.000000,267,0.970459,0.887122,0.000135,0.000222,0.393748,0.006800,0.315949,0.012290,0.093656,0.113313
-4425,59627013.000000,0.042058,33235.000000,233.000000,0.000000,0.002703,0.002531,0.000000,0.000000,0.000000,273,0.973602,0.898360,0.000134,0.000209,0.382670,0.006810,0.309190,0.012300,0.092168,0.117202
-4400,62307749.000000,0.043013,32265.000000,231.000000,0.000000,0.003250,0.002642,0.000000,0.000000,0.000000,277,0.973866,0.905032,0.000142,0.000218,0.374824,0.000000,0.313186,0.012420,0.089097,0.110096
-4375,65186256.000000,0.043577,29223.000000,235.000000,0.000000,0.002508,0.003029,0.000000,0.000000,0.000000,277,0.974987,0.915362,0.000136,0.000212,0.360067,0.006900,0.307623,0.012320,0.113170,0.117664
-4350,67486763.000000,0.044873,29230.000000,235.000000,0.000000,0.002329,0.003062,0.000000,0.000000,0.000000,282,0.974267,0.906515,0.000133,0.000209,0.345728,0.006900,0.303640,0.012400,0.117182,0.138143
-4325,70936384.000000,0.045756,30580.000000,225.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,286,0.974470,0.905907,0.000136,0.000219,0.344262,0.006960,0.298496,0.012400,0.121361,0.125969
-4300,74240426.000000,0.047838,31225.500000,221.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296,0.971019,0.888997,0.000134,0.000223,0.336686,0.000000,0.293974,0.012500,0.113838,0.120608
-4275,77491641.000000,0.049530,32980.000000,221.000000,0.000000,0.003203,0.002857,0.000000,0.000000,0.000000,300,0.969325,0.881726,0.000140,0.000223,0.329862,0.006990,0.284213,0.012400,0.128021,0.130524
-4250,80854563.000000,0.051251,32906.000000,221.000000,0.000000,0.003249,0.002760,0.000000,0.000000,0.000000,300,0.964623,0.874966,0.000138,0.000222,0.320950,0.006900,0.282502,0.012400,0.136822,0.137015
-4225,84748398.000000,0.054768,33432.000000,220.000000,0.000000,0.003086,0.002793,0.000000,0.000000,0.000000,304,0.975976,0.916009,0.000143,0.000217,0.312335,0.007200,0.276549,0.012700,0.137878,0.149596
-4200,88940266.000000,0.057904,31482.500000,218.000000,0.000000,0.002917,0.002761,0.000000,0.000000,0.000000,308,0.975750,0.907642,0.000147,0.000294,0.304412,0.000000,0.277051,0.012700,0.147939,0.148432
-4175,93650942.000000,0.059703,30441.000000,212.500000,0.000000,0.002948,0.002576,0.000000,0.000000,0.000000,314,0.974381,0.909954,0.000130,0.000218,0.308601,0.007200,0.276074,0.012800,0.157719,0.159170
-4150,97432951.000000,0.060495,32865.000000,209.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,0.967369,0.877424,0.000146,0.000222,0.307062,0.007140,0.274796,0.012700,0.163279,0.173106
-4125,101885257.000000,0.061719,40056.000000,208.000000,0.000000,0.002778,0.002914,0.000000,0.000000,0.000000,323,0.974534,0.913917,0.000128,0.000202,0.308027,0.007100,0.277533,0.012700,0.179221,0.190908
-4100,106427428.000000,0.061618,33090.000000,207.000000,0.000000,0.002203,0.002612,0.000000,0.000000,0.000000,326,0.974324,0.909695,0.000136,0.000208,0.307018,0.000000,0.279877,0.012660,0.185890,0.187017
-4075,110623026.000000,0.062447,33190.000000,207.000000,0.000000,0.002089,0.003213,0.000000,0.000000,0.000000,326,0.970084,0.893659,0.000134,0.000220,0.309647,0.007100,0.282056,0.012600,0.188503,0.188899
-4050,114763312.000000,0.063863,32517.000000,207.000000,0.000000,0.002318,0.003002,0.000000,0.000000,0.000000,326,0.973208,0.910031,0.000128,0.000200,0.307927,0.007100,0.281483,0.012760,0.184325,0.196405
-4025,118302323.000000,0.062870,32539.000000,205.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,329,0.967487,0.884812,0.000129,0.000206,0.307773,0.007180,0.285611,0.012700,0.180750,0.192390
-4000,121167113.000000,0.064054,29364.000000,202.000000,0.000000,0.001807,0.002616,0.000000,0.000000,0.000000,340,0.969616,0.892080,0.000137,0.000208,0.312417,0.000000,0.285837,0.013000,0.173271,0.173490
-3975,123261411.000000,0.063886,29761.000000,202.000000,0.000000,0.002357,0.003134,0.000000,0.000000,0.000000,340,0.968554,0.889020,0.000146,0.000216,0.320989,0.007200,0.288906,0.012800,0.176222,0.186658
-3950,126303778.000000,0.064930,29939.000000,201.000000,0.000000,0.002361,0.003385,0.000000,0.000000,0.000000,343,0.970911,0.903361,0.000144,0.000215,0.323965,0.007200,0.286845,0.012910,0.175825,0.187126
-3925,129372686.000000,0.065484,29641.500000,201.000000,0.000000,0.002373,0.003243,0.000000,0.000000,0.000000,343,0.976280,0.912137,0.000135,0.000207,0.319524,0.007300,0.284492,0.013100,0.166523,0.166823
-3900,132225957.000000,0.066223,29639.000000,200.000000,0.000000,0.002465,0.003349,0.000000,0.000000,0.000000,347,0.969349,0.893436,0.000140,0.000232,0.313340,0.000000,0.278459,0.013100,0.164413,0.172991
-3875,135391522.000000,0.066776,27785.000000,201.000000,0.000000,0.002128,0.003152,0.000000,0.000000,0.000000,347,0.973484,0.894326,0.000124,0.000191,0.302799,0.007320,0.274860,0.012900,0.157832,0.176745
-3850,138729600.000000,0.066998,31481.000000,203.000000,0.000000,0.002231,0.003546,0.000000,0.000000,0.000000,347,0.967421,0.870936,0.000135,0.000222,0.291946,0.007220,0.274470,0.012820,0.157117,0.172140
-3825,141400437.000000,0.067894,32625.000000,204.000000,0.000000,0.002384,0.003574,0.000000,0.000000,0.000000,347,0.974281,0.901963,0.000138,0.000213,0.286680,0.007300,0.275083,0.012920,0.165641,0.165769
-3800,143432244.000000,0.069516,30447.000000,204.000000,0.000000,0.002081,0.003490,0.000000,0.000000,0.000000,347,0.965997,0.866568,0.000136,0.000222,0.284158,0.000000,0.272125,0.012820,0.159496,0.160292
-3775,146200114.000000,0.071265,33772.000000,204.000000,0.000000,0.002190,0.003237,0.000000,0.000000,0.000000,347,0.969708,0.884451,0.000146,0.000238,0.278506,0.007320,0.263295,0.012700,0.158929,0.159692
-3750,150544059.000000,0.072818,30330.500000,202.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,348,0.972051,0.900595,0.000154,0.000244,0.273663,0.007400,0.262287,0.012900,0.157431,0.158974
-3725,153982827.000000,0.073625,30414.500000,202.500000,0.000000,0.002059,0.003537,0.000000,0.000000,0.000000,350,0.965050,0.883649,0.000134,0.000213,0.272083,0.007300,0.264010,0.012800,0.162004,0.162598
-3700,158037452.000000,0.075519,29671.000000,202.500000,0.000000,0.002094,0.003453,0.000000,0.000000,0.000000,350,0.974262,0.903029,0.000134,0.000193,0.269692,0.000000,0.263740,0.013030,0.156287,0.156910
-3675,161770653.000000,0.076033,30074.500000,202.500000,0.000000,0.002575,0.003314,0.000000,0.000000,0.000000,350,0.972248,0.900557,0.000143,0.000211,0.270963,0.007330,0.262657,0.013030,0.155417,0.156073
-3650,165422495.000000,0.077134,29970.000000,202.500000,0.000000,0.002351,0.003509,0.000000,0.000000,0.000000,350,0.967285,0.885552,0.000134,0.000225,0.269141,0.007300,0.262645,0.012900,0.155504,0.157710
-3625,168864407.000000,0.077650,29849.500000,202.500000,0.000000,0.002339,0.003230,0.000000,0.000000,0.000000,350,0.962421,0.867846,0.000134,0.000210,0.262410,0.007200,0.260083,0.012700,0.152986,0.154628
-3600,173537331.000000,0.080296,29744.500000,202.500000,0.000000,0.002492,0.003564,0.000000,0.000000,0.000000,350,0.970460,0.904484,0.000127,0.000191,0.261281,0.000000,0.261147,0.012930,0.147957,0.148131
-3575,177591316.000000,0.082110,28427.500000,202.500000,0.000000,0.002447,0.003676,0.000000,0.000000,0.000000,350,0.969454,0.894349,0.000141,0.000204,0.267888,0.007430,0.263528,0.013130,0.143700,0.143700
-3550,181771121.000000,0.084347,29729.000000,202.500000,0.000000,0.002397,0.003620,0.000000,0.000000,0.000000,350,0.971810,0.907921,0.000143,0.000227,0.267479,0.007430,0.260979,0.013060,0.142727,0.144319
-3525,186673167.000000,0.086534,29924.000000,202.000000,0.000000,0.002669,0.003086,0.000000,0.000000,0.000000,353,0.969943,0.890532,0.000135,0.000196,0.264977,0.007400,0.259330,0.012940,0.145736,0.145736
-3500,191336480.000000,0.088202,29996.000000,203.000000,0.000000,0.002872,0.003141,0.000000,0.000000,0.000000,353,0.964954,0.870035,0.000140,0.000220,0.259910,0.000000,0.256474,0.012780,0.145799,0.149580
-3475,196627855.000000,0.091258,38462.500000,202.500000,0.000000,0.002361,0.003327,0.000000,0.000000,0.000000,358,0.976104,0.917185,0.000124,0.000184,0.264913,0.007500,0.260136,0.013250,0.144046,0.144046
-3450,201734573.000000,0.092621,38976.000000,202.500000,0.000000,0.002098,0.003654,0.000000,0.000000,0.000000,358,0.971368,0.903583,0.000134,0.000210,0.264909,0.007400,0.258979,0.013000,0.144041,0.144041
-3425,206739335.000000,0.093229,58872.000000,202.500000,0.000000,0.002466,0.003599,0.000000,0.000000,0.000000,358,0.972398,0.905765,0.000142,0.000218,0.259945,0.007450,0.251972,0.013100,0.143854,0.145569
-3400,209970614.000000,0.092722,56469.000000,202.000000,0.000000,0.002664,0.003130,0.000000,0.000000,0.000000,361,0.973376,0.902555,0.000135,0.000212,0.250373,0.000000,0.251392,0.013220,0.155348,0.155348
-3375,211256983.000000,0.093359,57897.000000,202.000000,0.000000,0.002497,0.003346,0.000000,0.000000,0.000000,361,0.971642,0.897295,0.000144,0.000217,0.253761,0.007500,0.252706,0.013300,0.154978,0.154978
-3350,214752095.000000,0.093706,58944.000000,202.000000,0.000000,0.002502,0.003319,0.000000,0.000000,0.000000,361,0.971153,0.896133,0.000143,0.000207,0.250906,0.007500,0.246903,0.013220,0.160883,0.160993
-3325,216892104.000000,0.092605,61694.000000,199.500000,0.000000,0.002363,0.003285,0.000000,0.000000,0.000000,365,0.971621,0.906289,0.000148,0.000225,0.251035,0.007500,0.245717,0.013180,0.161133,0.161239
-3300,219404305.000000,0.092360,67003.500000,199.500000,0.000000,0.002441,0.003205,0.000000,0.000000,0.000000,365,0.969250,0.882486,0.000134,0.000204,0.251804,0.000000,0.244835,0.013070,0.162936,0.165419
-3275,222178647.000000,0.084630,70432.500000,199.500000,0.000000,0.002608,0.002965,0.000000,0.000000,0.000000,365,0.965309,0.875009,0.000136,0.000204,0.249630,0.007470,0.240580,0.012870,0.179087,0.327076
-3250,226396943.000000,0.084317,64666.000000,199.500000,0.000000,0.002681,0.003338,0.000000,0.000000,0.000000,365,0.971797,0.905089,0.000136,0.000220,0.248115,0.007400,0.241992,0.013310,0.314543,0.314645
-3225,228701221.000000,0.083257,61896.000000,199.000000,0.000000,0.002707,0.003278,0.000000,0.000000,0.000000,369,0.977951,0.916259,0.000136,0.000221,0.249784,0.007600,0.243792,0.013480,0.315010,0.315111
-3200,231166958.000000,0.083836,62112.000000,199.000000,0.000000,0.002998,0.003304,0.000000,0.000000,0.000000,369,0.968310,0.894589,0.000133,0.000221,0.248955,0.000000,0.242588,0.012980,0.317887,0.317987
-3175,232242308.000000,0.083585,58129.000000,198.500000,0.000000,0.003015,0.003323,0.000000,0.000000,0.000000,371,0.968434,0.884530,0.000138,0.000195,0.254156,0.007390,0.241240,0.012900,0.310037,0.312412
-3150,232873340.000000,0.083434,61288.000000,199.000000,0.000000,0.002966,0.003108,0.000000,0.000000,0.000000,374,0.975539,0.914099,0.000143,0.000222,0.259078,0.007600,0.240953,0.013500,0.252549,0.256229
-3125,233987762.000000,0.085483,64802.000000,199.000000,0.000000,0.002645,0.003289,0.000000,0.000000,0.000000,374,0.976344,0.917073,0.000139,0.000221,0.263941,0.007600,0.240833,0.013500,0.251060,0.253473
-3100,236330466.000000,0.089648,60805.000000,199.000000,0.000000,0.002758,0.003445,0.005525,0.000000,0.000000,374,0.971193,0.905421,0.000140,0.000227,0.259401,0.000000,0.242842,0.013400,0.252269,0.254702
-3075,238639697.000000,0.089688,59697.000000,199.000000,0.000000,0.002820,0.003341,0.005525,0.000000,0.000000,374,0.973868,0.908851,0.000137,0.000220,0.256135,0.007600,0.240764,0.013400,0.245451,0.247030
-3050,240269583.000000,0.088584,64759.000000,199.000000,0.000000,0.002688,0.003652,0.005525,0.000000,0.000000,374,0.973544,0.917524,0.000125,0.000184,0.252068,0.007600,0.234961,0.013400,0.248894,0.249514
-3025,240815881.000000,0.088028,64816.000000,199.000000,0.000000,0.002642,0.003470,0.005525,0.000000,0.000000,374,0.976586,0.916962,0.000141,0.000201,0.251571,0.007600,0.236576,0.013400,0.241851,0.243534
-3000,241379747.000000,0.087402,64676.000000,199.000000,0.000000,0.002631,0.003445,0.005525,0.000000,0.000000,374,0.975034,0.918888,0.000133,0.000187,0.245776,0.000000,0.235866,0.013300,0.244596,0.307711
-2975,243822870.000000,0.086536,67918.000000,199.000000,0.000000,0.002380,0.003548,0.005525,0.000000,0.000000,374,0.971696,0.908042,0.000146,0.000223,0.245038,0.007500,0.234272,0.013300,0.253108,0.308374
-2950,242934659.000000,0.082578,62117.000000,199.000000,0.000000,0.002360,0.003600,0.005525,0.000000,0.000000,374,0.964403,0.867726,0.000139,0.000216,0.235743,0.007400,0.226856,0.012900,0.313503,0.313825
-2925,246906137.000000,0.088662,58666.500000,199.500000,0.000000,0.002754,0.003564,0.005495,0.000000,0.000000,378,0.975004,0.919015,0.000134,0.000196,0.231857,0.007400,0.225909,0.013010,0.269058,0.270485
-2900,250693948.000000,0.091830,60794.500000,199.000000,0.000000,0.002640,0.003040,0.010870,0.000000,0.000000,384,0.977256,0.930998,0.000140,0.000205,0.234891,0.000000,0.229822,0.013300,0.228896,0.230205
-2875,251692560.000000,0.092815,54137.500000,199.000000,0.000000,0.002809,0.003342,0.010870,0.000000,0.000000,384,0.974511,0.923941,0.000144,0.000196,0.238537,0.007560,0.228441,0.013430,0.232604,0.232604
-2850,251983903.000000,0.093097,56686.500000,199.000000,0.000000,0.002611,0.003367,0.010870,0.000000,0.000000,384,0.974245,0.916443,0.000139,0.000218,0.236572,0.007700,0.231763,0.013330,0.230337,0.230426
-2825,253698538.000000,0.094794,70770.000000,199.000000,0.000000,0.002696,0.003291,0.021739,0.000000,0.000000,384,0.967899,0.892062,0.000139,0.000222,0.234539,0.007500,0.233735,0.012900,0.224719,0.224719
-2800,255121764.000000,0.096124,67982.000000,199.000000,0.000000,0.002689,0.003442,0.021739,0.000000,0.000000,384,0.969853,0.891437,0.000135,0.000196,0.230211,0.000000,0.231620,0.013400,0.216905,0.217272
-2775,256786884.000000,0.096466,52309.000000,198.000000,0.000000,0.002769,0.003333,0.021622,0.000000,0.000000,388,0.974662,0.902493,0.000144,0.000215,0.230620,0.007700,0.231939,0.013380,0.214619,0.214619
