year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,16915433.000000,0.000000,0.998876,0.000031,0.008466,0.000000,0.001368,0.023973,0.280095,0.280147,0.681804,0.638897,0.050095,0.177321,0.672148,0.001312,0.375546,0.054690,0.000003,0.000003,0.026976,0.004339,0.090541,0.082678,0.052562|0.306614|0.452215|0.120947|0.049863|0.017857,0.335933,0.387846,0.094192,0.113453,1.000000,1.000000,0.886547,158629.000000,303056.800000,0.035890,289.000000,849.200000,0.029522,0.818500,0.692480,97,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,0,0,0.239839,0.837147,0.740554,0.760161,137274.173980,170956.954166,1008413.749118,0.000000,0.000000,0.000000,208801.934447
-4000,160311740.000000,0.002251,0.944000,0.001179,0.008432,0.000000,0.000796,0.038003,0.415621,0.495677,0.867709,0.595499,0.108546,0.223743,0.856939,0.000265,0.410961,0.086062,0.000019,0.000018,0.056000,0.003902,0.223545,0.078353,0.018145|0.222605|0.554627|0.148998|0.038075|0.017857,0.309118,0.586403,0.143623,0.180649,0.847622,0.993515,0.819351,574908.000000,3727735.200000,0.052792,407.000000,1006.600000,0.051116,0.982300,0.784180,59,0.495798,935.000000,1000.000000,0,20254.091797,0.000564,0.416445,2199,3,0.089775,0,38,0,351,0.340267,0.592760,0.842468,0.659733,2965.526241,34888.621311,201943.321244,0.000000,0.000000,0.000000,762905871.921166
-3000,1042217661.000000,0.001874,0.935793,0.001524,0.008986,0.000000,0.000757,0.149253,0.560726,0.810452,0.776896,0.598833,0.163701,0.237447,0.713004,0.000207,0.411608,0.127362,0.000022,0.000021,0.064207,0.003557,0.266176,0.115761,0.017895|0.058736|0.629223|0.253589|0.022890|0.017857,0.325851,0.649446,0.169776,0.239583,0.835384,0.958967,0.760417,645977.000000,26320521.000000,0.059083,401.500000,1076.700000,0.047056,0.976800,0.810010,29,0.190789,785.000000,2000.000000,0,1719187.875000,0.007974,0.334186,4546,4,0.669175,0,44,0,915,0.385228,0.585609,0.822322,0.614772,12811.905937,183636.479473,1178220.919791,0.000000,0.000000,0.000000,2407386952.200911
-2000,2906176385.000000,0.001026,0.975730,0.000509,0.008912,0.000000,0.000807,0.157656,0.665607,1.000000,0.696632,0.515722,0.198700,0.253858,0.605923,0.000180,0.406287,0.136701,0.000039,0.000040,0.024270,0.003388,0.353685,0.212930,0.017871|0.035844|0.614434|0.300882|0.020720|0.017857,0.227720,0.767432,0.153283,0.271306,0.901817,1.000000,0.728694,675592.000000,30588093.000000,0.115929,475.000000,1348.000000,0.073453,0.949100,0.758700,16,0.083770,1110.000000,2850.000000,0,2077739.125000,0.004869,1.546953,6945,4,0.705338,0,43,0,1550,0.424210,0.591446,0.800335,0.575790,98425.770877,602891.753012,3690192.035534,0.000000,0.000000,0.000000,7959788181.506070
-1000,3964934994.000000,0.000311,0.957402,0.001472,0.008920,0.000000,0.001702,0.115580,0.781151,1.000000,0.681462,0.519370,0.249551,0.247125,0.587332,0.000134,0.400501,0.128089,0.000041,0.000042,0.042598,0.003322,0.418052,0.280218,0.017868|0.033651|0.520767|0.389349|0.020509|0.017857,0.171735,0.815217,0.147931,0.284134,0.874739,1.000000,0.715866,797707.500000,47251410.200000,0.072886,503.500000,1431.500000,0.054167,0.943900,0.744170,14,0.053030,1025.000000,3035.000000,0,2040941.625000,0.003555,2.333253,9560,6,1.688989,0,79,0,2426,0.433667,0.585975,0.797884,0.566334,33522.521418,757710.404847,4403703.328834,0.000000,0.000000,0.000000,21246014185.000072
0,4099772476.000000,0.000033,0.943819,0.002386,0.008723,0.000000,0.002278,0.116921,0.888173,1.000000,0.684786,0.504465,0.254203,0.258157,0.576071,0.000139,0.408191,0.129940,0.000048,0.000047,0.056181,0.003186,0.443047,0.309650,0.017867|0.034155|0.512922|0.395717|0.021483|0.017857,0.173040,0.812070,0.169995,0.311408,0.849043,0.977503,0.688592,827120.000000,41099047.800000,0.071957,489.000000,1353.600000,0.049289,0.951000,0.793760,13,0.042904,1505.000000,3725.000000,0,2020784.875000,0.003447,2.516154,12259,2,2.303288,72,45,0,3095,0.458276,0.587403,0.805500,0.541724,12044.462809,733443.152248,4302960.412667,0.000000,0.000000,0.000000,31613660312.533138
1000,4284542338.000000,0.000044,0.904581,0.002918,0.008947,0.000000,0.000312,0.120590,0.981514,1.000000,0.702581,0.570285,0.264081,0.264242,0.601274,0.000127,0.410481,0.130605,0.000055,0.000055,0.095419,0.003105,0.465682,0.334419,0.017873|0.035281|0.518249|0.388185|0.022555|0.017857,0.171593,0.811616,0.183893,0.328493,0.783412,0.923235,0.671507,796080.000000,32118023.400000,0.068787,435.500000,1322.800000,0.045684,0.962550,0.828860,13,0.036932,1507.500000,4494.500000,0,2056320.250000,0.003350,2.888585,14215,4,4.088272,530,57,0,4009,0.473638,0.586744,0.814521,0.526362,19074.438495,738239.055140,4452908.933074,0.000000,0.000000,0.000000,40630114435.502754
1500,4307712979.000000,0.000011,0.954665,0.001515,0.008817,0.000700,0.000350,0.121801,1.000000,1.000000,0.706554,0.569069,0.272246,0.269261,0.609309,0.000126,0.415033,0.131609,0.000060,0.000061,0.045335,0.003016,0.470288,0.342114,0.017873|0.035544|0.506413|0.399693|0.022621|0.017857,0.171012,0.811907,0.199072,0.347641,0.867366,1.000000,0.652359,878075.000000,32193655.900000,0.070714,426.000000,1257.900000,0.045294,0.965050,0.841130,13,0.035912,1462.500000,4989.000000,2,2038962.250000,0.003325,3.465979,7939,2,0.976450,496,19,0,2312,0.496871,0.600338,0.819450,0.503129,40463.258356,791213.422298,4789227.498618,0.000000,0.000000,0.000000,43394077358.999657
2000,4297298402.000000,-0.000005,0.880363,0.004011,0.008735,0.000001,0.000414,0.118810,1.000000,1.000000,0.700048,0.578793,0.273801,0.274788,0.595052,0.000137,0.421776,0.136241,0.000069,0.000066,0.119637,0.002901,0.472310,0.343125,0.017873|0.035592|0.505908|0.400094|0.022678|0.017857,0.171094,0.811721,0.226610,0.373078,0.778421,0.879927,0.626923,852208.000000,32219753.000000,0.068414,440.000000,1312.400000,0.045049,0.966200,0.854790,13,0.036111,1632.500000,5481.000000,0,2070570.125000,0.003372,3.108566,7967,0,2.570580,574,0,0,2140,0.522099,0.593525,0.829504,0.477901,8030.361918,692556.619523,4256884.538352,0.000000,0.000000,0.000000,45258581632.258736
2025,4317713288.000000,0.000190,0.968704,0.001051,0.008804,0.000000,0.000587,0.122109,1.000000,1.000000,0.699300,0.584106,0.273705,0.279092,0.597975,0.000135,0.424251,0.140114,0.000068,0.000065,0.031296,0.002899,0.472310,0.343294,0.017872|0.035551|0.506089|0.399929|0.022702|0.017857,0.170753,0.812019,0.227738,0.373462,0.887939,1.000000,0.626538,877617.000000,31823992.500000,0.068889,440.000000,1312.400000,0.045048,0.968000,0.846460,13,0.036111,1597.500000,5506.000000,0,2060887.875000,0.003335,3.122424,299,0,0.033782,34,0,0,67,0.524470,0.608808,0.825660,0.475530,48319.270307,802048.472663,4930046.961053,0.000000,0.000000,0.000000,45357611067.132614
