year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13631180.000000,0.000000,0.999693,0.000009,0.008464,0.000000,0.001083,0.023600,0.280114,0.280137,0.688007,0.623102,0.049878,0.183429,0.676014,0.001192,0.375734,0.035887,0.000003,0.000003,0.026934,0.001226,0.080431,0.074365,0.041679|0.338515|0.411623|0.113003|0.077378|0.017857,0.357767,0.270432,0.090329,0.110803,1.000000,1.000000,0.889197,121694.500000,300182.700000,0.022424,188.500000,876.900000,0.032982,0.828900,0.685700,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.240871,0.839751,0.742145,0.759129,106527.557791,130816.770926,760469.629029,0.000000,0.000000,0.000000,238583.423754
-4950,17793761.000000,0.002836,0.962265,0.001125,0.008548,0.000000,0.001267,0.023557,0.287472,0.289148,0.889134,0.623842,0.057040,0.205914,0.911033,0.000473,0.421572,0.046639,0.000006,0.000006,0.037735,0.001195,0.116715,0.098068,0.029627|0.357528|0.420911|0.114816|0.076675|0.017857,0.311767,0.359526,0.100304,0.127852,0.866505,1.000000,0.872148,150092.000000,343647.800000,0.037166,215.000000,836.600000,0.031774,0.990500,0.810760,0,94.069450,0.000018,1.340946,33,0,0.000336,5,0,17,0.279953,0.588030,0.828659,0.720047,965.578202,33065.254444,212867.266966,0.000000,0.000000,0.000000,12104976.050941
-4900,20425892.000000,0.002191,0.954743,0.001150,0.008453,0.000000,0.002311,0.023485,0.295316,0.299314,0.889077,0.610852,0.068019,0.205708,0.907714,0.000557,0.415842,0.047421,0.000009,0.000008,0.045257,0.001189,0.129016,0.104808,0.026886|0.361613|0.416474|0.113646|0.076158|0.017857,0.285151,0.405392,0.100976,0.131093,0.836421,1.000000,0.868907,157965.000000,371259.200000,0.041887,248.000000,794.800000,0.030972,0.989500,0.837500,0,217.562317,0.000041,0.483560,45,0,0.000462,8,0,14,0.281424,0.590118,0.831552,0.718576,940.654960,35579.450451,215414.850908,0.000000,0.000000,0.000000,25373445.396871
-4850,22952246.000000,0.002084,0.965495,0.000778,0.008313,0.000000,0.000524,0.024186,0.303410,0.310197,0.893612,0.577773,0.061047,0.209575,0.914231,0.000471,0.410160,0.051196,0.000010,0.000009,0.034505,0.001185,0.140643,0.106437,0.025424|0.364150|0.413171|0.114414|0.075656|0.017857,0.281804,0.425415,0.103339,0.133503,0.840107,1.000000,0.866497,171015.000000,419623.000000,0.049226,269.000000,793.400000,0.030436,0.991600,0.794740,0,1415.951416,0.000127,0.284248,64,0,0.000396,8,0,19,0.290041,0.596614,0.834699,0.709959,1055.889117,31544.766289,193232.965457,0.000000,0.000000,0.000000,39606839.211866
-4800,25692570.000000,0.002065,0.982381,0.000346,0.008327,0.000000,0.000613,0.024393,0.312387,0.322404,0.895166,0.556416,0.095494,0.208760,0.914930,0.000372,0.406401,0.050769,0.000012,0.000011,0.017619,0.001180,0.151707,0.100202,0.023980|0.367255|0.410526|0.114484|0.075880|0.017857,0.276244,0.445653,0.105326,0.135794,0.942006,1.000000,0.864206,187633.500000,505313.400000,0.051916,277.500000,792.700000,0.029692,0.993100,0.812910,0,1648.996582,0.000140,0.232757,69,0,0.000226,2,0,18,0.291623,0.600509,0.837281,0.708377,1375.813055,26706.822177,159471.159322,0.000000,0.000000,0.000000,56655087.502978
-4750,28700264.000000,0.002054,0.982203,0.000473,0.008431,0.000000,0.000451,0.024668,0.321924,0.334780,0.896409,0.552954,0.067338,0.206440,0.915234,0.000356,0.406230,0.050451,0.000013,0.000012,0.017797,0.001177,0.160526,0.094305,0.023181|0.370185|0.408195|0.115535|0.074258|0.017857,0.278918,0.456863,0.107760,0.137874,0.918590,1.000000,0.862126,176465.000000,579581.000000,0.050295,290.000000,785.000000,0.029111,0.993500,0.733000,0,1894.583008,0.000166,0.185377,65,0,0.000255,1,0,19,0.294816,0.611123,0.838703,0.705184,1701.322005,26267.186462,160968.341686,0.000000,0.000000,0.000000,77036691.925628
-4700,31969803.000000,0.002040,0.986212,0.000295,0.008411,0.000000,0.000546,0.024946,0.331189,0.347621,0.895109,0.542284,0.071658,0.207179,0.915506,0.000400,0.406647,0.051628,0.000015,0.000011,0.013788,0.001172,0.169400,0.090822,0.022517|0.370031|0.409709|0.116214|0.072461|0.017857,0.288774,0.460785,0.110666,0.140722,0.947452,1.000000,0.859278,192094.000000,634390.000000,0.049097,288.000000,688.200000,0.028627,0.992900,0.821160,0,2261.972900,0.000187,0.290235,78,0,0.000220,8,0,16,0.298975,0.605511,0.838976,0.701025,1713.991625,30237.342823,187205.391940,0.000000,0.000000,0.000000,101827750.392921
-4650,35747788.000000,0.002059,0.980758,0.000353,0.008254,0.000000,0.000802,0.025157,0.340852,0.360703,0.895583,0.539287,0.096124,0.207842,0.914953,0.000368,0.406746,0.051033,0.000014,0.000011,0.019242,0.001169,0.175747,0.087508,0.022002|0.371022|0.409967|0.116550|0.070304|0.017857,0.287870,0.470596,0.111652,0.142073,0.924748,1.000000,0.857927,208808.500000,696039.500000,0.054025,283.000000,686.500000,0.028329,0.993650,0.848550,0,2642.856934,0.000187,0.260016,95,0,0.000344,6,0,21,0.300132,0.607645,0.839614,0.699868,1745.442589,32619.599565,205852.035083,0.000000,0.000000,0.000000,126975448.733899
-4600,39983223.000000,0.002242,0.988340,0.000239,0.008192,0.000000,0.000836,0.025436,0.351115,0.373949,0.896185,0.566702,0.096462,0.211043,0.915081,0.000354,0.407949,0.052583,0.000015,0.000012,0.011660,0.001163,0.185801,0.089081,0.021516|0.372139|0.410997|0.116947|0.068141|0.017857,0.288086,0.478661,0.113898,0.145595,0.966681,1.000000,0.854405,210109.000000,771116.500000,0.056415,285.500000,686.500000,0.028009,0.993700,0.856500,0,3104.166260,0.000181,0.215929,105,0,0.000233,0,0,32,0.304283,0.613733,0.840465,0.695717,2349.883056,23921.357268,141242.069409,0.000000,0.000000,0.000000,155013667.960139
-4550,44479579.000000,0.002134,0.994714,0.000079,0.008325,0.000000,0.001090,0.025830,0.361800,0.387949,0.893587,0.556673,0.092622,0.212170,0.913504,0.000315,0.408477,0.053064,0.000015,0.000012,0.005286,0.001159,0.191249,0.089755,0.021069|0.370152|0.413923|0.118330|0.065396|0.017857,0.294388,0.483972,0.117042,0.148066,1.000000,1.000000,0.851934,258311.000000,876302.500000,0.057304,285.500000,696.500000,0.027702,0.993500,0.856950,0,3643.811523,0.000176,0.269317,110,0,0.000118,0,0,26,0.307422,0.639331,0.841106,0.692578,3979.070689,22675.601262,131249.979631,0.000000,0.000000,0.000000,184877984.075626
