seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,332.406,False,False,44,862,65,Kingdom of New chitem,35,Markets,120,Copper Smelting,-2775,146,Kingdom of New romsellenburg,3247,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_1,
2,True,0,290.041,False,False,44,1179,65,Kingdom of South temxocteo,35,Markets,120,Copper Smelting,-1993,37,Kingdom of South urkalad,2907,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_2,
3,True,0,273.460,False,False,43,1172,49,Kingdom of South barlamlamu,35,Markets,120,Copper Smelting,-2804,19,South linminren Tribe,2959,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_3,
4,True,0,252.162,False,False,37,715,135,Old barse Tribe,30,Education,120,Copper Smelting,-3164,106,New ninurninum Tribe,2621,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_4,
5,True,0,320.094,False,False,28,760,49,Kingdom of North ngongochiu,109,Long-distance Exchange Networks,120,Copper Smelting,-2240,144,North kalaran Tribe,3191,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_5,
6,True,0,283.636,False,False,44,1959,144,Great zuzu Tribe,35,Markets,120,Copper Smelting,-2732,107,Kingdom of Belvendorburg,2835,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_6,
7,True,0,312.630,False,False,44,1552,70,Kingdom of Great chitemtan,39,Universities,120,Copper Smelting,-1868,38,Kingdom of South ashtam,2792,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_7,
8,True,0,274.595,False,False,30,71,49,Kingdom of North lamtansea Kingdom,24,Optics,120,Copper Smelting,-1806,24,Kingdom of New minrenminling,2952,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_8,
9,True,0,320.769,False,False,28,607,49,Kingdom of New ngozungoene,12,Shipbuilding,120,Copper Smelting,-3127,35,Kalbel Tribe,3246,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_9,
10,True,0,301.212,False,False,44,1572,48,Kingdom of South sebaru Kingdom,35,Markets,120,Copper Smelting,-2958,34,Great arninar Tribe,2973,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_10,
11,True,0,239.285,False,False,40,856,48,Kingdom of New tantanbar Kingdom,36,Printing,120,Copper Smelting,-1332,28,Kingdom of North belartamum,2816,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_11,
12,True,0,304.968,False,False,38,2008,49,Kingdom of Old lamse,34,Banking,120,Copper Smelting,-2801,38,New eshtamad Tribe,3082,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_12,
13,True,0,325.205,False,False,44,954,49,South lamofia Kingdom,35,Markets,120,Copper Smelting,-2011,139,Kingdom of Selbelum,2944,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_13,
14,True,0,321.095,False,False,44,1727,176,Kingdom of New matanmaara Kingdom,31,Acoustics,120,Copper Smelting,-2575,31,Kingdom of Great kaleshan,3422,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_14,
15,True,0,301.204,False,False,28,933,97,Kingdom of New romgarromland,10,Irrigation,120,Copper Smelting,-2751,106,Old belesharan Tribe,3049,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_15,
16,True,0,262.676,False,False,37,1561,48,Kingdom of Old chikangoara Kingdom,39,Universities,120,Copper Smelting,-2371,125,South romvenromburg Tribe,2932,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_baseline16/seed_16,
