year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,25316626.000000,0.000000,0.999847,0.000004,0.008481,0.000000,0.000536,0.027720,0.280114,0.280146,0.666446,0.612717,0.092533,0.181246,0.658635,0.001743,0.369749,0.054036,0.000003,0.000003,0.028526,0.000562,0.122107,0.110649,0.024499|0.416341|0.366333|0.103475|0.058875|0.030508,0.334670,0.293185,0.086115,0.109141,1.000000,1.000000,0.890860,301045.000000,306956.000000,0.036076,574.000000,1133.300000,0.019094,0.763950,0.649840,92,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0,0.231442,0.763040,0.732725,0.768558,162548.906955,182047.099339,1048974.068583,0.000000,0.000000,0.000000,556823.503412
-4000,178558311.000000,0.001955,0.934649,0.001422,0.008422,0.000000,0.001196,0.032769,0.385406,0.483070,0.781238,0.477685,0.181239,0.224025,0.725889,0.000320,0.396626,0.110767,0.000023,0.000020,0.065351,0.000494,0.262188,0.115536,0.018391|0.288930|0.480457|0.153355|0.040796|0.018110,0.260223,0.574658,0.131261,0.190676,0.808099,0.979506,0.809323,433151.000000,3571520.500000,0.057025,482.000000,1211.000000,0.033024,0.966350,0.687450,39,0.250000,770.000000,1000.000000,0,23100.283203,0.000451,0.676068,3391,2,0.116690,0,79,0,735,0.334221,0.586074,0.801294,0.665779,2924.465843,39692.850228,211511.144533,0.000000,0.000000,0.000000,1432127987.900811
-3000,1055302354.000000,0.001778,0.942428,0.001067,0.008954,0.000700,0.001994,0.140038,0.470811,0.740571,0.726019,0.523688,0.235619,0.235360,0.642356,0.000378,0.394680,0.125891,0.000027,0.000025,0.057572,0.000455,0.313357,0.167715,0.017948|0.073316|0.666556|0.197190|0.027103|0.017894,0.299321,0.656994,0.149774,0.242941,0.842985,0.976824,0.757059,482341.500000,17257300.000000,0.084952,517.000000,1206.000000,0.051734,0.955000,0.763600,18,0.091837,955.000000,1965.000000,2,990224.812500,0.002751,0.469127,6116,8,0.607561,0,49,0,1424,0.382785,0.575939,0.792513,0.617215,19323.981892,203168.869513,1242979.585244,0.000000,0.000000,0.000000,5124540168.232417
-2000,2958520200.000000,0.001031,0.982316,0.000155,0.008855,0.000000,0.001260,0.142326,0.574194,0.994972,0.690025,0.562060,0.244313,0.245218,0.592822,0.000272,0.399632,0.130478,0.000037,0.000040,0.017684,0.000443,0.386374,0.246911,0.017884|0.041686|0.580052|0.319391|0.023118|0.017871,0.193660,0.785235,0.161431,0.260601,0.930349,1.000000,0.739399,617331.000000,34010803.200000,0.098379,490.000000,1409.200000,0.045619,0.943100,0.758880,10,0.041152,840.000000,2758.000000,0,1820041.750000,0.003840,1.056172,8534,3,0.523171,0,53,0,1971,0.420829,0.595661,0.790354,0.579171,85226.459136,622536.499267,3734607.674811,0.000000,0.000000,0.000000,10910860181.350485
-1000,4485393057.000000,0.000416,0.958341,0.001444,0.009049,0.000000,0.001891,0.144930,0.696511,1.000000,0.682559,0.528337,0.273856,0.244891,0.581338,0.000170,0.400012,0.124754,0.000040,0.000045,0.041659,0.000430,0.441024,0.321725,0.017875|0.034330|0.529302|0.378240|0.022387|0.017866,0.138760,0.845610,0.151349,0.279978,0.861480,1.000000,0.720022,781573.000000,44836503.200000,0.069865,503.000000,1353.000000,0.037270,0.950100,0.751580,6,0.019108,982.500000,3200.000000,0,1257984.375000,0.002181,4.287622,12248,4,1.868575,0,78,0,2977,0.429871,0.586542,0.796267,0.570129,18565.584139,810381.534149,4836576.323147,0.000000,0.000000,0.000000,24485915086.608414
0,4485083836.000000,-0.000000,0.946678,0.001922,0.008839,0.000700,0.004251,0.142145,0.790966,1.000000,0.674996,0.518277,0.283773,0.253961,0.575781,0.000160,0.408603,0.123885,0.000050,0.000049,0.053322,0.000417,0.463379,0.343237,0.017880|0.034446|0.518636|0.388518|0.022655|0.017866,0.133469,0.850600,0.172767,0.300130,0.850446,0.978116,0.699870,692191.000000,40346311.600000,0.074252,468.000000,1292.000000,0.034525,0.953800,0.789140,4,0.010840,1225.000000,3327.000000,2,1284012.375000,0.002242,4.141818,15578,4,2.391525,20,60,0,4033,0.459334,0.586281,0.803232,0.540666,12518.510977,789423.992952,4741606.950449,0.000000,0.000000,0.000000,34244411378.991943
1000,4805711852.000000,0.000069,0.917605,0.002908,0.009059,0.000000,0.001212,0.145564,0.936445,1.000000,0.701284,0.529347,0.294221,0.272509,0.595983,0.000159,0.421703,0.137551,0.000058,0.000059,0.082395,0.000386,0.475848,0.359919,0.017879|0.034515|0.509697|0.397333|0.022711|0.017865,0.133362,0.850204,0.223662,0.349678,0.801658,0.939339,0.650322,723803.000000,42795803.400000,0.071446,463.000000,1422.400000,0.032996,0.965300,0.823700,4,0.010840,1655.000000,4153.000000,0,1268697.750000,0.002290,3.447294,16087,0,3.959688,534,0,0,4093,0.518906,0.594916,0.823986,0.481094,7339.057951,798384.801933,4895901.810384,0.000000,0.000000,0.000000,38286603698.271187
1500,4821477193.000000,0.000007,0.945415,0.001400,0.008947,0.000000,0.001393,0.150578,1.000000,1.000000,0.696439,0.536323,0.292451,0.281107,0.587371,0.000166,0.424608,0.143204,0.000063,0.000062,0.054585,0.000375,0.479218,0.365480,0.017879|0.034329|0.508299|0.398569|0.023060|0.017864,0.133420,0.849930,0.247194,0.369021,0.828054,0.987307,0.630979,717793.000000,44765810.200000,0.073864,463.000000,1433.600000,0.032652,0.967900,0.841140,4,0.010840,1875.000000,4519.000000,0,1357340.250000,0.002324,3.233731,7919,0,1.315910,647,0,0,2023,0.545643,0.603408,0.827441,0.454357,32795.959347,850853.461724,5284136.081492,0.000000,0.000000,0.000000,40472585999.563240
2000,4775151937.000000,-0.000019,0.882640,0.003656,0.008864,0.000001,0.002664,0.147163,1.000000,1.000000,0.695286,0.530468,0.300269,0.288251,0.587579,0.000166,0.430218,0.147329,0.000069,0.000066,0.117360,0.000361,0.483431,0.369636,0.017879|0.034670|0.506257|0.400379|0.023067|0.017864,0.137195,0.846122,0.265717,0.393203,0.769943,0.890946,0.606797,724515.000000,44251914.600000,0.075255,468.000000,1451.600000,0.032410,0.968800,0.840720,3,0.008130,1785.000000,4991.000000,0,1315056.875000,0.002355,3.263953,8009,0,2.802053,854,0,0,1941,0.573699,0.603052,0.837137,0.426301,5933.501491,760241.294298,4757980.372441,0.000000,0.000000,0.000000,42708275101.249435
2025,4821780430.000000,0.000389,0.957252,0.000930,0.008942,0.000000,0.001606,0.152283,1.000000,1.000000,0.691215,0.546202,0.300001,0.287727,0.588401,0.000172,0.432639,0.148280,0.000068,0.000066,0.042748,0.000361,0.483599,0.370479,0.017879|0.034631|0.507905|0.398691|0.023088|0.017864,0.134943,0.848362,0.269281,0.394276,0.843284,1.000000,0.605724,727196.000000,44605194.800000,0.073878,468.000000,1451.600000,0.032389,0.969200,0.852160,3,0.008130,1810.000000,5016.000000,0,1353042.750000,0.002344,4.465403,330,0,0.051530,52,0,0,72,0.572377,0.611923,0.833176,0.427623,43763.636944,873408.663997,5449915.958910,0.000000,0.000000,0.000000,42818148946.516502
