seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,779.117,False,False,36,1982,65,Kingdom of Calxoctan,15,Currency,120,Copper Smelting,-449,147,Arkaleshan Tribe,621,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_1,
2,True,0,762.522,False,False,34,1930,65,Republic of Kingdom of North teotemtan,34,Banking,120,Copper Smelting,-19,31,Kingdom of New ninuran,676,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_2,
3,True,0,737.135,False,False,36,-1669,49,Empire of New mangozu,12,Shipbuilding,120,Copper Smelting,-1627,34,Kingdom of Great belbarad,563,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_3,
4,True,0,739.495,False,False,28,-37,1,Kingdom of New survivi Kingdom,12,Shipbuilding,120,Copper Smelting,1664,38,Kingdom of South kalbarbaran,527,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_4,
5,True,0,796.417,False,False,40,1988,240,Empire of Old lamzuzu Kingdom,33,Paper,120,Copper Smelting,208,31,Kingdom of Arursamum,665,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_5,
6,True,0,676.633,False,False,29,-450,0,South kanvivi Tribe,38,Mechanical Clock,119,Native Copper Working,-362,60,Kingdom of South bellentaria,613,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_6,
7,True,0,728.878,False,False,42,1917,316,Republic of North chitanara,33,Paper,120,Copper Smelting,-70,90,Kingdom of North zenquirom,595,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_7,
8,True,0,716.787,False,False,30,559,49,Empire of Chimaene,38,Mechanical Clock,120,Copper Smelting,340,109,Kingdom of Old tarvenland,576,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_8,
9,True,0,811.898,False,False,32,1369,49,Empire of New chichiene,38,Mechanical Clock,120,Copper Smelting,-1256,36,Old arashurar Tribe,617,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_9,
10,True,0,706.208,False,False,29,-47,129,Shatanshadesh,38,Mechanical Clock,120,Copper Smelting,-2327,34,Kingdom of Great belur,574,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_10,
11,True,0,565.651,False,False,29,89,1,New shasura,38,Mechanical Clock,120,Copper Smelting,157,31,Kingdom of Old sambelan,469,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_11,
12,True,0,778.645,False,False,31,1561,49,Kingdom of South chilamchiu,38,Mechanical Clock,120,Copper Smelting,-848,38,Kingdom of South samkalkalar,671,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_12,
13,True,0,775.244,False,False,31,738,0,Kingdom of Great tansurnaldesh,38,Mechanical Clock,120,Copper Smelting,1123,114,Kingdom of Great ashbel,714,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_13,
14,True,0,841.466,False,False,31,906,3,Kingdom of North rakankanpur Kingdom,15,Currency,120,Copper Smelting,-2023,31,North ashtamashar Tribe,594,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_14,
15,True,0,770.348,False,False,33,1922,48,Kingdom of Old lamchia Kingdom,30,Education,120,Copper Smelting,94,149,New selvenia,710,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_15,
16,True,0,737.247,False,False,45,804,66,New temitznahpan,40,Astronomy,120,Copper Smelting,158,30,Kingdom of South ureshtamad,614,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_16,
17,True,0,771.998,False,False,31,297,53,Kingdom of Old kazuene,118,Numeracy and Measurement,120,Copper Smelting,-767,143,Kingdom of South urarsaman,662,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_17,
18,True,0,804.306,False,False,45,1799,0,Republic of South drasura,34,Banking,120,Copper Smelting,211,33,Kingdom of Great sambarar,753,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_18,
19,True,0,773.304,False,False,30,1644,49,Kingdom of North ngolam,38,Mechanical Clock,120,Copper Smelting,-350,35,Kingdom of New esharan,613,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_19,
20,True,0,698.387,False,False,32,-1678,48,Empire of Lamtanse,108,Watercraft,120,Copper Smelting,1173,102,Kingdom of South eshbaran,534,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_20,
21,True,0,766.884,False,False,39,1749,250,Kingdom of Ofilamene Kingdom,39,Universities,120,Copper Smelting,-2037,139,Kingdom of North arkalkalad,791,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_21,
22,True,0,817.734,False,False,29,1472,113,Kingdom of New sursha,12,Shipbuilding,120,Copper Smelting,-682,244,Kingdom of Ninurum,649,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_22,
23,True,0,748.061,False,False,31,1039,48,Empire of North tankaara,23,Engineering,120,Copper Smelting,-426,32,Kingdom of North sambarkalar,653,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_23,
24,True,0,748.553,False,False,31,2011,74,Republic of Kingdom of Tolchicalco,22,Philosophy,120,Copper Smelting,714,29,Kingdom of Great arbelkal,666,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_24,
25,True,0,657.909,False,False,31,988,103,Kingdom of South shavi Kingdom,15,Currency,120,Copper Smelting,-737,27,Kingdom of Old liqinzhou,613,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_25,
26,True,0,782.353,False,False,32,799,197,North weiliguo Kingdom,19,Alphabet,120,Copper Smelting,-465,153,Old drasurtana Kingdom,566,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_26,
27,True,0,733.241,False,False,31,1982,0,Republic of Kingdom of Great shatanpur,12,Shipbuilding,120,Copper Smelting,223,168,Kingdom of Tamnintamar,688,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_27,
28,True,0,765.028,False,False,31,-124,49,Empire of Old tankalam,38,Mechanical Clock,120,Copper Smelting,-747,35,Old tamesh,721,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_28,
29,True,0,705.067,False,False,34,-1821,49,North machiu Tribe,22,Philosophy,120,Copper Smelting,525,38,Kingdom of Old eshninum,771,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_29,
30,True,0,713.835,False,False,30,1336,48,Empire of Lamsetanene,12,Shipbuilding,120,Copper Smelting,-2240,140,North bararbelan Kingdom,554,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_30,
31,True,0,673.052,False,False,32,-365,49,Ngoselamene Tribe,38,Mechanical Clock,120,Copper Smelting,-567,105,Kingdom of South tambeltamum,729,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_31,
32,True,0,721.936,False,False,30,1076,227,Kingdom of Old ngose Kingdom,38,Mechanical Clock,120,Copper Smelting,155,114,Kingdom of New tamashar,541,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest/seed_32,
