year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18688205.000000,0.000000,0.999408,0.000016,0.008471,0.000000,0.000906,0.025581,0.280101,0.280144,0.683830,0.625564,0.050469,0.181276,0.672593,0.001327,0.374034,0.054300,0.000003,0.000003,0.026775,0.002244,0.098293,0.089530,0.024978|0.400581|0.380818|0.111816|0.055954|0.025896,0.372930,0.316009,0.090424,0.109374,1.000000,1.000000,0.890626,186834.000000,303364.400000,0.030270,389.000000,1064.400000,0.026175,0.814500,0.690000,95,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0,0.236007,0.838692,0.738931,0.763993,131533.885672,176538.983744,1036022.400434,0.000000,0.000000,0.000000,369633.021361
-4000,174358813.000000,0.002236,0.958515,0.001035,0.008416,0.000000,0.000466,0.033495,0.419548,0.499078,0.854213,0.586833,0.151612,0.223987,0.831447,0.000278,0.406674,0.090824,0.000021,0.000019,0.041485,0.001994,0.213267,0.094979,0.017975|0.256104|0.534598|0.141259|0.034592|0.018184,0.266695,0.589996,0.143766,0.183748,0.841736,1.000000,0.816252,677592.500000,3392811.700000,0.057731,405.500000,1162.600000,0.038767,0.981800,0.781270,55,0.429688,857.500000,1000.000000,0,6907.631348,0.000223,0.889337,2125,2,0.072332,0,45,0,441,0.336001,0.594645,0.839657,0.663999,3168.345010,36836.819293,206755.651767,0.000000,0.000000,0.000000,1141918867.464500
-3000,1035967096.000000,0.001784,0.943155,0.001290,0.008941,0.000000,0.000558,0.139438,0.533787,0.798621,0.734030,0.569893,0.192194,0.236856,0.645126,0.000244,0.399631,0.122923,0.000029,0.000023,0.056845,0.001850,0.259211,0.128061,0.017886|0.069815|0.624650|0.248666|0.021669|0.017910,0.317875,0.648367,0.172779,0.231709,0.829916,0.978823,0.768291,793283.000000,21080785.200000,0.079611,490.000000,1197.800000,0.032457,0.966400,0.776500,31,0.200000,1085.000000,2000.000000,0,965214.187500,0.001084,0.782134,4652,5,0.588893,0,38,0,1173,0.380505,0.578112,0.801929,0.619495,21554.563167,191722.481065,1231778.358600,0.000000,0.000000,0.000000,4118142816.974608
-2000,2869065738.000000,0.001019,0.978541,0.000467,0.008912,0.000000,0.000817,0.156103,0.645859,1.000000,0.713153,0.574354,0.234057,0.248767,0.631516,0.000195,0.400961,0.132922,0.000043,0.000045,0.021459,0.001775,0.334475,0.209279,0.017868|0.038804|0.615349|0.290624|0.019830|0.017878,0.210542,0.774281,0.156219,0.258748,0.921092,1.000000,0.741252,888368.000000,37218219.400000,0.117972,471.000000,1298.400000,0.051081,0.955900,0.809600,16,0.076555,760.000000,2621.000000,0,1431091.000000,0.004098,0.644073,7691,3,0.615663,0,65,0,1979,0.417540,0.600046,0.798226,0.582461,62482.634262,577557.342720,3484951.499461,0.000000,0.000000,0.000000,10160531011.359800
-1000,3954479703.000000,0.000321,0.962001,0.001811,0.009105,0.000000,0.000827,0.159583,0.747124,1.000000,0.682814,0.538999,0.257196,0.252024,0.586910,0.000146,0.401903,0.120456,0.000050,0.000043,0.037999,0.001702,0.387273,0.286958,0.017866|0.034944|0.539459|0.370950|0.019444|0.017871,0.166154,0.820873,0.152207,0.286362,0.874746,1.000000,0.713638,938550.000000,45310082.800000,0.088142,501.000000,1391.800000,0.053685,0.945450,0.777820,14,0.053435,1085.000000,3030.000000,0,1830607.250000,0.003241,2.040208,10349,3,1.502648,0,58,0,2838,0.446028,0.585216,0.795292,0.553972,27336.925755,706014.617371,4280137.385564,0.000000,0.000000,0.000000,20627874430.958256
0,4481643617.000000,0.000125,0.941799,0.002061,0.008935,0.000000,0.000000,0.167732,0.843840,1.000000,0.688779,0.561478,0.266846,0.254058,0.583610,0.000125,0.405594,0.118358,0.000060,0.000055,0.058201,0.001659,0.415581,0.314592,0.017865|0.032809|0.513232|0.399132|0.019610|0.017871,0.152912,0.835213,0.158918,0.302947,0.853170,0.962205,0.697053,720997.000000,37094685.400000,0.087820,432.000000,1329.200000,0.049151,0.959500,0.831920,11,0.034921,855.000000,2964.000000,0,2064861.875000,0.002903,2.859877,13359,7,2.608378,58,78,0,3985,0.452229,0.586674,0.803940,0.547771,18909.638107,758464.078950,4774930.572547,0.000000,0.000000,0.000000,30188927752.513824
1000,4889299727.000000,0.000087,0.895509,0.003446,0.009186,0.000001,0.000788,0.178830,0.974113,1.000000,0.704763,0.592318,0.278250,0.265302,0.608177,0.000112,0.416609,0.127531,0.000070,0.000061,0.104491,0.001581,0.439002,0.323916,0.017865|0.032818|0.487001|0.425613|0.019417|0.017870,0.151193,0.837452,0.191426,0.334556,0.775805,0.908483,0.665444,857144.500000,37600466.300000,0.082845,425.500000,1282.500000,0.046325,0.968850,0.869750,10,0.029240,1245.000000,3620.000000,0,2103503.750000,0.002714,3.310928,14876,10,5.108880,710,38,0,4464,0.490492,0.593936,0.824200,0.509508,4545.246514,753559.327469,4892890.310944,0.000000,0.000000,0.000000,36469318243.533241
1500,4929749028.000000,0.000016,0.947351,0.001443,0.009089,0.000000,0.000892,0.187324,1.000000,1.000000,0.706665,0.593059,0.278018,0.276539,0.609420,0.000118,0.425952,0.133350,0.000075,0.000066,0.052649,0.001517,0.442148,0.321950,0.017865|0.032939|0.489379|0.423019|0.019540|0.017870,0.152399,0.835814,0.215585,0.361631,0.839391,0.978864,0.638369,834478.000000,37871823.300000,0.081509,432.000000,1326.200000,0.046001,0.971600,0.879920,10,0.029586,1505.000000,4106.000000,0,2121038.000000,0.002723,3.250560,7396,1,1.297736,516,0,0,2207,0.522869,0.605925,0.832568,0.477131,19788.506062,808534.219451,5304037.510511,0.000000,0.000000,0.000000,37732086328.997414
2000,4879331464.000000,-0.000021,0.879556,0.004040,0.008987,0.000001,0.001198,0.179705,1.000000,1.000000,0.701948,0.579163,0.276735,0.284220,0.587530,0.000125,0.432013,0.137182,0.000083,0.000073,0.120444,0.001466,0.443327,0.326106,0.017865|0.032924|0.490512|0.421864|0.019596|0.017870,0.152583,0.835707,0.241169,0.383817,0.760426,0.880281,0.616183,840634.000000,37768060.200000,0.082590,432.000000,1326.600000,0.045842,0.972300,0.880900,10,0.029674,1560.000000,4558.000000,0,2108232.750000,0.002729,2.839934,7662,0,2.938433,636,0,0,2226,0.545636,0.605199,0.839986,0.454364,9755.668913,722805.994265,4836449.677510,0.000000,0.000000,0.000000,39384451768.350288
2025,4884468380.000000,0.000042,0.970773,0.000943,0.009053,0.000000,0.000826,0.182196,1.000000,1.000000,0.706169,0.588053,0.275125,0.283830,0.605793,0.000123,0.433471,0.141425,0.000081,0.000072,0.029227,0.001461,0.443552,0.326106,0.017865|0.032971|0.488615|0.423735|0.019573|0.017870,0.152178,0.835996,0.241150,0.386206,0.889748,1.000000,0.613794,812556.000000,37895702.200000,0.081252,432.000000,1326.600000,0.045806,0.975100,0.886900,10,0.029674,1545.000000,4583.000000,0,2103925.000000,0.002728,3.178141,296,0,0.035689,30,0,0,76,0.549742,0.618711,0.836989,0.450258,47214.538086,824559.578830,5527623.376696,0.000000,0.000000,0.000000,39474726984.028542
