seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,706.809,False,False,38,1998,65,Republic of Great chiyuccaltan,32,Civil Service,120,Copper Smelting,-459,147,Arkaleshan Tribe,613,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_1,
2,True,0,747.912,False,False,42,1939,48,Kingdom of New tanzuzua Kingdom,31,Acoustics,120,Copper Smelting,-74,106,Kingdom of Barninur,657,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_2,
3,True,0,727.247,False,False,30,-2016,49,Empire of New mangozu,108,Watercraft,120,Copper Smelting,-1666,34,Kingdom of Great belbarad,547,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_3,
4,True,0,758.311,False,False,30,1613,211,Kingdom of North ofingokau Kingdom,38,Mechanical Clock,120,Copper Smelting,-169,24,Kingdom of North qintaiguo,580,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_4,
5,True,0,792.432,False,False,34,1119,245,Kangobarara Kingdom,39,Universities,120,Copper Smelting,-186,31,Kingdom of South eshninkalum,605,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_5,
6,True,0,654.792,False,False,29,-453,0,South kanvivi Tribe,38,Mechanical Clock,119,Native Copper Working,-368,60,Kingdom of South bellentaria,556,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_6,
7,True,0,766.897,False,False,29,277,7,Kansurnagar Tribe,38,Mechanical Clock,120,Copper Smelting,-478,38,Kingdom of North nineshar,518,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_7,
8,True,0,715.519,False,False,32,381,49,Empire of North tanchia Kingdom,49,Scientific Method,120,Copper Smelting,278,105,Kingdom of Asharum,604,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_8,
9,True,0,804.607,False,False,29,1953,182,Empire of New tairenling,49,Scientific Method,120,Copper Smelting,-1187,36,Old arashurar Tribe,596,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_9,
10,True,0,715.074,False,False,41,1975,48,Kingdom of Great sezua Kingdom,39,Universities,120,Copper Smelting,-2327,34,Kingdom of Great belur,593,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_10,
11,True,0,571.492,False,False,33,1970,48,Kingdom of Old tanofingo Kingdom,5,Sailing,120,Copper Smelting,158,31,Kingdom of Old sambelan,474,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_11,
12,True,0,835.523,False,False,29,99,2,Kingdom of South draranal,38,Mechanical Clock,120,Copper Smelting,-1272,38,Kingdom of South baruran,641,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_12,
13,True,0,799.219,False,False,37,533,0,Republic of Kingdom of Great surtansur,22,Philosophy,120,Copper Smelting,718,122,Kingdom of Barninkal,809,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_13,
14,True,0,835.506,False,False,37,1698,3,Republic of Kingdom of New ravipur,21,Drama and Poetry,120,Copper Smelting,-2006,31,North ashtamashar Tribe,665,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_14,
15,True,0,709.988,False,False,29,952,110,Kingdom of New qoriqorillaq Kingdom,38,Mechanical Clock,120,Copper Smelting,98,149,New selvenia,643,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_15,
16,True,0,752.601,False,False,46,862,66,Republic of Kingdom of Chitoltan,26,Compass,120,Copper Smelting,-359,30,Kingdom of Old ninbarar,591,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_16,
17,True,0,749.105,False,False,30,2021,68,Kingdom of New chiyucan,23,Engineering,120,Copper Smelting,-91,143,Kingdom of Old asheshsaman,657,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_17,
18,True,0,769.391,False,False,45,1820,0,Republic of Kingdom of Mitvardranagar,34,Banking,120,Copper Smelting,412,33,Kingdom of North ninkalashum,735,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_18,
19,True,0,740.189,False,False,30,1663,49,Kingdom of Ofibarene,38,Mechanical Clock,120,Copper Smelting,-421,35,Kingdom of North ninbelsaman,642,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_19,
20,True,0,694.584,False,False,29,932,1,Kingdom of New tanradesh,38,Mechanical Clock,120,Copper Smelting,835,146,Old tameshan Kingdom,527,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_20,
21,True,0,737.319,False,False,31,2019,110,Shashanagar Kingdom,15,Currency,120,Copper Smelting,-1182,143,New kardoralburg Tribe,712,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_21,
22,True,0,793.168,False,False,29,1600,113,Kingdom of New tanshanal Kingdom,38,Mechanical Clock,120,Copper Smelting,-1005,37,Kingdom of Old ninurum,606,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_final32_latest_v2/seed_22,
