year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,Great marbel Tribe,100,Cordage and Knots,19
-5000,initial,0,Great marbel Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,0,Great marbel Tribe,102,Hafted Stone Tools,19
-5000,initial,0,Great marbel Tribe,105,Food Preservation,19
-5000,initial,0,Great marbel Tribe,106,Storage Pits and Containers,19
-5000,initial,0,Great marbel Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,0,Great marbel Tribe,110,Dog Domestication,19
-5000,initial,0,Great marbel Tribe,111,Grinding Stones,19
-5000,initial,0,Great marbel Tribe,112,Proto-cultivation,19
-5000,initial,0,Great marbel Tribe,113,Sedentism,19
-5000,initial,0,Great marbel Tribe,114,Enclosures and Herd Management,19
-5000,initial,0,Great marbel Tribe,115,Counting Tokens and Tallies,19
-5000,initial,0,Great marbel Tribe,116,Charcoal Firing,19
-5000,initial,0,Great marbel Tribe,1,Pottery,19
-5000,initial,0,Great marbel Tribe,2,Animal Husbandry,19
-5000,initial,0,Great marbel Tribe,4,Mining,19
-5000,initial,0,Great marbel Tribe,20,Agriculture,19
-5000,initial,0,Great marbel Tribe,3,Archery,19
-5000,initial,0,Great marbel Tribe,6,Calendar,19
-5000,initial,1,Viaromia Tribe,100,Cordage and Knots,19
-5000,initial,1,Viaromia Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,1,Viaromia Tribe,102,Hafted Stone Tools,19
-5000,initial,1,Viaromia Tribe,105,Food Preservation,19
-5000,initial,1,Viaromia Tribe,106,Storage Pits and Containers,19
-5000,initial,1,Viaromia Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,1,Viaromia Tribe,110,Dog Domestication,19
-5000,initial,1,Viaromia Tribe,111,Grinding Stones,19
-5000,initial,1,Viaromia Tribe,112,Proto-cultivation,19
-5000,initial,1,Viaromia Tribe,113,Sedentism,19
-5000,initial,1,Viaromia Tribe,114,Enclosures and Herd Management,19
-5000,initial,1,Viaromia Tribe,115,Counting Tokens and Tallies,19
-5000,initial,1,Viaromia Tribe,116,Charcoal Firing,19
-5000,initial,1,Viaromia Tribe,1,Pottery,19
-5000,initial,1,Viaromia Tribe,2,Animal Husbandry,19
-5000,initial,1,Viaromia Tribe,4,Mining,19
-5000,initial,1,Viaromia Tribe,20,Agriculture,19
-5000,initial,1,Viaromia Tribe,3,Archery,19
-5000,initial,1,Viaromia Tribe,6,Calendar,19
-5000,initial,2,South randusviastan Tribe,100,Cordage and Knots,19
-5000,initial,2,South randusviastan Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,2,South randusviastan Tribe,102,Hafted Stone Tools,19
-5000,initial,2,South randusviastan Tribe,105,Food Preservation,19
-5000,initial,2,South randusviastan Tribe,106,Storage Pits and Containers,19
-5000,initial,2,South randusviastan Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,2,South randusviastan Tribe,110,Dog Domestication,19
-5000,initial,2,South randusviastan Tribe,111,Grinding Stones,19
-5000,initial,2,South randusviastan Tribe,112,Proto-cultivation,19
-5000,initial,2,South randusviastan Tribe,113,Sedentism,19
-5000,initial,2,South randusviastan Tribe,114,Enclosures and Herd Management,19
-5000,initial,2,South randusviastan Tribe,115,Counting Tokens and Tallies,19
-5000,initial,2,South randusviastan Tribe,116,Charcoal Firing,19
-5000,initial,2,South randusviastan Tribe,1,Pottery,19
-5000,initial,2,South randusviastan Tribe,2,Animal Husbandry,19
-5000,initial,2,South randusviastan Tribe,4,Mining,19
