year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,24612180.000000,0.000000,0.986390,0.000492,0.008474,0.000000,0.000708,0.025663,0.280112,0.280148,0.677020,0.612871,0.090592,0.182787,0.668199,0.001514,0.373722,0.054262,0.000003,0.000003,0.041226,0.023327,0.107334,0.096919,0.043459|0.386104|0.362322|0.124522|0.064139|0.019498,0.283067,0.410654,0.092881,0.107149,1.000000,1.000000,0.892851,299896.500000,305684.400000,0.020118,531.500000,1143.000000,0.020046,0.800750,0.663690,98,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,3,0,0.000000,0,0,0,2,0.235730,0.779888,0.738553,0.764270,164230.771463,232684.855004,1345904.021598,0.000000,0.000000,0.000000,480046.417211
-4950,32236178.000000,0.002853,0.978731,0.000524,0.008561,0.000000,0.000000,0.023214,0.287044,0.288819,0.871277,0.534274,0.094744,0.203030,0.892786,0.000884,0.417793,0.066656,0.000007,0.000006,0.021269,0.022801,0.160218,0.130106,0.034263|0.385031|0.377793|0.127267|0.056794|0.019388,0.187558,0.531463,0.098645,0.122160,0.916413,1.000000,0.877840,294165.000000,514377.000000,0.028510,566.000000,1144.000000,0.036224,0.979800,0.685740,87,0.844660,50.000000,50.000000,0,673.468750,0.000045,0.520544,43,0,0.000343,0,7,0,20,0.272856,0.592331,0.820678,0.727144,1393.330533,35795.699800,217830.096563,0.000000,0.000000,0.000000,30930641.840384
-4900,37078054.000000,0.002201,0.986891,0.000302,0.008460,0.000000,0.000863,0.023278,0.294002,0.297412,0.878485,0.492177,0.096833,0.203464,0.897285,0.000717,0.412560,0.069575,0.000008,0.000007,0.013109,0.022716,0.175166,0.129621,0.032129|0.386072|0.380873|0.125278|0.056546|0.019377,0.161249,0.570632,0.097123,0.124653,0.959740,1.000000,0.875347,307929.000000,606649.000000,0.032475,532.000000,1144.000000,0.039017,0.948800,0.607000,78,0.702703,100.000000,100.000000,0,459.405243,0.000050,0.763054,47,0,0.000243,0,9,0,11,0.275984,0.600245,0.824892,0.724016,1689.029563,37460.143040,232662.958180,0.000000,0.000000,0.000000,71937271.808353
-4850,42031932.000000,0.002128,0.989800,0.000275,0.008306,0.000000,0.000757,0.023583,0.301145,0.306777,0.881386,0.512952,0.097537,0.208121,0.900203,0.000645,0.408128,0.073312,0.000010,0.000009,0.010200,0.022633,0.186282,0.125358,0.030453|0.387807|0.381292|0.124384|0.056857|0.019364,0.156454,0.587467,0.095354,0.127094,0.980690,1.000000,0.872906,316281.000000,722838.400000,0.030142,514.000000,1143.600000,0.041074,0.952500,0.630360,74,0.643478,150.000000,150.000000,0,4937.005859,0.000204,0.508640,49,0,0.000214,0,6,0,10,0.279658,0.607040,0.829400,0.720342,2208.730091,32179.976678,197796.591523,0.000000,0.000000,0.000000,114396246.914758
-4800,47351123.000000,0.002097,0.996234,0.000067,0.008325,0.000000,0.000000,0.023848,0.308970,0.316264,0.883787,0.434042,0.098252,0.210110,0.903112,0.000552,0.404381,0.074648,0.000012,0.000011,0.003766,0.022540,0.198532,0.117964,0.027546|0.388586|0.384017|0.123365|0.057260|0.019365,0.155843,0.600479,0.097469,0.129830,1.000000,1.000000,0.870170,366500.000000,864076.400000,0.033005,514.000000,1141.000000,0.039750,0.988800,0.664180,72,0.615385,200.000000,200.000000,0,5506.082520,0.000256,0.332875,54,0,0.000089,0,2,0,12,0.289896,0.622720,0.833282,0.710104,3804.109701,24218.460460,144607.476344,0.000000,0.000000,0.000000,153847162.897464
-4750,53122199.000000,0.002076,0.996527,0.000147,0.008458,0.000000,0.000000,0.024136,0.314463,0.326229,0.884745,0.464335,0.104730,0.207397,0.901942,0.000543,0.403255,0.073404,0.000013,0.000012,0.003473,0.022396,0.206519,0.107064,0.026060|0.389240|0.386728|0.121659|0.057276|0.019221,0.158257,0.609060,0.100070,0.134094,1.000000,1.000000,0.865906,382552.000000,899149.000000,0.034598,502.000000,1083.000000,0.040708,0.988400,0.684400,69,0.570248,250.000000,250.000000,0,6088.893555,0.000306,0.342018,66,0,0.000092,0,4,0,10,0.293164,0.632734,0.833743,0.706835,4145.866916,20297.895722,115389.060157,0.000000,0.000000,0.000000,230106154.436539
-4700,59633542.000000,0.002079,0.999270,0.000006,0.008432,0.000000,0.000626,0.024527,0.322929,0.336828,0.884848,0.456166,0.108490,0.210602,0.901819,0.000487,0.404468,0.075837,0.000014,0.000012,0.000730,0.022268,0.214182,0.098699,0.024687|0.389400|0.389723|0.121218|0.056218|0.019051,0.160006,0.619079,0.103836,0.137901,1.000000,1.000000,0.862099,431171.500000,1035816.800000,0.036394,512.500000,1082.300000,0.040968,0.960750,0.642010,69,0.565574,300.000000,300.000000,0,6442.254395,0.000300,0.256492,70,0,0.000022,0,1,0,15,0.291955,0.622107,0.835304,0.708045,3680.777260,21498.468501,121630.020518,0.000000,0.000000,0.000000,273659099.501302
-4650,66878393.000000,0.002074,0.997498,0.000092,0.008267,0.000000,0.000806,0.024924,0.330213,0.347897,0.887180,0.423041,0.102344,0.210866,0.904854,0.000497,0.406029,0.075382,0.000014,0.000012,0.002502,0.022179,0.220172,0.094706,0.023474|0.388042|0.393425|0.121709|0.054697|0.018915,0.160529,0.630786,0.106371,0.140581,1.000000,1.000000,0.859419,386880.000000,1176329.600000,0.038812,536.500000,1080.900000,0.031026,0.963000,0.655320,69,0.556452,350.000000,350.000000,0,6389.309570,0.000293,0.240827,71,1,0.000084,0,2,0,16,0.295092,0.615801,0.838034,0.704908,2501.226826,18276.013213,100357.914883,0.000000,0.000000,0.000000,323244562.057599
-4600,75188337.000000,0.002086,0.991265,0.000231,0.008206,0.000000,0.001343,0.025322,0.338814,0.358787,0.885950,0.508258,0.141043,0.211562,0.901798,0.000516,0.406085,0.077994,0.000015,0.000013,0.008735,0.022054,0.226000,0.092602,0.022808|0.388938|0.396562|0.120489|0.052775|0.018805,0.161264,0.639229,0.111517,0.144327,0.973154,1.000000,0.855673,496381.500000,1338112.000000,0.040980,554.500000,1078.500000,0.030458,0.964000,0.700050,68,0.539683,400.000000,400.000000,0,6435.642090,0.000303,0.298756,78,0,0.000328,0,3,0,12,0.300469,0.611140,0.839103,0.699531,2424.825939,30674.377555,181456.474868,0.000000,0.000000,0.000000,385447732.315106
-4550,83996149.000000,0.002054,0.992467,0.000275,0.008326,0.000000,0.000000,0.025789,0.347356,0.369350,0.889267,0.435858,0.141170,0.212409,0.905863,0.000467,0.406833,0.078872,0.000015,0.000013,0.007533,0.021972,0.230155,0.089580,0.022080|0.385222|0.403207|0.119965|0.051219|0.018714,0.161144,0.649279,0.113863,0.146797,0.974726,1.000000,0.853203,495987.000000,1505110.000000,0.042966,538.000000,1078.800000,0.030293,0.991100,0.700380,67,0.527559,450.000000,450.000000,0,6515.584473,0.000314,0.255156,101,0,0.000316,0,1,0,17,0.309384,0.618321,0.840363,0.690616,2788.400498,22560.968397,123920.444489,0.000000,0.000000,0.000000,437035536.689463
