🏪 Trade & Economic Exchange Framework initialized!
🚀 INITIALIZING RESOURCES (Optimized)...
✅ RESOURCES INITIALIZED in 279 ms
   Resource ingestion: coal=18834, copper=30078, tin=14335, clay=18632, riverland-cells=18632
[SpawnInit] worldPopTarget=23900115 startYear=-5000
[StartTech] Applied regional presets at startYear=-5000 countries=100
  - south_asia: countries=14 techIds=1,2,3,4,6,20,115
  - east_asia: countries=14 techIds=1,2,3,4,6,20,115
  - west_asia: countries=11 techIds=1,2,3,4,6,10,20,115,119
  - se_asia: countries=6 techIds=1,2,3,5,6,20
  - cn_asia: countries=3 techIds=2,3,4,6
  - nile_ne_africa: countries=2 techIds=1,2,3,6,10,20,115
  - north_africa: countries=1 techIds=1,2,3,4,6,20,115
  - west_africa: countries=2 techIds=1,3,4,6,20
  - east_africa: countries=2 techIds=1,3,4,6,20
  - cs_africa: countries=1 techIds=1,3,4,6
  - se_europe: countries=2 techIds=1,2,3,4,6,20,115,119
  - med_europe: countries=2 techIds=1,2,3,4,5,6,20,115
  - central_europe: countries=2 techIds=1,2,3,4,6,20
  - wnw_europe: countries=2 techIds=1,3,4,6,20
  - north_europe: countries=1 techIds=3,4,6
  - mesoamerica: countries=10 techIds=1,3,6,20
  - andes: countries=7 techIds=1,3,4,6,20
  - e_na: countries=7 techIds=3,4,6
  - w_na: countries=8 techIds=3,4,6
  - caribbean: countries=1 techIds=3,5,6
  - oceania: countries=2 techIds=3,5,6
[SpawnInit] Region summary
  - south_asia targetShare=0.145 actualShare=0.145 targetPop=3465517 actualPop=3465517 countriesPlaced=14
  - east_asia targetShare=0.145 actualShare=0.145 targetPop=3465517 actualPop=3465517 countriesPlaced=14
  - west_asia targetShare=0.11 actualShare=0.11 targetPop=2629013 actualPop=2629013 countriesPlaced=11
  - se_asia targetShare=0.06 actualShare=0.06 targetPop=1434007 actualPop=1434007 countriesPlaced=6
  - cn_asia targetShare=0.033 actualShare=0.033 targetPop=788704 actualPop=788704 countriesPlaced=3
  - nile_ne_africa targetShare=0.02 actualShare=0.02 targetPop=478002 actualPop=478002 countriesPlaced=2
  - north_africa targetShare=0.013 actualShare=0.0125522 targetPop=310702 actualPop=300000 countriesPlaced=1
  - west_africa targetShare=0.016 actualShare=0.0168955 targetPop=382402 actualPop=403805 countriesPlaced=2
  - east_africa targetShare=0.017 actualShare=0.017 targetPop=406302 actualPop=406302 countriesPlaced=2
  - cs_africa targetShare=0.01 actualShare=0.00999999 targetPop=239001 actualPop=239001 countriesPlaced=1
  - se_europe targetShare=0.02 actualShare=0.02 targetPop=478002 actualPop=478002 countriesPlaced=2
  - med_europe targetShare=0.018 actualShare=0.018 targetPop=430202 actualPop=430202 countriesPlaced=2
  - central_europe targetShare=0.02 actualShare=0.02 targetPop=478002 actualPop=478002 countriesPlaced=2
  - wnw_europe targetShare=0.018 actualShare=0.018 targetPop=430202 actualPop=430202 countriesPlaced=2
  - north_europe targetShare=0.008 actualShare=0.008 targetPop=191201 actualPop=191201 countriesPlaced=1
  - mesoamerica targetShare=0.1 actualShare=0.1 targetPop=2390012 actualPop=2390012 countriesPlaced=10
  - andes targetShare=0.065 actualShare=0.065 targetPop=1553507 actualPop=1553507 countriesPlaced=7
  - e_na targetShare=0.07 actualShare=0.07 targetPop=1673008 actualPop=1673008 countriesPlaced=7
  - w_na targetShare=0.078 actualShare=0.078 targetPop=1864209 actualPop=1864209 countriesPlaced=8
  - caribbean targetShare=0.013 actualShare=0.0125522 targetPop=310701 actualPop=300000 countriesPlaced=1
  - oceania targetShare=0.021 actualShare=0.021 targetPop=501902 actualPop=501902 countriesPlaced=2
worldsim_cli seed=5 config=C:\WS\WorldSimulation10028\data\sim_config.toml hash=d6b8b14249873453 start=-5000 end=2025 gpu=0
🏛️ Tansurnal Tribe changed from Tribal to Chiefdom
🏛️ North dravarpur Tribe changed from Tribal to Chiefdom
🏛️ Great shakannagar Tribe changed from Tribal to Chiefdom
🏛️ North zholizhou Tribe changed from Tribal to Chiefdom
🏛️ New linrenhan Tribe changed from Tribal to Chiefdom
🏛️ New tameshar Tribe changed from Tribal to Chiefdom
🏛️ New asheshnin Tribe changed from Tribal to Chiefdom
🏛️ Great dusgarsolstan Tribe changed from Tribal to Chiefdom
🏛️ New zenromstan Tribe changed from Tribal to Chiefdom
🏛️ Old belrom Tribe changed from Tribal to Chiefdom
🏛️ Old kazumaene Tribe changed from Tribal to Chiefdom
🏛️ New zulama Tribe changed from Tribal to Chiefdom
🏛️ North lenalburg Tribe changed from Tribal to Chiefdom
🏛️ Old tarkarkarburg Tribe changed from Tribal to Chiefdom
🏛️ North chiteoco Tribe changed from Tribal to Chiefdom
🏛️ Old itztemitz Tribe changed from Tribal to Chiefdom
🏛️ South solgarstan Tribe changed from Tribal to Chiefdom
🏛️ Great ranlorbel Tribe changed from Tribal to Chiefdom
🏛️ Dusrangrad Tribe changed from Tribal to Chiefdom
🏛️ South kandranal Tribe changed from Tribal to Chiefdom
🏛️ Xiarenxia Tribe changed from Tribal to Chiefdom
🏛️ Great renxiaqinling Tribe changed from Tribal to Chiefdom
🏛️ Great taihantailing Tribe changed from Tribal to Chiefdom
🏛️ Old ashbelbarar Tribe changed from Tribal to Chiefdom
🏛️ South belashur Tribe changed from Tribal to Chiefdom
🏛️ North tamar Tribe changed from Tribal to Chiefdom
🏛️ North tamninsamar Tribe changed from Tribal to Chiefdom
🏛️ Old belbelad Tribe changed from Tribal to Chiefdom
🏛️ Great kasea Tribe changed from Tribal to Chiefdom
🏛️ New zulama Tribe changed from Chiefdom to Kingdom
🏛️ Old seltarvenum Tribe changed from Tribal to Chiefdom
🏛️ Old karkar Tribe changed from Tribal to Chiefdom
🏛️ Great belkarlen Tribe changed from Tribal to Chiefdom
🏛️ Great nahitzyucan Tribe changed from Tribal to Chiefdom
🏛️ New pachayasuyu Tribe changed from Tribal to Chiefdom
🏛️ New quisoldusia Tribe changed from Tribal to Chiefdom
🏛️ Great ranlorbel Tribe changed from Chiefdom to Kingdom
🏛️ South quisol Tribe changed from Tribal to Chiefdom
🏛️ Old belgaria Tribe changed from Tribal to Chiefdom
🏛️ North dravarpur Tribe changed from Chiefdom to Kingdom
🏛️ Great qinzhotailing Tribe changed from Tribal to Chiefdom
🏛️ Xiarenxia Tribe changed from Chiefdom to Kingdom
🏛️ North zholizhou Tribe changed from Chiefdom to Kingdom
🏛️ New tameshar Tribe changed from Chiefdom to Kingdom
🏛️ Old ashbelbarar Tribe changed from Chiefdom to Kingdom
🏛️ South belashur Tribe changed from Chiefdom to Kingdom
🏛️ New ninurarum Tribe changed from Tribal to Chiefdom
🏛️ North tamar Tribe changed from Chiefdom to Kingdom
🏛️ New asheshnin Tribe changed from Chiefdom to Kingdom
🏛️ Great barbelum Tribe changed from Tribal to Chiefdom
🏛️ Great rangarmarstan Tribe changed from Tribal to Chiefdom
🏛️ Old terlinia Tribe changed from Tribal to Chiefdom
🏛️ Old karkar Tribe changed from Chiefdom to Kingdom
🏛️ Great alromkaria Tribe changed from Tribal to Chiefdom
🏛️ Old qoriintirummarca Tribe changed from Tribal to Chiefdom
🏛️ South solgarstan Tribe changed from Chiefdom to Kingdom
🏛️ Dusviaromstan Tribe changed from Tribal to Chiefdom
🏛️ Old dusduskinland Tribe changed from Chiefdom to Kingdom
🏛️ South mitraa Tribe changed from Tribal to Chiefdom
🏛️ Great mitkanpur Tribe changed from Tribal to Chiefdom
🏛️ Great linqinwei Tribe changed from Tribal to Chiefdom
🏛️ New linrenhan Tribe changed from Chiefdom to Kingdom
🏛️ New ninurarum Tribe changed from Chiefdom to Kingdom
🏛️ Old belbelad Tribe changed from Chiefdom to Kingdom
🏛️ Great lornaia Tribe changed from Tribal to Chiefdom
🏛️ New zenromstan Tribe changed from Chiefdom to Kingdom
🏛️ Old belrom Tribe changed from Chiefdom to Kingdom
🏛️ Great kasea Tribe changed from Chiefdom to Kingdom
🏛️ North lenalburg Tribe changed from Chiefdom to Kingdom
🏛️ Great alromkaria Tribe changed from Chiefdom to Kingdom
🏛️ North chiteoco Tribe changed from Chiefdom to Kingdom
🏛️ Great nahitzyucan Tribe changed from Chiefdom to Kingdom
🏛️ New pachayasuyu Tribe changed from Chiefdom to Kingdom
🏛️ Old qoriintirummarca Tribe changed from Chiefdom to Kingdom
🏛️ North ayakusmarca Tribe changed from Tribal to City-State
🏛️ South nagaria Tribe changed from Tribal to Chiefdom
🏛️ North quiquisolgrad Tribe changed from Tribal to Chiefdom
🏛️ New kirihivaranginui Tribe changed from Tribal to Chiefdom
🏛️ Great kinzenbelland Tribe changed from Tribal to City-State
🏛️ Tansurnal Tribe changed from Chiefdom to Kingdom
🏛️ New kanvivia Tribe changed from Tribal to Chiefdom
🏛️ Old varkanpur Tribe changed from Tribal to Chiefdom
🏛️ South kandranal Tribe changed from Chiefdom to Kingdom
🏛️ Old hanlinling Tribe changed from Tribal to Chiefdom
🏛️ North tamninsamar Tribe changed from Chiefdom to Kingdom
🏛️ Great zutanene Tribe changed from Tribal to Chiefdom
🏛️ Old seltarvenum Tribe changed from Chiefdom to Kingdom
🏛️ New tolnahcal Tribe changed from Tribal to City-State
🏛️ South kusqoriayamarca Tribe changed from Tribal to City-State
🏛️ South nagaria Tribe changed from Chiefdom to Kingdom
🏛️ Great kindusia Tribe changed from Tribal to Chiefdom
🏛️ North quiquisolgrad Tribe changed from Chiefdom to Kingdom
🏛️ Dusviaromstan Tribe changed from Chiefdom to Kingdom
🏛️ North quiromquiland Tribe changed from Tribal to Chiefdom
🏛️ Dusrangrad Tribe changed from Chiefdom to Kingdom
🏛️ Old romviagrad Tribe changed from Tribal to City-State
🏛️ New romnordorland Tribe changed from Tribal to Chiefdom
🏛️ North intiayamarca Tribe changed from Tribal to Chiefdom
🏛️ New kanvivia Tribe changed from Chiefdom to Kingdom
🏛️ South mitraa Tribe changed from Chiefdom to Kingdom
🏛️ New tanravar Tribe changed from Tribal to Chiefdom
🏛️ Great mitkanpur Tribe changed from Chiefdom to Kingdom
🏛️ Great linqinwei Tribe changed from Chiefdom to Kingdom
🏛️ Old taitaiweizhou Tribe changed from Tribal to Chiefdom
🏛️ Old terlinia Tribe changed from Chiefdom to Kingdom
🏛️ Great belkarlen Tribe changed from Chiefdom to Kingdom
🏛️ Tolcal Tribe changed from Tribal to Chiefdom
🏛️ North temcal Tribe changed from Tribal to Chiefdom
🏛️ South tolmixtempan Tribe changed from Tribal to Chiefdom
🏛️ New pachayasuyu Tribe changed from Kingdom to Empire
🏛️ Great rantersolstan Tribe changed from Tribal to Chiefdom
🏛️ South kinkinbelstan Tribe changed from Tribal to Chiefdom
