year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18688201.000000,0.000000,0.999408,0.000016,0.008471,0.000000,0.001005,0.025581,0.280096,0.280138,0.683691,0.625791,0.050470,0.181280,0.672692,0.001327,0.374053,0.035072,0.000003,0.000003,0.026772,0.002242,0.098293,0.089530,0.024979|0.400581|0.380818|0.111816|0.055954|0.025896,0.372930,0.316009,0.090427,0.109378,1.000000,1.000000,0.890622,186834.000000,303364.400000,0.030270,389.000000,1064.400000,0.026175,0.814500,0.690000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.236009,0.838662,0.738873,0.763991,131531.479974,176535.732402,1036054.088867,0.000000,0.000000,0.000000,369633.024608
-4950,25042338.000000,0.002968,0.972387,0.001081,0.008549,0.000000,0.001388,0.023376,0.286734,0.288343,0.884179,0.646076,0.096168,0.206569,0.908618,0.000729,0.419916,0.048151,0.000007,0.000006,0.027613,0.002188,0.133228,0.112278,0.021784|0.403783|0.387985|0.112348|0.053801|0.020717,0.259275,0.420415,0.104806,0.125451,0.929174,1.000000,0.874549,228043.000000,426378.000000,0.030643,417.000000,1071.400000,0.037643,0.984900,0.775940,0,569.964233,0.000058,0.526491,32,0,0.000346,9,0,14,0.281345,0.589208,0.826473,0.718655,766.867726,29749.255396,184328.624039,0.000000,0.000000,0.000000,22326292.581588
-4900,28956012.000000,0.002227,0.970822,0.000902,0.008439,0.000000,0.000986,0.023427,0.294303,0.297775,0.886884,0.648421,0.070188,0.209154,0.907574,0.000614,0.415031,0.049930,0.000009,0.000008,0.029178,0.002181,0.141317,0.111660,0.021394|0.403306|0.389375|0.112968|0.053385|0.019810,0.225337,0.457566,0.103460,0.127398,0.902995,1.000000,0.872602,244172.000000,535946.000000,0.031012,429.000000,1066.000000,0.033844,0.987000,0.819200,0,582.804810,0.000072,0.344923,27,0,0.000422,6,0,3,0.281965,0.591929,0.830065,0.718035,863.211043,18538.445506,112248.536811,0.000000,0.000000,0.000000,50464798.673399
-4850,32895226.000000,0.002139,0.977473,0.000560,0.008294,0.000000,0.000000,0.023576,0.300349,0.307117,0.890073,0.568752,0.097751,0.207944,0.909245,0.000702,0.408108,0.050628,0.000011,0.000010,0.022527,0.002171,0.147663,0.107560,0.021015|0.405132|0.388410|0.112930|0.053116|0.019561,0.227296,0.462546,0.101558,0.130443,0.936357,1.000000,0.869557,245428.000000,607320.500000,0.032543,424.000000,1059.500000,0.033621,0.986700,0.785300,0,1444.528076,0.000131,0.397590,32,0,0.000371,7,0,6,0.286535,0.594217,0.833777,0.713465,1018.995722,34266.483926,205623.543964,0.000000,0.000000,0.000000,95719462.314273
-4800,37203564.000000,0.002116,0.989135,0.000200,0.008327,0.000000,0.000959,0.023823,0.307482,0.317376,0.890416,0.586830,0.097193,0.209734,0.912164,0.000631,0.404509,0.052753,0.000013,0.000012,0.010865,0.002161,0.152325,0.099023,0.020630|0.406900|0.388717|0.111763|0.052821|0.019304,0.226226,0.466471,0.105020,0.133637,0.998835,1.000000,0.866363,258630.000000,747808.000000,0.038106,419.500000,1066.000000,0.032846,0.987550,0.780350,0,1593.547607,0.000168,0.331950,52,0,0.000202,3,0,5,0.289628,0.599610,0.836011,0.710372,1915.303409,25491.206288,153770.953512,0.000000,0.000000,0.000000,127728751.458684
-4750,41984350.000000,0.002105,0.991564,0.000360,0.008438,0.000000,0.000000,0.024005,0.313556,0.326347,0.888182,0.534211,0.098190,0.210889,0.906613,0.000702,0.403931,0.053920,0.000015,0.000013,0.008436,0.002153,0.155808,0.086329,0.020007|0.409043|0.390058|0.109147|0.052702|0.019157,0.223513,0.472602,0.107365,0.136169,1.000000,1.000000,0.863831,253130.500000,819446.600000,0.040301,412.500000,1069.100000,0.032769,0.989300,0.791050,0,1792.069580,0.000177,0.257833,41,0,0.000177,6,0,5,0.292400,0.609673,0.835665,0.707600,2046.512964,23861.526722,141095.099838,0.000000,0.000000,0.000000,166664036.752182
-4700,46937593.000000,0.002058,0.989779,0.000489,0.008446,0.000700,0.001247,0.024204,0.318903,0.336866,0.887168,0.482122,0.109121,0.209281,0.902842,0.000583,0.403633,0.052167,0.000015,0.000014,0.010221,0.002147,0.160301,0.081723,0.019548|0.405165|0.393306|0.110223|0.052958|0.018930,0.222904,0.483957,0.101932,0.137748,0.980924,1.000000,0.862252,264902.500000,901102.400000,0.036469,415.000000,989.600000,0.031589,0.984500,0.746700,2,2041.567017,0.000230,0.379487,69,1,0.000240,15,0,12,0.292978,0.600949,0.835761,0.707022,1826.858626,25037.741467,150568.020228,0.000000,0.000000,0.000000,229483152.757368
-4650,52898259.000000,0.002098,0.994697,0.000209,0.008266,0.000000,0.000740,0.024523,0.326445,0.348779,0.886685,0.512828,0.100306,0.210376,0.896701,0.000608,0.404402,0.053079,0.000015,0.000013,0.005303,0.002141,0.163671,0.077679,0.019341|0.403957|0.393940|0.110860|0.053156|0.018841,0.224373,0.490436,0.105237,0.139849,0.999864,1.000000,0.860151,292724.000000,1001757.600000,0.038618,421.000000,1012.800000,0.030671,0.987200,0.728780,0,2598.856934,0.000242,0.401554,52,0,0.000140,2,0,4,0.295100,0.603842,0.836582,0.704900,2084.251407,26496.995229,156760.190496,0.000000,0.000000,0.000000,267989319.212414
-4600,59210230.000000,0.002064,0.993907,0.000319,0.008220,0.000000,0.000000,0.024936,0.331093,0.359508,0.889468,0.488311,0.103110,0.212975,0.906915,0.000605,0.405546,0.057159,0.000016,0.000014,0.006093,0.002134,0.167884,0.075601,0.018989|0.400352|0.396487|0.111878|0.053576|0.018802,0.230450,0.495137,0.105748,0.142072,0.973969,1.000000,0.857927,329332.500000,1152578.200000,0.033929,419.500000,982.200000,0.032028,0.989250,0.749770,0,2710.801025,0.000229,0.428170,61,0,0.000180,5,0,9,0.299465,0.612451,0.837987,0.700535,3094.488094,31019.631928,184807.115174,0.000000,0.000000,0.000000,317460932.197426
-4550,65769786.000000,0.002026,0.997733,0.000094,0.008338,0.000000,0.000760,0.025311,0.339846,0.370018,0.888545,0.537285,0.111085,0.216861,0.912151,0.000523,0.405451,0.058703,0.000015,0.000014,0.002267,0.002118,0.172658,0.077061,0.018684|0.394288|0.400457|0.113602|0.054306|0.018733,0.229755,0.507236,0.111004,0.147056,1.000000,1.000000,0.852944,333814.000000,1306643.400000,0.037588,408.000000,1000.600000,0.036249,0.988500,0.734780,0,3295.979736,0.000242,0.482946,82,1,0.000075,5,0,13,0.303288,0.631818,0.838441,0.696712,5182.406741,32346.938977,186017.067046,0.000000,0.000000,0.000000,363565007.980251
