year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18021108.000000,0.000000,0.999765,0.000014,0.008466,0.000000,0.000987,0.023447,0.280099,0.280138,0.675951,0.603954,0.051603,0.181638,0.667213,0.001362,0.374310,0.036003,0.000003,0.000003,0.028364,0.001932,0.089867,0.081442,0.038330|0.385373|0.368098|0.105022|0.084034|0.019175,0.353135,0.339282,0.090283,0.109831,1.000000,1.000000,0.890169,195441.000000,302931.000000,0.018432,410.000000,945.500000,0.026193,0.808850,0.636090,98,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.241226,0.832946,0.738388,0.758774,151782.796698,169546.036070,980038.779913,0.000000,0.000000,0.000000,270561.445032
-4950,24496245.000000,0.003040,0.971538,0.000973,0.008542,0.000000,0.002540,0.022632,0.286250,0.288532,0.875693,0.658847,0.095513,0.206437,0.898859,0.000759,0.421266,0.047479,0.000007,0.000007,0.028462,0.001869,0.107392,0.098910,0.031279|0.390168|0.368766|0.107499|0.083919|0.018565,0.291006,0.419830,0.103501,0.131504,0.928741,1.000000,0.868495,211010.000000,457633.700000,0.024756,461.500000,909.200000,0.035935,0.976350,0.801410,92,0.884615,50.000000,50.000000,0,2236.798340,0.000181,0.386304,23,0,0.000349,16,0,6,0.282822,0.584478,0.826770,0.717178,730.963015,30527.540799,190236.096938,0.000000,0.000000,0.000000,16509506.993971
-4900,28370976.000000,0.002235,0.973539,0.000866,0.008443,0.000000,0.000000,0.022744,0.292871,0.298008,0.883073,0.656831,0.096364,0.208724,0.903588,0.000837,0.415442,0.049242,0.000010,0.000009,0.026461,0.001861,0.112447,0.100876,0.030102|0.390331|0.369218|0.108072|0.083940|0.018449,0.273885,0.448432,0.107656,0.134322,0.909484,1.000000,0.865678,232066.000000,534152.800000,0.027729,435.000000,915.700000,0.037297,0.981650,0.850250,82,0.745455,100.000000,100.000000,0,3236.753662,0.000240,0.184512,27,0,0.000375,7,0,7,0.287781,0.588152,0.831320,0.712219,722.770938,30665.878537,193061.040994,0.000000,0.000000,0.000000,34916097.695944
-4850,32161473.000000,0.002128,0.985166,0.000409,0.008289,0.000000,0.000660,0.022935,0.299418,0.307645,0.885706,0.618602,0.096728,0.211522,0.905495,0.000845,0.410041,0.052484,0.000014,0.000011,0.014834,0.001853,0.117389,0.097225,0.028280|0.391244|0.369389|0.108620|0.084157|0.018381,0.272817,0.460948,0.107888,0.137301,0.964743,1.000000,0.862699,234109.000000,641447.000000,0.030857,438.000000,912.000000,0.036318,0.983300,0.830500,77,0.693694,150.000000,150.000000,0,3934.294922,0.000284,0.296190,28,0,0.000239,2,0,3,0.295239,0.592926,0.833743,0.704761,1030.830020,30366.659642,191183.637466,0.000000,0.000000,0.000000,53394301.785264
-4800,36141130.000000,0.002084,0.985036,0.000490,0.008329,0.000000,0.000619,0.022924,0.306775,0.318877,0.893744,0.622828,0.099121,0.214804,0.908523,0.000650,0.407502,0.056392,0.000016,0.000014,0.014964,0.001843,0.120984,0.088800,0.026641|0.389248|0.371475|0.109821|0.084567|0.018298,0.274317,0.469849,0.109220,0.140749,0.935490,1.000000,0.859251,240740.000000,722681.600000,0.033231,432.000000,909.200000,0.035433,0.983300,0.809260,70,0.619469,200.000000,200.000000,0,4561.068359,0.000316,0.268463,56,0,0.000270,2,0,8,0.298224,0.603609,0.837106,0.701776,1670.286465,28809.865410,181288.038128,0.000000,0.000000,0.000000,74908477.596689
-4750,40256003.000000,0.002040,0.989844,0.000396,0.008449,0.000000,0.000665,0.023132,0.314631,0.329886,0.892559,0.556740,0.098734,0.212503,0.909093,0.000631,0.406602,0.055095,0.000018,0.000015,0.010156,0.001838,0.123961,0.076612,0.025226|0.389699|0.374177|0.111834|0.080848|0.018265,0.279044,0.480205,0.110901,0.142493,0.965501,1.000000,0.857507,259535.000000,819416.800000,0.036266,447.000000,911.400000,0.034904,0.985300,0.780220,69,0.610619,250.000000,250.000000,0,5335.084473,0.000306,0.231821,61,0,0.000204,0,0,6,0.303354,0.606211,0.838626,0.696646,1841.864066,32225.395603,205077.308063,0.000000,0.000000,0.000000,97342334.382645
-4700,44699479.000000,0.002024,0.985884,0.000498,0.008430,0.000000,0.000688,0.023375,0.323136,0.341593,0.887820,0.561203,0.103224,0.212592,0.904993,0.000728,0.405588,0.055148,0.000019,0.000015,0.014116,0.001832,0.126882,0.068412,0.024145|0.391274|0.375554|0.114111|0.076721|0.018239,0.282991,0.491047,0.112643,0.144785,0.942861,1.000000,0.855215,298016.500000,902707.600000,0.039264,454.500000,942.800000,0.034809,0.984150,0.775570,68,0.596491,300.000000,300.000000,0,6124.922363,0.000311,0.204070,71,0,0.000315,2,0,15,0.307117,0.602150,0.839261,0.692883,2099.015067,39408.976429,248524.207589,0.000000,0.000000,0.000000,122321785.709667
-4650,49676644.000000,0.002028,0.990748,0.000325,0.008280,0.000000,0.000866,0.023486,0.328994,0.353214,0.889340,0.613543,0.108499,0.213620,0.901177,0.000816,0.406710,0.058149,0.000020,0.000015,0.009252,0.001821,0.131094,0.064255,0.023709|0.394530|0.375519|0.116517|0.071543|0.018234,0.287713,0.498326,0.117706,0.148670,0.957650,1.000000,0.851330,303755.500000,950104.300000,0.042273,444.500000,954.600000,0.033688,0.984900,0.790550,68,0.576271,350.000000,350.000000,0,7074.848633,0.000297,0.168953,83,0,0.000230,4,0,13,0.311582,0.604855,0.840165,0.688419,2057.962779,35825.469228,222501.282518,0.000000,0.000000,0.000000,163310220.148415
-4600,55320217.000000,0.002039,0.988967,0.000352,0.008226,0.000000,0.000934,0.023752,0.335321,0.366579,0.890640,0.557661,0.115791,0.217482,0.909698,0.000734,0.407748,0.061781,0.000021,0.000017,0.011033,0.001816,0.138227,0.065322,0.023379|0.396138|0.374182|0.118898|0.069260|0.018222,0.293007,0.501452,0.116560,0.150614,0.958777,1.000000,0.849386,316048.000000,1140800.800000,0.044544,466.000000,954.400000,0.033615,0.988500,0.758340,67,0.563025,400.000000,400.000000,0,8301.401367,0.000291,0.261378,91,0,0.000305,1,0,16,0.311962,0.612212,0.840569,0.688038,2896.686663,48861.872418,299498.945417,0.000000,0.000000,0.000000,192956846.727428
-4550,61066436.000000,0.001995,0.992653,0.000146,0.008346,0.000000,0.000000,0.023945,0.341896,0.377675,0.887526,0.513483,0.133170,0.215576,0.900272,0.000478,0.407922,0.059928,0.000021,0.000017,0.007347,0.001812,0.141991,0.064929,0.022811|0.397701|0.373229|0.122233|0.065917|0.018160,0.294290,0.509685,0.119262,0.152151,1.000000,1.000000,0.847849,346839.000000,1234631.900000,0.046868,467.500000,952.900000,0.033281,0.987800,0.845130,66,0.540984,450.000000,450.000000,0,9689.009766,0.000303,0.270708,105,0,0.000224,4,0,19,0.312906,0.633582,0.841199,0.687094,5309.354029,42865.776400,252425.690039,0.000000,0.000000,0.000000,226769637.539339
