seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,755.024,False,False,42,1690,65,South chichitan,39,Universities,120,Copper Smelting,11,38,Kingdom of North kalninsaman,5943,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_1,
2,True,0,734.839,False,False,37,1802,48,Kingdom of Zubartanu Republic,27,Democracy,120,Copper Smelting,-1387,36,Kingdom of South kalninar,5708,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_2,
3,True,0,716.953,False,False,31,491,49,Kingdom of South lamngoene Kingdom,109,Long-distance Exchange Networks,120,Copper Smelting,742,58,Empire of Great dorlenland,5772,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_3,
4,True,0,677.982,False,False,31,1696,195,Kingdom of Setanbar Kingdom,14,Formal Mathematics,120,Copper Smelting,-280,173,Kingdom of New ninbarurar,5502,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_4,
5,True,0,769.177,False,False,37,1982,48,Kingdom of South barmau Kingdom,30,Education,120,Copper Smelting,541,29,Kingdom of Great kalbarum,5574,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_5,
6,True,0,659.309,False,False,29,1819,180,Kingdom of Old kachiseara Kingdom,2,Animal Husbandry,120,Copper Smelting,1195,105,Old venkarum,5453,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_6,
7,True,0,729.348,False,False,26,-2606,39,Kingdom of Great dusviamargrad,17,Roads,120,Copper Smelting,-553,38,Kingdom of North ashninar,5431,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_7,
8,True,0,713.934,False,False,28,333,16,Kingdom of Weixia Kingdom,15,Currency,120,Copper Smelting,158,112,Kingdom of Great weilizhou,5528,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_8,
9,True,0,785.927,False,False,28,-1479,67,Empire of New tolxocxocpan,15,Currency,120,Copper Smelting,-1713,127,New tamurum Kingdom,5722,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_9,
10,True,0,734.192,False,False,35,1932,48,Kingdom of New kazuara Kingdom,30,Education,120,Copper Smelting,-1094,34,Great arninar Tribe,5626,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_10,
11,True,0,603.896,False,False,28,-1403,48,Kingdom of South ngongo,12,Shipbuilding,120,Copper Smelting,209,32,Kingdom of South ursamum,5060,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_11,
12,True,0,748.958,False,False,41,1824,49,South ofiofiene,36,Printing,120,Copper Smelting,-950,38,Kingdom of Old eshninum,5551,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_12,
13,True,0,765.118,False,False,28,-1204,211,South ofingochiu Kingdom,15,Currency,120,Copper Smelting,-942,120,Great eshashurar Tribe,5690,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_13,
14,True,0,772.870,False,False,41,1773,180,Kingdom of Ngochiene Kingdom,34,Banking,120,Copper Smelting,-1669,155,South asharar Tribe,5361,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_14,
15,True,0,749.440,False,False,28,-1397,53,Kingdom of Great semabar,15,Currency,120,Copper Smelting,-4,125,Kingdom of Great belbeltarburg,5803,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_15,
16,True,0,711.692,False,False,40,1993,66,Republic of Kingdom of North calnahco,36,Printing,120,Copper Smelting,-255,30,Kingdom of South ninararan,5876,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v4/seed_16,
