year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-3907,unlock,44,South marviaia Tribe,103,Bone and Antler Tools,19
-3887,unlock,104,Drashaa Tribe,20,Agriculture,16
-3767,unlock,54,Old malamlamara Tribe,10,Irrigation,14
-3757,unlock,44,Kingdom of North belsolgrad,109,Long-distance Exchange Networks,20
-3702,unlock,44,Kingdom of North belsolgrad,10,Irrigation,21
-3696,unlock,54,Old malamlamara Tribe,114,Enclosures and Herd Management,15
-3573,unlock,44,Kingdom of North belsolgrad,7,Wheel,22
-3561,unlock,71,South mixitzan Tribe,103,Bone and Antler Tools,14
-3530,unlock,6,Kingdom of New mitsurmitdesh,103,Bone and Antler Tools,17
-3514,unlock,44,Kingdom of North belsolgrad,12,Shipbuilding,23
-3505,unlock,43,Lortergrad Tribe,103,Bone and Antler Tools,19
-3491,unlock,73,Kingdom of New mixxocpan,104,Fishing Technology,14
-3470,unlock,6,Kingdom of New mitsurmitdesh,7,Wheel,18
-3466,unlock,71,South mixitzan Tribe,115,Counting Tokens and Tallies,15
-3459,unlock,74,North itzxoccalco Tribe,110,Dog Domestication,12
-3438,unlock,6,Kingdom of New mitsurmitdesh,104,Fishing Technology,19
-3427,unlock,66,Great tolitzcaltan Tribe,103,Bone and Antler Tools,14
-3399,unlock,67,South tolcalchian Tribe,104,Fishing Technology,14
-3381,unlock,54,Old malamlamara Tribe,115,Counting Tokens and Tallies,16
-3369,unlock,6,Kingdom of New mitsurmitdesh,10,Irrigation,20
-3356,unlock,107,Old lilintai Tribe,103,Bone and Antler Tools,11
-3346,unlock,48,Old tanngotanara Tribe,104,Fishing Technology,18
-3342,unlock,71,South mixitzan Tribe,110,Dog Domestication,16
-3322,unlock,6,Kingdom of New mitsurmitdesh,108,Watercraft,21
-3260,unlock,1,New shasura,103,Bone and Antler Tools,17
-3260,unlock,104,Drashaa Tribe,103,Bone and Antler Tools,17
-3234,unlock,6,Kingdom of New mitsurmitdesh,109,Long-distance Exchange Networks,23
-3234,unlock,6,Kingdom of New mitsurmitdesh,5,Sailing,23
-3228,unlock,6,Kingdom of New mitsurmitdesh,17,Roads,24
-3223,unlock,6,Kingdom of New mitsurmitdesh,117,Proto-writing and Administrative Notation,25
-3222,unlock,8,Kingdom of Great tansurpur,104,Fishing Technology,17
-3221,unlock,52,Kingdom of South zulamkaene,103,Bone and Antler Tools,14
-3219,unlock,73,Kingdom of Old yucteoxocco,103,Bone and Antler Tools,15
-3216,unlock,48,Kingdom of New lamzuene,103,Bone and Antler Tools,19
-3212,unlock,73,Kingdom of Old yucteoxocco,10,Irrigation,16
-3211,unlock,71,Kingdom of Great nahcal,114,Enclosures and Herd Management,17
-3201,unlock,51,Great chiseu Tribe,103,Bone and Antler Tools,10
-3192,unlock,1,New shasura,7,Wheel,18
-3183,unlock,73,Kingdom of Old yucteoxocco,108,Watercraft,17
-3139,unlock,104,Drashaa Tribe,7,Wheel,18
-3122,unlock,104,Drashaa Tribe,104,Fishing Technology,19
-3119,unlock,67,South tolcalchian Tribe,108,Watercraft,15
-3104,unlock,49,New kaseofi Tribe,7,Wheel,18
-3103,unlock,6,Kingdom of New mitsurmitdesh,12,Shipbuilding,25
-3102,unlock,39,Solbelia Tribe,7,Wheel,19
-3098,unlock,72,Old yucyuc Tribe,110,Dog Domestication,14
-3087,unlock,72,Old yucyuc Tribe,104,Fishing Technology,15
-3076,unlock,78,Kingdom of New suyullaqna,103,Bone and Antler Tools,11
-3070,unlock,66,Great tolitzcaltan Tribe,115,Counting Tokens and Tallies,15
-3068,unlock,71,Kingdom of Great nahcal,104,Fishing Technology,18
-3063,unlock,72,Old yucyuc Tribe,115,Counting Tokens and Tallies,16
-3060,unlock,72,Old yucyuc Tribe,103,Bone and Antler Tools,17
-3058,unlock,73,Kingdom of Old yucteoxocco,114,Enclosures and Herd Management,18
-3057,unlock,73,Kingdom of Old yucteoxocco,109,Long-distance Exchange Networks,19
-3049,unlock,67,South tolcalchian Tribe,114,Enclosures and Herd Management,16
-3037,unlock,71,Kingdom of Great nahcal,7,Wheel,19
-3033,unlock,73,Kingdom of Old yucteoxocco,5,Sailing,20
-3030,unlock,71,Kingdom of Great nahcal,10,Irrigation,20
-3029,unlock,8,Kingdom of Great tansurpur,117,Proto-writing and Administrative Notation,18
-3024,unlock,70,Kingdom of Great mixcalitzan,104,Fishing Technology,14
-3018,unlock,67,South tolcalchian Tribe,103,Bone and Antler Tools,17
-3006,unlock,136,North yucteonah Tribe,104,Fishing Technology,14
-3003,unlock,39,Solbelia Tribe,10,Irrigation,20
-3003,unlock,70,Kingdom of Great mixcalitzan,110,Dog Domestication,15
-3000,unlock,8,Kingdom of Great tansurpur,7,Wheel,19
-2996,unlock,52,Kingdom of South zulamkaene,114,Enclosures and Herd Management,15
-2990,unlock,67,South tolcalchian Tribe,109,Long-distance Exchange Networks,20
-2990,unlock,67,South tolcalchian Tribe,110,Dog Domestication,20
-2990,unlock,67,South tolcalchian Tribe,5,Sailing,20
-2989,unlock,43,Lortergrad Tribe,115,Counting Tokens and Tallies,20
-2986,unlock,72,Old yucyuc Tribe,10,Irrigation,18
-2984,unlock,51,Great chiseu Tribe,104,Fishing Technology,11
-2979,unlock,1,New shasura,17,Roads,19
-2975,unlock,136,North yucteonah Tribe,115,Counting Tokens and Tallies,15
-2970,unlock,1,New shasura,10,Irrigation,20
-2970,unlock,104,Drashaa Tribe,108,Watercraft,20
-2969,unlock,73,Kingdom of Old yucteoxocco,115,Counting Tokens and Tallies,21
-2955,unlock,136,North yucteonah Tribe,110,Dog Domestication,16
-2953,unlock,44,Kingdom of North belsolgrad,17,Roads,24
-2951,unlock,69,New itznahnahan Tribe,104,Fishing Technology,14
-2951,unlock,70,Kingdom of Great mixcalitzan,115,Counting Tokens and Tallies,16
-2951,unlock,73,Kingdom of Old yucteoxocco,7,Wheel,22
-2943,unlock,39,Solbelia Tribe,115,Counting Tokens and Tallies,21
-2940,unlock,70,Kingdom of Great mixcalitzan,103,Bone and Antler Tools,17
-2939,unlock,67,South tolcalchian Tribe,7,Wheel,21
-2926,unlock,72,Old yucyuc Tribe,114,Enclosures and Herd Management,19
-2924,unlock,43,Lortergrad Tribe,10,Irrigation,21
-2924,unlock,73,Kingdom of Old yucteoxocco,110,Dog Domestication,23
-2923,unlock,44,Kingdom of North belsolgrad,115,Counting Tokens and Tallies,25
-2919,unlock,52,Kingdom of South zulamkaene,110,Dog Domestication,16
-2915,unlock,8,Kingdom of Great tansurpur,103,Bone and Antler Tools,20
-2903,unlock,6,Kingdom of New mitsurmitdesh,23,Engineering,26
