year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18688205.000000,0.000000,0.999408,0.000016,0.008471,0.000000,0.000906,0.025581,0.280101,0.280144,0.683830,0.625564,0.050469,0.181276,0.672593,0.001327,0.374034,0.054300,0.000003,0.000003,0.026775,0.002244,0.098293,0.089530,0.024978|0.400581|0.380818|0.111816|0.055954|0.025896,0.372930,0.316009,0.090424,0.109374,1.000000,1.000000,0.890626,186834.000000,303364.400000,0.030270,389.000000,1064.400000,0.026175,0.814500,0.690000,95,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0,0.236007,0.838692,0.738931,0.763993,131533.885672,176538.983744,1036022.400434,0.000000,0.000000,0.000000,369633.021361
-4000,174358813.000000,0.002236,0.958515,0.001035,0.008416,0.000000,0.000466,0.033495,0.419548,0.499078,0.854213,0.586833,0.151612,0.223987,0.831447,0.000278,0.406674,0.090824,0.000021,0.000019,0.041485,0.001994,0.213267,0.094979,0.017975|0.256104|0.534598|0.141259|0.034592|0.018184,0.266695,0.589996,0.143766,0.183748,0.841736,1.000000,0.816252,677592.500000,3392811.700000,0.057731,405.500000,1162.600000,0.038767,0.981800,0.781270,55,0.429688,857.500000,1000.000000,0,6907.631348,0.000223,0.889337,2125,2,0.072332,0,45,0,441,0.336001,0.594645,0.839657,0.663999,3168.345010,36836.819293,206755.651767,0.000000,0.000000,0.000000,1141918867.464513
-3000,1036761800.000000,0.001784,0.944178,0.001199,0.008945,0.000000,0.000557,0.140554,0.536076,0.806312,0.734766,0.590364,0.241522,0.235744,0.646104,0.000272,0.400244,0.122792,0.000027,0.000022,0.055822,0.001854,0.258088,0.126769,0.017886|0.069996|0.625021|0.248073|0.021712|0.017910,0.315808,0.649586,0.175684,0.230594,0.835101,0.977024,0.769406,849077.000000,22968530.100000,0.076483,490.500000,1169.000000,0.032695,0.964850,0.792120,32,0.213333,1050.000000,2000.000000,0,986187.937500,0.001095,0.792857,4631,3,0.578743,0,34,0,1134,0.380690,0.575318,0.802056,0.619310,21121.016338,191876.072703,1232509.926116,0.000000,0.000000,0.000000,3905849926.016010
-2000,2725629184.000000,0.000967,0.978044,0.000381,0.008866,0.000000,0.000934,0.144005,0.654824,1.000000,0.685091,0.578650,0.246208,0.250018,0.591082,0.000208,0.398157,0.135748,0.000042,0.000043,0.021956,0.001771,0.327398,0.204561,0.017868|0.039446|0.603649|0.301495|0.019989|0.017879,0.215786,0.768358,0.159747,0.260219,0.921835,1.000000,0.739781,873853.500000,38342761.800000,0.117985,502.000000,1486.100000,0.048771,0.947250,0.760420,14,0.072165,795.000000,2695.000000,0,1417103.375000,0.003937,0.675053,7236,5,0.598441,0,59,0,1813,0.419526,0.599481,0.794150,0.580474,64800.820768,564678.054446,3339625.617778,0.000000,0.000000,0.000000,9582785981.697084
-1000,4248665327.000000,0.000444,0.957271,0.001987,0.009126,0.000000,0.001308,0.162923,0.788488,1.000000,0.689863,0.540603,0.254221,0.252338,0.582046,0.000126,0.398704,0.120141,0.000049,0.000044,0.042729,0.001699,0.386767,0.269771,0.017865|0.033276|0.506266|0.405450|0.019484|0.017870,0.147134,0.840788,0.146397,0.287606,0.867704,1.000000,0.712394,1053077.000000,41188829.800000,0.084368,494.000000,1464.400000,0.054882,0.941600,0.779460,14,0.054475,1195.000000,3136.000000,0,1411162.000000,0.002686,2.152838,10027,5,1.815397,0,73,0,2679,0.447158,0.585453,0.796414,0.552842,27750.056073,761428.358121,4581973.409425,0.000000,0.000000,0.000000,22459482606.546555
0,4740809261.000000,0.000110,0.934723,0.001802,0.008946,0.000000,0.000000,0.169847,0.889333,1.000000,0.685026,0.542656,0.267755,0.252418,0.573685,0.000130,0.405571,0.122763,0.000053,0.000049,0.065277,0.001660,0.416479,0.303920,0.017864|0.031616|0.473980|0.439196|0.019821|0.017870,0.136309,0.852313,0.165328,0.302775,0.825117,0.959611,0.697225,826651.000000,39571307.000000,0.059143,432.000000,1345.300000,0.049443,0.962100,0.836920,13,0.040625,1027.500000,3156.000000,0,1372352.125000,0.002373,3.683921,12977,5,3.094653,115,71,0,3551,0.454961,0.586904,0.801487,0.545039,25920.234461,802206.369877,5125210.673189,0.000000,0.000000,0.000000,34035108530.983456
1000,5169182531.000000,0.000087,0.890959,0.003439,0.009173,0.000701,0.000976,0.175295,1.000000,1.000000,0.700721,0.591339,0.281739,0.260794,0.600364,0.000105,0.414401,0.129219,0.000062,0.000058,0.109041,0.001636,0.433891,0.320321,0.017865|0.031616|0.449367|0.464644|0.019660|0.017869,0.137365,0.852132,0.183155,0.312404,0.774933,0.900514,0.687596,901783.000000,40408783.200000,0.053217,417.000000,1251.000000,0.046769,0.967800,0.848120,11,0.030812,1400.000000,3914.000000,2,1447229.875000,0.002291,5.051200,15103,4,5.636504,704,43,0,4206,0.472039,0.592849,0.821896,0.527961,12300.092273,810168.659349,5242220.868222,0.000000,0.000000,0.000000,43421768999.462997
1500,5090334753.000000,-0.000031,0.945695,0.001639,0.009037,0.000000,0.000857,0.173254,1.000000,1.000000,0.702736,0.568371,0.287849,0.268908,0.598561,0.000113,0.421760,0.133967,0.000066,0.000065,0.054305,0.001589,0.440463,0.322736,0.017865|0.031807|0.454749|0.459318|0.019816|0.017869,0.137156,0.852236,0.201568,0.331397,0.848847,0.980944,0.668603,971467.500000,40220687.500000,0.049792,422.500000,1249.500000,0.046099,0.970600,0.860880,10,0.027933,1585.000000,4333.000000,0,1437060.750000,0.002358,4.352845,7811,0,1.382145,330,2,0,2171,0.499760,0.602901,0.825672,0.500240,24147.174660,857316.548153,5482723.891573,0.000000,0.000000,0.000000,44875566594.002815
2000,5019272601.000000,-0.000028,0.873803,0.004014,0.008937,0.000001,0.001678,0.166266,1.000000,1.000000,0.703860,0.568244,0.282519,0.276585,0.589838,0.000109,0.427214,0.137551,0.000069,0.000068,0.126197,0.001540,0.445125,0.325882,0.017865|0.031881|0.449043|0.465210|0.019979|0.017869,0.137356,0.852500,0.228551,0.351899,0.766613,0.877596,0.648101,981722.000000,39468247.800000,0.052591,426.000000,1317.600000,0.045676,0.970300,0.862800,10,0.028169,1630.000000,4809.000000,0,1415723.625000,0.002366,4.818250,7974,0,3.167088,437,0,0,2298,0.524908,0.602163,0.834307,0.475092,7177.469442,768141.799979,4954198.182807,0.000000,0.000000,0.000000,46480551099.191994
2025,5018031582.000000,-0.000010,0.967972,0.000921,0.009013,0.002100,0.000874,0.170987,1.000000,1.000000,0.703513,0.558110,0.285798,0.278105,0.597162,0.000114,0.429954,0.140441,0.000069,0.000067,0.032028,0.547061,0.445237,0.326612,0.017865|0.031913|0.448439|0.465830|0.019965|0.017870,0.137551,0.852238,0.227119,0.348680,0.880244,1.000000,0.651320,930840.000000,39162115.200000,0.052490,426.000000,1317.600000,0.045669,0.971800,0.864240,10,0.028169,1630.000000,4834.000000,6,1453910.375000,0.002413,5.082000,298,0,0.040179,33,0,0,85,0.526971,0.613816,0.832635,0.473029,51076.367904,883262.845006,5730067.697387,0.000000,0.000000,0.000000,46559997516.792191
